business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dr. Aishwarya More,Dental Clinic,Dental clinic,"Dental clinic, Cosmetic dentist, Dental implants periodontist, Dentist, Diabetes center, Endodontist, Laser hair removal service, Orthodontist, Pediatric dentist, Skin care clinic",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 70833 39801,https://omdentalclinicsata.wixsite.com/omdentalsatara,5.0,,"Shop No.1, Ahire Colony, groundfloor, Degaon Rd, next to SBI ATM, below Top gym, New, MIDC, Kodoli, Maharashtra 415004","New, MIDC",17.6722178,74.02632679999999,ChIJdajYGv85wjsRmZtW-9rzfjY,https://www.google.com/maps/place/?q=place_id:ChIJdajYGv85wjsRmZtW-9rzfjY,part_131,2026-09-22 06:33:08,1451
Smile Dental Clinic,Dental Clinic,Dental clinic,"Dental clinic, Dentist",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 91755 11555,http://www.drswikarbhambure.in/,4.9,,"Shop No -UG 6, Bhairavnath Complex, Azad Chowk, Koregaon, Maharashtra 415501",415527,17.7002926,74.159645,ChIJYRx1LGY0wjsRfXaWeMyHpfc,https://www.google.com/maps/place/?q=place_id:ChIJYRx1LGY0wjsRfXaWeMyHpfc,part_131,2026-09-22 06:33:08,1452
S Dental Care,Dental Clinic,Dental clinic,Dental clinic,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 86688 31323,N/A,4.9,,"Radhika Rd, behind Union Bank, Karanje Turf Satara, Satara, Maharashtra 415001",Karanje Turf Satara,17.6909523,73.9990637,ChIJ0YZywxk5wjsRoQe8ks4_sPc,https://www.google.com/maps/place/?q=place_id:ChIJ0YZywxk5wjsRoQe8ks4_sPc,part_131,2026-09-22 06:33:08,1453
Dr.Doshi dental clinic,Dental Clinic,Dental clinic,Dental clinic,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,,,"Utsav shopping mall, Khatav, Maharashtra 415505",415527,17.656506999999998,74.3615695,ChIJmQJQZADPwzsR5HOIb7wmrJo,https://www.google.com/maps/place/?q=place_id:ChIJmQJQZADPwzsR5HOIb7wmrJo,part_131,2026-09-22 06:33:08,1454
Dr. Ghorpade's Speciality dental institute,Dental Clinic,Dental clinic,"Dental clinic, Dental implants provider, Dental radiology, Emergency dental service, Teeth whitening service",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,5.0,746.0,"1st floor, Vitthal Leela complex, opp. IDBI Bank, Shivaji Circle, Powai Naka, Satara, Maharashtra 415001","Shivaji Circle, Powai Naka",17.6868022,74.0048096,ChIJMz5E6pQ5wjsRX3Zjq1WXioo,https://www.google.com/maps/place/?q=place_id:ChIJMz5E6pQ5wjsRX3Zjq1WXioo,part_131,2026-09-22 06:33:08,1455
Satara Multispeciality Dental Clinic,Dental Clinic,Dental clinic,"Dental clinic, Dentist, Dental implants periodontist, Dental radiology, Orthodontist, Teeth whitening service",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 95529 82236,N/A,4.9,163.0,"Office 1, Rajwada NX, in front of Rajwada, near Nagar Vachanalay, Guruwar Peth, Satara, Maharashtra 415002",Guruwar Peth,17.682943299999998,73.9897156,ChIJS9Z_L9o5wjsRYvmTJpMMy8M,https://www.google.com/maps/place/?q=place_id:ChIJS9Z_L9o5wjsRYvmTJpMMy8M,part_131,2026-09-22 06:33:08,1456
Agarwal Dental clinic,Dental Clinic,Dental clinic,Dental clinic,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 94033 59089,N/A,5.0,203.0,"214, Shaniwar Peth Rd, near Agarwal Dairy anad lassi, Rajpath Satara, Guruwar Peth, Satara, Maharashtra 415002","Rajpath Satara, Guruwar Peth",17.6836759,73.9943159,ChIJZ2kwBTA5wjsRofktqgv-67g,https://www.google.com/maps/place/?q=place_id:ChIJZ2kwBTA5wjsRofktqgv-67g,part_131,2026-09-22 06:33:08,1457
Sawant Dental Studio,Dental Clinic,Dental clinic,Dental clinic,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 99229 29529,N/A,5.0,20.0,"Third floor, Kirdat Park, 302, opp. Landmark Tower, Karanje, Satara, Maharashtra 415002","Suryawanshi Colony, Karanje",17.6972934,74.0005205,ChIJVcsYOUI5wjsRBeKuNkZHL6g,https://www.google.com/maps/place/?q=place_id:ChIJVcsYOUI5wjsRBeKuNkZHL6g,part_131,2026-09-22 06:33:08,1458
BAHUBALI DENTAL CLINIC,Dental Clinic,Dentist,Dentist,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 88880 57278,N/A,5.0,14.0,"Shingnapur Chowk, opp. to Mandeshi Bank, Mhaswad, Maharashtra 415509",415527,17.634995399999998,74.783259,ChIJs2mzAFH7wzsR4N9QiBYaIIs,https://www.google.com/maps/place/?q=place_id:ChIJs2mzAFH7wzsR4N9QiBYaIIs,part_131,2026-09-22 06:33:08,1459
Dr Sathe dental clinic,Dental Clinic,Dental clinic,Dental clinic,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 91122 38359,N/A,4.8,6.0,"100, near jeevanjyot hospital, Shaniwar Peth, Guruwar Peth, Satara, Maharashtra 415002","Shaniwar Peth, Guruwar Peth",17.6817746,73.9938726,ChIJ-auGZJo5wjsRVbt92iNHkX0,https://www.google.com/maps/place/?q=place_id:ChIJ-auGZJo5wjsRVbt92iNHkX0,part_131,2026-09-22 06:33:08,1460
