business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
NK FLOWER DECORATION,Flower Decorator,Florist,"Florist, Party planner, Restaurant supply store",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 72193 02812,N/A,4.9,27.0,"SHOP NO 2,NEAR FISH MARKET,T P ROAD,ASHOK KEDRE CHOWK,BHANDUP-400708, Mumbai, Maharashtra 400078","Co-Operative Housing Society, Utkarsh Nagar, Bhandup West",19.1454748,72.9255051,ChIJs4RGtDK55zsRanUNqM2NBss,https://www.google.com/maps/place/?q=place_id:ChIJs4RGtDK55zsRanUNqM2NBss,part_131,2026-09-22 06:33:18,2953
Bhimrao Mahadik,Flower Decorator,Florist,Florist,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 94042 95709,N/A,5.0,1.0,"Shop No 3, near Additional, Shree nagar colony, MIDC, Kondvali, Maharashtra 415004","Shree nagar colony, MIDC",17.6672937,74.0410593,ChIJp9VsCW0xwjsR2FU-bVq6y2I,https://www.google.com/maps/place/?q=place_id:ChIJp9VsCW0xwjsR2FU-bVq6y2I,part_131,2026-09-22 06:33:18,2954
Sai Flower merchant,Flower Decorator,Flower designer,Flower designer,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 99237 33446,N/A,4.6,11.0,"75MJ+3CG Besides Janata sahakari bank , Datta chowk, ST stand road Mangalwar Peth, Karad, Maharashtra 415110",Mangalwar Peth,17.282693899999998,74.1810781,ChIJk1JGx9mDwTsRE4IIaJygeUs,https://www.google.com/maps/place/?q=place_id:ChIJk1JGx9mDwTsRE4IIaJygeUs,part_131,2026-09-22 06:33:18,2955
NILKAMAL FLOWER MERCHANT,Flower Decorator,Florist,"Florist, Flower delivery",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 99227 76162,N/A,4.8,17.0,"Shop No 96, Rajpath Rd, Guruwar Peth, Satara, Maharashtra 415002",Guruwar Peth,17.683654,73.9904743,ChIJowF3Rpg5wjsR3h_U7_RrUts,https://www.google.com/maps/place/?q=place_id:ChIJowF3Rpg5wjsR3h_U7_RrUts,part_131,2026-09-22 06:33:18,2956
Swaraj Florist 'N' Flower Decorators,Flower Decorator,Florist,"Florist, Flower delivery, Flower designer, Wholesale florist",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 92267 74087,N/A,4.8,147.0,"Ram Mandir Rd, Sangli, Chowk, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Chowk",16.8564159,74.57393669999999,ChIJ06Kda2kYwTsRvaL5JMrwimI,https://www.google.com/maps/place/?q=place_id:ChIJ06Kda2kYwTsRvaL5JMrwimI,part_131,2026-09-22 06:33:18,2957
Wadekar Flower Decoration,Flower Decorator,Wedding planner,"Wedding planner, Event management company, Event planner, Flower designer, Flower market",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 97623 89185,N/A,4.6,98.0,"M.G Raod, Main Bazar Rd, opp. Railway Station, near Laxmi Wines, Lonavala, Maharashtra 410401",Siddharth Nagar,18.7487769,73.4072102,ChIJR42axhEB6DsRTNjWIyWH9aU,https://www.google.com/maps/place/?q=place_id:ChIJR42axhEB6DsRTNjWIyWH9aU,part_131,2026-09-22 06:33:18,2958
AJINKYA PUSHPA BHANDAR,Flower Decorator,Florist,Florist,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 97632 79375,N/A,4.2,5.0,"Bombay Restaurant Chowk, Shop no 1 Natraj Mandir, Satara - Koregaon Rd, Satara, Maharashtra 415001","Visawa Park, Sadar Bazar",17.6864267,74.02243159999999,ChIJmTnL0285wjsRwFHd4seI6WE,https://www.google.com/maps/place/?q=place_id:ChIJmTnL0285wjsRwFHd4seI6WE,part_131,2026-09-22 06:33:18,2959
Ascent enterprises,Flower Decorator,Florist,"Florist, Animal feed store",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 98908 72834,N/A,5.0,1.0,"H4X2+4C3, Degao road, Varne, Maharashtra 415019",415527,17.5973659,74.1005768,ChIJidmULAAxwjsR8H0Mv-XFcZI,https://www.google.com/maps/place/?q=place_id:ChIJidmULAAxwjsR8H0Mv-XFcZI,part_131,2026-09-22 06:33:18,2960
Aurafloral Studio,Flower Decorator,Florist,Florist,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 93260 12840,http://aurafloralstudios.com/,4.9,282.0,"Shop no.3, Anu-Sakha estate, junction, N Main Rd, next to HDFC bank, near Lane Number 5, Suyojana Society, Kavadewadi, Koregaon Park, Pune, Maharashtra 411001","Suyojana Society, Kavadewadi, Koregaon Park",18.5392077,73.8968874,ChIJBzlEJgHBwjsRyBOSOqxTLas,https://www.google.com/maps/place/?q=place_id:ChIJBzlEJgHBwjsRyBOSOqxTLas,part_131,2026-09-22 06:33:18,2961
Gajdeep Production,Flower Decorator,Florist,Florist,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 89759 81276,N/A,3.0,1.0,"2, Surur Bazar Peth, Maharashtra 415517",415527,17.9609293,73.9840619,ChIJHZMokwhbwjsRFJTxKT3O-n4,https://www.google.com/maps/place/?q=place_id:ChIJHZMokwhbwjsRFJTxKT3O-n4,part_131,2026-09-22 06:33:18,2962
