business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hiramoti Kids Wear Uniforms Seasonal Wear,Kids Wear Store,Clothing store,Clothing store,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 94212 11001,N/A,4.5,8.0,"Khalcha Rasta, Powai Naka, Satara, Maharashtra 415001",Powai Naka,17.688021199999998,74.004824,ChIJ540L5cM5wjsRrOVrgPhe-Xk,https://www.google.com/maps/place/?q=place_id:ChIJ540L5cM5wjsRrOVrgPhe-Xk,part_131,2026-09-22 06:33:04,869
Niharika kids wear,Kids Wear Store,Dress store,Dress store,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,4.9,8.0,"M2H4+V79, Gurukul School Rd, Radhika Nagar, Shahunagar, Satara, Maharashtra 415001","Radhika Nagar, Shahunagar",17.679657,74.00573469999999,ChIJhZ6ZdmA5wjsRC5I1pxWqlO8,https://www.google.com/maps/place/?q=place_id:ChIJhZ6ZdmA5wjsRC5I1pxWqlO8,part_131,2026-09-22 06:33:04,870
Aarvi kids wear,Kids Wear Store,Shopping mall,Shopping mall,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,,,"India petrol pump, Vaduj, Maharashtra 415506",415527,17.5919062,74.4504687,ChIJ2frAfwDbwzsRrNpWlw9Rp88,https://www.google.com/maps/place/?q=place_id:ChIJ2frAfwDbwzsRrNpWlw9Rp88,part_131,2026-09-22 06:33:04,871
City Kid's,Kids Wear Store,Children's clothing store,Children's clothing store,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 97406 44747,N/A,3.0,3.0,"girija complex, Karad - Vaduj Rd, near state bank, Vaduj, Maharashtra 415506",415527,17.5934325,74.45076569999999,ChIJC2f_M-nbwzsRHazMI6-bAoM,https://www.google.com/maps/place/?q=place_id:ChIJC2f_M-nbwzsRHazMI6-bAoM,part_131,2026-09-22 06:33:04,872
APSARA DRESSES Prop manohar ganabote,Kids Wear Store,Children's clothing store,Children's clothing store,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 98238 60009,N/A,4.0,88.0,"SHOP 1, APSARA DRESSES, BAJI MARKET ROAD, near by KHANDOBA MANDIR, RAVIWAR PETHA, Ravivar Peth, Phaltan, Maharashtra 415523","RAVIWAR PETHA, Ravivar Peth",17.9915096,74.4335797,ChIJHa6C5zmlwzsRPGaHTGXAqcs,https://www.google.com/maps/place/?q=place_id:ChIJHa6C5zmlwzsRPGaHTGXAqcs,part_131,2026-09-22 06:33:04,873
Alishan Collection,Kids Wear Store,Clothing store,Clothing store,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 70585 16687,N/A,4.8,5.0,"Aundh, Maharashtra 415510",415527,17.5410181,74.3323712,ChIJBwiinBfRwzsRktzU7UGClus,https://www.google.com/maps/place/?q=place_id:ChIJBwiinBfRwzsRktzU7UGClus,part_131,2026-09-22 06:33:04,874
Spykar,Kids Wear Store,Clothing store,"Clothing store, Clothes market, Men's clothing store, Outlet mall, Shopping mall, Youth clothing store",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 91755 99200,http://spykar.com/,5.0,48.0,"Shop No 9A 9B, Spykar Store, BR Heights, opp. Shahi Masjid, Durgapeth, Guruwar Peth, Satara, Maharashtra 415002","Durgapeth, Guruwar Peth",17.683703599999998,73.9972449,ChIJ5VVtXJo5wjsRHiWuBDEGOw4,https://www.google.com/maps/place/?q=place_id:ChIJ5VVtXJo5wjsRHiWuBDEGOw4,part_131,2026-09-22 06:33:04,875
Trends,Kids Wear Store,Clothing store,"Clothing store, Baby clothing store, Children's clothing store, Clothing Accessories Store, Formal Clothing Store, Western apparel store, Youth clothing store",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 93704 90185,https://trends.shop/page/trends-satara-city-business-center,4.0,1354.0,"Business Center, Plot No -29, New Radhika Rd, Karanje Turf Satara, Satara, Maharashtra 415001",Karanje Turf Satara,17.690749,74.001479,ChIJg6XtHL45wjsRFytYGIEuoXg,https://www.google.com/maps/place/?q=place_id:ChIJg6XtHL45wjsRFytYGIEuoXg,part_131,2026-09-22 06:33:04,876
Rajpurohit Sweet,Kids Wear Store,Baby store,Baby store,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 83849 51368,N/A,,,"Vaduj, Karad, Maharashtra 415506",415527,17.5936678,74.4512201,ChIJAX7UUaTbwzsRj97G4juHwWc,https://www.google.com/maps/place/?q=place_id:ChIJAX7UUaTbwzsRj97G4juHwWc,part_131,2026-09-22 06:33:04,877
Lifestyle Ladies Wear & Kids Wear,Kids Wear Store,Clothing store,Clothing store,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 99226 38798,N/A,,,"Katgun, Maharashtra 415505",415527,17.661138299999998,74.3672519,ChIJg4qU4wTPwzsRCtn_XO1sxK0,https://www.google.com/maps/place/?q=place_id:ChIJg4qU4wTPwzsRCtn_XO1sxK0,part_131,2026-09-22 06:33:04,878
