business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Fusion Rental Hub 2 Vaduj,Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,5.0,1.0,"Kondhai plazza,1st floor,Wakeshwar Road Manish Talkies samor Vaduj tal, Vaduj, Maharashtra 415506",415527,17.5959251,74.4477696,ChIJgajPkjjbwzsRTgCnWSspWLM,https://www.google.com/maps/place/?q=place_id:ChIJgajPkjjbwzsRTgCnWSspWLM,part_131,2026-09-22 06:33:06,1175
SHIVBHAIRAV ENTERPRISES,Luxury Clothing Shops,Boutique,Boutique,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 96573 52123,N/A,5.0,1.0,"Shop No1, Shivthar, Maharashtra 415011",415527,17.7794709,74.0633151,ChIJDTDNl0hJwjsRYzEoStGehsM,https://www.google.com/maps/place/?q=place_id:ChIJDTDNl0hJwjsRYzEoStGehsM,part_131,2026-09-22 06:33:06,1176
Dhannajay Werieties Jangam,Luxury Clothing Shops,Boutique,Boutique,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 98902 67208,N/A,,,"03 Nigadi, Nigadi, Satara, Maharashtra 415004",415527,17.6241114,74.0898835,ChIJf57Qxh0xwjsRj1CX_3qIwiU,https://www.google.com/maps/place/?q=place_id:ChIJf57Qxh0xwjsRj1CX_3qIwiU,part_131,2026-09-22 06:33:07,1177
Shravani Collection,Luxury Clothing Shops,Women's clothing store,Women's clothing store,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,3.7,3.0,"HFV2+X7C, Dahiwadi chowk, Vaduj, Maharashtra 415506",415527,17.5949279,74.4506602,ChIJDY_-OADbwzsRDc24XNdg_18,https://www.google.com/maps/place/?q=place_id:ChIJDY_-OADbwzsRDc24XNdg_18,part_131,2026-09-22 06:33:07,1178
Hoble Cloth Store,Luxury Clothing Shops,Clothing store,"Clothing store, Clothes and fabric wholesaler, Shopping mall",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 94204 86987,N/A,4.5,,"158, Main Rd, Dubal Wada, Guruwar Peth, Karad, Maharashtra 415110","Dubal Wada, Guruwar Peth",17.2897088,74.1797747,ChIJuzzWeUmCwTsRQU1_l0NHgJM,https://www.google.com/maps/place/?q=place_id:ChIJuzzWeUmCwTsRQU1_l0NHgJM,part_131,2026-09-22 06:33:07,1179
Urban Style - The Fashion Store,Luxury Clothing Shops,Clothing store,"Clothing store, Clothes market, Clothing manufacturer, Store, Clothing supplier, Clothing wholesale market place, Formal Clothing Store, Youth clothing store",415530,Maharashtra circle,Pune Region,Satara Division,"Jamb (Kikali) B.O, Kikali B.O, Kisanveernagar S.O",N/A,https://www.instagram.com/urbanstyle.tfs/,4.7,,"Shop No- 1, Late Building, Service Road, Opp ST stand Beside Pune-Bangalore, Highway, Umbraj, Maharashtra 415109",415530,17.403703399999998,74.101068,ChIJkWB0t_ApwjsR1W8B3i8Pvno,https://www.google.com/maps/place/?q=place_id:ChIJkWB0t_ApwjsR1W8B3i8Pvno,part_131,2026-09-22 06:34:15,7441
Uruj collection,Luxury Clothing Shops,Clothing store,Clothing store,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",N/A,N/A,3.7,24.0,"MXPV+HC6, Khalcha Rasta, Malhar Peth, Satara, Maharashtra 415002",Malhar Peth,17.6864132,73.99352189999999,ChIJdW22cjM5wjsRRrQudqtM19Y,https://www.google.com/maps/place/?q=place_id:ChIJdW22cjM5wjsRRrQudqtM19Y,part_131,2026-09-22 06:34:48,9243
ll आस्था क्रिएशन ll,Luxury Clothing Shops,Clothing store,Clothing store,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",N/A,N/A,4.5,2.0,"Rajpath road ,223bhavani peth , khanali, in front of JAIN TEMPLE, Satara, Maharashtra 415002",Malhar Peth,17.6842705,73.9916088,ChIJZ-xcUKo5wjsR4z6lMunXYy8,https://www.google.com/maps/place/?q=place_id:ChIJZ-xcUKo5wjsR4z6lMunXYy8,part_131,2026-09-22 06:34:48,9244
Cantabil,Luxury Clothing Shops,Clothing Accessories Store,Clothing Accessories Store,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 72900 47821,https://stores.cantabilinternational.com/cantabil-cantabil-retail-india-limited-pune-satara-road-2-clothing-accessories-store-satara-city-satara-96179/Home?utm_source=locator&utm_medium=googleplaces,4.7,,"S No 1, UGF, Satara City Business Centre, Radhika Rd, Satara, Maharashtra 415001",Karanje Turf Satara,17.6912607,74.00138989999999,ChIJG2QDD8M5wjsRRDW3pf2k4qs,https://www.google.com/maps/place/?q=place_id:ChIJG2QDD8M5wjsRRDW3pf2k4qs,part_131,2026-09-22 06:34:49,9245
RoopSameer Family Shop,Luxury Clothing Shops,Clothing store,Clothing store,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 2162 237 131,N/A,4.2,,"Shivaji Cir, Karanje Turf Satara, Satara, Maharashtra 415001",Karanje Turf Satara,17.6877714,74.0062986,ChIJuUdY1pQ5wjsRzAtLhEhZOHY,https://www.google.com/maps/place/?q=place_id:ChIJuUdY1pQ5wjsRzAtLhEhZOHY,part_131,2026-09-22 06:34:49,9246
