business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
YOGESH MANDAVE HOUSE,Property Developers,Housing development,Housing development,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 97022 65346,N/A,5.0,,"H99W+P7G, Kumthe, Maharashtra 415506",415527,17.5693238,74.3957099,ChIJ5aJHVADRwzsRz0YN93AorR8,https://www.google.com/maps/place/?q=place_id:ChIJ5aJHVADRwzsRz0YN93AorR8,part_131,2026-09-22 06:33:26,4122
KACHHI PROPERTIES,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 98229 10277,https://kachhiproperties.com/,3.9,,"Kachhi Star Apartment, 553, near Lakdi Pool, Shaniwar Peth, Chimanpura Peth, Satara, Maharashtra 415002","Shaniwar Peth, Chimanpura Peth",17.6875225,73.9925291,ChIJhex1LMA5wjsRdpCV_7aCVTc,https://www.google.com/maps/place/?q=place_id:ChIJhex1LMA5wjsRdpCV_7aCVTc,part_131,2026-09-22 06:33:26,4123
Kokrale Suryanagar,Property Developers,Housing development,Housing development,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,5.0,,"J86G+R3Q, Kokarale, Maharashtra 415527",415527,17.6120831,74.3252433,ChIJT9kwRlrPwzsRpD8LBGXnFZY,https://www.google.com/maps/place/?q=place_id:ChIJT9kwRlrPwzsRpD8LBGXnFZY,part_131,2026-09-22 06:33:26,4124
Shikhare Farmhouse,Property Developers,Housing development,Housing development,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,5.0,,"H95P+4F, Gosavyachiwadi, Kumthe, Maharashtra 415527",415527,17.5578184,74.386179,ChIJ6T5ZWwDRwzsRqALbEmq5FC4,https://www.google.com/maps/place/?q=place_id:ChIJ6T5ZWwDRwzsRqALbEmq5FC4,part_131,2026-09-22 06:33:26,4125
यशवंत पार्क (Yashvant park),Property Developers,Housing society,Housing society,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,5.0,,"M949+J2W, Khatav, Maharashtra 415505",415527,17.655906899999998,74.368163,ChIJ7YQQIwDPwzsRSRFUwaNSOhE,https://www.google.com/maps/place/?q=place_id:ChIJ7YQQIwDPwzsRSRFUwaNSOhE,part_131,2026-09-22 06:33:26,4126
Kadam' house,Property Developers,Housing society,Housing society,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,3.9,,"Bhurkawdi, Maharashtra 415505",415527,17.6366615,74.4013674,ChIJf67lMwDPwzsRMiCgumO1uxM,https://www.google.com/maps/place/?q=place_id:ChIJf67lMwDPwzsRMiCgumO1uxM,part_131,2026-09-22 06:33:26,4127
पाटीलवाडा,Property Developers,Housing development,Housing development,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,,,"J98C+VXP, Dhakatwadi, Maharashtra 415527",415527,17.6164068,74.3734285,ChIJo66mdwDPwzsRYqOxbI6HgWs,https://www.google.com/maps/place/?q=place_id:ChIJo66mdwDPwzsRYqOxbI6HgWs,part_131,2026-09-22 06:33:26,4128
Sawant House,Property Developers,Housing development,Housing development,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,,,"J87C+G4C, Vadkhal, Kokarale, Maharashtra 415527",415527,17.6137551,74.3202448,ChIJ-6xtEwDPwzsRKcjXAqZFfMk,https://www.google.com/maps/place/?q=place_id:ChIJ-6xtEwDPwzsRKcjXAqZFfMk,part_131,2026-09-22 06:33:26,4129
Deshmukh Farms,Property Developers,Housing society,Housing society,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,,,"J96Q+3PP, Kuroli, Maharashtra 415527",415527,17.6102121,74.389329,ChIJgZZlSwDPwzsRrFNfnLM-AuY,https://www.google.com/maps/place/?q=place_id:ChIJgZZlSwDPwzsRrFNfnLM-AuY,part_131,2026-09-22 06:33:26,4130
Gaikwad Farmhouse,Property Developers,Housing development,Housing development,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,5.0,,"JC6J+JW, Satewadi, Wakeshwar, Maharashtra 415506",415527,17.610882999999998,74.431296,ChIJg2tASQDFwzsRdz0cCvAbEMU,https://www.google.com/maps/place/?q=place_id:ChIJg2tASQDFwzsRdz0cCvAbEMU,part_131,2026-09-22 06:33:26,4131
