business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Reliable Communication: Telemarketing Services in Pune | Recruitment Process Outsourcing Services in Pune,Telemarketing Firms,Call center,"Call center, Telecommunications service provider",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 75077 99999,http://reliablecommunication.co.in/,3.8,,"Office no. 311, 3rd floor, Graficon Arcade, Bund Garden Rd, opp. Jehangir Hospital, Sangamvadi, Pune, Maharashtra 411001",Sangamvadi,18.5314984,73.8760853,ChIJffEl-_fAwjsR1s-a0o3lfA4,https://www.google.com/maps/place/?q=place_id:ChIJffEl-_fAwjsR1s-a0o3lfA4,part_131,2026-09-22 06:33:31,4648
Prathamesh Marketing Services Satara,Telemarketing Firms,Store,"Store, Medical group",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 98814 91011,N/A,4.6,42.0,"Plot no 72, grampanchayat office, behind shaupuri, Gulmohar Colony, Shahupuri, Satara, Maharashtra 415002","Gulmohar Colony, Shahupuri",17.6980921,73.98584699999999,ChIJuyTnXqY5wjsRWTqRKykeNYs,https://www.google.com/maps/place/?q=place_id:ChIJuyTnXqY5wjsRWTqRKykeNYs,part_131,2026-09-22 06:33:31,4649
Namaste Phaltan,Telemarketing Firms,Marketing,Marketing,415528,Maharashtra circle,Pune Region,Satara Division,"Kalaj B.O, Nandal B.O, Nimbhore B.O",+91 2166 226 644,https://namastephaltan.in/,4.5,,"XCRM+437, Ravivar Peth, Phaltan, Maharashtra 415523",Ravivar Peth,17.9902947,74.4326634,ChIJUWHYejelwzsR9WK-jqRZPvU,https://www.google.com/maps/place/?q=place_id:ChIJUWHYejelwzsR9WK-jqRZPvU,part_131,2026-09-22 06:34:04,6933
Shri Dev Marbles And Tiles,Telemarketing Firms,Marketing consultant,Marketing consultant,415528,Maharashtra circle,Pune Region,Satara Division,"Kalaj B.O, Nandal B.O, Nimbhore B.O",+91 73859 25800,https://satarabazar.com/ad.php?id=NTUwOA==,5.0,,"Karanj pul, wadi 6, Someshwar Nagar, Fata, Sorte, Soratewadi, Maharashtra 412306","Someshwar Nagar, Fata",18.1149475,74.2930247,ChIJX3GM8v2rwzsR0pnjS-DIIuU,https://www.google.com/maps/place/?q=place_id:ChIJX3GM8v2rwzsR0pnjS-DIIuU,part_131,2026-09-22 06:34:04,6934
Satej Infotech Private Limited,Telemarketing Firms,Internet marketing service,"Internet marketing service, Marketing agency, Software company, Website designer",415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 91560 44824,https://www.satejinfotech.in/,5.0,15.0,"Shop. No 219, First Floor, Keviz Plaza Venus Corner, Station Road, Shahupuri, Kolhapur, Maharashtra 416001",Shahupuri,16.7028879,74.233391,ChIJxbv6EvYBwTsRHMAjcHsw7yQ,https://www.google.com/maps/place/?q=place_id:ChIJxbv6EvYBwTsRHMAjcHsw7yQ,part_131,2026-09-22 06:35:13,10116
PM,Telemarketing Firms,Website designer,Website designer,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",N/A,N/A,5.0,11.0,"Parit mala,At.post Surur, Tal, Dist, Wai, Satara, Maharashtra 415517",415536,17.9760268,73.98728419999999,ChIJy3qvyNxbwjsRiIe-00du1X4,https://www.google.com/maps/place/?q=place_id:ChIJy3qvyNxbwjsRiIe-00du1X4,part_131,2026-09-22 06:35:13,10117
HD Marketing Wai,Telemarketing Firms,Wholesaler,Wholesaler,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 98231 21423,N/A,3.7,3.0,"Wai-Surur Rd, Bavdhan, Songirwadi Rural, Maharashtra 412803",Bavdhan,17.940607699999997,73.8926127,ChIJdwD8reBdwjsRWxbdmRxPnHs,https://www.google.com/maps/place/?q=place_id:ChIJdwD8reBdwjsRWxbdmRxPnHs,part_131,2026-09-22 06:35:13,10118
Tech4Geek Solutions,Telemarketing Firms,Software company,"Software company, Web hosting company, Website designer",415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 70402 56834,https://shop.tech4geek.co.in/,5.0,1.0,"588, Sali Ali Behind DCC Bank, Ozarde, Wai, Maharashtra 415515",415536,17.9144527,73.9497658,ChIJ1esuupdEwjsRNrond8GBGAk,https://www.google.com/maps/place/?q=place_id:ChIJ1esuupdEwjsRNrond8GBGAk,part_131,2026-09-22 06:35:13,10119
waibusinesspro,Telemarketing Firms,Business development service,"Business development service, Service establishment, Marketing consultant",415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 91727 51516,https://waibusinesspro.in/,5.0,5.0,"waibusinesspro, 415536, India",415536,18.8181773,76.7698374,ChIJP6oxhAciNCwRswC8OUd-XbQ,https://www.google.com/maps/place/?q=place_id:ChIJP6oxhAciNCwRswC8OUd-XbQ,part_131,2026-09-22 06:35:13,10120
Bratz,Telemarketing Firms,Advertising agency,Advertising agency,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 98229 56358,https://bratz.in/,,,"1563, Raviwar Peth, Wai, Maharashtra 412803",Raviwar Peth,17.9543934,73.89489999999999,ChIJZc0wo0hdwjsRtqUyljpxNmk,https://www.google.com/maps/place/?q=place_id:ChIJZc0wo0hdwjsRtqUyljpxNmk,part_131,2026-09-22 06:35:13,10121
