business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mauli family restaurant,Family Restaurant,Restaurant,Restaurant,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 98227 82151,N/A,4.0,,"NH 48, Maharashtra 415517",415536,17.9992785,73.9946283,ChIJzeM8tslbwjsRIuZeGU2FokY,https://www.google.com/maps/place/?q=place_id:ChIJzeM8tslbwjsRIuZeGU2FokY,part_131,2026-09-22 06:34:45
Hotel Manasi Family Restaurant,Family Restaurant,Family restaurant,"Family restaurant, Indian restaurant",415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 97656 12531,N/A,3.8,,"Wai-Surur Rd, near Mapro Food park, Dhangar Buva, Kavathe, Khanapur, Maharashtra 415536",Dhangar Buva,17.9505356,73.9415379,ChIJ08AS_llbwjsR5AzJReDL9A4,https://www.google.com/maps/place/?q=place_id:ChIJ08AS_llbwjsR5AzJReDL9A4,part_131,2026-09-22 06:34:45
Shiv Sagar Family Restaurant,Family Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Family restaurant",415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 93731 42618,https://shivsagarrestaurant.co/,4.3,,"WVRX+55W, Yashwant Nagar, Songirwadi Rural, Maharashtra 412803",Yashwant Nagar,17.9404842,73.8979615,ChIJzUsT1dNcwjsR9MyJtyUsZRA,https://www.google.com/maps/place/?q=place_id:ChIJzUsT1dNcwjsR9MyJtyUsZRA,part_131,2026-09-22 06:34:45
Hotel Bhairav,Family Restaurant,Family restaurant,Family restaurant,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 76201 70302,N/A,5.0,,"A-4, near ShreeNiwas Mangal Karyalay, Maharshtra Industrial Developement Corporation, Sultanpur, Maharashtra 412803",Maharshtra Industrial Developement Corporation,17.9778721,73.8987643,ChIJRXubZgBdwjsRH4VzLmEql-g,https://www.google.com/maps/place/?q=place_id:ChIJRXubZgBdwjsRH4VzLmEql-g,part_131,2026-09-22 06:34:45
Swaadbrahma,Family Restaurant,Family restaurant,Family restaurant,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",N/A,N/A,4.5,,"22FF+W6G, Bengrutwadi, Khandala, Maharashtra 412802",Bengrutwadi,18.0246825,74.0233327,ChIJnfARrfpbwjsRAtpyzh8m47Q,https://www.google.com/maps/place/?q=place_id:ChIJnfARrfpbwjsRAtpyzh8m47Q,part_131,2026-09-22 06:34:46
Bansuri Pure Veg Family Restaurant,Family Restaurant,Restaurant,Restaurant,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 95277 11115,N/A,4.8,125.0,"Arhamnagar, naka, Dandeghar, Panchgani, Maharashtra 412805","Arhamnagar, naka",17.9344559,73.8065623,ChIJM28rwiBpwjsRs1yVVRgy5b8,https://www.google.com/maps/place/?q=place_id:ChIJM28rwiBpwjsRs1yVVRgy5b8,part_131,2026-09-22 06:34:46
Foodtrucker Engineering LLP,Family Restaurant,Manufacturer,"Manufacturer, Kiosk, Kitchen remodeler, Portable building manufacturer",415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 88889 91188,https://foodtrucker.co.in/,4.8,106.0,"Haveli, IT Park, Gat No 388,Dehu Alandi Road, Tq, near to Talawade, Vitthal Nagar, Maharashtra 412109",Vitthal Nagar,18.7050862,73.7824959,ChIJpcCdqgm3wjsRzwptBo72R1M,https://www.google.com/maps/place/?q=place_id:ChIJpcCdqgm3wjsRzwptBo72R1M,part_131,2026-09-22 06:34:47
Annapurna Garden Restaurant,Family Restaurant,Family restaurant,"Family restaurant, Fast food restaurant, Seafood restaurant",415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 99304 07647,https://satarabazar.com/ad.php?id=NTM3Mg==,3.9,352.0,"near venna lake, Mahabaleshwar, Nakinda, Maharashtra 412806",415536,17.9375417,73.67796349999999,ChIJozyGl2plwjsRzJtmmrD7SYc,https://www.google.com/maps/place/?q=place_id:ChIJozyGl2plwjsRzJtmmrD7SYc,part_131,2026-09-22 06:34:47
Wheels Of Meals Food Truck Customisation and Manufacturing,Family Restaurant,Manufacturer,"Manufacturer, Structural engineer, Truck rental agency",415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 80 4278 3932,http://www.wheelsofmeals.in/,4.1,29.0,"Survey No, 28/20, Bengaluru - Mumbai Hwy, Sutarwadi, Pashan, Pune, Maharashtra 411021","Sutarwadi, Pashan",18.5436657,73.7778648,ChIJ3fccY5W_wjsRChqM0mp1Uc4,https://www.google.com/maps/place/?q=place_id:ChIJ3fccY5W_wjsRChqM0mp1Uc4,part_131,2026-09-22 06:34:47
Chingari,Family Restaurant,Indian restaurant,Indian restaurant,415536,Maharashtra circle,Pune Region,Satara Division,"Chandak B.O, Gulumb B.O, Kenjal S.O",+91 2168 262 222,https://www.marriott.com/hotels/hotel-information/restaurant/pnqdm-le-meridien-mahabaleshwar-resort-and-spa/,4.3,50.0,"Plot No 211, 212, Mahabaleshwar, Shindola, Maharashtra 412806",415536,17.9168514,73.6736514,ChIJnUFAvKFlwjsRu-zo0_aFkuA,https://www.google.com/maps/place/?q=place_id:ChIJnUFAvKFlwjsRu-zo0_aFkuA,part_131,2026-09-22 06:34:47
