business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jay Durga futware,Commercial Complex,Shopping mall,Shopping mall,415537,Maharashtra circle,Pune Region,Satara Division,"Adarki Khurd B.O, Bibi B.O, Ghadgewadi B.O",+91 77568 92020,N/A,5.0,1.0,"R78R+38C, Taluka, near Bus Stop, Khatav, Diskal, Maharashtra 415504",415537,17.815162,74.29080069999999,ChIJCxHsO9q1wzsRHcpeo4kLSEE,https://www.google.com/maps/place/?q=place_id:ChIJCxHsO9q1wzsRHcpeo4kLSEE,part_131,2026-09-22 06:35:47
Panchratna Complex,Commercial Complex,Shopping mall,Shopping mall,415537,Maharashtra circle,Pune Region,Satara Division,"Adarki Khurd B.O, Bibi B.O, Ghadgewadi B.O",+91 92267 32666,N/A,4.0,6.0,"R77R+W78, At post, Main Road, Diskal, Maharashtra 415504",415537,17.8148424,74.29080069999999,ChIJB7BKBse1wzsRd8Qaeu8N-gQ,https://www.google.com/maps/place/?q=place_id:ChIJB7BKBse1wzsRd8Qaeu8N-gQ,part_131,2026-09-22 06:35:47
Tyzer Phaltan,Commercial Complex,Shopping mall,Shopping mall,415537,Maharashtra circle,Pune Region,Satara Division,"Adarki Khurd B.O, Bibi B.O, Ghadgewadi B.O",+91 84080 79696,N/A,4.7,6.0,"W6GR+G8F, Bus Stand, Phaltan - Satara Rd, Aljapur, Maharashtra 415537",415537,17.9263127,74.240799,ChIJLXi6ed2ywzsR1XhJkl9Z2v8,https://www.google.com/maps/place/?q=place_id:ChIJLXi6ed2ywzsR1XhJkl9Z2v8,part_131,2026-09-22 06:35:47
संतोष सुळ. सरपंच,Commercial Complex,Shopping mall,Shopping mall,415537,Maharashtra circle,Pune Region,Satara Division,"Adarki Khurd B.O, Bibi B.O, Ghadgewadi B.O",N/A,N/A,5.0,1.0,"W8WP+MQ5, Khadaki, Maharashtra 415523",415537,17.9466321,74.33697389999999,ChIJVXGrb-KxwzsR6tGQQ7zpFzM,https://www.google.com/maps/place/?q=place_id:ChIJVXGrb-KxwzsR6tGQQ7zpFzM,part_131,2026-09-22 06:35:47
गणेश पवार,Commercial Complex,Shopping mall,Shopping mall,415537,Maharashtra circle,Pune Region,Satara Division,"Adarki Khurd B.O, Bibi B.O, Ghadgewadi B.O",N/A,N/A,4.0,1.0,"W6GQ+HR8, Aljapur, Maharashtra 415537",415537,17.926401,74.239578,ChIJTfgt-Y6zwzsR04L1eg6abeY,https://www.google.com/maps/place/?q=place_id:ChIJTfgt-Y6zwzsR04L1eg6abeY,part_131,2026-09-22 06:35:47
Sonawle Wasti,Commercial Complex,Shopping mall,Shopping mall,415537,Maharashtra circle,Pune Region,Satara Division,"Adarki Khurd B.O, Bibi B.O, Ghadgewadi B.O",N/A,N/A,,,"W8XP+CGX, Sonawle Wasti , Khadaki, Phaltan, Maharashtra 415523",415537,17.9486115,74.33636489999999,ChIJbcv5iqaxwzsRqezUjp9mJtw,https://www.google.com/maps/place/?q=place_id:ChIJbcv5iqaxwzsRqezUjp9mJtw,part_131,2026-09-22 06:35:47
Mangalmurti Enterprises Sels&Services,Commercial Complex,Shopping mall,Shopping mall,415537,Maharashtra circle,Pune Region,Satara Division,"Adarki Khurd B.O, Bibi B.O, Ghadgewadi B.O",N/A,N/A,,,"X85M+43H, Khadaki, Maharashtra 415528",415537,17.9578225,74.3327481,ChIJVb8EXOixwzsRn90O3rvEHUM,https://www.google.com/maps/place/?q=place_id:ChIJVb8EXOixwzsRn90O3rvEHUM,part_131,2026-09-22 06:35:47
Dattatray Todkar’s Mango Farm,Commercial Complex,Shopping mall,Shopping mall,415537,Maharashtra circle,Pune Region,Satara Division,"Adarki Khurd B.O, Bibi B.O, Ghadgewadi B.O",N/A,N/A,,,"X8M8+5JQ, Nandal, Maharashtra 415528",415537,17.9829599,74.3166231,ChIJIVobFgCvwzsRjbhxa_vJ4mc,https://www.google.com/maps/place/?q=place_id:ChIJIVobFgCvwzsRjbhxa_vJ4mc,part_131,2026-09-22 06:35:47
Phoenix Millennium Towers,Commercial Complex,Association / Organization,"Association / Organization, Commercial real estate agency, Office space rental agency",415537,Maharashtra circle,Pune Region,Satara Division,"Adarki Khurd B.O, Bibi B.O, Ghadgewadi B.O",+91 77200 10611,N/A,4.8,5.0,"S No. 132, JQ24+3W6, 23, Pune- Bangalore highway, above Phoenix Mall of Millennium, Shankar Kalat Nagar, Wakad, Pune, Pimpri-Chinchwad, Maharashtra 411057","Shankar Kalat Nagar, Wakad",18.598876,73.75721639999999,ChIJzT1lmt25wjsR2aZ8UUHdm1k,https://www.google.com/maps/place/?q=place_id:ChIJzT1lmt25wjsR2aZ8UUHdm1k,part_131,2026-09-22 06:35:47
DWARKANAND TRADERS PRO SUHAS SHINDE,Commercial Complex,Hardware store,Hardware store,415537,Maharashtra circle,Pune Region,Satara Division,"Adarki Khurd B.O, Bibi B.O, Ghadgewadi B.O",+91 83297 23828,N/A,5.0,,"Shop No 1 DWARKANAND TRADERS NEAR BY SAWLI BAZAAR DHAVAL PATI PHALTAN PUSEGOAN ROAD DHAVAL PATI, Maharashtra 415523",415537,17.904649,74.35543419999999,ChIJ9520J0-xwzsRDJu8E6gJfsc,https://www.google.com/maps/place/?q=place_id:ChIJ9520J0-xwzsRDJu8E6gJfsc,part_131,2026-09-22 06:35:48
Morya fabrication Mol,Commercial Complex,Hardware store,Hardware store,415537,Maharashtra circle,Pune Region,Satara Division,"Adarki Khurd B.O, Bibi B.O, Ghadgewadi B.O",+91 98908 23196,N/A,,,"SHOP 1 PHALTAN PUSEGON ROD MOL BUS STOP, opposite SIDE, Maharashtra 415504",Shendgewadi,17.8440622,74.2859828,ChIJxZn5YMy1wzsRXIyWhrcHOxE,https://www.google.com/maps/place/?q=place_id:ChIJxZn5YMy1wzsRXIyWhrcHOxE,part_131,2026-09-22 06:35:48
