business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Prime Homes & Developers,Premium Luxury Real Estate,Real estate agency,Real estate agency,415601,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pophali S.O,N/A,N/A,,,"A Block, Laxmi Vihar, Nawada, Delhi, 110059","A Block, Laxmi Vihar, Nawada",28.6320046,77.0271691,ChIJPTGQZmkFDTkR9XfDBF0G0bQ,https://www.google.com/maps/place/?q=place_id:ChIJPTGQZmkFDTkR9XfDBF0G0bQ,part_131,2026-09-22 06:37:58
Homekart Realty,Premium Luxury Real Estate,Real estate agent,Real estate agent,415601,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pophali S.O,+91 95351 55533,https://homekartrealty.com/,4.9,536.0,"417, 2nd Main, 5th Cross Rd, RBI Layout, JP Nagar 7th Phase, Bengaluru, Karnataka 560078","Nagarabavi, RBI Layout, JP Nagar 7th Phase, J. P. Nagar",12.890193,77.5811846,ChIJBcabFSkVrjsR7rX-xlpfl1M,https://www.google.com/maps/place/?q=place_id:ChIJBcabFSkVrjsR7rX-xlpfl1M,part_131,2026-09-22 06:37:58
Dhamu And Company,Premium Luxury Real Estate,Real estate consultant,"Real estate consultant, Commercial real estate agency, Real Estate Builders & Construction Company, Office space rental agency, Property management company, Real estate developer, Real estate rental agency",415601,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pophali S.O,+91 94140 62575,https://www.dhamuandcompany.com/,3.7,28.0,"2, D-Villa, Adjacent HDFC Bank,, Near Khasa Kothi Circle, Station Road,, Jaipur, Rajasthan 302001","Kanti Nagar, Bani Park",26.9211933,75.79509759999999,ChIJg__oK_izbTkRrplNEgQ_wfA,https://www.google.com/maps/place/?q=place_id:ChIJg__oK_izbTkRrplNEgQ_wfA,part_131,2026-09-22 06:37:58
Prime Properties,Premium Luxury Real Estate,Real estate consultant,Real estate consultant,415601,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pophali S.O,+91 98114 30784,N/A,,,"Shop no. 1,Plot no. 186 D-14,Sec-7,Rohini,Delhi, New Delhi, Delhi 110085","Pocket D-12, Pocket 14, Sector 7D, Rohini",28.7114676,77.1192812,ChIJda6W1ZUBDTkROOnImK1XSmc,https://www.google.com/maps/place/?q=place_id:ChIJda6W1ZUBDTkROOnImK1XSmc,part_131,2026-09-22 06:37:58
Signia Pearl,Premium Luxury Real Estate,Condominium complex,"Condominium complex, Building society",415601,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pophali S.O,+91 22 6198 9898,https://www.sunteckindia.com/signia-pearl,4.5,18.0,"Signia Pearl, opp. Trident Hotel, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098","G Block BKC, Bandra Kurla Complex, Bandra East",19.066188,72.868516,ChIJ50TkWunI5zsRwb5a_mbAAFo,https://www.google.com/maps/place/?q=place_id:ChIJ50TkWunI5zsRwb5a_mbAAFo,part_131,2026-09-22 06:37:58
Arvind Uplands,Premium Luxury Real Estate,Villa,Villa,415601,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pophali S.O,+91 79 6826 4049,https://arvindsmartspaces.com/projects/uplands-one/,4.5,541.0,"Thol Rd, opp. Karmabhoomi, near Rancharda, Nasmed, Ahmedabad, Gujarat 382115",415601,23.107578699999998,72.4007535,ChIJiTTVxUGeXjkRM3ivpSRpPzc,https://www.google.com/maps/place/?q=place_id:ChIJiTTVxUGeXjkRM3ivpSRpPzc,part_131,2026-09-22 06:37:58
Raffles Park Villas,Premium Luxury Real Estate,Villa,Villa,415601,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pophali S.O,+91 80 4663 0001,N/A,4.2,181.0,"XQRV+RJ3, Soukya Rd, Whitefield, Bengaluru, Samethanahalli, Karnataka 560117",Whitefield,12.9920225,77.7940325,ChIJgwbYTYgOrjsRdsKU9P9pjTA,https://www.google.com/maps/place/?q=place_id:ChIJgwbYTYgOrjsRdsKU9P9pjTA,part_131,2026-09-22 06:37:58
Bhuppi Property Dehradun,Premium Luxury Real Estate,Real estate consultant,Real estate consultant,415601,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pophali S.O,+91 84496 43202,http://bhuppiproperties.netlify.app/,5.0,,"Bhuppi property, Dhyani Complex Rd, near pnb atm chowk, Bhagirathipuram, Banjarawala, Dehradun, Chakbanjarewala, Uttarakhand 248121","Bhagirathipuram, Banjarawala",30.28492,78.0309293,ChIJ21Dx_qQpCTkRvIz2RCCCgZc,https://www.google.com/maps/place/?q=place_id:ChIJ21Dx_qQpCTkRvIz2RCCCgZc,part_131,2026-09-22 06:37:59
Panchmukhi Infra Rescon Private Limited | Best Real Estate Company in Dehradun | Construction Company in Dehradun,Premium Luxury Real Estate,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Architect, Industrial real estate agency, Interior designer, Modular home builder",415601,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pophali S.O,+91 82737 28995,https://panchmukhiinfra.com/,5.0,,"Office : second floor, ATS Arcade, Sahastradhara Rd, near IT Park, Govind Vihar, Dehradun, Uttarakhand 248013",Govind Vihar,30.352397,78.0811149,ChIJiZn1bgDXCDkRZfdWRSrGApw,https://www.google.com/maps/place/?q=place_id:ChIJiZn1bgDXCDkRZfdWRSrGApw,part_131,2026-09-22 06:37:59
Tandon Properties,Premium Luxury Real Estate,Real estate agency,Real estate agency,415601,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pophali S.O,+91 94120 75428,N/A,4.8,,"1st Floor, Mussoorie Diversion, Pacific Hills, 15, Rajpur Rd, Malsi, Dehradun, Uttarakhand 248009",Malsi,30.3728253,78.0772521,ChIJlQ-EoEPXCDkRZ8FwiQ4_ciI,https://www.google.com/maps/place/?q=place_id:ChIJlQ-EoEPXCDkRZ8FwiQ4_ciI,part_131,2026-09-22 06:37:59
Somani Realtors Pvt Ltd,Premium Luxury Real Estate,Real estate agency,"Real estate agency, Property investment company, Real estate consultant, Real estate surveyor",415601,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pophali S.O,+91 90517 40000,https://somanirealtors.com/,4.7,,"2nd Floor, 40, Ashutosh Mukherjee Rd, near Netaji Bhawan, Bhowanipore, Kolkata, West Bengal 700020",Bhowanipore,22.534227899999998,88.3458677,ChIJ3_FjRD53AjoRPDLoINqVyvA,https://www.google.com/maps/place/?q=place_id:ChIJ3_FjRD53AjoRPDLoINqVyvA,part_131,2026-09-22 06:37:59
