business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Samruddhi Yoga Classes,Yoga Center,Yoga studio,Yoga studio,415602,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Shirgaon (CPN) S.O, Kumbharli B.O, Mundhe B.O",+91 88568 59457,N/A,5.0,,"Plot no.24, near M.S.E.B office, khalichi ali, Ratnagiri, Maharashtra 415612",khalichi ali,16.9966317,73.2864776,ChIJNeVD204N6jsRnu3lV7I-9Yc,https://www.google.com/maps/place/?q=place_id:ChIJNeVD204N6jsRnu3lV7I-9Yc,part_131,2026-09-22 06:38:13
Niramay Yoga Classes (Viru Swami),Yoga Center,Yoga studio,Yoga studio,415602,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Shirgaon (CPN) S.O, Kumbharli B.O, Mundhe B.O",+91 90288 99412,https://www.facebook.com/share/16KU2X2fET/,5.0,,"Maruti Mandir, Swanand Bungalow, Godbole Stop, Patwardhan Wadi, Ratnagiri, Maharashtra 415612",Patwardhan Wadi,16.9923742,73.3138572,ChIJwagszXYN6jsRoDzjHmBwouc,https://www.google.com/maps/place/?q=place_id:ChIJwagszXYN6jsRoDzjHmBwouc,part_131,2026-09-22 06:38:13
Stretch - The Yoga & Fitness Hub,Yoga Center,Fitness center,Fitness center,415602,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Shirgaon (CPN) S.O, Kumbharli B.O, Mundhe B.O",+91 86691 95501,https://instagram.com/stretch_theyogahub?igshid=OGQ5ZDc2ODk2ZA==&utm_source=qr,5.0,,"BLOCK NO. 104/108, 1 st Floor, Swaropanand Complex, Malnaka, beside Pudhari Bhavan, Ratnagiri, Maharashtra 415612",415602,16.990617699999998,73.3086549,ChIJvd2YaGgN6jsRWjRAhCEmWBY,https://www.google.com/maps/place/?q=place_id:ChIJvd2YaGgN6jsRWjRAhCEmWBY,part_131,2026-09-22 06:38:13
"""Yoga fitness""",Yoga Center,Yoga studio,"Yoga studio, Fitness center",415602,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Shirgaon (CPN) S.O, Kumbharli B.O, Mundhe B.O",+91 91451 94323,N/A,4.9,,"opposite Mahalaxmi Mandir, behind all india Radio station, Karwanchiwadi, Khedoshi, Maharashtra 415612",415602,17.0188544,73.37987249999999,ChIJYTMMdAAL6jsR7P_OfC8cTVc,https://www.google.com/maps/place/?q=place_id:ChIJYTMMdAAL6jsR7P_OfC8cTVc,part_131,2026-09-22 06:38:13
Fitness mantra ( yoga classes),Yoga Center,Yoga studio,Yoga studio,415602,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Shirgaon (CPN) S.O, Kumbharli B.O, Mundhe B.O",+91 91750 49349,N/A,4.3,,"Bendarkar Ali, Jama Masjid Moholla, Chiplun, Maharashtra 415605","Bendarkar Ali, Jama Masjid Moholla",17.5324091,73.5169931,ChIJNXhoRWAHwjsRC3EzQNss81I,https://www.google.com/maps/place/?q=place_id:ChIJNXhoRWAHwjsRC3EzQNss81I,part_131,2026-09-22 06:38:13
Yoga With Rashmi - Yogaanand,Yoga Center,Yoga studio,Yoga studio,415602,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Shirgaon (CPN) S.O, Kumbharli B.O, Mundhe B.O",+91 80079 45965,http://www.yogaanand.in/,5.0,105.0,"PLOT NO 889, JIVABA NANA PARK, Survey Nagar, Kolhapur, Maharashtra 416012","JIVABA NANA PARK, Survey Nagar",16.6619487,74.19974959999999,ChIJa9jbsFdVwDsRRnAxiIT3o6Q,https://www.google.com/maps/place/?q=place_id:ChIJa9jbsFdVwDsRRnAxiIT3o6Q,part_131,2026-09-22 06:38:14
Brahma Kumaris Khed,Yoga Center,Meditation center,Meditation center,415602,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Shirgaon (CPN) S.O, Kumbharli B.O, Mundhe B.O",+91 2356 260 975,http://brahmakumaris.com/,5.0,5.0,"LIGHT HOUSE, Mahad Naka, Khed, Maharashtra 415621",Mahad Naka,17.719923599999998,73.4040625,ChIJY0hMDJnf6TsRGNA7zIOBO2Y,https://www.google.com/maps/place/?q=place_id:ChIJY0hMDJnf6TsRGNA7zIOBO2Y,part_131,2026-09-22 06:38:14
Niramay Yoga Classes,Yoga Center,Fitness center,"Fitness center, Gym",415602,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Shirgaon (CPN) S.O, Kumbharli B.O, Mundhe B.O",N/A,N/A,5.0,7.0,"Abhyudhya Nagar, Nachane, Ratnagiri, Maharashtra 415639",Abhyudhya Nagar,16.9915158,73.3234758,ChIJoRD2_PgN6jsRko_8-RaK1T0,https://www.google.com/maps/place/?q=place_id:ChIJoRD2_PgN6jsRko_8-RaK1T0,part_131,2026-09-22 06:38:14
Anandkunj Naturopathy Yoga Asharam,Yoga Center,Yoga Retreat Center,"Yoga Retreat Center, Holistic medicine practitioner, Wellness center, Naturopathic practitioner",415602,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Shirgaon (CPN) S.O, Kumbharli B.O, Mundhe B.O",+91 94230 41265,https://anandkunj-naturopathy.grexa.site/,4.9,529.0,"Anandkunj Rd, Karanjfen, Maharashtra 416215",415602,16.783936399999998,73.9025463,ChIJF7U1FOO2wTsR4zd_tazZzLQ,https://www.google.com/maps/place/?q=place_id:ChIJF7U1FOO2wTsR4zd_tazZzLQ,part_131,2026-09-22 06:38:14
Shri Gajanan Yoga International Center,Yoga Center,Yoga studio,"Yoga studio, Fitness center, International school, Meditation center, Meditation Class, Personal trainer, Weight loss service, Yoga instructor, Yoga Retreat Center",415602,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Shirgaon (CPN) S.O, Kumbharli B.O, Mundhe B.O",+91 99225 25049,http://www.gajananyoga.com/,5.0,472.0,"top 4th floor, Tulsi chamber, Jalna Rd, in front of S.F.S school, above Jain pipe, Apna Bazar, Mahesh Nagar, Mondha, Chhatrapati Sambhajinagar, Maharashtra 431001","Apna Bazar, Mahesh Nagar, Mondha",19.8766762,75.3469971,ChIJOfT0dZyi2zsRYibNUQ2t3UE,https://www.google.com/maps/place/?q=place_id:ChIJOfT0dZyi2zsRYibNUQ2t3UE,part_131,2026-09-22 06:38:14
