business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MOHBE ENTERPRISES / XEROX MACHINES DEALER,Xerox and Photostat Center,Printing equipment supplier,"Printing equipment supplier, Digital printer, Printer repair service",415603,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Alore S.O, Khadpoli B.O, Kolke Wadi B.O",+91 98817 29850,N/A,4.6,72,"SHOP NO. 27, FRONT KHURANA TRAVELS, RAJAT SANKUL APARTMENT, 39/40, St Stand Rd, near RAIUDYOG LIMITED, Ganeshpeth Colony, Nagpur, Maharashtra 440018",Ganeshpeth Colony,21.1375755,79.09523539999999,ChIJP5eDn9HB1DsR5cS14EGbiis,https://www.google.com/maps/place/?q=place_id:ChIJP5eDn9HB1DsR5cS14EGbiis,part_131,2026-09-22 06:42:31
Shree Sagar Stationery And Xerox,Xerox and Photostat Center,Print shop,"Print shop, Bookbinder, Corporate gift supplier, Digital printer, Digital printing service, Office supply wholesaler, Perfume store, Stationery wholesaler, Printer ink refill store",415603,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Alore S.O, Khadpoli B.O, Kolke Wadi B.O",+91 98219 96808,https://shree-sagar-stationery.grexa.site/,3.8,319,"15, monalisa chs, Hariniwas Cir, opp. axis bank, Panch Pakhdi, Thane West, Thane, Maharashtra 400602","Panch Pakhdi, Thane West",19.1913675,72.9678057,ChIJBYK80hi55zsR-eu0JyjjoII,https://www.google.com/maps/place/?q=place_id:ChIJBYK80hi55zsR-eu0JyjjoII,part_131,2026-09-22 06:42:31
REDDEES SALES,Xerox and Photostat Center,Digital printer,"Digital printer, Copier repair service, Office equipment supplier, Printing equipment supplier",415603,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Alore S.O, Khadpoli B.O, Kolke Wadi B.O",+91 97309 44417,N/A,4.4,13,"B No. 178, Upper Ground Floor, Mangalwari, Annex, Nagpur, Maharashtra 440001","Mangalwari, Annex",21.1656242,79.0821292,ChIJ0bj4EcDA1DsRqhHDDOeIrAE,https://www.google.com/maps/place/?q=place_id:ChIJ0bj4EcDA1DsRqhHDDOeIrAE,part_131,2026-09-22 06:42:31
ULHAS ELECTRONICS,Xerox and Photostat Center,Electronics store,Electronics store,415603,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Alore S.O, Khadpoli B.O, Kolke Wadi B.O",+91 92264 38571,N/A,4.3,115,"shivaji nagar Ratnagiri- Kolhapur Road, Nachane, Maharashtra 415639",Pushpendra Nagar,16.9916128,73.3230288,ChIJu4FSGyAN6jsRDejTb5OwvMs,https://www.google.com/maps/place/?q=place_id:ChIJu4FSGyAN6jsRDejTb5OwvMs,part_131,2026-09-22 06:42:31
Rajal Enterprises,Xerox and Photostat Center,Print shop,"Print shop, Commercial printer, Copy shop, Digital printing service, Stationery store",415603,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Alore S.O, Khadpoli B.O, Kolke Wadi B.O",+91 77220 02201,N/A,4.7,20,"Shop No. 775/3, Sunrise Apartment, Dr Ketkar Rd, opp. Kamala Nehru Park Road, Erandwane, Pune, Maharashtra 411004",Erandwane,18.516993199999998,73.83399059999999,ChIJO7zzU1K_wjsR9P6kiPSnMjo,https://www.google.com/maps/place/?q=place_id:ChIJO7zzU1K_wjsR9P6kiPSnMjo,part_131,2026-09-22 06:42:31
Canon Authorised Dealer- Om Systems,Xerox and Photostat Center,Printing equipment supplier,Printing equipment supplier,415603,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Alore S.O, Khadpoli B.O, Kolke Wadi B.O",+91 96190 31324,https://bisstores.in.canon/canon-authorised-dealer-om-systems-printing-equipment-and-supplies-shivaji-nagar-pune-167079/Home?utm_source=locator&utm_medium=googleplaces,4.8,160,"Office No 2, Hari Om Empire, Dr Homibhabha Hospital Chowk, Sno 977/1/1, Model Colony, Shivajinagar, Pune, Maharashtra 411016","Model Colony, Shivajinagar",18.5293833,73.8319958,ChIJiZYrFXm_wjsRitrPy_QPfcE,https://www.google.com/maps/place/?q=place_id:ChIJiZYrFXm_wjsRitrPy_QPfcE,part_131,2026-09-22 06:42:31
Canon Authorised Dealer- Datta-Tray Systems,Xerox and Photostat Center,Printing equipment supplier,Printing equipment supplier,415603,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Alore S.O, Khadpoli B.O, Kolke Wadi B.O",+91 88795 71058,https://bisstores.in.canon/canon-authorised-dealer-datta-tray-systems-printing-equipment-and-supplies-dhantoli-nagpur-121863/Home,4.8,67,"1st Floor, Mahalaxmi Apartment, PN 59G, near Baheti Hospital, Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012","Lokmat Square, Dhantoli",21.134025299999998,79.0796259,ChIJFzSm3CTB1DsRBOIhIuj-YEw,https://www.google.com/maps/place/?q=place_id:ChIJFzSm3CTB1DsRBOIhIuj-YEw,part_131,2026-09-22 06:42:31
Vidhi Copiers and Stationery,Xerox and Photostat Center,Stationery store,Stationery store,415603,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Alore S.O, Khadpoli B.O, Kolke Wadi B.O",+91 98504 09855,N/A,4.2,46,"Sus - Pashan Rd, Pashan, Pune, Maharashtra 411021",Pashan,18.542972499999998,73.7877474,ChIJ01Lza-G-wjsRbPZRFd7AwMo,https://www.google.com/maps/place/?q=place_id:ChIJ01Lza-G-wjsRbPZRFd7AwMo,part_131,2026-09-22 06:42:31
Kamdhenu Xerox & Stationery,Xerox and Photostat Center,Stationery store,"Stationery store, Community school",415603,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Alore S.O, Khadpoli B.O, Kolke Wadi B.O",+91 93271 96927,N/A,4.1,10,"1225/D, Shop No. 6, Karnik Heritage, Near Hotel Rupali, Deccan Gymkhana, Ferguson College Rd, Shivajinagar, Pune, Maharashtra 411004","Ganeshwadi, Shivajinagar",18.519762,73.84179879999999,ChIJ_T5RgIe_wjsRnBFgtgIK3Og,https://www.google.com/maps/place/?q=place_id:ChIJ_T5RgIe_wjsRnBFgtgIK3Og,part_131,2026-09-22 06:42:31
Sharma Enterprises Authorised Kyocera Distributor,Xerox and Photostat Center,Printing equipment supplier,"Printing equipment supplier, Commercial printer, Office equipment rental service, Office supply wholesaler, Printer ink refill store, Printer repair service, Toner cartridge supplier",415603,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Alore S.O, Khadpoli B.O, Kolke Wadi B.O",+91 80078 13456,http://www.indiamart.com/sharmaentp/,3.7,9,"Sabu Bhavan, Handloom Market, near Rajree Sari, Gandhibagh, Nagpur, Maharashtra 440002",Gandhibagh,21.1531007,79.1052279,ChIJtcw-2NLB1DsRlca4ING4T30,https://www.google.com/maps/place/?q=place_id:ChIJtcw-2NLB1DsRlca4ING4T30,part_131,2026-09-22 06:42:31
