business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Queens Boutique,Boutiques,Clothing store,Clothing store,415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",+91 89288 97696,N/A,4.3,28.0,"Shop no.17, Kohinoor Complex, Nachane Rd, Maruti Mandir, Nachane, Maharashtra 415639",Maruti Mandir,16.9895659,73.3145679,ChIJvfjkDS4N6jsR3u8eQ-Gz044,https://www.google.com/maps/place/?q=place_id:ChIJvfjkDS4N6jsR3u8eQ-Gz044,part_131,2026-09-22 06:42:46
Aradhya Garments,Boutiques,Clothing store,"Clothing store, Clothes market, Dress store",415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",+91 82372 07824,N/A,5.0,1.0,"Pimpli, Khadpoli Road Kherdi, Chiplun, Maharashtra 415604",415604,17.510642999999998,73.5750085,ChIJjRS-6F8FwjsR6IIMHYdP2YQ,https://www.google.com/maps/place/?q=place_id:ChIJjRS-6F8FwjsR6IIMHYdP2YQ,part_131,2026-09-22 06:42:46
Shree Swami Collection,Boutiques,Clothing store,Clothing store,415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",N/A,N/A,4.0,1.0,"Sanskruti Complex, Pimpli Khurd, Chiplun, Maharashtra 415604",415604,17.5110443,73.5746187,ChIJaZPPzEcFwjsR05YyD2zEZBM,https://www.google.com/maps/place/?q=place_id:ChIJaZPPzEcFwjsR05YyD2zEZBM,part_131,2026-09-22 06:42:46
Shreya's boutique,Boutiques,Women's clothing store,Women's clothing store,415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",N/A,N/A,,,"GH95+FV6, Karad - Chiplun Rd, Bhagyoday Nagar, Sati, Chiplun, Chinchghari, Maharashtra 415604","Bhagyoday Nagar, Sati",17.518662199999998,73.5598095,ChIJ55gz8BoFwjsRCo4Q15Df6I8,https://www.google.com/maps/place/?q=place_id:ChIJ55gz8BoFwjsRCo4Q15Df6I8,part_131,2026-09-22 06:42:46
"Shop No 1, Sati Naka",Boutiques,Boutiques,Boutiques,415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",N/A,N/A,,,"Sati Naka, Sati, Chiplun, Chinchghari, Maharashtra 415604",Sati,17.517199599999998,73.5631217,ChIJTWoMkuAFwjsRvkD0ZleDrXA,https://www.google.com/maps/place/?q=place_id:ChIJTWoMkuAFwjsRvkD0ZleDrXA,part_131,2026-09-22 06:42:46
Naznin Fashion Trend,Boutiques,Clothing store,"Clothing store, Service establishment",415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",N/A,https://nazninfashion.dm2buy.com/,,,"Naznin Fashion Trend, 415604, India",415604,22.8276894,78.238933,ChIJ85gGPUEHwjsRTYmr9T7VnC8,https://www.google.com/maps/place/?q=place_id:ChIJ85gGPUEHwjsRTYmr9T7VnC8,part_131,2026-09-22 06:42:46
CS Enterprises,Boutiques,Auto market,Auto market,415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",+91 74985 25118,N/A,5.0,2.0,"behind Washishti Dairy, Chiplun, Pimpli Khurd, Maharashtra 415604",415604,17.507621999999998,73.5774359,ChIJFycuYPEFwjsRBDPg0nXf3G4,https://www.google.com/maps/place/?q=place_id:ChIJFycuYPEFwjsRBDPg0nXf3G4,part_131,2026-09-22 06:42:46
Veera rental boutique,Boutiques,Clothing supplier,Clothing supplier,415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",N/A,N/A,5.0,1.0,"Khatate sankul, opposite laxmi marble, near tej grand hotel, Kherdi Dattwadi, Kherdi, Chiplun, Maharashtra 415604",Kherdi Dattwadi,17.5214173,73.540469,ChIJPwmhCXgHwjsRh9c6lWaSkK8,https://www.google.com/maps/place/?q=place_id:ChIJPwmhCXgHwjsRh9c6lWaSkK8,part_131,2026-09-22 06:42:48
Vastram Boutique,Boutiques,Boutique,Boutique,415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",+91 89755 78195,N/A,,,"near sanskruti hall, Sunshine Colony, Kherdi Vikaswadi, Kherdi, Chiplun, Maharashtra 415604","Sunshine Colony, Kherdi Vikaswadi",17.5195243,73.5502407,ChIJjSXct3sHwjsR3Pi9Uw4t6H0,https://www.google.com/maps/place/?q=place_id:ChIJjSXct3sHwjsR3Pi9Uw4t6H0,part_131,2026-09-22 06:42:48
Santosh Cloth Shop,Boutiques,Clothing store,Clothing store,415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",+91 77964 79116,N/A,1.0,1.0,"Shinde Palace, 102, Kherdi Vikaswadi, Maharashtra 415604",Kherdi Vikaswadi,17.514602699999998,73.5477755,ChIJjSBZdXAHwjsRRXDLGFt7eEk,https://www.google.com/maps/place/?q=place_id:ChIJjSBZdXAHwjsRRXDLGFt7eEk,part_131,2026-09-22 06:42:48
Canon Authorised Dealer- Quality Office Equipment,Boutiques,Printing equipment supplier,Printing equipment supplier,415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",+91 82915 00545,https://bisstores.in.canon/canon-authorised-dealer-quality-office-equipment-printing-equipment-and-supplies-chiplun-chiplun-119574/Home?utm_source=locator&utm_medium=googleplaces,4.8,23.0,"Golden Palace, Block 4, Mumbai - Goa Hwy, opposite DBj College, BC Colony, Chiplun, Maharashtra 415605",BC Colony,17.5246465,73.5259894,ChIJs_K3hK8HwjsRqfx2bXk1YFc,https://www.google.com/maps/place/?q=place_id:ChIJs_K3hK8HwjsRqfx2bXk1YFc,part_131,2026-09-22 06:42:48
Chiplun Bag House,Boutiques,Bag shop,Bag shop,415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",+91 98605 65088,N/A,3.8,19.0,"Bus Stand, Swami Complex, Bazer Peth, Near Old, Chiplun, Maharashtra 415605",415604,17.532187099999998,73.5129218,ChIJ1RsQ9eQHwjsRs74846ddeu8,https://www.google.com/maps/place/?q=place_id:ChIJ1RsQ9eQHwjsRs74846ddeu8,part_131,2026-09-22 06:42:48
Sony Shilai Machine,Boutiques,Sewing machine store,Sewing machine store,415604,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kherdi S.O, Adre B.O, Akale B.O",+91 98238 55434,N/A,4.8,4.0,"Kadwekar chembers, opposite nagarpalika, bazerpeth, Chiplun, Maharashtra 415605",bazerpeth,17.5321155,73.5134637,ChIJXeNYRCMHwjsRDl229Ci3nZc,https://www.google.com/maps/place/?q=place_id:ChIJXeNYRCMHwjsRDl229Ci3nZc,part_131,2026-09-22 06:42:48
