business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Sai Fruits,Fruit and Vegetable Wholesaler,Fruit and vegetable store,"Fruit and vegetable store, Fruit wholesaler",415614,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Jaigad S.O,+91 97628 05185,N/A,3.2,13.0,"Shop no. G-1A, Nashik Business Park, Mumbai Naka, Gaikwad Nagar, Nashik, Maharashtra 422001","Mumbai Naka, Gaikwad Nagar",19.9875935,73.7834663,ChIJd40Pphrr3TsRHaqtuEq-e04,https://www.google.com/maps/place/?q=place_id:ChIJd40Pphrr3TsRHaqtuEq-e04,part_131,2026-09-22 06:48:10
GAURAV FRUIT MARKET,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,415614,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Jaigad S.O,+91 90228 70693,N/A,5.0,1.0,"shop no 1, near Bajarang Hotel, Gondedumala, Maharashtra 422010",415614,19.8294845,73.67541539999999,ChIJqdsXWgWR3TsRs14IZliknkY,https://www.google.com/maps/place/?q=place_id:ChIJqdsXWgWR3TsRs14IZliknkY,part_131,2026-09-22 06:48:10
BAIKAR FRUITS,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,415614,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Jaigad S.O,+91 90282 35457,N/A,4.2,12.0,"SHOP NO 9, Lonere, Maharashtra 402103",415614,18.159959399999998,73.3201476,ChIJ5-026vEt6DsRBE89fnr3y94,https://www.google.com/maps/place/?q=place_id:ChIJ5-026vEt6DsRBE89fnr3y94,part_131,2026-09-22 06:48:10
Sai Shraddha Bhaji Mart,Fruit and Vegetable Wholesaler,Fruit and vegetable store,"Fruit and vegetable store, General store",415614,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Jaigad S.O,+91 92092 09840,N/A,5.0,1.0,"Shop No.1 Khardi West Khardi, Bazaar, Peth, Maharashtra 421601",415614,19.587270399999998,73.38552969999999,ChIJgc6noo9_5zsRfkhCjr7ToNk,https://www.google.com/maps/place/?q=place_id:ChIJgc6noo9_5zsRfkhCjr7ToNk,part_131,2026-09-22 06:48:10
Jagityal Raithu Bazar,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,415614,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Jaigad S.O,N/A,http://www.jagtialmart.org/,4.0,243.0,"QWXC+WW6 Vidhya, Vidhya Nagar, Jagtial, Telangana 505327",Vidhya Nagar,18.799775099999998,78.92225909999999,ChIJ_52pz4UTzTsR536C3W7rl5Q,https://www.google.com/maps/place/?q=place_id:ChIJ_52pz4UTzTsR536C3W7rl5Q,part_131,2026-09-22 06:48:10
Sri Saravana Tomato & Vegetables Market,Fruit and Vegetable Wholesaler,Market,Market,415614,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Jaigad S.O,N/A,N/A,4.2,32.0,"G2FC+7VX, Rayakotta Rd, Pillari Agraharam, Tamil Nadu 635116",415614,12.523244199999999,78.0222493,ChIJhX60aCwtrDsR5dxcM_R_mbM,https://www.google.com/maps/place/?q=place_id:ChIJhX60aCwtrDsR5dxcM_R_mbM,part_131,2026-09-22 06:48:10
VIJAY MANGO,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,415614,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Jaigad S.O,+91 72087 50769,N/A,4.2,5.0,"Vijay Bhagat Kankeshvar Fata, Road, Karlekhind, Maharashtra 402208",415614,18.714635599999998,72.8901934,ChIJAS_I3M156DsRLBBZnOM4onE,https://www.google.com/maps/place/?q=place_id:ChIJAS_I3M156DsRLBBZnOM4onE,part_131,2026-09-22 06:48:10
JAVED VEGETABLES,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,415614,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Jaigad S.O,+91 70386 73134,N/A,5.0,2.0,"1, Bhaji Market, Wali, Roha, Maharashtra 402109",Wali,18.4393346,73.1203125,ChIJHz59ASAV6DsRQ1QUn1pW3i0,https://www.google.com/maps/place/?q=place_id:ChIJHz59ASAV6DsRQ1QUn1pW3i0,part_131,2026-09-22 06:48:10
Akashwani Vegetable Market,Fruit and Vegetable Wholesaler,Fruit and vegetable wholesaler,"Fruit and vegetable wholesaler, Fruit and vegetable store, Market, Greengrocer",415614,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Jaigad S.O,N/A,N/A,4.1,,"2Q76+H7W, Gangapur Rd, D. K. Nagar, Nashik, Maharashtra 422013",D. K. Nagar,20.0139908,73.7607335,ChIJ55I9wZHr3TsR1IVmMMmbHxo,https://www.google.com/maps/place/?q=place_id:ChIJ55I9wZHr3TsR1IVmMMmbHxo,part_131,2026-09-22 06:48:11
Mauli Bhaji Market,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,415614,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Jaigad S.O,+91 95957 11519,N/A,4.1,,"Shop No 1, Varsha Complex, Nanded Fata, Pune, Maharashtra 411068","Nanded Fata, Pandurang Industrial Area, Nanded",18.4544547,73.7939809,ChIJQfsIrwqVwjsRmo7_Ma2zoKw,https://www.google.com/maps/place/?q=place_id:ChIJQfsIrwqVwjsRmo7_Ma2zoKw,part_131,2026-09-22 06:48:11
