business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Creative Balloon Decoration,Balloon Decorator,Event management company,Event management company,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 99133 54396,N/A,5.0,268.0,"Gandevi Rd, opposite Majur Mahajan Society, Pratiksha Society, Navsari, Chhapra Part, Gujarat 396427",Pratiksha Society,20.9330593,72.9424153,ChIJ12aE7YP34DsRen9ITXUa2_g,https://www.google.com/maps/place/?q=place_id:ChIJ12aE7YP34DsRen9ITXUa2_g,part_131,2026-09-22 06:49:04
Radhe Radhe Balloons decorations,Balloon Decorator,Event planner,Event planner,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 75059 47828,https://youtube.com/@balloonsdecorations1449?si=czC7JljB82-Qe0iB,5.0,189.0,"Dhobiyo wali gali, near shri ram public inter college, near School, Chevara, Amroha, Uttar Pradesh 244221",Chevara,28.905782799999997,78.4765949,ChIJN9YjKrwHCzkRPOorGJ-woIM,https://www.google.com/maps/place/?q=place_id:ChIJN9YjKrwHCzkRPOorGJ-woIM,part_131,2026-09-22 06:49:04
Sushil decor wala Surat,Balloon Decorator,Balloon artist,Balloon artist,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 98980 75270,N/A,4.9,163.0,"288 Punit nagar, Bamroli Rd, Police Colony, Pandesara, Surat, Gujarat 394210","Police Colony, Gopal Nagar Society, Pandesara, Udhana",21.1527748,72.8233632,ChIJe4oAVv9P4DsR0bU6255IDVI,https://www.google.com/maps/place/?q=place_id:ChIJe4oAVv9P4DsR0bU6255IDVI,part_131,2026-09-22 06:49:04
Balloons Unlimited Dhule,Balloon Decorator,Balloon store,"Balloon store, Event planner, Gift shop, Party store",415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 75881 15503,https://www.balloonsunlimited.co.in/franchise-stores.html,4.6,18.0,"Kanhaiya Kunj Khol Gali, 1697, Lane Number 4, next to Mehta Paints, near Balaji Mandir, Dhule, Maharashtra 424001",415615,20.9022969,74.77747509999999,ChIJyQ_YYADF3jsRXDHulfy8b3I,https://www.google.com/maps/place/?q=place_id:ChIJyQ_YYADF3jsRXDHulfy8b3I,part_131,2026-09-22 06:49:04
N J Party Shop (Event Organisation),Balloon Decorator,Event planner,Event planner,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 90163 91398,N/A,4.4,17.0,"Shop No-1, Rudraksh Appartment, opposite Heena Jwellers, Madanwad, Valsad, Gujarat 396001",Madanwad,20.615174,72.9287969,ChIJh7rqsSbo4DsR2BRvj_xHgp0,https://www.google.com/maps/place/?q=place_id:ChIJh7rqsSbo4DsR2BRvj_xHgp0,part_131,2026-09-22 06:49:04
Balloon Decoration,Balloon Decorator,Balloon artist,Balloon artist,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 99118 19073,https://www.faridabadonline.in/business/balloon-decoration-47587,5.0,,"2J/59, near Lakhani Community Centre, Old Janta Colony, Block E, New Industrial Twp 2, New Industrial Township, Faridabad, Haryana 121001","Old Janta Colony, Block E, New Industrial Township 2, New Industrial Township",28.3792495,77.2890862,ChIJr9wtyzPdDDkRg9NoN-awTuM,https://www.google.com/maps/place/?q=place_id:ChIJr9wtyzPdDDkRg9NoN-awTuM,part_131,2026-09-22 06:49:05
Mishika Balloon Decoration,Balloon Decorator,Balloon artist,"Balloon artist, Event management company",415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 98272 85575,N/A,4.9,,"168-B, near Bijalpur, Satellite Township, Bijalpur, Indore, Madhya Pradesh 452012","Satellite Township, Bijalpur",22.656576599999998,75.8347728,ChIJB0Yydsv9YjkR3wexMeGkz3k,https://www.google.com/maps/place/?q=place_id:ChIJB0Yydsv9YjkR3wexMeGkz3k,part_131,2026-09-22 06:49:05
Raj Lakshmi Decorations,Balloon Decorator,Balloon store,Balloon store,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 86106 09458,N/A,4.9,,"No. 338, 7th A Cross, Venkatapura Main Rd, beside Apollo Pharmacy, 1st Block Koramangala, Bengaluru, Karnataka 560034","Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector",12.9212574,77.63333999999999,ChIJPw14_iQVrjsR8JXKBImsmQk,https://www.google.com/maps/place/?q=place_id:ChIJPw14_iQVrjsR8JXKBImsmQk,part_131,2026-09-22 06:49:05
Anmol Ballons Decoration,Balloon Decorator,Balloon artist,Balloon artist,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 76975 35554,N/A,4.8,,"101 gram, Nipania, Indore, Madhya Pradesh 452010","Nipaniya Gram, Nipania",22.7585265,75.9296031,ChIJxXNnZ0odYzkRT6CZ1xjavag,https://www.google.com/maps/place/?q=place_id:ChIJxXNnZ0odYzkRT6CZ1xjavag,part_131,2026-09-22 06:49:05
Balloon decorators,Balloon Decorator,Balloon artist,Balloon artist,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 90634 78342,N/A,5.0,,"3-4/89/1 opposite RS residency Beside durga temple Sumitra Nagar, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivekananda Nagar, Kukatpally",17.4905866,78.4089207,ChIJ_ShrApiRyzsRQ8WEQpT4q7Q,https://www.google.com/maps/place/?q=place_id:ChIJ_ShrApiRyzsRQ8WEQpT4q7Q,part_131,2026-09-22 06:49:05
