business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Megha Jewellers: Your Trusted Gold and Diamond Jeweller in Borivali,Goldsmith and Jewellery Repair,Watch store,Watch store,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 98215 47681,N/A,4.9,,"Shop No.2, Indumati Apartment, Shimpoli Rd, opp. Gokhle School, Gautam Nagar, Borivali West, Mumbai, Maharashtra 400092","Gautam Nagar, Borivali West",19.2238763,72.8513282,ChIJB1TZeCqx5zsRvcDNxGZ238M,https://www.google.com/maps/place/?q=place_id:ChIJB1TZeCqx5zsRvcDNxGZ238M,part_131,2026-09-22 06:48:50
Thyagu Silver Works,Goldsmith and Jewellery Repair,Silversmith,Silversmith,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 82480 19069,N/A,4.9,,"37, Thambiah Rd, Ramakrishnapuram, West Mambalam, Chennai, Tamil Nadu 600033","Ramakrishnapuram, West Mambalam",13.044766,80.2256293,ChIJVeNH1zFnUjoRP7fRlSbiPKs,https://www.google.com/maps/place/?q=place_id:ChIJVeNH1zFnUjoRP7fRlSbiPKs,part_131,2026-09-22 06:48:50
RS Gold Service Centre,Goldsmith and Jewellery Repair,Jewelry repair service,Jewelry repair service,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 72996 07786,https://rsgoldservices.com/,4.9,,"No. 4/42, Mettu St, Perumbakkam, Tamil Nadu 600100",Perumbakkam,12.905738399999999,80.1981402,ChIJwSnZi7pdUjoRnLBSBsx9GGE,https://www.google.com/maps/place/?q=place_id:ChIJwSnZi7pdUjoRnLBSBsx9GGE,part_131,2026-09-22 06:48:50
Kalyani jewellery,Goldsmith and Jewellery Repair,Jewelry repair service,Jewelry repair service,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 81750 20865,N/A,,,"Kanchanpur road, Prayagraj, Uttar Pradesh 212507",415615,25.684701,81.8598268,ChIJ62Et1wzHmjkRkAysuiUotcc,https://www.google.com/maps/place/?q=place_id:ChIJ62Et1wzHmjkRkAysuiUotcc,part_131,2026-09-22 06:48:50
S. V. Bondre Jewellers,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 93092 59755,N/A,4.4,,"Bondre Jewellers, Bondre complex, S.V, DP Rd, Gandhi Nagar, Chikhli, Maharashtra 443201",Gandhi Nagar,20.3478031,76.2578168,ChIJ2W3ZOQ8Q2jsRe6uMyv1Y4KA,https://www.google.com/maps/place/?q=place_id:ChIJ2W3ZOQ8Q2jsRe6uMyv1Y4KA,part_131,2026-09-22 06:48:51
jk jewellers Ankleshwar,Goldsmith and Jewellery Repair,Jewelry store,"Jewelry store, Shopping mall",415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 97237 22227,N/A,4.3,,"near railway station opposite to Omkar 2 complex ankleshwar, Ankleshwar, Gujarat 393001",Ankleshwar GIDC,21.6219653,73.0023238,ChIJGxzBgPoj4DsR4WakPrO2XHI,https://www.google.com/maps/place/?q=place_id:ChIJGxzBgPoj4DsR4WakPrO2XHI,part_131,2026-09-22 06:48:51
Aabhushan Jewellers,Goldsmith and Jewellery Repair,Jewelry store,"Jewelry store, Costume jewelry shop, Jeweler, Jewelry buyer, Jewelry manufacturer, Jewelry repair service",415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 98208 08052,N/A,4.9,,"Shop Number 8, HubTown Vedant, Sardar Nagar, 4, Mukundrao Ambedkar Rd, near The Palate Restaurant, Nirmal Nagar, Guru Teg Bahadur Nagar, Sion, Mumbai, Maharashtra 400037","Nirmal Nagar, Guru Teg Bahadur Nagar, Sion",19.036260199999997,72.8681708,ChIJKSTBbjLP5zsRUR3LbayQHqw,https://www.google.com/maps/place/?q=place_id:ChIJKSTBbjLP5zsRUR3LbayQHqw,part_131,2026-09-22 06:48:51
P.L. Jewellers,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",N/A,N/A,4.7,,"Shop no.9, Ahmed Manzil, 31/33, Memon Wada Rd, Mandvi, Mumbai, Maharashtra 400003",Mandvi,18.956778099999998,72.83311909999999,ChIJ44dEGJHP5zsRAmT6ENLrIOw,https://www.google.com/maps/place/?q=place_id:ChIJ44dEGJHP5zsRAmT6ENLrIOw,part_131,2026-09-22 06:48:51
Adventure Jewellers,Goldsmith and Jewellery Repair,Jeweler,Jeweler,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 260 264 1630,N/A,4.4,,"Supreme Market, Kilvani Rd, Bavisa Faliya, Silvassa, Dadra and Nagar Haveli and Daman and Diu 396230",Bavisa Faliya,20.273408699999997,73.0069197,ChIJ-1guP2jL4DsRHV5KyZjdOdg,https://www.google.com/maps/place/?q=place_id:ChIJ-1guP2jL4DsRHV5KyZjdOdg,part_131,2026-09-22 06:48:51
Tejaswi Jewellers Jawaharlal Motilal saraf,Goldsmith and Jewellery Repair,Jewelry store,"Jewelry store, Diamond Merchant, Jewelry designer",415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 77670 22000,N/A,4.6,,"Shop no.3,4,5, Bhagyashree apt, College Rd, opp. Hotel Ashwin, Adwait Colony, Canada Corner, Nashik, Maharashtra 422005","Adwait Colony, Canada Corner",20.0039694,73.769964,ChIJUWhyopvr3TsRy3nljZY9-kY,https://www.google.com/maps/place/?q=place_id:ChIJUWhyopvr3TsRy3nljZY9-kY,part_131,2026-09-22 06:48:51
Abhushan Gold & Silver,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 73507 35007,http://abhushanjewellers2.odoo.com/,4.3,,"70, behind Hanuman Mandir, Yerwada Village, Yerawada, Pune, Maharashtra 411006","Yerwada Village, Yerawada",18.5467698,73.8849762,ChIJm5jyzvjBwjsRgo9VQkhRcI8,https://www.google.com/maps/place/?q=place_id:ChIJm5jyzvjBwjsRgo9VQkhRcI8,part_131,2026-09-22 06:48:52
