business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shirpur Cold Storage and Warehouse,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",N/A,https://shirpurcold.in/,5.0,14,"Ajande Kh., Maharashtra 425405",415615,21.3445625,74.9139375,ChIJeXQnq64t3zsRjE4RhG_PeuE,https://www.google.com/maps/place/?q=place_id:ChIJeXQnq64t3zsRjE4RhG_PeuE,part_131,2026-09-22 06:49:14
Penguin Coldstorages Private Limited,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 80 4806 0974,https://www.penguincoldstorages.in/,4.4,11,"Shree Prasad Banglow, Plot 96, Lane Number 9, Mahatma Society, Kothrud, Pune, Maharashtra 411038","Mahatma Society, Kothrud",18.4978574,73.7977925,ChIJYWXFp2XAwjsRlM98dMoiaPw,https://www.google.com/maps/place/?q=place_id:ChIJYWXFp2XAwjsRlM98dMoiaPw,part_131,2026-09-22 06:49:14
GCG Cold Storage PVT LTD,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 2562 239 442,N/A,4.9,9,"Plot no M 28/1 ; M 28/2 , Avdhan, Dhule, Maharashtra 424006",MIDC Avdhan,20.8395162,74.74504379999999,ChIJ4RipzFHG3jsR0dLzCqJbqdM,https://www.google.com/maps/place/?q=place_id:ChIJ4RipzFHG3jsR0dLzCqJbqdM,part_131,2026-09-22 06:49:14
AAI EKVIRA COLD STORAGE,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 93098 43860,N/A,4.9,10,"376/2, Near Gangamai Engineering College Nagaon, Taluka&, Maharashtra 424307",415615,20.964298,74.7806987,ChIJ029dGAHP3jsRynMdsM7yGHI,https://www.google.com/maps/place/?q=place_id:ChIJ029dGAHP3jsRynMdsM7yGHI,part_131,2026-09-22 06:49:14
K S AGRO COLD,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 88881 86406,N/A,1.0,1,"XRPW+PW8, Dhule, Nyahalod, Maharashtra 424002",415615,20.9867815,74.8473375,ChIJ97eYSdzR3jsRBvgTcjprk2U,https://www.google.com/maps/place/?q=place_id:ChIJ97eYSdzR3jsRBvgTcjprk2U,part_131,2026-09-22 06:49:14
Hapa Cold Storage Private Limited,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 98793 42200,N/A,4.2,47,"No 8, Plot No 10 Phase III G I D C, Naroda, National Highway, near Nana Chiloda, Chokdi, Naroda, Ahmedabad, Gujarat 382330","Chokdi, Naroda",23.0985047,72.6700833,ChIJVVVVVdyAXjkRas-_gU-pi8o,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVdyAXjkRas-_gU-pi8o,part_131,2026-09-22 06:49:15
Reliable Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 94287 87192,N/A,4.7,27,"Survey no 131 Near M N Dehydration Village Bhadrod, Taluko Mahuva, National Highway 8E, Mahuva, Gujarat 364295",415615,21.1239857,71.7992992,ChIJXW6eYIUk4jsRKGztHJ40Pl8,https://www.google.com/maps/place/?q=place_id:ChIJXW6eYIUk4jsRKGztHJ40Pl8,part_131,2026-09-22 06:49:15
VJ COLD STORAGES,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 76007 41478,http://www.vjcoldstorages.com/,4.3,73,"103,104 DEVRAJ INDUSTRIAL PARK, PIPALAJ-PIRANA ROAD, PIPALAJ VILLAGE, Sardar Patel Ring Rd, near OLD JAKAT NAKA, near COW ( GAY) CIRCLE, Narolgam, Ahmedabad, Gujarat 382405","Indira Nagar II, Narolgam",22.9322534,72.5600003,ChIJfZ_T4ruPXjkRLlveKD_gZCs,https://www.google.com/maps/place/?q=place_id:ChIJfZ_T4ruPXjkRLlveKD_gZCs,part_131,2026-09-22 06:49:15
Gujarat Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",N/A,N/A,4.0,27,"2JCR+C6M, Soni ni chali, G I D C Industrial Area, Odhav, Ahmedabad, Gujarat 382415","Soni ni chali, G I D C Industrial Area, Odhav",23.0210865,72.6405333,ChIJj_tJSl6GXjkROVoiMcWYSAU,https://www.google.com/maps/place/?q=place_id:ChIJj_tJSl6GXjkROVoiMcWYSAU,part_131,2026-09-22 06:49:15
YMS cold storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",N/A,N/A,4.7,20,"Survey No.71 Old Ratol Rd, Talgajarda, Mahuva, Gujarat 364290",415615,21.1242737,71.7724747,ChIJDyIJLtEk4jsRUEprqdEAcGg,https://www.google.com/maps/place/?q=place_id:ChIJDyIJLtEk4jsRUEprqdEAcGg,part_131,2026-09-22 06:49:15
Sachin Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 98257 44055,N/A,4.6,9,"R.K. Warehousing Society, Aslali, Ahmedabad, Jetalpur, Gujarat 382427",Aslali,22.8995599,72.5944147,ChIJAY-wir6OXjkR4XHfqajqQOw,https://www.google.com/maps/place/?q=place_id:ChIJAY-wir6OXjkR4XHfqajqQOw,part_131,2026-09-22 06:49:15
Guru Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",N/A,http://gurucold.in/,4.2,17,"BRTS, opposite Maruti Stone, near Motera, B/H, ONGC, Sabarmati, Ahmedabad, Gujarat 380005","B/H, ONGC, Sabarmati",23.0928172,72.5908195,ChIJqdYfUL-DXjkRyme4rUQcOxs,https://www.google.com/maps/place/?q=place_id:ChIJqdYfUL-DXjkRyme4rUQcOxs,part_131,2026-09-22 06:49:15
SCP COLD PVT LTD,Warehouse and Cold Storage,Cold storage facility,"Cold storage facility, Farm equipment supplier, Food processing equipment, Frozen food manufacturer, Fruit and vegetable processing, HVAC contractor, Ice cream equipment supplier, Pharmaceuticals Exporter, Refrigerated transport service, Agricultural Seed Store",415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 63524 87180,http://www.scpcold.com/,5.0,342,"85, Vinayak Ind Estate-3, Nikol Gam Rd, near Asudev Circle85-Vinayak Ind Estate-3, near Asudev Circle, GIDC, Singarwa, Odhav, Bhuvaladi, Kathwada, Gujarat 382430","GIDC, Singarwa, Odhav",23.039892899999998,72.701616,ChIJ0aqq6sWGXjkR5sE7BuWFZOk,https://www.google.com/maps/place/?q=place_id:ChIJ0aqq6sWGXjkR5sE7BuWFZOk,part_131,2026-09-22 06:49:15
Universal Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 94285 32426,N/A,4.6,15,"3PQ5+V5M, Mahuva-Bhanvad Road, Gujarat 364290",415615,21.0897015,71.7079361,ChIJk-rsRK874jsRMZKibqawT1A,https://www.google.com/maps/place/?q=place_id:ChIJk-rsRK874jsRMZKibqawT1A,part_131,2026-09-22 06:49:15
Sun Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 88668 89412,N/A,4.0,12,"Mahuva - Bhavnagar Hwy, behind Reliance Petrol Pump, Bhadrod, Gujarat 364295",415615,21.1308909,71.7978971,ChIJ-UsvS4Mk4jsRCYata2D6ZeE,https://www.google.com/maps/place/?q=place_id:ChIJ-UsvS4Mk4jsRCYata2D6ZeE,part_131,2026-09-22 06:49:15
Ganraj Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 94274 46584,N/A,4.9,36,"NH48, Fajalpur, Gujarat 391340",415615,22.4317149,73.0985357,ChIJ4VSANn3LXzkRXdnHi08r11o,https://www.google.com/maps/place/?q=place_id:ChIJ4VSANn3LXzkRXdnHi08r11o,part_131,2026-09-22 06:49:15
Amar Ice & Cold Storage,Warehouse and Cold Storage,Cold storage facility,"Cold storage facility, Storage",415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 265 658 1877,N/A,4.1,45,"Chhani Jakat Naka Circle, Opposite, Old Chhani Rd, TP 13, Chhani Jakatnaka, Vadodara, Gujarat 390024","TP 13, Chhani Jakatnaka",22.3438669,73.175145,ChIJq6qqqifJXzkR2GL2u99qvkA,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqifJXzkR2GL2u99qvkA,part_131,2026-09-22 06:49:15
Shree Vinayak Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",N/A,N/A,5.0,1,"Survey No 129, Haripara Rd, Nana Jadara, Mahuva, Gujarat 364290",415615,21.1061966,71.69945419999999,ChIJHXd9tGQ74jsR4AWo2gcxaVM,https://www.google.com/maps/place/?q=place_id:ChIJHXd9tGQ74jsR4AWo2gcxaVM,part_131,2026-09-22 06:49:15
VIRAT COLD STORAGE,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",N/A,N/A,4.6,13,"4QJW+RF7, Mahuva - Bhavnagar Hwy, Bhadrod, Gujarat 364295",415615,21.1320479,71.7961831,ChIJIcdVHJ0k4jsR_FMOv7bsnh4,https://www.google.com/maps/place/?q=place_id:ChIJIcdVHJ0k4jsR_FMOv7bsnh4,part_131,2026-09-22 06:49:15
Yogeshwar Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 99090 31803,N/A,4.8,10,"4P5J+GGJ, Mahuva - Savarkundla Hwy, Gujarat 364290",415615,21.108843699999998,71.7312598,ChIJDd7kamw74jsRb3IiOmwwchg,https://www.google.com/maps/place/?q=place_id:ChIJDd7kamw74jsRb3IiOmwwchg,part_131,2026-09-22 06:49:15
COLD FROST,Warehouse and Cold Storage,Cold storage facility,"Cold storage facility, Commercial refrigerator supplier, Service establishment",415615,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Malgund S.O, Ganpatipule B.O, Nivendi B.O",+91 91334 31786,http://www.coldfrost.in/,5.0,2,"COLD FROST, 415615, India",415615,16.270409,80.7610164,ChIJ-Ux3douVyzsR_DDd1MooDgc,https://www.google.com/maps/place/?q=place_id:ChIJ-Ux3douVyzsR_DDd1MooDgc,part_131,2026-09-22 06:49:15
