business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ishaan Digital Seva Kendra,Internet Cafe,Internet shop,Internet shop,415617,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kotawada S.O, Pirandavane B.O, Vetoshi B.O",+91 84335 40321,N/A,4.7,,"Shop No. 6, Karbude, Ganpatipule Road, near Kwality Chinese Centre, Fata, Niwali, Maharashtra 415639",Fata,17.0787634,73.401484,ChIJ6Xptq9QJ6jsRWDU_rih0F2k,https://www.google.com/maps/place/?q=place_id:ChIJ6Xptq9QJ6jsRWDU_rih0F2k,part_131,2026-09-22 06:50:17
Mauli Cyber Cafe,Internet Cafe,Internet cafe,"Internet cafe, Aadhaar center",415617,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kotawada S.O, Pirandavane B.O, Vetoshi B.O",+91 70456 87271,N/A,4.5,,"Shop No.04, Orange Orchid, Taloja Phase 1 Rd, opposite The Elite Public School, Sector 11, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208","Sector 11, Taloja Panchanand, Taloja",19.0760765,73.0919053,ChIJRRY4lNt1MYcRriLE9S9WIdk,https://www.google.com/maps/place/?q=place_id:ChIJRRY4lNt1MYcRriLE9S9WIdk,part_131,2026-09-22 06:50:17
CYBER HUB INTERNET CAFE,Internet Cafe,Internet cafe,Internet cafe,415617,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kotawada S.O, Pirandavane B.O, Vetoshi B.O",+91 91255 92855,N/A,5.0,,"Chawni Chauraha, Nawagadhi, Ghasiyaripura, Friganj, Bahraich, Uttar Pradesh 271801","Nawagadhi, Ghasiyaripura, Friganj",27.5785625,81.59768749999999,ChIJJyL72_2rmTkRCJiHqQgvgbk,https://www.google.com/maps/place/?q=place_id:ChIJJyL72_2rmTkRCJiHqQgvgbk,part_131,2026-09-22 06:50:17
Dnet Cyber Cafe,Internet Cafe,Internet cafe,"Internet cafe, Computer security service, Computer service",415617,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kotawada S.O, Pirandavane B.O, Vetoshi B.O",+91 70839 58677,http://digicyber.liveblog365.com/,4.5,,"06 bhagwati villa, Veer Savarkar Marg, near sai baba mandir, Virar East, Vasai-Virar, Maharashtra 401305","Chaudhari Wadi, Virar East",19.4604103,72.8139553,ChIJqdojFCKp5zsRaXGdtHM0plE,https://www.google.com/maps/place/?q=place_id:ChIJqdojFCKp5zsRaXGdtHM0plE,part_131,2026-09-22 06:50:17
BABA Online Service Net Cafe,Internet Cafe,Internet cafe,"Internet cafe, Employment consultant, General store, Information services, License bureau, Passport Agent, Photography service",415617,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kotawada S.O, Pirandavane B.O, Vetoshi B.O",+91 98601 51971,https://chat.whatsapp.com/KZQMnCSW14u1WyJ0LBej3P,5.0,90.0,"BARSHI ROAD, Malwandi, Maharashtra 413401",415617,18.0598241,75.6567273,ChIJ6agX2JlNxDsRAP3oKYA6zCI,https://www.google.com/maps/place/?q=place_id:ChIJ6agX2JlNxDsRAP3oKYA6zCI,part_131,2026-09-22 06:50:17
SAI CYBER,Internet Cafe,Internet cafe,"Internet cafe, Print shop",415617,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kotawada S.O, Pirandavane B.O, Vetoshi B.O",N/A,N/A,4.9,16.0,"Yash Plaza, Wasud Chowk, Sangola, Maharashtra 413307",Wasud Chowk,17.4336003,75.1887069,ChIJdVRg8k2mxjsReLmRxi5w8Lw,https://www.google.com/maps/place/?q=place_id:ChIJdVRg8k2mxjsReLmRxi5w8Lw,part_131,2026-09-22 06:50:17
Latha Internet Cafe,Internet Cafe,Internet cafe,Internet cafe,415617,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kotawada S.O, Pirandavane B.O, Vetoshi B.O",N/A,N/A,4.0,66.0,"Shimoga-Harihar Road, Gandhi Nagar, Harihar, Karnataka 577601",Gandhi Nagar,14.5129728,75.8069221,ChIJCwq94lcpujsRj-IOJcgTgaQ,https://www.google.com/maps/place/?q=place_id:ChIJCwq94lcpujsRj-IOJcgTgaQ,part_131,2026-09-22 06:50:17
Future Internet Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,415617,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kotawada S.O, Pirandavane B.O, Vetoshi B.O",+91 81922 52021,N/A,4.8,13.0,"Davangere, Karnataka 577001",415617,14.4747477,75.9232676,ChIJqV8qpqIlujsRBbgAZttb0kE,https://www.google.com/maps/place/?q=place_id:ChIJqV8qpqIlujsRBbgAZttb0kE,part_131,2026-09-22 06:50:17
Khawaja Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,415617,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kotawada S.O, Pirandavane B.O, Vetoshi B.O",+91 70559 37098,N/A,5.0,36.0,"FULWAR ROAD, OPPOSIDE TRANSFROM MOHALLA, ANSARIYAN, Moradabad, Bilari, Uttar Pradesh 244411","OPPOSIDE TRANSFROM MOHALLA, ANSARIYAN",28.622648299999998,78.8073924,ChIJJ7Htqm_nCjkR_38w61tnGGg,https://www.google.com/maps/place/?q=place_id:ChIJJ7Htqm_nCjkR_38w61tnGGg,part_131,2026-09-22 06:50:17
Sri Rayachoti Veerabhadreshwara Internet Center,Internet Cafe,Internet cafe,Internet cafe,415617,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Kotawada S.O, Pirandavane B.O, Vetoshi B.O",N/A,N/A,4.6,25.0,"Avaragere, Davangere, Karnataka 577003",Avaragere,14.4490368,75.9463523,ChIJX9GMB-IkujsRfpM00JZVEwE,https://www.google.com/maps/place/?q=place_id:ChIJX9GMB-IkujsRfpM00JZVEwE,part_131,2026-09-22 06:50:17
