business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Swaroop Footwear And Bag Repair Shop,Footwear and Shoe Store,Footwear wholesaler,Footwear wholesaler,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 72763 63134,N/A,5.0,,"Gala No. 1 ,Vijayashri complex, Teenbatti Naka, Khed, Khed, Maharashtra 415709",415621,17.718056699999998,73.3937576,ChIJEZC4chje6TsRU2YdbNveL44,https://www.google.com/maps/place/?q=place_id:ChIJEZC4chje6TsRU2YdbNveL44,part_131,2026-09-22 06:51:41
BRITEMAX FOOTWORLD,Footwear and Shoe Store,Shoe store,Shoe store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 99606 94515,N/A,5.0,,"DAKH BANGLOW, SHEESH MALL, Rest House Road, Khed, Maharashtra 415621",415621,17.721520899999998,73.3997984,ChIJHfyQkg3f6TsR9gFtDrKIqkE,https://www.google.com/maps/place/?q=place_id:ChIJHfyQkg3f6TsR9gFtDrKIqkE,part_131,2026-09-22 06:51:41
NIKESH FOOTWEAR,Footwear and Shoe Store,Shoe store,Shoe store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 80073 99237,N/A,5.0,,"Nikesh Footwear ,Nivate Chowk,Bazarpeth,khed, Khed, Maharashtra 415709",415621,17.7178085,73.395725,ChIJqbj3ndTf6TsRcAnCv7IbJvk,https://www.google.com/maps/place/?q=place_id:ChIJqbj3ndTf6TsRcAnCv7IbJvk,part_131,2026-09-22 06:51:41
Quality Foot Wear,Footwear and Shoe Store,Shoe store,Shoe store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 72191 81122,N/A,2.0,,"SHOP NO. 04, RASTHRIYA MARUTI MANDIR, SHOP NO. 04 RASTHRIYA MARUTI MANDIR BAZARPETH, BAZARPETH, Khed, Maharashtra 415709",BAZARPETH,17.7178571,73.3941723,ChIJG-dQLgrf6TsRNoWi9moO6Tc,https://www.google.com/maps/place/?q=place_id:ChIJG-dQLgrf6TsRNoWi9moO6Tc,part_131,2026-09-22 06:51:41
SAGAR SHOE MART,Footwear and Shoe Store,Shoe store,"Shoe store, Store",415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 72763 94808,N/A,,,"Vani Peth Khed, Khed, Maharashtra 415709",Vanipeth,17.7182223,73.3967033,ChIJozS2ZMnf6TsRUUNwV_vxjTI,https://www.google.com/maps/place/?q=place_id:ChIJozS2ZMnf6TsRUUNwV_vxjTI,part_131,2026-09-22 06:51:41
Siddvinayak footwear khed,Footwear and Shoe Store,Shoe store,Shoe store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",N/A,N/A,,,"P99X+VGJ, Khed, Maharashtra 415621",415621,17.719703499999998,73.3987688,ChIJWfovYADf6TsRZPkRCk9LCH0,https://www.google.com/maps/place/?q=place_id:ChIJWfovYADf6TsRZPkRCk9LCH0,part_131,2026-09-22 06:51:41
GUNJAN FOOTWEAR,Footwear and Shoe Store,Shoe store,Shoe store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 84465 45238,N/A,,,"Shop No 7, Patne Complax, Bharane, Bharana Naka, Maharashtra 415621",415621,17.7196991,73.4167301,ChIJWz3yObjf6TsR5N1NJAeUNeQ,https://www.google.com/maps/place/?q=place_id:ChIJWz3yObjf6TsR5N1NJAeUNeQ,part_131,2026-09-22 06:51:41
SANIYA FOOTWEAR,Footwear and Shoe Store,Shoe store,Shoe store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 97668 51144,N/A,,,"Bharne Naka, Shop No 1, Vitthal Rakhumai Niwas, Bharana Naka, Maharashtra 415621",415621,17.7221339,73.4195459,ChIJ616wKonf6TsRAum9mKm_oGw,https://www.google.com/maps/place/?q=place_id:ChIJ616wKonf6TsRAum9mKm_oGw,part_131,2026-09-22 06:51:41
SARTHAK FOOTWEAR,Footwear and Shoe Store,Shoe store,Shoe store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 96655 85590,N/A,,,"Shop No 02/03 ,Vaitalwadi, Chincghar, Vaitalwadi, Khed, Chincghar, Bharana Naka, Maharashtra 415621",Chincghar,17.722281,73.4196491,ChIJI-l0Xsvf6TsRgoJJT_KZFUc,https://www.google.com/maps/place/?q=place_id:ChIJI-l0Xsvf6TsRgoJJT_KZFUc,part_131,2026-09-22 06:51:41
GAURAV FOOTWEAR,Footwear and Shoe Store,Shoe store,Shoe store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 94211 35087,N/A,,,"Shop No 10, Bazarpeth Road, near ST Stand, Vanipeth, Vani Peth, Khed, Maharashtra 415709","Vanipeth, Vani Peth",17.718498999999998,73.3971212,ChIJ8_cp423f6TsRw4j_necqn1I,https://www.google.com/maps/place/?q=place_id:ChIJ8_cp423f6TsRw4j_necqn1I,part_131,2026-09-22 06:51:41
AYESHA FOOTWEAR,Footwear and Shoe Store,Shoe store,Shoe store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 80925 28446,N/A,,,"Shop No 11, Bzarpeth Road, near Fish Market, Valaki, Khed, Maharashtra 415709",Valaki,17.7175848,73.3954424,ChIJjebPLCff6TsRsaE9u7Um_Wg,https://www.google.com/maps/place/?q=place_id:ChIJjebPLCff6TsRsaE9u7Um_Wg,part_131,2026-09-22 06:51:41
Shoe World,Footwear and Shoe Store,Shoe store,Shoe store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 77983 70002,N/A,3.7,208.0,"Kunte chowk, Laxmi Rd, opp. Manyavar showroom, Narayan Peth, Pune, Maharashtra 411030",Narayan Peth,18.514582,73.8529144,ChIJVVVVJW_AwjsRayuoN5elUyg,https://www.google.com/maps/place/?q=place_id:ChIJVVVVJW_AwjsRayuoN5elUyg,part_131,2026-09-22 06:51:43
Sainath Footwear,Footwear and Shoe Store,Store,Store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 99606 54551,N/A,4.6,200.0,"FR5F+8PV Near Navale Bridge, Road, Wadgaon Budruk, Narhe, Pune, Maharashtra 411041","Phase 2, Wadgaon Budruk, Narhe",18.458312499999998,73.82431249999999,ChIJEWqM0ciVwjsRjlYu5N4Uy5A,https://www.google.com/maps/place/?q=place_id:ChIJEWqM0ciVwjsRjlYu5N4Uy5A,part_131,2026-09-22 06:51:43
Catty Shoes,Footwear and Shoe Store,Shoe store,Shoe store,415621,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bharane S.O, Kalamani Budruk B.O, Nilavane B.O",+91 79724 67017,N/A,4.0,124.0,"New Modikhana, Katad Khana, Pune, Maharashtra 411001","New Modikhana, Katad Khana",18.506582299999998,73.8764838,ChIJc3pFPTjAwjsRpC7JP3fvu6A,https://www.google.com/maps/place/?q=place_id:ChIJc3pFPTjAwjsRpC7JP3fvu6A,part_131,2026-09-22 06:51:43
