business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Aakash Institute - Best NEET & IIT-JEE Coaching in Secunderabad, Trimulgherry",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",415626,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Gavkhadi S.O, Dorle B.O, Gavade Ambere B.O",+91 88000 13009,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-secunderabad-trimulgherry-coaching-center-trimulgherry-ind-tg-hyderabad-99264/Home?utm_source=locator&utm_medium=googleplaces,4.0,,"1st Flr, Vasavis, Besides Military, Gold Stone, Trimulgherry Football Grounds, Rajiv Rahadari, Ward No 7 Secunderabad, Lal Bazaar, Tirumalagiri, Secunderabad, Telangana 500015","Ward No 7 Secunderabad, Lal Bazaar, Tirumalagiri",17.473802499999998,78.5106651,ChIJfXz9UjtDOToRFbO1b_YGCOM,https://www.google.com/maps/place/?q=place_id:ChIJfXz9UjtDOToRFbO1b_YGCOM,part_131,2026-09-22 06:52:32
Srinarayana Group,NEET and JEE Coaching Center,Coaching Center,Coaching Center,415626,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Gavkhadi S.O, Dorle B.O, Gavade Ambere B.O",+91 90630 67543,http://srinarayanagroup.com/,4.7,,"12-6-2/272, beside People’s Hospital, near Sivalayam Lane, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4828158,78.4132158,ChIJeyHFzHSRyzsRXTyznOktRwk,https://www.google.com/maps/place/?q=place_id:ChIJeyHFzHSRyzsRXTyznOktRwk,part_131,2026-09-22 06:52:32
"Aakash Institute - Best NEET & IIT-JEE Coaching in Hyderabad, AS Rao Nagar",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",415626,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Gavkhadi S.O, Dorle B.O, Gavade Ambere B.O",+91 79979 93695,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-hyderabad-as-rao-nagar-coaching-center-as-rao-nagar-medchal-malkajgiri-412277/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"S, 1st Floor, 2nd Avenue, Plot No 54, near Parivaar Vegetarian Restaurant, Ecil, Anupuram Colony, AS Rao Nagar, Hyderabad, Secunderabad, Telangana 500062","Ecil, Anupuram Colony, AS Rao Nagar",17.476861,78.561833,ChIJTejQOiCbyzsRbNj0sDw1GMA,https://www.google.com/maps/place/?q=place_id:ChIJTejQOiCbyzsRbNj0sDw1GMA,part_131,2026-09-22 06:52:32
"Aakash Institute - Best NEET & IIT-JEE Coaching in Hyderabad, Toli Chowki",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",415626,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Gavkhadi S.O, Dorle B.O, Gavade Ambere B.O",+91 88000 13006,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-hyderabad-toli-chowki-hyderabad-shaikpet-branch-coaching-center-toli-chowki-ind-tg-hyderabad-99218/Home?utm_source=locator&utm_medium=googleplaces,4.2,,"3rd Floor, Anand Silicon Chip, Shaikpet Rd, above Mc Donald'S, beside Aditya Empress Towers, Sabza Colony, Aziz Bagh Colony, Toli Chowki, Hyderabad, Telangana 500008","Sabza Colony, Aziz Bagh Colony, Toli Chowki",17.4060935,78.4035443,ChIJJUheTrqWyzsRAHJTRylGQNs,https://www.google.com/maps/place/?q=place_id:ChIJJUheTrqWyzsRAHJTRylGQNs,part_131,2026-09-22 06:52:32
"Aakash Institute - Best NEET & IIT-JEE Coaching in Hyderabad, Sanjeeva Reddy Nagar",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",415626,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Gavkhadi S.O, Dorle B.O, Gavade Ambere B.O",+91 88000 13002,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-hyderabad-sanjeeva-reddy-nagar-coaching-center-sanjeeva-reddy-nagar-ind-tg-hyderabad-102390/Home?utm_source=locator&utm_medium=googleplaces,4.2,,"1st & 2nd Floor, Traffic Police Station, No 7/1/621/267/48/3RT, Main Road, beside SR Nagar, Sanjeeva Reddy Nagar, Hyderabad, Telangana 500038","Srinivasa Nagar, Sanjeeva Reddy Nagar",17.4416425,78.4460167,ChIJq6qqasOQyzsRLLllAyebatI,https://www.google.com/maps/place/?q=place_id:ChIJq6qqasOQyzsRLLllAyebatI,part_131,2026-09-22 06:52:32
"Aakash Institute - Best NEET & IIT-JEE Coaching in Hyderabad, Suchitra Circle",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",415626,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Gavkhadi S.O, Dorle B.O, Gavade Ambere B.O",+91 88009 48902,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-hyderabad-suchitra-circle-coaching-center-suchitra-circle-ind-tg-hyderabad-247937/Home?utm_source=locator&utm_medium=googleplaces,4.2,,"2nd Flr, Jains Friends Square, Sy No 85, Suchitra Rd, adjacent to Suchitra Academy, Green Park, Jeedimetla, Hyderabad, Telangana 500067","Green Park, Jeedimetla",17.5008519,78.4768441,ChIJ5ZWdNUmbyzsRcbsR7dQ6gQ0,https://www.google.com/maps/place/?q=place_id:ChIJ5ZWdNUmbyzsRcbsR7dQ6gQ0,part_131,2026-09-22 06:52:32
"Aakash Institute - Best NEET & IIT-JEE Coaching in Hyderabad, Kothapet",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",415626,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Gavkhadi S.O, Dorle B.O, Gavade Ambere B.O",+91 88000 13004,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-hyderabad-kothapet-coaching-center-kothapet-ind-tg-hyderabad-99666/Home?utm_source=locator&utm_medium=googleplaces,4.3,,"No 11/13/1372 & 1373, 3rd Floor Dwarakapuri Colony, near Ashtalakshmi Temple, Saroornagar, Kaman, Kothapet, Hyderabad, Telangana 500102","Saroornagar, Kaman, Kothapet",17.3634825,78.5441541,ChIJpbkJSsOYyzsRjsbp6GrSlSE,https://www.google.com/maps/place/?q=place_id:ChIJpbkJSsOYyzsRjsbp6GrSlSE,part_131,2026-09-22 06:52:32
"Aakash Institute - Best NEET & IIT-JEE Coaching in Hyderabad, Kukatpally",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",415626,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Gavkhadi S.O, Dorle B.O, Gavade Ambere B.O",+91 88000 13003,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-hyderabad-kukatpally-coaching-center-kphb-colony-ind-tg-hyderabad-100323/Home?utm_source=locator&utm_medium=googleplaces,4.3,,"3rd Floor, PNR Empire, above Lalitha Jewellers, Kukatpally Housing Board Colony, Hmt Sathavahana Nagar, Kukatpally, Hyderabad, Telangana 500072","Kukatpally Housing Board Colony, HMT Sathavahana Nagar, Kukatpally",17.4954823,78.3993742,ChIJUyFSVbmRyzsRgRMAhka0KOU,https://www.google.com/maps/place/?q=place_id:ChIJUyFSVbmRyzsRgRMAhka0KOU,part_131,2026-09-22 06:52:32
NARAYANA IIT-JEE/NEET/FOUNDATION - SREEPALLY,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution",415626,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Gavkhadi S.O, Dorle B.O, Gavade Ambere B.O",+91 1800 102 3344,https://www.narayanaschools.in/,4.7,,"Second Floor, Exide, No 59-C, Chowringee Rd, nearby Rabindra Sadan Metro Station, Crossing, Bhowanipore, Kolkata, West Bengal 700020","Crossing, Bhowanipore",22.5411535,88.3474236,ChIJVWB8Ryt3AjoRHFvatG0FCKA,https://www.google.com/maps/place/?q=place_id:ChIJVWB8Ryt3AjoRHFvatG0FCKA,part_131,2026-09-22 06:52:33
"Aakash Institute - Best NEET & IIT-Jee Coaching in Edappally, Kochi",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",415626,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Gavkhadi S.O, Dorle B.O, Gavade Ambere B.O",+91 88000 13054,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-edappally-kochi-coaching-center-edappally-ind-kl-ernakulam-99406/Home?utm_source=locator&utm_medium=googleplaces,4.0,,"1st Floor, National Pearl Star Building, behind Changampuzha Park Metro Station, Devankulangara, Mamangalam, Edappally, Kochi, Ernakulam, Keralam 682024","Devankulangara, Mamangalam, Edappally",10.014774899999999,76.30156989999999,ChIJGSqDohANCDsRhgLJBtaj1SM,https://www.google.com/maps/place/?q=place_id:ChIJGSqDohANCDsRhgLJBtaj1SM,part_131,2026-09-22 06:52:33
