business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Lenskart.com at Shakti Chowk, Bijnor",Optical Store and Eyewear,Optician,"Optician, Eye care center, Optometrist, Repair service, Sunglasses store",415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",+91 84478 30154,https://www.lenskart.com/stores/lenskart-com-Shakti-Chowk-Shakti-Chowk-Bijnor-244327/Home,4.9,1759.0,"Gate No 1, First Floor, 198/53, SD Puram Colony, 1, Civil Lines, Bijnor, Uttar Pradesh 246701",Civil Lines,29.385807,78.1434668,ChIJ5yPgGu7vCzkRueBaLjczmZs,https://www.google.com/maps/place/?q=place_id:ChIJ5yPgGu7vCzkRueBaLjczmZs,part_131,2026-09-22 06:54:00
Mahaveer opticals,Optical Store and Eyewear,Optical Wholesaler,Optical Wholesaler,415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",+91 70071 68449,N/A,5.0,63.0,"PWH2+W9P, Bijnor, Uttar Pradesh 226002",415634,26.7299103,80.90103719999999,ChIJT5Nw67X7mzkRBMU_FVoJyfI,https://www.google.com/maps/place/?q=place_id:ChIJT5Nw67X7mzkRBMU_FVoJyfI,part_131,2026-09-22 06:54:00
Envee Optix by Agrawal Opticals and Watch Emporium,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Optical instrument repair service, Optical Products Manufacturer, Sunglasses store, Watch store",415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",+91 88600 44866,https://envee-optix-by-agrawal.grexa.site/,4.8,596.0,"Envee Optix, 15UB, Bungalow Rd, Kamla Nagar Market, Block UB, Jawahar Nagar, Kamla Nagar, New Delhi, Delhi, 110007","Kamla Nagar Market, Block UB, Jawahar Nagar, Kamla Nagar",28.6812701,77.2075636,ChIJ4-ZBypr9DDkRkfNQq8cfcUI,https://www.google.com/maps/place/?q=place_id:ChIJ4-ZBypr9DDkRkfNQq8cfcUI,part_131,2026-09-22 06:54:00
Hayat Eye Care & Opticals,Optical Store and Eyewear,Eye care center,Eye care center,415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",+91 70379 30930,http://www.hayateyecare.in/,5.0,454.0,"Dharmtara Complex, near State Bank, Noorpur, Uttar Pradesh 246734",415634,29.1490881,78.41145569999999,ChIJ2SyuuB67CzkRujoFm7hAkds,https://www.google.com/maps/place/?q=place_id:ChIJ2SyuuB67CzkRujoFm7hAkds,part_131,2026-09-22 06:54:00
EYE OPTICS & CLINIC,Optical Store and Eyewear,Optician,Optician,415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",N/A,N/A,5.0,1.0,"Udaipur, Dhampur, Uttar Pradesh 246761",Udaipur,29.3033146,78.50442559999999,ChIJpw_mRDvICzkR3muBZv7d7WI,https://www.google.com/maps/place/?q=place_id:ChIJpw_mRDvICzkR3muBZv7d7WI,part_131,2026-09-22 06:54:00
Vijay Luxmi Optical - Essilor Experts,Optical Store and Eyewear,Optician,Optician,415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",+91 80 6290 4733,https://www.essilor.com/in-en/experts/,4.4,55.0,"81 B, Vakil Rd, nearby Tanishq Jewellery, New Mandi, Muzaffarnagar, Uttar Pradesh 251001",New Mandi,29.4699006,77.7111548,ChIJdU8Wpp8bDDkRKAaLpKBm1uU,https://www.google.com/maps/place/?q=place_id:ChIJdU8Wpp8bDDkRKAaLpKBm1uU,part_131,2026-09-22 06:54:00
Jeepu opticals and watch house,Optical Store and Eyewear,Sunglasses store,Sunglasses store,415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",+91 92192 10900,N/A,5.0,8.0,"Palika bazaar, opposite Paani Ki Tanki, Bijnor, Uttar Pradesh 246701",Bijnor,29.3737504,78.1344878,ChIJ-_hLB9rvCzkRELV75b1bC64,https://www.google.com/maps/place/?q=place_id:ChIJ-_hLB9rvCzkRELV75b1bC64,part_131,2026-09-22 06:54:00
Vinod Opticals,Optical Store and Eyewear,Optician,Optician,415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",+91 94125 02334,N/A,5.0,3.0,"Station Rd, Shakoor Nagar, Najibabad, Uttar Pradesh 246763",Shakoor Nagar,29.6094516,78.3395369,ChIJMfE0BWTfCzkRjT9dtPSY95g,https://www.google.com/maps/place/?q=place_id:ChIJMfE0BWTfCzkRjT9dtPSY95g,part_131,2026-09-22 06:54:00
Shree Ji Eye Care Optical,Optical Store and Eyewear,Optometrist,Optometrist,415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",+91 88811 18163,N/A,5.0,3.0,"near Arya Samaj Mandir, Nethaur, Uttar Pradesh 246733",415634,29.3236708,78.3870805,ChIJZcrexv7HCzkRUqBhkaDvt4s,https://www.google.com/maps/place/?q=place_id:ChIJZcrexv7HCzkRUqBhkaDvt4s,part_131,2026-09-22 06:54:00
Delhi optician - Contact Lenses Shop / Best Eye Test Centre In Bijnor,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Optical Products Manufacturer, Sunglasses store",415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",+91 90272 43708,N/A,4.5,41.0,"Mehdi shoping complex, Vidur Kuti Rd, near teergaro wali masjid, Bijnor, Uttar Pradesh 246701","Punjabi Colony, Bijnor",29.3735167,78.1415754,ChIJbzfqcO7vCzkReQqenc355NY,https://www.google.com/maps/place/?q=place_id:ChIJbzfqcO7vCzkReQqenc355NY,part_131,2026-09-22 06:54:00
Chetan Eye Care & Opticals,Optical Store and Eyewear,Optician,Optician,415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",+91 93057 44143,N/A,5.0,16.0,"Shop No 1, Yadav Market, Tiraha, Bijnor Rd, Omaxe City, Lucknow, Uttar Pradesh 226014",Omaxe City,26.760092699999998,80.91642019999999,ChIJO2mEz7r7mzkRKuSZIXchmbU,https://www.google.com/maps/place/?q=place_id:ChIJO2mEz7r7mzkRKuSZIXchmbU,part_131,2026-09-22 06:54:00
D And B Opticals,Optical Store and Eyewear,Optician,Optician,415634,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"RGPPL Anjanvel S.O, Anjanvel B.O",+91 88872 50898,N/A,5.0,22.0,"Shop No-9, Royal City, Sharda Nagar, Vistar Yojna, Bijnor, Lucknow, Uttar Pradesh 226014","Sharda Nagar, Vistar Yojna",26.7539075,80.91770509999999,ChIJszaGZvz7mzkRMeNnsx8fvKA,https://www.google.com/maps/place/?q=place_id:ChIJszaGZvz7mzkRMeNnsx8fvKA,part_131,2026-09-22 06:54:00
