business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
LUXURY UNISEX SALON,Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop, Make-up artist",415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 79992 11779,N/A,4.8,49.0,"MIG -18, Sector-02, Shankar Nagar, Raipur, Chhattisgarh 492004","Sector-02, Shankar Nagar",21.2562891,81.6613106,ChIJ339Z6EbdKDoRMoghyvI0QtE,https://www.google.com/maps/place/?q=place_id:ChIJ339Z6EbdKDoRMoghyvI0QtE,part_132,2026-09-22 06:00:44,5409
Brothers Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 76970 19652,N/A,4.8,146.0,"C 78, opp. Sai kruppa Bakers, Sector 5, Jagriti Nagar, Devendra Nagar, Raipur, Chhattisgarh 492001","Sector 5, Jagriti Nagar, Devendra Nagar",21.2607897,81.6487937,ChIJxVHAAZ7dKDoRVOOfExRgB6U,https://www.google.com/maps/place/?q=place_id:ChIJxVHAAZ7dKDoRVOOfExRgB6U,part_132,2026-09-22 06:00:44,5410
Skyzar Beauty Salon,Unisex Salon,Barber shop,Barber shop,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 90987 50048,N/A,4.8,330.0,"Shrishti palazo center, Avanti Vihar, Raipur, Chhattisgarh 492001","Avanti Vihar, Shankar Nagar",21.244877199999998,81.6776189,ChIJJeeoPQXdKDoRf5dLlXnH5v4,https://www.google.com/maps/place/?q=place_id:ChIJJeeoPQXdKDoRf5dLlXnH5v4,part_132,2026-09-22 06:00:44,5411
Excellent Men's Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 97413 27475,N/A,4.9,189.0,"1st Floor, 12, 1st Cross Rd, Navodaya Nagar, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078","Navodaya Nagar, JP Nagar 7th Phase, J. P. Nagar",12.882755699999999,77.58324019999999,ChIJSxN_UUYVrjsReK7zIw-qykU,https://www.google.com/maps/place/?q=place_id:ChIJSxN_UUYVrjsReK7zIw-qykU,part_132,2026-09-22 06:00:44,5412
ALEX THE SALON,Unisex Salon,Hair salon,Hair salon,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 70670 08849,N/A,5.0,1.0,"Tikrapara, Raipur, Chhattisgarh 492015",415714,21.207746999999998,81.6714798,ChIJeXwq-8LcKDoR1u-B1GiSoPc,https://www.google.com/maps/place/?q=place_id:ChIJeXwq-8LcKDoR1u-B1GiSoPc,part_132,2026-09-22 06:00:44,5413
LATEST PRINCE Saloon,Unisex Salon,Beauty Parlour,Beauty Parlour,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",N/A,N/A,4.5,2.0,"New Mandi Gate, Pandri Tarai, Vidhan Sabha Marg, Raipur, (C.G), Chhattisgarh 492004",Devendra Nagar,21.2581456,81.65436629999999,ChIJ2xsCQXrdKDoRQti9a6Jf68U,https://www.google.com/maps/place/?q=place_id:ChIJ2xsCQXrdKDoRQti9a6Jf68U,part_132,2026-09-22 06:00:44,5414
Hello Gorgeous Unisex Salon & Makeup Studio - Sector 56 Gurugram,Unisex Salon,Beauty Parlour,"Beauty Parlour, Facial spa, Make-up artist, Hairdresser, Waxing hair removal service",415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 99589 39993,N/A,4.8,513.0,"SCO - 56, Ist Floor, More Market{Entry from backside of More Supermarket, opposite BTW, Sector 56, Gurugram, Haryana 122011","Block B, Sector 56",28.4286051,77.09903589999999,ChIJrazFd6oYDTkRRoEigpbDY6Q,https://www.google.com/maps/place/?q=place_id:ChIJrazFd6oYDTkRRoEigpbDY6Q,part_132,2026-09-22 06:00:45,5415
Beauty box unisex salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop, Beautician, Facial spa, Hair removal service, Hair salon, Make-up artist, Nail salon, Hairdresser, Waxing hair removal service",415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 79721 74103,https://beauty-box-unisex.grexa.site/,4.7,621.0,"SHOP NO q 6, PRISTINE PROLIFE-2 PHASE2, Shankar Kalat Nagar, Wakad, Pimpri-Chinchwad, Maharashtra 411057","Shankar Kalat Nagar, Wakad",18.5979128,73.7595315,ChIJe9Ix2-q5wjsRgAkxfJ33_pg,https://www.google.com/maps/place/?q=place_id:ChIJe9Ix2-q5wjsRgAkxfJ33_pg,part_132,2026-09-22 06:00:45,5416
Shekhar Unisex Salon & Academy,Unisex Salon,Hairdresser,Hairdresser,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 90214 25152,N/A,4.8,3494.0,"Pundlik Nagar Rd, Near Ch. Shivaji Putala, Chhatrapati Sambhajinagar, Maharashtra 431009","Hanuman Nagar, Sector N 4, Cidco",19.8655664,75.35678519999999,ChIJR1JhEYmi2zsReDWNURs26ss,https://www.google.com/maps/place/?q=place_id:ChIJR1JhEYmi2zsReDWNURs26ss,part_132,2026-09-22 06:00:45,5417
"R-Ket's Unisex Salon, Beauty Spa & Tattoo Studio",Unisex Salon,Beauty Parlour,"Beauty Parlour, Beautician, Bridal shop, Facial spa, Fish spa, Hair removal service, Massage spa, Tattoo shop, Hairdresser, Waxing hair removal service",415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 77220 40288,N/A,4.1,253.0,"197, Vaikunth Nath Rd, Ganjwe chouvk, Sadashiv Peth, Pune, Maharashtra 411030","Ganjwe chouvk, Sadashiv Peth",18.509365,73.8432146,ChIJKfgRlnXAwjsRqtRZphoYqTI,https://www.google.com/maps/place/?q=place_id:ChIJKfgRlnXAwjsRqtRZphoYqTI,part_132,2026-09-22 06:00:45,5418
