business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shubhasheesh & Associates,Business and Audit Services,Chartered accountant,Chartered accountant,415717,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kelshi S.O,+91 78189 26784,N/A,4.9,22.0,"Ground Floor, Solidale Infotech, Buddhi Vihar Phase 2, Moradabad, Uttar Pradesh 244103",Buddhi Vihar Phase 2,28.836938099999998,78.7380581,ChIJz-XCtNb9CjkRiapxkY0-038,https://www.google.com/maps/place/?q=place_id:ChIJz-XCtNb9CjkRiapxkY0-038,part_132,2026-09-22 06:03:31
RootBiz Accounting LLP,Business and Audit Services,Accounting firm,Accounting firm,415717,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kelshi S.O,+91 484 405 0097,http://www.rootbizglobal.com/,4.9,15.0,"29/757A, Sahakarana Rd, Vyttila, Kochi, Ernakulam, Keralam 682019",Vyttila,9.9628917,76.3168876,ChIJb9FaigtzCDsR28CIyqmjvsI,https://www.google.com/maps/place/?q=place_id:ChIJb9FaigtzCDsR28CIyqmjvsI,part_132,2026-09-22 06:03:31
Biju P Nair & Associates,Business and Audit Services,Accounting firm,"Accounting firm, Chartered accountant, Auditor, Financial audit, Tax consultant",415717,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kelshi S.O,+91 93878 24865,http://bpnassociates.com/index.php,4.9,91.0,"DEEPAM”, MRA 77, MOOLAVILAKOM JUNCTION, CO Madhavan Rd, Ayyankali Nagar, Vanchiyoor, Thiruvananthapuram, Keralam 695035","Ayyankali Nagar, Vanchiyoor",8.5008558,76.9393707,ChIJvZtBwpK7BTsRd4hKBvfdQp0,https://www.google.com/maps/place/?q=place_id:ChIJvZtBwpK7BTsRd4hKBvfdQp0,part_132,2026-09-22 06:03:31
KBS & Associates (CA) - Ernakulam,Business and Audit Services,Chartered accountant,Chartered accountant,415717,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kelshi S.O,+91 98951 61285,http://www.casudheer.com/,4.9,68.0,"66/3085/ A, Krishnaswamy Rd, Pullepady, Kochi, Ernakulam, Keralam 682035",Pullepady,9.9808475,76.28536679999999,ChIJQZjulU4NCDsReOA_QR8fS3A,https://www.google.com/maps/place/?q=place_id:ChIJQZjulU4NCDsReOA_QR8fS3A,part_132,2026-09-22 06:03:31
Vinod Accounting Solutions,Business and Audit Services,Tax consultant,"Tax consultant, Tax preparation",415717,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kelshi S.O,+91 78147 80802,https://www.vinodaccountingsolutions.com/,4.9,176.0,"Adarsh Nagar, Kharar - Landran Rd, near chandigarh sweets, Kharar, Punjab 140301",Sector 115,30.7354111,76.6456055,ChIJK7w0aMTlDzkRR6uIDRpxh0I,https://www.google.com/maps/place/?q=place_id:ChIJK7w0aMTlDzkRR6uIDRpxh0I,part_132,2026-09-22 06:03:31
Virtual Auditor - Company Registration in Chennai,Business and Audit Services,Business management consultant,"Business management consultant, Accounting firm, Auditor, Certified public accountant, Consultant, Legal services, Tax attorney, Tax consultant, Tax preparation service",415717,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kelshi S.O,+91 99622 60333,https://www.virtualauditor.in/private-limited-company-registration,4.6,39.0,"G131(Ground Floor),Phase, Spencer Plaza Mall, 3, Anna Salai, Triplicane, Chennai, Tamil Nadu 600002","Anna Salai, Triplicane",13.0614528,80.2605883,ChIJ0SlnGsVnUjoRDd4hB_FwU2A,https://www.google.com/maps/place/?q=place_id:ChIJ0SlnGsVnUjoRDd4hB_FwU2A,part_132,2026-09-22 06:03:31
Syed Mohd & Co.,Business and Audit Services,Chartered accountant,Chartered accountant,415717,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kelshi S.O,+91 73303 43336,N/A,5.0,37.0,"B, 1st Floor, Emperor Enclave, 8-2-695/E/10, Road No. 12, Banjara Hills, Hyderabad, Telangana 500028","Syed Nagar, Banjara Hills",17.406710099999998,78.4389901,ChIJv1OBEsGXyzsR5r7kKFVjIfQ,https://www.google.com/maps/place/?q=place_id:ChIJv1OBEsGXyzsR5r7kKFVjIfQ,part_132,2026-09-22 06:03:31
Pankaj Agrawal & Associates,Business and Audit Services,Chartered accountant,"Chartered accountant, Accountant, Accounting firm, Auditor, Financial audit, Financial planner, Income tax help association, Tax consultant, Tax preparation service",415717,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kelshi S.O,+91 90913 51333,http://www.capankajagrawal.com/,5.0,231.0,"88, Jawahar Nagar Rd, near rajendra Nagar, Jawahar Nagar, Indore, Madhya Pradesh 452012",Jawahar Nagar,22.669841299999998,75.8245614,ChIJt_LK4Z79YjkR0uZViHkTJ3o,https://www.google.com/maps/place/?q=place_id:ChIJt_LK4Z79YjkR0uZViHkTJ3o,part_132,2026-09-22 06:03:32
Vivek Tiwari,Business and Audit Services,Accountant,Accountant,415717,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kelshi S.O,+91 97556 54012,https://www.instagram.com/vivektiwari1661/.%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20https://wa.me/+919755654012,5.0,137.0,"107/5, near Kadambari Nagar, Ramapati Vihar Colony, Rau, Indore, Madhya Pradesh 453331","Ramapati Vihar Colony, Rau",22.6419443,75.822564,ChIJm-4PYVL7YjkRpCwUB4ct9rw,https://www.google.com/maps/place/?q=place_id:ChIJm-4PYVL7YjkRpCwUB4ct9rw,part_132,2026-09-22 06:03:32
CA Yash Maheshwari & Co - Chartered Accountants,Business and Audit Services,Chartered accountant,Chartered accountant,415717,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kelshi S.O,+91 70895 70910,http://cainindore.com/,5.0,149.0,"Flat No. 7, Sainath Apartment, Gita Bhawan Rd, Geeta Bhawan, Indore, Madhya Pradesh 452001",Geeta Bhawan,22.7185036,75.8871395,ChIJleeCqXD9YjkRKP9N8hPqBTE,https://www.google.com/maps/place/?q=place_id:ChIJleeCqXD9YjkRKP9N8hPqBTE,part_132,2026-09-22 06:03:32
