business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SAWANT CRICKET GROUND ( SOSA) High Quality Turf Ground,Sports Academy and Turf Ground,Playground,Playground,415719,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Talavali S.O, Karul B.O, Mundhar B.O",N/A,N/A,4.5,33.0,"W8HW+WX, Kolambe, Maharashtra 415639",415719,16.929837199999998,73.34740169999999,ChIJ1T-xbC1z6jsR0pPMO5AXYBk,https://www.google.com/maps/place/?q=place_id:ChIJ1T-xbC1z6jsR0pPMO5AXYBk,part_132,2026-09-22 06:05:04
The Arena 5A Side Football Turf,Sports Academy and Turf Ground,Cricket ground,"Cricket ground, Soccer field",415719,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Talavali S.O, Karul B.O, Mundhar B.O",+91 99221 43210,N/A,4.2,600.0,"Vidyanchal School Sr no 259 Balaji park 411007, behind Seasons hotel, Sanewadi, Aundh, Pune, Maharashtra 411069","Shambhu Vihar Society, Sanewadi, Aundh",18.5550981,73.80281529999999,ChIJozimayS_wjsRQWzE2jPW9DQ,https://www.google.com/maps/place/?q=place_id:ChIJozimayS_wjsRQWzE2jPW9DQ,part_132,2026-09-22 06:05:04
Sanjay Sports Academy,Sports Academy and Turf Ground,Sports school,Sports school,415719,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Talavali S.O, Karul B.O, Mundhar B.O",+91 70280 06577,http://www.sanjaysports.in/,4.0,351.0,"19, 1b/1, Someshwar Wadi Rd, near Hotel Rajwada, Ward No. 8, Someshwarwadi, Pashan, Pune, Maharashtra 411008","Ward No. 8, Someshwarwadi, Pashan",18.5455662,73.8038377,ChIJMZCvrBm_wjsRv_JsKZUMUbg,https://www.google.com/maps/place/?q=place_id:ChIJMZCvrBm_wjsRv_JsKZUMUbg,part_132,2026-09-22 06:05:04
Wisdom Cricket Academy,Sports Academy and Turf Ground,Sports complex,Sports complex,415719,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Talavali S.O, Karul B.O, Mundhar B.O",+91 99233 04646,N/A,4.3,399.0,"Wisdom Sports Center, Lohagoan - Wagholi Road, behind Karmabhumi, Lohegaon, Pune, Maharashtra 411047","Adarsh Nagar, Lohegaon",18.5970691,73.9420231,ChIJw4s1tO7HwjsRl4hhXTkXYoM,https://www.google.com/maps/place/?q=place_id:ChIJw4s1tO7HwjsRl4hhXTkXYoM,part_132,2026-09-22 06:05:04
Soccer Yard,Sports Academy and Turf Ground,Soccer practice,"Soccer practice, Soccer field",415719,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Talavali S.O, Karul B.O, Mundhar B.O",N/A,N/A,4.4,576.0,"behind PODAR INTERNATIONAL SCHOOL, Kakade Park, Tanaji Nagar, Chinchwad, Pune, Pimpri-Chinchwad, Maharashtra 411033","Kakade Park, Tanaji Nagar, Chinchwad",18.623388,73.7882506,ChIJJVxrkK65wjsRNdkkEt5nqqE,https://www.google.com/maps/place/?q=place_id:ChIJJVxrkK65wjsRNdkkEt5nqqE,part_132,2026-09-22 06:05:04
Turf club,Sports Academy and Turf Ground,Sports club,Sports club,415719,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Talavali S.O, Karul B.O, Mundhar B.O",N/A,N/A,4.4,118.0,"485/3A,Plot, NO.19, Kolhapur Rd, opp. Akashwani, behind Volkswagen Showroom, Sangli, Dattanagar, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Dattanagar",16.842693099999998,74.5651032,ChIJgW-BPZgZwTsRGNO7dQf5EMo,https://www.google.com/maps/place/?q=place_id:ChIJgW-BPZgZwTsRGNO7dQf5EMo,part_132,2026-09-22 06:05:04
Bounce Sports Academy,Sports Academy and Turf Ground,Sports complex,Sports complex,415719,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Talavali S.O, Karul B.O, Mundhar B.O",N/A,N/A,4.4,253.0,"Swarmayee Apartments, 3, Law College Rd, Shanti Sheela Society, Deccan Gymkhana, Pune, Maharashtra 411038","Shanti Sheela Society, Deccan Gymkhana",18.5122309,73.8246264,ChIJ59ACMJG_wjsRfdw38n9LtEM,https://www.google.com/maps/place/?q=place_id:ChIJ59ACMJG_wjsRfdw38n9LtEM,part_132,2026-09-22 06:05:04
SFC turf,Sports Academy and Turf Ground,Sports club,Sports club,415719,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Talavali S.O, Karul B.O, Mundhar B.O",+91 80808 86441,N/A,4.4,29.0,"Kandalgaon, Maharashtra 416013",415719,16.6443409,74.2455201,ChIJtYy95Gv_wDsRk27J0phPSak,https://www.google.com/maps/place/?q=place_id:ChIJtYy95Gv_wDsRk27J0phPSak,part_132,2026-09-22 06:05:04
Turf 10,Sports Academy and Turf Ground,Soccer field,Soccer field,415719,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Talavali S.O, Karul B.O, Mundhar B.O",+91 81499 33378,N/A,4.0,751.0,"HQ7X+R7C, Aundh - Baner Link Rd, Aundh, Pune, Maharashtra 411067",Aundh,18.564573499999998,73.7981326,ChIJg8BmeSm_wjsRwFEpliuF9Xs,https://www.google.com/maps/place/?q=place_id:ChIJg8BmeSm_wjsRwFEpliuF9Xs,part_132,2026-09-22 06:05:04
The Cricket Scope Academy (Vrindavan Cricket Ground),Sports Academy and Turf Ground,Cricket ground,Cricket ground,415719,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Talavali S.O, Karul B.O, Mundhar B.O",N/A,N/A,5.0,4.0,"The Cricket Scope(Vrindavan Cricket Ground) life republic township, S.no.!98, at post Jambhe, Taluka Mulshi, Punawale, Marunji, Maharashtra 411057",Punawale,18.6183171,73.7207438,ChIJ1z3JZAC7wjsRZDuJdaS1ZJM,https://www.google.com/maps/place/?q=place_id:ChIJ1z3JZAC7wjsRZDuJdaS1ZJM,part_132,2026-09-22 06:05:05
