business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Raj travels (upleta),Bus Booking Agency,Travel agency,Travel agency,415729,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Welneshwar S.O, Sakhari Agar B.O",+91 94266 09655,http://www.rajtravels.co/,4.0,,"Bus stand chowk,tagor road, Upleta, Gujarat 360490",Jiraba,21.7414538,70.27730129999999,ChIJSf4e-PnyVzkR021EG-ZbdGE,https://www.google.com/maps/place/?q=place_id:ChIJSf4e-PnyVzkR021EG-ZbdGE,part_132,2026-09-22 06:09:09
VAISHNO TRAVELS,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency",415729,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Welneshwar S.O, Sakhari Agar B.O",+91 98313 35369,http://www.vaishnotravels.co.in/,4.7,,"28, Dr Abani Dutta Rd, Babudanga, Salkia, Howrah, West Bengal 711106","Babudanga, Salkia",22.5948283,88.3426406,ChIJR2xM8-l3AjoRkytzD2ykKao,https://www.google.com/maps/place/?q=place_id:ChIJR2xM8-l3AjoRkytzD2ykKao,part_132,2026-09-22 06:09:10
Shreeji Krupa Travels,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency, Airport Shuttle Service Provider, Bus charter, Bus ticket agency, Car rental agency, Minibus taxi service, Tour operator, Railway Ticket Agent, Taxi service",415729,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Welneshwar S.O, Sakhari Agar B.O",+91 98253 19144,https://www.shreejikrupatravels.com/,4.7,,"12, Kubereshwar Mahadev Marg, opp. HDFC Bank, Manjalpur, Vadodara, Gujarat 390011","Krupal Society, Manjalpur",22.2730298,73.1976565,ChIJGVcDmMPFXzkRZWk0x7hnbc4,https://www.google.com/maps/place/?q=place_id:ChIJGVcDmMPFXzkRZWk0x7hnbc4,part_132,2026-09-22 06:09:10
Shatabdi Travels,Bus Booking Agency,Travel agency,"Travel agency, Tour agency",415729,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Welneshwar S.O, Sakhari Agar B.O",+91 751 492 2460,http://www.shatabditravel.com/,3.8,676.0,"7A, Kampoo Rd, near Dr.Thavrani, Jawahar Colony, Lashkar, Gwalior, Madhya Pradesh 474001","Jawahar Colony, Lashkar",26.1919,78.1520249,ChIJAQAAQMrFdjkRFkpe2sIB39c,https://www.google.com/maps/place/?q=place_id:ChIJAQAAQMrFdjkRFkpe2sIB39c,part_132,2026-09-22 06:09:10
Noopur Communication,Bus Booking Agency,Travel agency,"Travel agency, Event management company",415729,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Welneshwar S.O, Sakhari Agar B.O",+91 93312 60710,N/A,4.8,36.0,"27/1, near Sunny Preparatory School, Arcadia, Extension, Kolkata, West Bengal 700034","Arcadia, Extension",22.4942092,88.31347149999999,ChIJwScouBN6AjoR-lux_mLnjHo,https://www.google.com/maps/place/?q=place_id:ChIJwScouBN6AjoR-lux_mLnjHo,part_132,2026-09-22 06:09:10
Shrinath Travels,Bus Booking Agency,Travel agency,"Travel agency, Bus ticket agency",415729,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Welneshwar S.O, Sakhari Agar B.O",+91 95589 96999,https://www.shrinath.biz/,3.3,59.0,"Gujarat State Highway 6, Valia Chokdi, GIDC, Ankleshwar GIDC, Ankleshwar, Gujarat 393002","Valia Chokdi, GIDC, Ankleshwar GIDC",21.6196156,73.0029088,ChIJZxlOWvAj4DsRkHTKX_Wlo1k,https://www.google.com/maps/place/?q=place_id:ChIJZxlOWvAj4DsRkHTKX_Wlo1k,part_132,2026-09-22 06:09:11
FLYON Holidays,Bus Booking Agency,Travel agency,Travel agency,415729,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Welneshwar S.O, Sakhari Agar B.O",+91 90336 39998,http://www.flyonholidays.in/,4.9,55.0,"FF-7, Ashish Shopping Centre, Near Bank Baroda Teen Rasta, Station Rd, Ankleshwar, Gujarat 393001",Happy Nagar,21.6290721,72.99545549999999,ChIJERh_Qa4h4DsRoHgBrTWz8Mw,https://www.google.com/maps/place/?q=place_id:ChIJERh_Qa4h4DsRoHgBrTWz8Mw,part_132,2026-09-22 06:09:11
shri swaminarayan Travels,Bus Booking Agency,Travel agency,Travel agency,415729,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Welneshwar S.O, Sakhari Agar B.O",+91 99758 29008,http://www.shriswaminarayanbus.com/,3.3,192.0,"Sahil Arcade, 17/389, Jangali Maharaj Rd, near Hotel Panchali, Shivajinagar, Pune, Maharashtra 411005",Shivajinagar,18.5257245,73.85028609999999,ChIJJVlJ3nvAwjsRgRpyJMIdnTE,https://www.google.com/maps/place/?q=place_id:ChIJJVlJ3nvAwjsRgRpyJMIdnTE,part_132,2026-09-22 06:09:11
Angkor Travel Corporation,Bus Booking Agency,Travel agency,Travel agency,415729,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Welneshwar S.O, Sakhari Agar B.O",+91 93710 74500,N/A,4.9,321.0,"759/12, Deccan Gymkhana, Pune, Maharashtra 411004",Deccan Gymkhana,18.5161227,73.8402511,ChIJ0zuThWK_wjsR-ptB1NtYRGQ,https://www.google.com/maps/place/?q=place_id:ChIJ0zuThWK_wjsR-ptB1NtYRGQ,part_132,2026-09-22 06:09:11
Dhanasri Tours & Travels,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency, Tour agency, Railway Ticket Agent",415729,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Welneshwar S.O, Sakhari Agar B.O",+91 99631 88958,N/A,3.9,338.0,"Shop No : 06, Prakash Plaza, opp. Srinivasam Complex, beside Hotel Saravana Bhavan, Tata Nagar, Tirupati, Andhra Pradesh 517501",Tata Nagar,13.6307346,79.4277961,ChIJffYdUahLTToROtvTQTP5mec,https://www.google.com/maps/place/?q=place_id:ChIJffYdUahLTToROtvTQTP5mec,part_132,2026-09-22 06:09:11
