business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Just Bake Cake Shop & Coffee House Kolhapur,Bakery and Cake Shop,Cake shop,"Cake shop, Bakery and Cake Shop, Cafe, Chocolate shop, Coffee shop, Cupcake shop, Dessert shop, Gift shop, Party store, Wedding bakery",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 93731 15822,http://justbake.co.in/,4.4,,"Atharva Empire, below Waman Hari Pethe Jewellers, opp. Sasane Ground, Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.7074432,74.24073039999999,ChIJtSfhAlsAwTsRVE3ajg_ZyXo,https://www.google.com/maps/place/?q=place_id:ChIJtSfhAlsAwTsRVE3ajg_ZyXo,part_132,2026-09-22 06:14:12
Khemraj Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 231 266 5379,http://www.khemrajbakery.com/,4.5,,"700, 4th Ln, E Ward, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.7000438,74.2386424,ChIJ4-DULBUAwTsRDeay5Gyvs_U,https://www.google.com/maps/place/?q=place_id:ChIJ4-DULBUAwTsRDeay5Gyvs_U,part_132,2026-09-22 06:14:12
MS BOURGEON | CAKE SHOP IN KOLHAPUR | BEST CAFE IN KOLHAPUR,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 82176 97769,http://www.msbourgeon.com/,4.4,,"MS Bourgeon, Nagalapark, Kolhapur, Maharashtra 416003","MS Bourgeon, Nagalapark",16.708937499999998,74.23593749999999,ChIJZ3NJ3MMBwTsRev5fd0TkOGg,https://www.google.com/maps/place/?q=place_id:ChIJZ3NJ3MMBwTsRev5fd0TkOGg,part_132,2026-09-22 06:14:12
Madhuri Bakery,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Cake decorating equipment shop, Sweet shop, Cupcake shop, Grocery store, Wedding bakery, Wholesale bakery",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 231 264 0756,N/A,4.2,,"M6VH+R7G, 646/C-Ward, Bindu Chowk,, Jain Galli, near Shri Mahalakshmi (Ambabai) Temple, Kolhapur, Raviwar Peth, Manganwlar Peth, Kolhapur, Maharashtra 416002","Raviwar Peth, Manganwlar Peth",16.6954901,74.2276218,ChIJ_YQepQ0AwTsRdzvYCHjFilA,https://www.google.com/maps/place/?q=place_id:ChIJ_YQepQ0AwTsRdzvYCHjFilA,part_132,2026-09-22 06:14:12
Hindustan Bakers and confectioners,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Fast food restaurant",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 84216 57878,N/A,4.2,,"8th Ln, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Mahalaxminagar, Rajarampuri",16.6939052,74.24356399999999,ChIJxRSY2j0AwTsRtQq92Qgna4g,https://www.google.com/maps/place/?q=place_id:ChIJxRSY2j0AwTsRtQq92Qgna4g,part_132,2026-09-22 06:14:12
Creamy creation cakes kolhapur,Bakery and Cake Shop,Cake shop,"Cake shop, Gift shop",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 98502 60804,https://creamycakes.netlify.app/,4.9,,"790/4, plot no. 3, Pachgaon Rd, Yogeshwari Colony, Sarnaik Nagar, Pachgaon, Powar Colony, Kolhapur, Maharashtra 416007","Yogeshwari Colony, Sarnaik Nagar, Pachgaon, Powar Colony",16.664773699999998,74.22137839999999,ChIJ_aA91Mb_wDsRbqzRTFfpAnE,https://www.google.com/maps/place/?q=place_id:ChIJ_aA91Mb_wDsRbqzRTFfpAnE,part_132,2026-09-22 06:14:12
Monginis Cake Shop,Bakery and Cake Shop,Cake shop,"Cake shop, Pastry shop, Wedding bakery",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 95791 98953,https://cakeshops.monginis.net/monginis-cake-shop-padkilkar-foods-cake-shop-rajarampuri-kolhapur-133116/Home?utm_source=locator&utm_medium=googleplaces,4.4,,"No 1787, 1st Ln, near Janta Bazaar, E Ward, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416003","E Ward, Mahalaxminagar, Rajarampuri",16.6977015,74.24246529999999,ChIJ_65sKc0BwTsRFB-EHfoqGDU,https://www.google.com/maps/place/?q=place_id:ChIJ_65sKc0BwTsRFB-EHfoqGDU,part_132,2026-09-22 06:14:12
VELVET CAKE AND BAKERY,Bakery and Cake Shop,Cake shop,Cake shop,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 90961 23495,N/A,4.6,,"Tapowan, Kolhapur, Maharashtra 416007",Tapowan,16.6762491,74.2138908,ChIJdUElwaGrwTsRMJ7gOrhvCYo,https://www.google.com/maps/place/?q=place_id:ChIJdUElwaGrwTsRMJ7gOrhvCYo,part_132,2026-09-22 06:14:12
Masha bhai bakery,Bakery and Cake Shop,Restaurant,Restaurant,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 90672 04555,N/A,4.5,,"C , Ward, 853, Raviwar Peth, Laxmipuri, Kolhapur, Maharashtra 416012","Raviwar Peth, Laxmipuri",16.695924299999998,74.23056,ChIJx8aDrg0AwTsRaao6Vx6Ijg0,https://www.google.com/maps/place/?q=place_id:ChIJx8aDrg0AwTsRaao6Vx6Ijg0,part_132,2026-09-22 06:14:12
CakeBook Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",N/A,N/A,4.2,,"Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.7065952,74.2408576,ChIJ3cTN3GgBwTsRdfOsEAsCsgA,https://www.google.com/maps/place/?q=place_id:ChIJ3cTN3GgBwTsRdfOsEAsCsgA,part_132,2026-09-22 06:14:12
