business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Swagat Banquet,Banquet Hall,Banquet hall,Banquet hall,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 98814 98332,N/A,4.9,20.0,"1467, Konda Oal Rd, C ward, Laxmipuri, Kolhapur, Maharashtra 416002","C ward, Laxmipuri",16.700661,74.2291577,ChIJtVwFclgBwTsRIQIHWLyMoDs,https://www.google.com/maps/place/?q=place_id:ChIJtVwFclgBwTsRIQIHWLyMoDs,part_132,2026-09-22 06:14:31
Gurukrupa Banquets and lawn,Banquet Hall,Banquet hall,"Banquet hall, Community center, Wedding venue",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 98884 97272,N/A,4.2,529.0,"Plot No. 61/2, Ambewadi, Tal. Karveer, Dist. Kolhapur, Ambewadi, Kolhapur, Maharashtra 416229",416001,16.708390599999998,74.2123545,ChIJl0wqv4iqwTsRbdxBDRpoLO0,https://www.google.com/maps/place/?q=place_id:ChIJl0wqv4iqwTsRbdxBDRpoLO0,part_132,2026-09-22 06:14:31
Lotus Banquets & Lawns,Banquet Hall,Banquet hall,Banquet hall,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 96230 63853,N/A,4.6,184.0,"Exit Gate, Shahu Market Yard, Uchgaon, Maharashtra 416005",Shahu Market Yard,16.7037579,74.2697207,ChIJkRFUSZsBwTsR3-n5PogLd2Y,https://www.google.com/maps/place/?q=place_id:ChIJkRFUSZsBwTsR3-n5PogLd2Y,part_132,2026-09-22 06:14:31
Spree Kolhapur - Celebrate Banquet Hall,Banquet Hall,Banquet hall,Banquet hall,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 72598 45821,https://www.spreehotels.com/meeting-events/,4.9,11.0,"Rajaram Rd, E Ward, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.698656,74.2407453,ChIJBxmI6wABwTsRaQbm59rigO0,https://www.google.com/maps/place/?q=place_id:ChIJBxmI6wABwTsRaQbm59rigO0,part_132,2026-09-22 06:14:31
Megh Malhar Hall Kolhapur,Banquet Hall,Banquet hall,Banquet hall,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 231 255 5999,N/A,4.1,18.0,"2104/15, Old Pune-Bangalore Hwy, E Ward, Kolhapur, Maharashtra 416005","E Ward, Shahupuri",16.7037032,74.2501269,ChIJ78qj_0YAwTsRMy1m8Mr85pE,https://www.google.com/maps/place/?q=place_id:ChIJ78qj_0YAwTsRMy1m8Mr85pE,part_132,2026-09-22 06:14:31
Ideal Banquet Hall Kolhapur,Banquet Hall,Banquet hall,Banquet hall,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 72180 07259,http://www.theidealconstruction.co.in/,4.9,12.0,"opposite to Ideal Colony, Kolhapur, Maharashtra 416010",416001,16.7024672,74.2009528,ChIJi9HyrBOrwTsR3rNnB3NAEe8,https://www.google.com/maps/place/?q=place_id:ChIJi9HyrBOrwTsR3rNnB3NAEe8,part_132,2026-09-22 06:14:31
Madhusudan Hall,Banquet Hall,Event venue,Event venue,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 90110 33737,N/A,4.1,241.0,"392E Ward, Near Basant Bahar Theatre, Assembly Rd, New Shahupuri, Kolhapur, Maharashtra 416001",New Shahupuri,16.704152699999998,74.2347905,ChIJxyMGEmwAwTsRu5lb_E0wOp4,https://www.google.com/maps/place/?q=place_id:ChIJxyMGEmwAwTsRu5lb_E0wOp4,part_132,2026-09-22 06:14:31
Shri Mahalaxmi Sanskrutit Bhavan,Banquet Hall,Banquet hall,Banquet hall,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",N/A,N/A,4.1,21.0,"M6XV+WQH, Shahupuri, Sykes Extension, Kolhapur, Maharashtra 416001",Sykes Extension,16.699805899999998,74.24447769999999,ChIJg13oeD8AwTsRnCUBq1_vl9c,https://www.google.com/maps/place/?q=place_id:ChIJg13oeD8AwTsRnCUBq1_vl9c,part_132,2026-09-22 06:14:31
Shubhamkaroti Sanskrutik Bhavan,Banquet Hall,Banquet hall,"Banquet hall, Event venue",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 98223 34682,N/A,4.1,562.0,"2804 /B, Keshavrao Baba Sawant Park, near Jayprabha Studio, Padmala, Kolhapur, Maharashtra 416012","Race Course Naka, Padmala",16.6853597,74.2294981,ChIJ2QwlMwUAwTsRKzUhrMFSPYg,https://www.google.com/maps/place/?q=place_id:ChIJ2QwlMwUAwTsRKzUhrMFSPYg,part_132,2026-09-22 06:14:31
Sai Prakash AC/NON AC Banquet Hall -Hotel Saija,Banquet Hall,Banquet hall,Banquet hall,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 91622 49090,N/A,4.9,31.0,"3rd Floor, Hotel Saija, Plot no 121, Saneguruji Vasahat, Kanerkar Nagar, Kolhapur, Maharashtra 416011","Saneguruji Vasahat, Kanerkar Nagar",16.6768187,74.2053711,ChIJ7UXEte6rwTsRtKrL-Eeazjc,https://www.google.com/maps/place/?q=place_id:ChIJ7UXEte6rwTsRtKrL-Eeazjc,part_132,2026-09-22 06:14:31
