business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
kks basket Delhi streets,North Indian Restaurant,North Indian restaurant,North Indian restaurant,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 77989 24677,N/A,4.4,,"below so what showroom, beside rupali opticals oppsite hotel yellow chilli, Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.7120391,74.2448258,ChIJa4VziN0BwTsRM1UCoCYKoVw,https://www.google.com/maps/place/?q=place_id:ChIJa4VziN0BwTsRM1UCoCYKoVw,part_132,2026-09-22 06:14:13
Kababiya Thalis & More,North Indian Restaurant,North Indian restaurant,North Indian restaurant,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 70660 03330,N/A,4.0,,"Near kelvakar Medical Centre, Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.711510999999998,74.240676,ChIJ39RM_WcAwTsRwYHDY81tBO0,https://www.google.com/maps/place/?q=place_id:ChIJ39RM_WcAwTsRwYHDY81tBO0,part_132,2026-09-22 06:14:13
Hotel Manora,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Chicken restaurant, Children's cafe, Chinese restaurant, Family restaurant, Kebab shop, Non Vegetarian Restaurant, Soup shop, Vegetarian restaurant",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 77440 44060,http://hotelmanora.com/,4.1,,"Ring Road, near SSC Board Road, Rajendra Nagar, Kolhapur, Maharashtra 416007",Rajendra Nagar,16.675663099999998,74.2416306,ChIJrRxK3t__wDsRLNcqNKdp_oU,https://www.google.com/maps/place/?q=place_id:ChIJrRxK3t__wDsRLNcqNKdp_oU,part_132,2026-09-22 06:14:13
Khavayya Dinning,North Indian Restaurant,Maharashtrian Restaurant,"Maharashtrian Restaurant, Gujarati restaurant, Vegetarian restaurant",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 99234 18809,N/A,4.1,,"1399, C, Balaji Heights Road, opp. Shradhanand Hall, Laxmipuri, Kolhapur, Maharashtra 416002",Laxmipuri,16.6993968,74.22917269999999,ChIJfcEmrHIAwTsRcUdsASlZfHk,https://www.google.com/maps/place/?q=place_id:ChIJfcEmrHIAwTsRcUdsASlZfHk,part_132,2026-09-22 06:14:13
Hotel Ramkrishna Corner,North Indian Restaurant,North Indian restaurant,North Indian restaurant,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 74679 99777,N/A,4.0,,"Channel Office, Kolhapur Station Road, opp. B, Vyaparipeth, Shahupuri, Kolhapur, Maharashtra 416001","Vyaparipeth, Shahupuri",16.7026856,74.23425069999999,ChIJZb9vEmUBwTsRLTBosrZw-yE,https://www.google.com/maps/place/?q=place_id:ChIJZb9vEmUBwTsRLTBosrZw-yE,part_132,2026-09-22 06:14:13
Orange Hotel AC Family Restaurant,North Indian Restaurant,North Indian restaurant,North Indian restaurant,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 77989 72000,N/A,3.8,,"Back to sakaal office, Near, big bazar, Yadav Nagar, Kolhapur, Maharashtra 416008",Yadav Nagar,16.6970038,74.2347395,ChIJr4SmHf0BwTsRuKPVid9MSh8,https://www.google.com/maps/place/?q=place_id:ChIJr4SmHf0BwTsRuKPVid9MSh8,part_132,2026-09-22 06:14:13
Sharawati -The taste of Karavali,North Indian Restaurant,Seafood restaurant,"Seafood restaurant, Kerala restaurant, Punjabi restaurant",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 70833 17799,N/A,4.4,,"Kolhapur Station Rd, New Shahupuri, Kolhapur, Maharashtra 416001",New Shahupuri,16.7032393,74.2352229,ChIJSekTIaIBwTsRs4PFwQu5PGU,https://www.google.com/maps/place/?q=place_id:ChIJSekTIaIBwTsRs4PFwQu5PGU,part_132,2026-09-22 06:14:13
Hotel Castle,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Coffee shop, Fast food restaurant, Sandwich shop",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 231 252 0343,N/A,4.0,,"2nd Ln, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Mahalaxminagar, Rajarampuri",16.6970691,74.2415242,ChIJa7O_Kj4AwTsR4V-32s-8wiA,https://www.google.com/maps/place/?q=place_id:ChIJa7O_Kj4AwTsR4V-32s-8wiA,part_132,2026-09-22 06:14:13
Hotel Prarthana Deluxe,North Indian Restaurant,Restaurant,"Restaurant, Breakfast restaurant, Maharashtrian Restaurant, Punjabi restaurant, South Indian restaurant, Vegetarian restaurant",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 231 264 1396,N/A,4.0,,"Ward - C, Hote prarthana deluxe,1398, Laxmipuri, Kolhapur, Maharashtra 416002",Laxmipuri,16.6995047,74.2290214,ChIJg_K3rXIAwTsRaGzdTRlbcIA,https://www.google.com/maps/place/?q=place_id:ChIJg_K3rXIAwTsRaGzdTRlbcIA,part_132,2026-09-22 06:14:13
The Daffodils Family Restaurant,North Indian Restaurant,North Indian restaurant,North Indian restaurant,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 79728 28789,N/A,5.0,,"Manisha housing society, Ring road, near Manora Hotel, Salunkhe Nagar, Rajendra Nagar, chatrpati Sambhaji nagar, Kolhapur, Maharashtra 416007","Salunkhe Nagar, Rajendra Nagar",16.67539,74.24135009999999,ChIJLbhtrsL_wDsREF0D8ENg4TY,https://www.google.com/maps/place/?q=place_id:ChIJLbhtrsL_wDsREF0D8ENg4TY,part_132,2026-09-22 06:14:13
