business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Suraj Steel Fabricators Engineers and Erectors,Steel Fabrication Workshop,Fabrication Engineer,Fabrication Engineer,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 98906 75077,N/A,4.6,,"Plot no G, 103, Kagal 5 Star MIDC Industrial Area, Kagal, Randivewadi, Maharashtra 416203",Kagal 5 Star MIDC Industrial Area,16.6030737,74.3846643,ChIJa6roC039wDsR1vHY-Jn7KZo,https://www.google.com/maps/place/?q=place_id:ChIJa6roC039wDsR1vHY-Jn7KZo,part_132,2026-09-22 06:14:41
Head office- Matrix Grating Pvt. Ltd.,Steel Fabrication Workshop,Manufacturer,Manufacturer,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 90751 77999,http://www.matrixgrating.co.in/,4.6,,"Plot no 13, Loknete Sadashivrao Mandlik Marg, Near BSNL office, Samrat Nagar, Kolhapur, Maharashtra 416008",Samrat Nagar,16.6810377,74.24349289999999,ChIJ_____28YwTsRjCtARiS0dEA,https://www.google.com/maps/place/?q=place_id:ChIJ_____28YwTsRjCtARiS0dEA,part_132,2026-09-22 06:14:41
S. B. ENGINEERS,Steel Fabrication Workshop,Industrial equipment supplier,"Industrial equipment supplier, Business center",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",N/A,https://sbengineer.tradeindia.com/,3.7,,"Plot no F -56, Pulachi, MIDC, Shiroli, Gokul Shirgaon, Maharashtra 416234","Pulachi, MIDC",16.6415898,74.2809142,ChIJB8znSS8BwTsRaVyFQ5QDC4c,https://www.google.com/maps/place/?q=place_id:ChIJB8znSS8BwTsRaVyFQ5QDC4c,part_132,2026-09-22 06:14:41
Mahalaxmi pipe Bending,Steel Fabrication Workshop,Pipe Manufacturer,Pipe Manufacturer,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 70573 49349,N/A,5.0,,"E Ward, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.6998011,74.23601959999999,ChIJabInAGEBwTsRXfB7wX7zbzQ,https://www.google.com/maps/place/?q=place_id:ChIJabInAGEBwTsRXfB7wX7zbzQ,part_132,2026-09-22 06:14:41
Proflex Industries,Steel Fabrication Workshop,Manufacturer,Manufacturer,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 99708 46824,http://proflexindus.com/,5.0,,"Kagal 5 Star, Plot # H1, MIDC Industrial Area, Tarabai Park, Kagal, Kolhapur, Maharashtra 416003","MIDC Industrial Area, Tarabai Park",16.705032199999998,74.2426567,ChIJbSZc41T5wDsRSKiYnczW8HM,https://www.google.com/maps/place/?q=place_id:ChIJbSZc41T5wDsRSKiYnczW8HM,part_132,2026-09-22 06:14:41
The Kolhapur Metals,Steel Fabrication Workshop,Machine workshop,Machine workshop,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 99234 57739,https://www.kolhapurmetals.com/,4.2,,"30/1, MIDC, Gokul Shirgaon, Tamgaon, Maharashtra 416234",MIDC,16.645341,74.29711929999999,ChIJWdO5Ifj_wDsRyOfIabZeu9g,https://www.google.com/maps/place/?q=place_id:ChIJWdO5Ifj_wDsRyOfIabZeu9g,part_132,2026-09-22 06:14:41
Patil Engineering Industries - Manufacturer of Machinery Parts,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Machine shop, Machinery parts manufacturer, Machining manufacturer, Metal processing company, Machine workshop",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",N/A,N/A,5.0,,"Patil Engineering Industries, F-46, MIDC, Gokul Shirgaon, Tamgaon, Maharashtra 416234","F-46, MIDC",16.6453287,74.29490729999999,ChIJZZugvuj_wDsRNkCzs-dBlNs,https://www.google.com/maps/place/?q=place_id:ChIJZZugvuj_wDsRNkCzs-dBlNs,part_132,2026-09-22 06:14:41
"Sushito enterprises power tool, hand tools, safety equipments &Agricultural machines Repairing Workshop",Steel Fabrication Workshop,Machine shop,Machine shop,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 94042 63781,N/A,4.2,,"G-2, Station Road, New Shahupuri, Kolhapur, Maharashtra 416001",New Shahupuri,16.704456999999998,74.24060779999999,ChIJUcL1ZJABwTsRFn7iJk9f6A8,https://www.google.com/maps/place/?q=place_id:ChIJUcL1ZJABwTsRFn7iJk9f6A8,part_132,2026-09-22 06:14:41
Tulip Casting Pvt. Ltd.,Steel Fabrication Workshop,Foundry,Foundry,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 230 246 8334,http://www.tulipcasting.in/,3.8,,"Plot No. 29, MIDC, Shiroli, Kolhapur, Maharashtra 416122",MIDC,16.759991,74.27424479999999,ChIJtXDCfy8BwTsRBp22SJFnk6Q,https://www.google.com/maps/place/?q=place_id:ChIJtXDCfy8BwTsRBp22SJFnk6Q,part_132,2026-09-22 06:14:41
Gnat Foundry Pvt Ltd,Steel Fabrication Workshop,Manufacturer,Manufacturer,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 230 246 8026,N/A,3.5,,"4/1 M I D C Shiroli (Pulachi, Kolhapur, Maharashtra 416122",MIDC,16.7549362,74.27842559999999,ChIJ_____yIBwTsRu014wuC-lU0,https://www.google.com/maps/place/?q=place_id:ChIJ_____yIBwTsRu014wuC-lU0,part_132,2026-09-22 06:14:41
