business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Natural Stones-RAK Ceramics,Tile and Marble Showroom,Tile store,"Tile store, Interior Decorator, Wood and laminate flooring supplier",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 99234 60636,http://www.naturalstonetiles.in/,4.6,,"1st floor, Shivaji Udyam Nagar.Shelke tower, behind, big bazzar, Kolhapur, Maharashtra 416008",Shivaji Udyam Nagar,16.6970953,74.233947,ChIJ8bCgWp4BwTsRiTW6kL3DsHo,https://www.google.com/maps/place/?q=place_id:ChIJ8bCgWp4BwTsRiTW6kL3DsHo,part_132,2026-09-22 06:14:25
Natural Marbles,Tile and Marble Showroom,Ceramics wholesaler,Ceramics wholesaler,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 230 246 2092,http://www.naturalstonetiles.in/,4.8,,"Shiroli Phata, Sangli Road, near Jain Mandir, Kolhapur, Maharashtra 416122",416001,16.7318906,74.2869662,ChIJP6FpzrMBwTsRypI5D8wQv1k,https://www.google.com/maps/place/?q=place_id:ChIJP6FpzrMBwTsRypI5D8wQv1k,part_132,2026-09-22 06:14:25
Shree Swami Samarth Marble & Tiles,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Marble supplier",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",N/A,N/A,4.3,,"Dining Villa Balinga, Road, New, near Shivtej Hotel, in front of Hotel, New Nagadev Wadi, Nagadev Wadi, Kolhapur, Maharashtra 416010",New Nagadev Wadi,16.692144,74.18356849999999,ChIJ_aJzWv2rwTsRk-QfK-BFjYI,https://www.google.com/maps/place/?q=place_id:ChIJ_aJzWv2rwTsRk-QfK-BFjYI,part_132,2026-09-22 06:14:25
Shree Marble Centre & Italian World,Tile and Marble Showroom,Marble supplier,Marble supplier,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 90497 63931,https://www.instagram.com/shreemarblecentre?igsh=eTZlbHo0ZXZ0bHE0,4.6,,"Plot no.102/2/1, Shiroli, Maharashtra 416122",416001,16.732922,74.2877022,ChIJUzQltwwBwTsRXIUR7D0sOuw,https://www.google.com/maps/place/?q=place_id:ChIJUzQltwwBwTsRXIUR7D0sOuw,part_132,2026-09-22 06:14:25
Coral Tiles Company Depot,Tile and Marble Showroom,Tile manufacturer,Tile manufacturer,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 75882 68800,N/A,4.2,,"Plot No, 4652, Kolhapur - Sangli Hwy, opp. Jain Temple, Shiroli, Maharashtra 416122",416001,16.7331848,74.2879562,ChIJAftzsQwBwTsROmjLYn-FXXI,https://www.google.com/maps/place/?q=place_id:ChIJAftzsQwBwTsROmjLYn-FXXI,part_132,2026-09-22 06:14:25
Desai Tiles,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Building designer, Cement Supplier, Ceramics wholesaler, Construction Material Wholesaler, Countertop store, Granite supplier, Interior designer, Showroom",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 93229 59559,https://www.instagram.com/desaitiles/,5.0,,"Balinge, Rd, near HP petrol pump, New Nagdevwadi, Kolhapur, Maharashtra 416010",New Nagdevwadi,16.691789099999998,74.1800825,ChIJ80bBnRerwTsRyOCmVIvAjQU,https://www.google.com/maps/place/?q=place_id:ChIJ80bBnRerwTsRyOCmVIvAjQU,part_132,2026-09-22 06:14:25
SHYAM TILES,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Building materials supplier, Flooring store, Granite supplier, Marble supplier",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 94267 19454,http://shyamtile.in/,4.4,,"Shiroli Marbel Line Main Road Hatkanagle Road, Shiroli, Maharashtra 416122",416001,16.7333772,74.2881603,ChIJmS9CJukBwTsRAfw8z6LDxNc,https://www.google.com/maps/place/?q=place_id:ChIJmS9CJukBwTsRAfw8z6LDxNc,part_132,2026-09-22 06:14:25
Krishna Marble & Granite,Tile and Marble Showroom,Granite supplier,Granite supplier,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 93722 47401,N/A,5.0,,"House No. 4602, 89/1, Plot Number 88, Kolhapur - Sangli Hwy, Shiroli, Maharashtra 416122",416001,16.7356813,74.2912906,ChIJG9NXVHIBwTsR-uWXgOMSic4,https://www.google.com/maps/place/?q=place_id:ChIJG9NXVHIBwTsR-uWXgOMSic4,part_132,2026-09-22 06:14:25
Rajlaxmi Tiles & Granite,Tile and Marble Showroom,Tile store,Tile store,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 75594 74737,N/A,4.6,,"P7PR+8X7, Shiroli, Maharashtra 416122",416001,16.735791199999998,74.2924345,ChIJR0xAV9ABwTsRrhlnsZmiakU,https://www.google.com/maps/place/?q=place_id:ChIJR0xAV9ABwTsRrhlnsZmiakU,part_132,2026-09-22 06:14:25
GALAXY DECOR,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Home improvement store, Tile contractor",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 93266 22444,N/A,4.9,,"Kolhapur-Sangali road , Shiroli, Kolhapur, Maharashtra 416122",416001,16.7355388,74.2916908,ChIJe-eYqnMBwTsRjJMP-pwt2zE,https://www.google.com/maps/place/?q=place_id:ChIJe-eYqnMBwTsRjJMP-pwt2zE,part_132,2026-09-22 06:14:25
India Tile Gallery,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Ceramics wholesaler, Flooring store, Interior Decorator",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 83295 31090,https://stores.hrjohnsonindia.com/hr-johnson/kolhapur/mouje-nagaon/h-r-johnson-tiles-dealer-india-tile-gallery-best-tiles-store-for-bathroom-kitchen-wall-floor-in-mouje-nagaon-kolhapur--c55df1f4-8260-42d6-93e5-d66c38db13e1/photos-and-videos,4.3,,"Service Road, Opp Shiroli MIDC, Mayur PHata, Near Mahindra Showroom, Kolhapur, Maharashtra 416122",416001,16.758484,74.279117,ChIJ595F8ToBwTsR2PiLPXmJQR4,https://www.google.com/maps/place/?q=place_id:ChIJ595F8ToBwTsR2PiLPXmJQR4,part_132,2026-09-22 06:14:25
Simpolo Tiles & Bathware - Decor,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 80 3701 4202,https://stores.simpolo.com/simpolo/stores-in-kolhapur/stores-in-sambhaji-nagar/simpolo-tiles-bathware-decor-in-sambhaji-nagar-kolhapur--443d8fca-82b2-4901-b1be-30517a550093/home,4.5,,"Timber Market, Sane Guruji Branch, Plot No 712/11, nearby Saraswat Bank, Sambhaji Nagar, Kolhapur, Maharashtra 416012",Sambhaji Nagar,16.6829751,74.22009779999999,ChIJR3dIRosBwTsRlRpCQ01AtXk,https://www.google.com/maps/place/?q=place_id:ChIJR3dIRosBwTsRlRpCQ01AtXk,part_132,2026-09-22 06:14:25
Manwani Tiles LLP,Tile and Marble Showroom,Tile store,Tile store,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 98810 66166,N/A,5.0,,"Marble line, Gat No 85, Sangli Kolhapur road, Sangli naka, near swami Samarth temple, Shiroli, Maharashtra 416122",416001,16.734538,74.290622,ChIJLRtaGIEBwTsRx8OaNraeKkU,https://www.google.com/maps/place/?q=place_id:ChIJLRtaGIEBwTsRx8OaNraeKkU,part_132,2026-09-22 06:14:25
ESSCO Authorised Dealer - Akash Ceramics,Tile and Marble Showroom,Bathroom supply store,"Bathroom supply store, Home improvement store, Kitchen supply store, Shower door shop",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 8071 820 755,https://dealers.esscobathware.com/essco-bathware/kolhapur/Gandhi-Nagar/essco-authorised-dealer-akash-ceramics-in-Gandhi-Nagar-kolhapur--47Vw0j/home,3.9,,"nearby Bharat Petrol Pump, Nigade Wadi, Gandhinagar, Kolhapur, Maharashtra 416119",Nigade Wadi,16.7072161,74.2859254,ChIJq9RSwpQBwTsRUGtiMfLPAh0,https://www.google.com/maps/place/?q=place_id:ChIJq9RSwpQBwTsRUGtiMfLPAh0,part_132,2026-09-22 06:14:25
India Mozaic Tiles,Tile and Marble Showroom,Tile store,Tile store,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 230 246 8280,N/A,4.2,,"Plot No 24, 25, MIDC, Shiroli MIDC, Maharashtra 416122",MIDC,16.7570686,74.2732225,ChIJ_____yIBwTsRzTh-uVVZBoI,https://www.google.com/maps/place/?q=place_id:ChIJ_____yIBwTsRzTh-uVVZBoI,part_132,2026-09-22 06:14:25
Natural Traders-EMCER TILES,Tile and Marble Showroom,Tile store,Tile store,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 87939 32999,http://www.naturalgroupkolhapur.com/,4.6,,"C S 63, Near Hotel Shivtara, Sangli Kolhapur Road, Shiroli Phata, Shiroli, Maharashtra 416122",416001,16.7360286,74.2926803,ChIJGwmAFRgBwTsRzNe5Wkxj6MI,https://www.google.com/maps/place/?q=place_id:ChIJGwmAFRgBwTsRzNe5Wkxj6MI,part_132,2026-09-22 06:14:25
Balaji tiles,Tile and Marble Showroom,Tile store,Tile store,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 77559 53177,https://stores.hrjohnsonindia.com/tiles-shop/kolhapur/shiroli/h-r-johnson-balaji-tiles-in-shiroli-kolhapur--13827b5e-3621-43ca-8c63-30978dadb56b/home,3.9,,"Kolhapur - Sangli Hwy, Shiroli, Maharashtra 416122",416001,16.731212799999998,74.2850433,ChIJWxFjheABwTsR4yG62yzYWjY,https://www.google.com/maps/place/?q=place_id:ChIJWxFjheABwTsR4yG62yzYWjY,part_132,2026-09-22 06:14:25
