business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Arjunmal Seth Hundraj And Sons,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 99222 76666,N/A,4.2,27.0,"Shahu Market Yard, Kolhapur, Maharashtra 416005",Shahu Market Yard,16.7027754,74.26571059999999,ChIJ80gTRbUBwTsRmcfoz5XAhZs,https://www.google.com/maps/place/?q=place_id:ChIJ80gTRbUBwTsRmcfoz5XAhZs,part_132,2026-09-22 06:14:46
HARIPRASAD TRADERS,Wholesale Market / Mandi,Wholesale grocer,"Wholesale grocer, Wholesale market",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 95035 69346,N/A,4.7,,"GALA NO. 7, SHREE, STATE BANK ROAD, near CUSTOM OFFICE, Shahu Market Yard, Kolhapur, Maharashtra 416005",Shahu Market Yard,16.7045659,74.2646098,ChIJx5QZ2rQBwTsRExd6bwvamjQ,https://www.google.com/maps/place/?q=place_id:ChIJx5QZ2rQBwTsRExd6bwvamjQ,part_132,2026-09-22 06:14:46
BALAJI VEGETABLES,Wholesale Market / Mandi,General store,"General store, Supermarket",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 83290 21505,N/A,4.5,,"Bhaji Mandai, Main Road, near Narayani Oil Depo, Nana Patil Nagar, Kolhapur, Maharashtra 416011",Nana Patil Nagar,16.6678527,74.19432069999999,ChIJoxm2N_xVwDsRmcg41fih23Q,https://www.google.com/maps/place/?q=place_id:ChIJoxm2N_xVwDsRmcg41fih23Q,part_132,2026-09-22 06:14:46
Laxmipuri Juna Bazar,Wholesale Market / Mandi,Auto market,Auto market,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",N/A,N/A,4.0,,"M6XH+JP2, Shastrinagar, Laxmipuri, Kolhapur, Maharashtra 416002","Shastrinagar, Laxmipuri",16.6990213,74.2292554,ChIJQxtoUw0AwTsRhYB4YVjAvnE,https://www.google.com/maps/place/?q=place_id:ChIJQxtoUw0AwTsRhYB4YVjAvnE,part_132,2026-09-22 06:14:46
Nandakumar khatavkar (wholesale grains dealers ),Wholesale Market / Mandi,Market,Market,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 98507 17006,N/A,5.0,,"Shastrinagar, Laxmipuri, Kolhapur, Maharashtra 416002","Shastrinagar, Laxmipuri",16.698919699999998,74.229739,ChIJxcgJsfwBwTsRO-PZ9AZkyqI,https://www.google.com/maps/place/?q=place_id:ChIJxcgJsfwBwTsRO-PZ9AZkyqI,part_132,2026-09-22 06:14:46
Kolhapur Eggs Shop- Rajnandini Eggs Store,Wholesale Market / Mandi,Egg supplier,"Egg supplier, Fresh food market",416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 86003 99589,N/A,4.5,8.0,"Shop No 1, Bhaji Mandi Main Road, near Rajarampuri, Rajarampuri, Kolhapur, Maharashtra 416008",Rajarampuri,16.6912608,74.2439665,ChIJ_eW_MCYBwTsRmP3VF1Z-uVE,https://www.google.com/maps/place/?q=place_id:ChIJ_eW_MCYBwTsRmP3VF1Z-uVE,part_132,2026-09-22 06:14:47
SURYA KULFI REGISTERED,Wholesale Market / Mandi,Market,Market,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 79725 31472,N/A,4.5,2.0,"Jadhavwadi, Kolhapur, Maharashtra 416005",Jadhavwadi,16.7076954,74.2673535,ChIJG-gpWFIBwTsR-t0nx67twXM,https://www.google.com/maps/place/?q=place_id:ChIJG-gpWFIBwTsR-t0nx67twXM,part_132,2026-09-22 06:14:47
Kolhapur Agricultural Produce Market Committee,Wholesale Market / Mandi,Agricultural association,Agricultural association,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 231 265 1404,http://www.apmckolhapur.com/contact-us,4.1,8.0,"P64X+MPG, Kolhapur Station Rd, Nimbalkar Colony, Shahu Market Yard, Kolhapur, Maharashtra 416003","Nimbalkar Colony, Shahu Market Yard",16.7066821,74.24932369999999,ChIJBzB-JkQAwTsR7RJNdLRfZ-o,https://www.google.com/maps/place/?q=place_id:ChIJBzB-JkQAwTsR7RJNdLRfZ-o,part_132,2026-09-22 06:14:47
Bhaji Market,Wholesale Market / Mandi,Grocery store,Grocery store,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",N/A,N/A,3.7,27.0,"Vikramnagar, Kolhapur, Maharashtra 416005",Vikramnagar,16.7003008,74.26328869999999,ChIJww-yajUAwTsRK0EPddYC-FI,https://www.google.com/maps/place/?q=place_id:ChIJww-yajUAwTsRK0EPddYC-FI,part_132,2026-09-22 06:14:47
Shailesh Nursery,Wholesale Market / Mandi,Plant nursery,Plant nursery,416001,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kolhapur RS S.O, Are B.O, Bachani B.O",+91 98818 74448,http://www.shaileshnursery.com/,4.4,360.0,"Malkapur, Yelur, Maharashtra 415101",416001,16.93767,73.910394,ChIJT8aI2ce-wTsRCLYZeCkL1YU,https://www.google.com/maps/place/?q=place_id:ChIJT8aI2ce-wTsRCLYZeCkL1YU,part_132,2026-09-22 06:14:48
