business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Om Ganesh Electricals and Hardware,Hardware Store,Hardware store,Hardware store,416006,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kasba Bavada S.O,N/A,N/A,4.3,,"P6HV+F9X, Indumati Rd, Trymboli Colony, Shree Colony, Line Bazar, Kolhapur, Maharashtra 416006","Trymboli Colony, Shree Colony, Line Bazar",16.7287356,74.24348599999999,ChIJhQ2WiQIBwTsRhOHyM8wHpVg,https://www.google.com/maps/place/?q=place_id:ChIJhQ2WiQIBwTsRhOHyM8wHpVg,part_132,2026-09-22 06:17:28
B R Traders,Hardware Store,Hardware store,Hardware store,416006,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kasba Bavada S.O,+91 94230 40318,N/A,3.8,,"P6PV+3J6, Kasaba Bawada, Kolhapur, Maharashtra 416006",Kasaba Bawada,16.7351524,74.2440199,ChIJN_GQee0AwTsR8pzaXAz_xtU,https://www.google.com/maps/place/?q=place_id:ChIJN_GQee0AwTsR8pzaXAz_xtU,part_132,2026-09-22 06:17:28
SUPREME TOOLS AND HARDWARE,Hardware Store,Hardware store,Hardware store,416006,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kasba Bavada S.O,+91 96042 59270,N/A,4.0,,"SHOP NO 1 P36 BEHIND SATANDERT PLATES SHIROLI, MIDC, Kolhapur, Maharashtra 416122",MIDC,16.7508442,74.2760572,ChIJiwDZHj0BwTsRXX8pY1zMK24,https://www.google.com/maps/place/?q=place_id:ChIJiwDZHj0BwTsRXX8pY1zMK24,part_132,2026-09-22 06:17:28
Shri.Kedarling Hardware,Hardware Store,Hardware store,"Hardware store, Paint store",416006,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kasba Bavada S.O,+91 98605 46882,N/A,3.2,,"Shiroli, Maharashtra 416122",416006,16.7349137,74.27901709999999,ChIJo-_erg8BwTsR9NQmkiO8MeU,https://www.google.com/maps/place/?q=place_id:ChIJo-_erg8BwTsR9NQmkiO8MeU,part_132,2026-09-22 06:17:28
Shree Ganesh Traders,Hardware Store,Hardware store,Hardware store,416006,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kasba Bavada S.O,+91 91120 54140,N/A,5.0,,"Near bhuyekar Patil petrol pump,shiye, Main Rd, Bhuye, Kolhapur, Maharashtra 416229",416006,16.7698298,74.2357638,ChIJVYf9yJgHwTsRwuMdEYiUnrI,https://www.google.com/maps/place/?q=place_id:ChIJVYf9yJgHwTsRwuMdEYiUnrI,part_132,2026-09-22 06:17:28
Laxmi Hardware,Hardware Store,Hardware store,Hardware store,416006,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kasba Bavada S.O,+91 92712 41920,N/A,4.5,,"Hanuman Nagar, Kasaba Bawada Main Rd, Shiye, Maharashtra 416122",416006,16.760991399999998,74.2655133,ChIJKe7CtNgBwTsRC9s6SG1Wl74,https://www.google.com/maps/place/?q=place_id:ChIJKe7CtNgBwTsRC9s6SG1Wl74,part_132,2026-09-22 06:17:28
BAJRANG STEEL AND MODULAR FURNITURE,Hardware Store,Hardware store,Hardware store,416006,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kasba Bavada S.O,+91 91169 22729,N/A,4.8,,"Shop No 1, Shiye Road, opposite Golden Hotel, Kasaba Bawada, Kolhapur, Maharashtra 416006",Kasaba Bawada,16.7475582,74.2505797,ChIJnVtBq88BwTsRarICEaYLgqY,https://www.google.com/maps/place/?q=place_id:ChIJnVtBq88BwTsRarICEaYLgqY,part_132,2026-09-22 06:17:28
S S BREAKER SERVICES,Hardware Store,Hardware store,"Hardware store, Auto parts store, Auto repair shop",416006,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kasba Bavada S.O,+91 93731 85435,N/A,4.1,,"PLOT NO.104 BACK SIDE E WARD, Ruikar Colony, Kolhapur, Maharashtra 416005",Ruikar Colony,16.7069746,74.2548194,ChIJ9TuyNU8AwTsRcA6sBZDjjI0,https://www.google.com/maps/place/?q=place_id:ChIJ9TuyNU8AwTsRcA6sBZDjjI0,part_132,2026-09-22 06:17:30
Samarth Enterprises,Hardware Store,Tool store,Tool store,416006,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kasba Bavada S.O,+91 94224 19818,N/A,4.4,,"Highway Bridge, 2313 At post Nagoan, opposite Hind Geat Industry, MIDC, Shiroli, Kolhapur, Maharashtra 416122",MIDC,16.758675,74.279099,ChIJe7hC8zoBwTsRx2Ev7ruadpU,https://www.google.com/maps/place/?q=place_id:ChIJe7hC8zoBwTsRx2Ev7ruadpU,part_132,2026-09-22 06:17:30
LAXMI PNEUMATICS,Hardware Store,Hardware store,Hardware store,416006,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kasba Bavada S.O,+91 93266 01856,https://laxmipneumatics.in/,4.4,,"Shop No 31 Near Mahadik Bagalo Main Road Pulachi Shiroli Pulachi, Shiroli, Maharashtra 416122",416006,16.7398252,74.2822843,ChIJUcLJ09ABwTsRyZrBv2VQFs4,https://www.google.com/maps/place/?q=place_id:ChIJUcLJ09ABwTsRyZrBv2VQFs4,part_132,2026-09-22 06:17:30
