business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Takali English Medium School,Sainik Takali",School,CBSE School,"CBSE School, Elementary school, Kindergarten School, Middle school, Nursery school, Playgroup, Primary school, Private educational institution",416107,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattawad S.O, Danwad B.O, Ghosarwad B.O",+91 88884 40092,N/A,,,"Sainik Takli, Maharashtra 416108",416107,16.609807699999998,74.6117587,ChIJH19L2ePdwDsRCic4PB0sfio,https://www.google.com/maps/place/?q=place_id:ChIJH19L2ePdwDsRCic4PB0sfio,part_132,2026-09-22 06:26:05
Siddharth Anganwadi,School,Kindergarten School,Kindergarten School,416107,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattawad S.O, Danwad B.O, Ghosarwad B.O",N/A,N/A,3.0,,"HJQ4+86H, Danwad, Maharashtra 416107",416107,16.5883189,74.60561419999999,ChIJ_RYDN-3dwDsRGb-7FfN-LEY,https://www.google.com/maps/place/?q=place_id:ChIJ_RYDN-3dwDsRGb-7FfN-LEY,part_132,2026-09-22 06:26:05
Primary School,School,Primary school,Primary school,416107,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattawad S.O, Danwad B.O, Ghosarwad B.O",N/A,N/A,,,"HHPH+R4C, Dattawad, Maharashtra 416107",416107,16.5870635,74.57778119999999,ChIJYXOuvhPnwDsR_OTehsd-hsA,https://www.google.com/maps/place/?q=place_id:ChIJYXOuvhPnwDsR_OTehsd-hsA,part_132,2026-09-22 06:26:05
Girls Highschool Sainik Takali,School,Girls' high school,Girls' high school,416107,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattawad S.O, Danwad B.O, Ghosarwad B.O",N/A,N/A,,,"A/P, Sainik Takli, Maharashtra 416108",416107,16.6114621,74.6184415,ChIJITuqtN_dwDsRiP6mvrMKME0,https://www.google.com/maps/place/?q=place_id:ChIJITuqtN_dwDsRiP6mvrMKME0,part_132,2026-09-22 06:26:05
Chatrapati Shivaji High School,School,Higher secondary school,Higher secondary school,416107,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattawad S.O, Danwad B.O, Ghosarwad B.O",N/A,N/A,,,"JJ79+5X9, Sainik Takli, Maharashtra 416108",416107,16.6129127,74.6199994,ChIJIQ2_DN_dwDsRR7kWgMdKq2w,https://www.google.com/maps/place/?q=place_id:ChIJIQ2_DN_dwDsRR7kWgMdKq2w,part_132,2026-09-22 06:26:05
Kumar vidhya mandir,School,Primary school,Primary school,416107,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattawad S.O, Danwad B.O, Ghosarwad B.O",N/A,N/A,,,"HJQ2+2G8, Danwad, Maharashtra 416107",416107,16.5875371,74.6013378,ChIJF0H9-JvdwDsRhoLFph9ZbhQ,https://www.google.com/maps/place/?q=place_id:ChIJF0H9-JvdwDsRhoLFph9ZbhQ,part_132,2026-09-22 06:26:05
"Kumar Vidya Mandir, Ghosarwad",School,Elementary school,Elementary school,416107,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattawad S.O, Danwad B.O, Ghosarwad B.O",N/A,N/A,,,"JH75+MHQ, Ghosarwad, Maharashtra 416107",416107,16.614214399999998,74.5589995,ChIJRwJFfADhwDsRrRP3qXi3IwE,https://www.google.com/maps/place/?q=place_id:ChIJRwJFfADhwDsRrRP3qXi3IwE,part_132,2026-09-22 06:26:05
"A.N.Neje Highschool, Dattawad",School,High school,High school,416107,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattawad S.O, Danwad B.O, Ghosarwad B.O",N/A,N/A,,,"HHVH+RF7, Dattawad, Maharashtra 416107",416107,16.5945362,74.57867929999999,ChIJhxjkhkTnwDsRhTKr21bupy8,https://www.google.com/maps/place/?q=place_id:ChIJhxjkhkTnwDsRhTKr21bupy8,part_132,2026-09-22 06:26:05
"Vidya mandir Vakinagar, Ghosarwad",School,Secondary school,Secondary school,416107,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattawad S.O, Danwad B.O, Ghosarwad B.O",N/A,N/A,,,"JH87+78G, Wakinagar, Maharashtra 416107",416107,16.6154173,74.5636598,ChIJa6kimw3hwDsRLSWD67Xsquk,https://www.google.com/maps/place/?q=place_id:ChIJa6kimw3hwDsRLSWD67Xsquk,part_132,2026-09-22 06:26:05
V.M.Laxmi Devalay nave Danwad,School,Primary school,Primary school,416107,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattawad S.O, Danwad B.O, Ghosarwad B.O",N/A,N/A,,,"HJX6+QWR, Shirol, Danwad, Maharashtra 416107",416107,16.5994807,74.6122711,ChIJGzYgkbfdwDsR_rsBNGH9f9o,https://www.google.com/maps/place/?q=place_id:ChIJGzYgkbfdwDsR_rsBNGH9f9o,part_132,2026-09-22 06:26:05
