business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahalakshmi Diagnostic Center,Diagnostic Center,Diagnostic center,Diagnostic center,416109,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Hatkalangada S.O, Alate B.O, Korochi B.O",+91 77410 90000,N/A,,,"Ground Floor, Dighe Colony, Undale Hospital Building, Road, Peth, beside Vadgaon High School, Vadgaon, Minche, Peth Vadgaon, Maharashtra 416112",Vadgaon,16.7991888,74.3822249,ChIJzRoMsCMFwTsRNEEyhjmYJws,https://www.google.com/maps/place/?q=place_id:ChIJzRoMsCMFwTsRNEEyhjmYJws,part_132,2026-09-22 06:27:04
रत्नगंग मेङिकल्स,Diagnostic Center,Medical Center,Medical Center,416109,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Hatkalangada S.O, Alate B.O, Korochi B.O",+91 98813 51251,N/A,5.0,,"PCGP+5CG, SH-126, Korochi, Maharashtra 416109",Korochi,16.7254296,74.43608929999999,ChIJmYqnx2YdwTsR0_NgjnW7Pms,https://www.google.com/maps/place/?q=place_id:ChIJmYqnx2YdwTsR0_NgjnW7Pms,part_132,2026-09-22 06:27:04
RAJ DIGITAL X-RAY CENTRE RUKADI,Diagnostic Center,Diagnostic center,Diagnostic center,416109,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Hatkalangada S.O, Alate B.O, Korochi B.O",+91 92840 34400,N/A,5.0,,"near kanya vidya mandir, Rukadi, Maharashtra 416118",416109,16.7219071,74.35711979999999,ChIJk5-dIagDwTsRrg7hcRPQxko,https://www.google.com/maps/place/?q=place_id:ChIJk5-dIagDwTsRrg7hcRPQxko,part_132,2026-09-22 06:27:04
NAVRATNA MEDICAL & MORE,Diagnostic Center,Medical Center,Medical Center,416109,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Hatkalangada S.O, Alate B.O, Korochi B.O",+91 83809 90354,N/A,5.0,,"Ten Vihir, Maratha chowk, near Bhairavnath kirana store side, Korochi, Ichalkaranji, Korochi, Maharashtra 416109",Korochi,16.7223129,74.4421078,ChIJzddO6tQdwTsRdSfVRsAQz3g,https://www.google.com/maps/place/?q=place_id:ChIJzddO6tQdwTsRdSfVRsAQz3g,part_132,2026-09-22 06:27:04
Panchratna Medical,Diagnostic Center,Medical Center,Medical Center,416109,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Hatkalangada S.O, Alate B.O, Korochi B.O",+91 88558 35924,N/A,5.0,,"Hatkanangale, Maharashtra 416109",416109,16.7526782,74.4222166,ChIJH70SvLsdwTsRTmzLZHk3bps,https://www.google.com/maps/place/?q=place_id:ChIJH70SvLsdwTsRTmzLZHk3bps,part_132,2026-09-22 06:27:04
Vighnaharta Medical,Diagnostic Center,Medical Center,Medical Center,416109,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Hatkalangada S.O, Alate B.O, Korochi B.O",N/A,N/A,,,"QC93+XRR, main Rd alate, Alta, Maharashtra 416109",416109,16.769996499999998,74.404505,ChIJ83yMDgADwTsRb2dZiKqrqAM,https://www.google.com/maps/place/?q=place_id:ChIJ83yMDgADwTsRb2dZiKqrqAM,part_132,2026-09-22 06:27:04
Atharv Fertility Centre,Diagnostic Center,Hospital,Hospital,416109,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Hatkalangada S.O, Alate B.O, Korochi B.O",+91 98507 49439,N/A,5.0,,"Top, Kolhapur, NH-4, Madras Bombay Trunk Road, Kolhapur, Kolhapur, Maharashtra 416122",416109,16.7919454,74.2834366,ChIJXzJWdsEGwTsRGW8wn-Dwg0k,https://www.google.com/maps/place/?q=place_id:ChIJXzJWdsEGwTsRGW8wn-Dwg0k,part_132,2026-09-22 06:27:05
Yash Clinic,Diagnostic Center,Medical clinic,Medical clinic,416109,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Hatkalangada S.O, Alate B.O, Korochi B.O",+91 94232 84748,N/A,5.0,,"PF69+7J5, Industrial Estate, Khotwadi, Maharashtra 416121",Industrial Estate,16.710626899999998,74.4691161,ChIJhZ2dQZEdwTsR9XcQIiMYpc4,https://www.google.com/maps/place/?q=place_id:ChIJhZ2dQZEdwTsR9XcQIiMYpc4,part_132,2026-09-22 06:27:05
Shree medical,Diagnostic Center,Medical clinic,Medical clinic,416109,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Hatkalangada S.O, Alate B.O, Korochi B.O",+91 70585 03976,N/A,5.0,2.0,"Shop no 1, Bus Stand, Ichalkaranji, Kolhapur, Maharashtra 416138",416109,16.7086622,74.4149533,ChIJ6wpVkenjwDsRVHxq9D-iUlg,https://www.google.com/maps/place/?q=place_id:ChIJ6wpVkenjwDsRVHxq9D-iUlg,part_132,2026-09-22 06:27:06
Sanskruti Krushi Seva Kendra,Diagnostic Center,Medical clinic,Medical clinic,416109,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Hatkalangada S.O, Alate B.O, Korochi B.O",+91 99708 75613,N/A,5.0,3.0,"Kolhapur Road, near Yashwant Mangal Karyalay, Tilwani Kolhapur, Ichalkaranji, Tilawani, Maharashtra 416138",Tilwani Kolhapur,16.7121124,74.4096417,ChIJcaQJE0EdwTsRWOCtucTiHT8,https://www.google.com/maps/place/?q=place_id:ChIJcaQJE0EdwTsRWOCtucTiHT8,part_132,2026-09-22 06:27:06
