business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sagar auto electrician & Two Wheelar Garage,Electrician,Car repair and maintenance service,Car repair and maintenance service,416112,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Vadgaon S.O (Kolhapur), Ambap B.O, Bhadole B.O",N/A,N/A,5.0,2.0,"V73W+68C, Vathar Tarf Vadgaon, Maharashtra 416112",416112,16.8530558,74.2957514,ChIJ0QtbPNIHwTsR_nf8g-fZ-uk,https://www.google.com/maps/place/?q=place_id:ChIJ0QtbPNIHwTsR_nf8g-fZ-uk,part_132,2026-09-22 06:28:56
Mantesh Electricals,Electrician,Electrical supply store,Electrical supply store,416112,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Vadgaon S.O (Kolhapur), Ambap B.O, Bhadole B.O",N/A,N/A,5.0,1.0,"Nave Pargaon, June Pargaon, Maharashtra 416112",Nave Pargaon,16.860722799999998,74.2433901,ChIJFRB7HgAJwTsRkd5m7su9bzY,https://www.google.com/maps/place/?q=place_id:ChIJFRB7HgAJwTsRkd5m7su9bzY,part_132,2026-09-22 06:28:56
Anand Electrical,Electrician,Electronics store,Electronics store,416112,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Vadgaon S.O (Kolhapur), Ambap B.O, Bhadole B.O",N/A,N/A,4.2,13.0,"V775+RQ2, Unnamed Road, Talsande, Maharashtra 416112",416112,16.8645005,74.2593883,ChIJAQ42Z3kIwTsR4xGObmghNxI,https://www.google.com/maps/place/?q=place_id:ChIJAQ42Z3kIwTsR4xGObmghNxI,part_132,2026-09-22 06:28:56
Swapnil Electronics,Electrician,Electronics store,Electronics store,416112,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Vadgaon S.O (Kolhapur), Ambap B.O, Bhadole B.O",+91 95038 80838,N/A,4.7,19.0,"GANESH MANDIR CORNER, NEAR, WATHAR WARANA MAIN ROAD, Wathar, Vathar Tarf Vadgaon, Maharashtra 416112",Wathar,16.851721299999998,74.2906545,ChIJ50t-z-0HwTsRt1tuVoNRNOM,https://www.google.com/maps/place/?q=place_id:ChIJ50t-z-0HwTsRt1tuVoNRNOM,part_132,2026-09-22 06:28:56
Pise Electro World,Electrician,Electronics store,Electronics store,416112,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Vadgaon S.O (Kolhapur), Ambap B.O, Bhadole B.O",+91 99233 02244,N/A,4.9,14.0,"Peth Vadgaon, Maharashtra 416112",Peth Vadgaon,16.8360223,74.3148554,ChIJLbC_H9kFwTsR4FMp04cUirg,https://www.google.com/maps/place/?q=place_id:ChIJLbC_H9kFwTsR4FMp04cUirg,part_132,2026-09-22 06:28:56
Shree ganesh electrical manpadle,Electrician,Electrical supply store,Electrical supply store,416112,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Vadgaon S.O (Kolhapur), Ambap B.O, Bhadole B.O",N/A,N/A,5.0,1.0,"R6FJ+8QH, Manpadle, Maharashtra 416112",416112,16.8233164,74.231988,ChIJcwScYQAHwTsRcQBce3t0P7E,https://www.google.com/maps/place/?q=place_id:ChIJcwScYQAHwTsRcQBce3t0P7E,part_132,2026-09-22 06:28:56
Parshwanath Electricals,Electrician,Electrical equipment supplier,Electrical equipment supplier,416112,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Vadgaon S.O (Kolhapur), Ambap B.O, Bhadole B.O",N/A,N/A,5.0,3.0,"R8M7+MV2, Shivaji Chowk, Peth Vadgaon, Maharashtra 416112","Shivaji Chowk, Peth Vadgaon",16.834125399999998,74.314638,ChIJTV_NNb0FwTsRkbVffSTN7O4,https://www.google.com/maps/place/?q=place_id:ChIJTV_NNb0FwTsRkbVffSTN7O4,part_132,2026-09-22 06:28:56
Deva Electrical,Electrician,Electronics repair shop,Electronics repair shop,416112,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Vadgaon S.O (Kolhapur), Ambap B.O, Bhadole B.O",+91 70302 40607,N/A,,,"Shop No 1, Latwade Rd, Peth Vadgaon, Maharashtra 416112",Peth Vadgaon,16.834905499999998,74.3188187,ChIJccckjCkFwTsRkWYSZiYSbwk,https://www.google.com/maps/place/?q=place_id:ChIJccckjCkFwTsRkWYSZiYSbwk,part_132,2026-09-22 06:28:56
Taj Engineering and welding waks bhadole,Electrician,Electronics store,Electronics store,416112,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Vadgaon S.O (Kolhapur), Ambap B.O, Bhadole B.O",N/A,N/A,4.5,43.0,"आष्टा वडगांव रोड, Bhadole, Maharashtra 416112",416112,16.8528464,74.32832239999999,ChIJoYuzYMcFwTsRsoLZR-K4vFg,https://www.google.com/maps/place/?q=place_id:ChIJoYuzYMcFwTsRsoLZR-K4vFg,part_132,2026-09-22 06:28:56
Ghatage Batteries and auto electrical,Electrician,Electronics store,Electronics store,416112,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Vadgaon S.O (Kolhapur), Ambap B.O, Bhadole B.O",+91 98607 94782,N/A,4.0,3.0,"Vathar Tarf Vadgaon, Maharashtra 416112",416112,16.8507598,74.2954567,ChIJAXYbI7kHwTsRtSIuWlAhVCg,https://www.google.com/maps/place/?q=place_id:ChIJAXYbI7kHwTsRtSIuWlAhVCg,part_132,2026-09-22 06:28:56
