business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Brew Culture,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Restaurant",416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",N/A,N/A,4.8,,"Fortune Plaza, Sangli Road, Rajwada, Ichalkaranji, Maharashtra 416115",Rajwada,16.6920628,74.4751653,ChIJ1dCf-ePjwDsR1Ns_OFnp1u8,https://www.google.com/maps/place/?q=place_id:ChIJ1dCf-ePjwDsR1Ns_OFnp1u8,part_132,2026-09-22 06:30:30
Cafe Vibes in,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Fast food restaurant",416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 93705 97780,N/A,4.5,,"Laykar Galli, near Nutan Bank, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.6854621,74.4658709,ChIJvw8CdJjjwDsRMyYH2IPNqfs,https://www.google.com/maps/place/?q=place_id:ChIJvw8CdJjjwDsRMyYH2IPNqfs,part_132,2026-09-22 06:30:30
Pizza bizza,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Chocolate cafe, Cafe, Hamburger restaurant, Pizza restaurant, Sandwich shop",416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 84848 78822,http://pizzabizza.in/,4.7,,"opposite Sunder Bag, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.683309599999998,74.4679202,ChIJZfpvqJLjwDsRIBiJMTO9ZmE,https://www.google.com/maps/place/?q=place_id:ChIJZfpvqJLjwDsRIBiJMTO9ZmE,part_132,2026-09-22 06:30:30
Era Cafe & Restro,Cafe and Coffee Shop,Cafe,Cafe,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 98606 03459,N/A,4.1,,"Radha Keshav Apartment, beside Kekiz Cake Shop, near Venkat Rao Highschool, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.6845917,74.46537649999999,ChIJeWRWeKTjwDsRx91aI_ROyc0,https://www.google.com/maps/place/?q=place_id:ChIJeWRWeKTjwDsRx91aI_ROyc0,part_132,2026-09-22 06:30:30
Cafe Coffee Club,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Fast food restaurant",416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 76201 86563,N/A,4.4,,"Mahalaxmi icon, near RK cinema, Ichalkaranji, Maharashtra 416115",Vikash Nagar,16.6986992,74.4615354,ChIJBZcHADwdwTsRxFHgPXvRBG8,https://www.google.com/maps/place/?q=place_id:ChIJBZcHADwdwTsRxFHgPXvRBG8,part_132,2026-09-22 06:30:30
Cafe lifeline ichalkaranji,Cafe and Coffee Shop,Coffee shop,Coffee shop,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 85518 05171,N/A,4.6,,"Cafe lifeline, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.685597599999998,74.4598517,ChIJBVghcLfjwDsRpDOvFMg_hPY,https://www.google.com/maps/place/?q=place_id:ChIJBVghcLfjwDsRpDOvFMg_hPY,part_132,2026-09-22 06:30:30
Cafe Radha,Cafe and Coffee Shop,Cafe,Cafe,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 95522 58191,https://www.instagram.com/cafe_radha/reel/DNFwbUkyUiM/,4.9,,"Cafe Radha, Yashwant Process, Kolhapur Road, Jawaharnagar, Ichalkaranji, Maharashtra 416115",Jawaharnagar,16.690562099999998,74.455788,ChIJi5Tp9l7jwDsRSm4XD_fSArI,https://www.google.com/maps/place/?q=place_id:ChIJi5Tp9l7jwDsRSm4XD_fSArI,part_132,2026-09-22 06:30:30
Beans Paradise,Cafe and Coffee Shop,Coffee shop,Coffee shop,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",N/A,N/A,4.4,,"9, near DKTE College, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.6819934,74.4687714,ChIJ20gbQQDjwDsRdWPp56YJx7g,https://www.google.com/maps/place/?q=place_id:ChIJ20gbQQDjwDsRdWPp56YJx7g,part_132,2026-09-22 06:30:30
The Momos Junction And Cafe,Cafe and Coffee Shop,Restaurant,"Restaurant, Coffee shop, Fast food restaurant, Pizza restaurant",416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 95616 46562,N/A,4.6,,"Laykar Galli, opposite Nutan Nagri Sahakari Bank, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.6850491,74.4657228,ChIJzzQ02-LjwDsRENQFL9xSDOg,https://www.google.com/maps/place/?q=place_id:ChIJzzQ02-LjwDsRENQFL9xSDOg,part_132,2026-09-22 06:30:30
Cafe Cotton City,Cafe and Coffee Shop,Coffee store,Coffee store,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",N/A,N/A,4.7,,"Manik sales building, Kolhapur Road, near Upvan hotel, Jawaharnagar, besment, Ichalkaranji, Maharashtra 416115",Jawaharnagar,16.6936291,74.449022,ChIJr7gHOlMdwTsR91X65ZQOTTQ,https://www.google.com/maps/place/?q=place_id:ChIJr7gHOlMdwTsR91X65ZQOTTQ,part_132,2026-09-22 06:30:30
