business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maha - E- Seva Kendra,Common Service Center (CSC) / E-Seva,Utility contractor,Utility contractor,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 70383 69047,https://mahaonline.gov.in/Site/24/Maha-E-Seva-centers,3.8,6.0,"Sambhaji Chowk, Kulgeshvari Rod, near Dilip Joshi Hospital, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.6801922,74.4618526,ChIJg7YlBGXiwDsRAQgb2Gs7IHo,https://www.google.com/maps/place/?q=place_id:ChIJg7YlBGXiwDsRAQgb2Gs7IHo,part_132,2026-09-22 06:30:51
E Seva Kendra,Common Service Center (CSC) / E-Seva,Computer support and services,Computer support and services,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 90115 76709,N/A,,,"Old Nagar Palika, near Gandhi Putla, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.684902,74.4673313,ChIJW1_IXYrjwDsR6KHTHwBnPaE,https://www.google.com/maps/place/?q=place_id:ChIJW1_IXYrjwDsR6KHTHwBnPaE,part_132,2026-09-22 06:30:51
CSC-Common Service Center,Common Service Center (CSC) / E-Seva,Internet cafe,Internet cafe,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",N/A,N/A,3.8,6.0,"85 SWARAJ NAGAR POST-TELIYARGANJ THANA-SHIVKUTI, near MNNIT COLLEGE, Prayagraj, Uttar Pradesh 211004","Govindpur, Teliarganj",25.4856367,81.8707239,ChIJw5t3gXG1mjkReyVHHqST6ew,https://www.google.com/maps/place/?q=place_id:ChIJw5t3gXG1mjkReyVHHqST6ew,part_132,2026-09-22 06:30:51
Common Service Centre,Common Service Center (CSC) / E-Seva,Legal services,Legal services,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",N/A,N/A,5.0,,"vardhman chowk, Rajrajeshwari nagar, Ward Number 22, Vikash Nagar, Ichalkaranji, Maharashtra 416115","Ward Number 22, Vikash Nagar",16.7018246,74.4583727,ChIJeXJRh4MdwTsR1gfVxkAFmwE,https://www.google.com/maps/place/?q=place_id:ChIJeXJRh4MdwTsR1gfVxkAFmwE,part_132,2026-09-22 06:30:52
CSC Common Service Center,Common Service Center (CSC) / E-Seva,Internet shop,Internet shop,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 98495 13805,N/A,4.9,,"AJAY COMMUNICATIONS, College Rd, near agriculture market, Mancherial, Telangana 504208",Ram nagar,18.8652308,79.4463978,ChIJRxhR7bnLMjoRuMnXq6-KqPI,https://www.google.com/maps/place/?q=place_id:ChIJRxhR7bnLMjoRuMnXq6-KqPI,part_132,2026-09-22 06:30:52
CSC COMMON SERVICE CENTER -SEVASINDU -SURATHKAL-NETINN COMPUTERS,Common Service Center (CSC) / E-Seva,Business center,Business center,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",N/A,N/A,3.5,,"68/3, 12, NH 66, near Thadambail Bustand, Dodda Kopla, Surathkal, Mangaluru, Karnataka 575014","Dodda Kopla, Surathkal",13.0030112,74.79470119999999,ChIJzdL-AcpTozsR7KCHFmTS9Mk,https://www.google.com/maps/place/?q=place_id:ChIJzdL-AcpTozsR7KCHFmTS9Mk,part_132,2026-09-22 06:30:52
Digital Seva - Common Services Center,Common Service Center (CSC) / E-Seva,Government office,Government office,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 99700 96966,N/A,5.0,,"F9WV+89X, Kallam-Latur Rd, Kasar Jawala, Maharashtra 413511",416115,18.4958635,76.3934992,ChIJddybHMx8xTsRRk0lE2wlZes,https://www.google.com/maps/place/?q=place_id:ChIJddybHMx8xTsRRk0lE2wlZes,part_132,2026-09-22 06:30:52
AADHAR CERTIFICATE,Common Service Center (CSC) / E-Seva,Internet cafe,"Internet cafe, Information services",416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 80969 63842,N/A,4.8,,"Unnamed Road Beedicolony first line Last home, Cherial, Telangana 506224",416115,17.9077742,78.98155589999999,ChIJU0AMUnWZzDsR0k9yXbjr6-I,https://www.google.com/maps/place/?q=place_id:ChIJU0AMUnWZzDsR0k9yXbjr6-I,part_132,2026-09-22 06:30:52
WELCOME TO CSC Common Service Centres (CSC),Common Service Center (CSC) / E-Seva,Corporate office,Corporate office,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",N/A,N/A,4.5,,"Nurki Ahli, Chankothi, Haryana 125050",Nurki Ahli,29.593686899999998,75.43384569999999,ChIJzy6v3GFpETkRnDsUAYNKIm4,https://www.google.com/maps/place/?q=place_id:ChIJzy6v3GFpETkRnDsUAYNKIm4,part_132,2026-09-22 06:30:52
CSC Center Yenolge Janseva Kendra,Common Service Center (CSC) / E-Seva,Service Apartment,Service Apartment,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",N/A,N/A,,,"TALUKA, AT POST, Ankulga, Maharashtra 413544",AT POST,18.2462357,76.8519159,ChIJ-4TMzn0NzzsRgPmBq8NmLhE,https://www.google.com/maps/place/?q=place_id:ChIJ-4TMzn0NzzsRgPmBq8NmLhE,part_132,2026-09-22 06:30:52
