business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shradha Ladies Fashion and Tailor,Tailor and Fashion Designer,Boutique,Boutique,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 80872 21232,https://shradhafashion.unaux.com/wp,5.0,,"Priyadarshini Colony, Galli No 3, Murdunde Mala, Pujari Mala, Ichalkaranji, Maharashtra 416115","Murdunde Mala, Pujari Mala",16.6888298,74.4479788,ChIJX1btK2PjwDsRBTTkOg77vhk,https://www.google.com/maps/place/?q=place_id:ChIJX1btK2PjwDsRBTTkOg77vhk,part_132,2026-09-22 06:30:31
IVORY,Tailor and Fashion Designer,Fashion designer,Fashion designer,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 98671 56360,N/A,,,"More House, Radhakrishna Talkies Circle, near Royal Park Society, near Hirkani Hotel, Vikash Nagar, Ichalkaranji, Maharashtra 416115",Vikash Nagar,16.6988155,74.45985879999999,ChIJ_Tal714dwTsRJMdM6CwdAwQ,https://www.google.com/maps/place/?q=place_id:ChIJ_Tal714dwTsRJMdM6CwdAwQ,part_132,2026-09-22 06:30:31
Vijay Tailors,Tailor and Fashion Designer,Tailor,Tailor,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 98602 23322,N/A,4.6,,"10/155, Priydarshani Colony, Gali No 3, Near Radhakrishn Talkies, Ichalkaranji, Maharashtra 416115","Vikram Nagar, Vikash Nagar",16.6985126,74.4635128,ChIJ5-BPPYYdwTsRq00zxXuP49s,https://www.google.com/maps/place/?q=place_id:ChIJ5-BPPYYdwTsRq00zxXuP49s,part_132,2026-09-22 06:30:31
KAVITA'S FASHION HUB,Tailor and Fashion Designer,Fashion designer,Fashion designer,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 77096 12992,N/A,,,"Saraswati Market Rd, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.6861426,74.46675479999999,ChIJUdf3LIXjwDsRMPlhOSA9mqA,https://www.google.com/maps/place/?q=place_id:ChIJUdf3LIXjwDsRMPlhOSA9mqA,part_132,2026-09-22 06:30:31
S Anil Tailors,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 94211 13913,N/A,4.7,,"MFR2+WM5, Jawaharnagar, Ichalkaranji, Maharashtra 416115",Jawaharnagar,16.692265,74.4517402,ChIJ00EaEoDiwDsR0m-otVz4EJk,https://www.google.com/maps/place/?q=place_id:ChIJ00EaEoDiwDsR0m-otVz4EJk,part_132,2026-09-22 06:30:31
VK LADIES TAILOR,Tailor and Fashion Designer,Tailor,Tailor,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 88880 65648,N/A,4.0,,"Laykar Galli, near Nutan Bank, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.6848471,74.4658815,ChIJs0w4QnDiwDsR4pHkhOjdxNY,https://www.google.com/maps/place/?q=place_id:ChIJs0w4QnDiwDsR4pHkhOjdxNY,part_132,2026-09-22 06:30:31
Asha Ladies Fashion,Tailor and Fashion Designer,Tailor,Tailor,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",N/A,N/A,,,"Infront of Auto inn, Near Padma Laundry, Sakhi Sarees, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.6832943,74.464069,ChIJzcmcL-jjwDsR3eNRPUoGsIY,https://www.google.com/maps/place/?q=place_id:ChIJzcmcL-jjwDsR3eNRPUoGsIY,part_132,2026-09-22 06:30:31
Best Ladies Tailor-Neha Hajare,Tailor and Fashion Designer,Tailor,Tailor,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",N/A,N/A,,,"PF24+H27 Ajab Furniture, Ring Rd, near New Nagar Palika, Jawaharnagar, Ichalkaranji, Maharashtra 416115",Jawaharnagar,16.7014188,74.4550529,ChIJt0XPC5IdwTsRgJOxKEfBMDg,https://www.google.com/maps/place/?q=place_id:ChIJt0XPC5IdwTsRgJOxKEfBMDg,part_132,2026-09-22 06:30:31
Morya teilor,Tailor and Fashion Designer,Tailor,Tailor,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 77760 57609,N/A,,,"Janseva patsanstha, near Malkar medical, near Ichalkaranji, Datarmala, Mahadev Nagar, Ichalkaranji, Maharashtra 416116","Datarmala, Mahadev Nagar",16.6794235,74.4623094,ChIJQdgzEwDjwDsRCHfk0Nj8duU,https://www.google.com/maps/place/?q=place_id:ChIJQdgzEwDjwDsRCHfk0Nj8duU,part_132,2026-09-22 06:30:31
Charlie The Tailors,Tailor and Fashion Designer,Men's clothing store,"Men's clothing store, Gents Tailor",416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 93711 62617,N/A,5.0,,"Zenda Chowk Gaon BhagIchalkaranji, Ichalkaranji, Maharashtra 416115",Rajwada,16.6808759,74.4712419,ChIJBXtUyW3iwDsRZKnGNmYZnK4,https://www.google.com/maps/place/?q=place_id:ChIJBXtUyW3iwDsRZKnGNmYZnK4,part_132,2026-09-22 06:30:31
Icon Tailor,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 99758 67848,N/A,5.0,,"MFMC+5XF, Ring Rd, Rajwada, Ichalkaranji, Maharashtra 416115",Rajwada,16.6829394,74.4724202,ChIJS5ZAhW3iwDsRqeCnvo-PHqQ,https://www.google.com/maps/place/?q=place_id:ChIJS5ZAhW3iwDsRqeCnvo-PHqQ,part_132,2026-09-22 06:30:31
ATHARV CREATION,Tailor and Fashion Designer,Fashion designer,"Fashion designer, Clothing store",416115,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ichalkaranji H.O, Jawaharnagar Ichalkaranji S.O, Kapadmarket Ichalkaranji S.O",+91 99752 53307,N/A,,,"near Laikar Theater, in front of Hotel Gandharv, Ichalkaranji, Maharashtra 416115",416115,16.6911035,74.4500147,ChIJm7UAUoDiwDsR4C54HTN_Sdc,https://www.google.com/maps/place/?q=place_id:ChIJm7UAUoDiwDsR4C54HTN_Sdc,part_132,2026-09-22 06:30:31
