business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Twinky's - HAIR | BEAUTY | SKIN (Beauty Parlour),Beauty Parlour,Beauty Parlour,Beauty Parlour,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 93701 12252,N/A,4.8,,"City Point Complex, Chhatrapati Shivaji Maharaj Chowk, C Ward, Kolhapur, Maharashtra 416002",C Ward,16.6973049,74.2239077,ChIJJzf3XwsAwTsRKYm8JjQVIno,https://www.google.com/maps/place/?q=place_id:ChIJJzf3XwsAwTsRKYm8JjQVIno,part_133,2026-09-22 06:00:41,2671
Shahin Beauty Salon & Training Center,Beauty Parlour,Beauty Parlour,Beauty Parlour,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 84216 15334,N/A,4.9,,"Basement - Shop No 2, Center One Building, Kolhapur Road, opposite Jiwaji Bhavan, Jawaharnagar, Ichalkaranji, Maharashtra 416115",Jawaharnagar,16.693193,74.45000639999999,ChIJW97iKYDiwDsR5sc8WdZhnPM,https://www.google.com/maps/place/?q=place_id:ChIJW97iKYDiwDsR5sc8WdZhnPM,part_133,2026-09-22 06:00:41,2672
KRUSHH PROFESSIONAL SALON,Beauty Parlour,Beauty Parlour,Beauty Parlour,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 97675 93391,N/A,4.9,,"12th Ln, opp. Bharat Petrol Pump, Poorvarang, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Rajarampuri",16.691718599999998,74.2438985,ChIJHd8a5JUBwTsRcrQkhJ64cW4,https://www.google.com/maps/place/?q=place_id:ChIJHd8a5JUBwTsRcrQkhJ64cW4,part_133,2026-09-22 06:00:41,2673
Golden Glow Beauty Parlour,Beauty Parlour,Cosmetics store,Cosmetics store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 88065 83080,N/A,5.0,,"Shop 1, Station Road, Vikash Nagar, Jawaharnagar, Maharashtra 416115",Vikash Nagar,16.702682,74.45496,ChIJK-1PwhwdwTsRtSjQyuo1Jzk,https://www.google.com/maps/place/?q=place_id:ChIJK-1PwhwdwTsRtSjQyuo1Jzk,part_133,2026-09-22 06:00:41,2674
Asha Beauty Parlour,Beauty Parlour,Hair salon,Hair salon,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98600 58588,N/A,4.4,,"Pratibha Nagar, Kolhapur, Maharashtra 416008",Pratibha Nagar,16.6844884,74.245991,ChIJ65NfkCMAwTsREhYbAHku-_8,https://www.google.com/maps/place/?q=place_id:ChIJ65NfkCMAwTsREhYbAHku-_8,part_133,2026-09-22 06:00:41,2675
Glamour Beauty Studio In Warana Kodoli,Beauty Parlour,Beauty Parlour,Beauty Parlour,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,5.0,,"V5GR+26X, opp. Bank of Maharashtra, Kodoli, Maharashtra 416114",416116,16.8751154,74.1906004,ChIJw1arYACnwTsRWo9Lmkdb-MI,https://www.google.com/maps/place/?q=place_id:ChIJw1arYACnwTsRWo9Lmkdb-MI,part_133,2026-09-22 06:00:41,2676
Dipti Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 231 252 2631,N/A,4.0,,"Flat no A -203, Mukta Ashram Apartment, 7th Lane Main Road, Poorvarang, Karveer, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Karveer, Rajarampuri",16.6944524,74.24329039999999,ChIJpffzdT4AwTsRAUAK31LLDxE,https://www.google.com/maps/place/?q=place_id:ChIJpffzdT4AwTsRAUAK31LLDxE,part_133,2026-09-22 06:00:41,2677
Sam Beauty & Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 88301 26079,https://sambeautysalon.blogspot.com/?m=1,4.8,,"Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.6818556,74.466374,ChIJqcetMRbjwDsRcwlsezGR6Uk,https://www.google.com/maps/place/?q=place_id:ChIJqcetMRbjwDsRcwlsezGR6Uk,part_133,2026-09-22 06:00:41,2678
Priya beauty parlor,Beauty Parlour,Beauty Parlour,Beauty Parlour,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,,,"PF93+R25, Industrial Estate, Khotwadi, Maharashtra 416121",Industrial Estate,16.719456,74.452753,ChIJHVphJAAdwTsRP3gLemXHpEM,https://www.google.com/maps/place/?q=place_id:ChIJHVphJAAdwTsRP3gLemXHpEM,part_133,2026-09-22 06:00:41,2679
Sakshi Beauty Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,,,"PC9X+5H2, Laxmi Vasahat Rd, Industrial Estate, Khotwadi, Maharashtra 416109",Industrial Estate,16.7178833,74.4488956,ChIJUZ0EGgsdwTsRMRID-I793qM,https://www.google.com/maps/place/?q=place_id:ChIJUZ0EGgsdwTsRMRID-I793qM,part_133,2026-09-22 06:00:41,2680
