business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shree Datta Event's Planner's,Corporate Event Planner,Event planner,Event planner,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 99700 16244,N/A,5.0,10.0,"line no-1, Ratandeep vasahat Ganganagar, Industrial Estate, Kabnur, Maharashtra 416116",Industrial Estate,16.7128831,74.44926079999999,ChIJlXkeKdkdwTsRYDmVh-Kw46M,https://www.google.com/maps/place/?q=place_id:ChIJlXkeKdkdwTsRYDmVh-Kw46M,part_133,2026-09-22 06:00:48,3333
Nishant Sharma Events Pvt. Ltd.,Corporate Event Planner,Event management company,"Event management company, Service establishment, Event planner, Restaurant supply store, Stage lighting equipment supplier, Tent House Supplier, Wedding photographer, Wedding planner, Wedding service",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.9,36.0,"Nishant Sharma Events Pvt. Ltd., 416116, India",416116,23.632886,67.1829047,ChIJ9zGVYeRlgY8RQptD8X9nqFI,https://www.google.com/maps/place/?q=place_id:ChIJ9zGVYeRlgY8RQptD8X9nqFI,part_133,2026-09-22 06:00:49,3334
Raybage Textile....Gajanan Espresso Coffee And Pizza.,Corporate Event Planner,Event management company,"Event management company, Catering equipment rental service, Children's party buffet, Catering food and drink supplier, Party planner",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.5,19.0,"Ashtavinayak Nagar, Jawaharnagar, Ichalkaranji, Jawaharnagar, Maharashtra 416115","Ashtavinayak Nagar, Jawaharnagar",16.7106423,74.446176,ChIJ-fnJ-3MdwTsRFQ9w8zg728I,https://www.google.com/maps/place/?q=place_id:ChIJ-fnJ-3MdwTsRFQ9w8zg728I,part_133,2026-09-22 06:00:49,3335
Classic events & management,Corporate Event Planner,Event management company,Event management company,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 88055 85449,https://www.instagram.com/_classic__events_management_?igsh=MWFsb3ZrbWdhenpzbQ==,4.8,,"Warananagar, Kodoli, Maharashtra 416113",Warananagar,16.863101,74.2038159,ChIJL1AQwVCnwTsRHGo4itZLZCM,https://www.google.com/maps/place/?q=place_id:ChIJL1AQwVCnwTsRHGo4itZLZCM,part_133,2026-09-22 06:00:50,3336
Gokul tent supplier. गोकुळ टेन्ट सप्लायर्स,Corporate Event Planner,Event management company,Event management company,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 93600 40600,N/A,4.6,,"Get no 57/4, plot number 3&4, Deccan chowk, Station Road, Jijamata, Jawaharnagar, Ichalkaranji, Hatkanangale, Maharashtra 416115","Jijamata, Jawaharnagar",16.707573399999998,74.4510609,ChIJm4vwzIcdwTsRapSExgH00jY,https://www.google.com/maps/place/?q=place_id:ChIJm4vwzIcdwTsRapSExgH00jY,part_133,2026-09-22 06:00:50,3337
Morya event & manegmenat chokak,Corporate Event Planner,Event planner,Event planner,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 84839 35450,N/A,5.0,,"Chokak, Maharashtra 416118",416118,16.7402929,74.3473709,ChIJu7tyamEDwTsRmZVC3JS_668,https://www.google.com/maps/place/?q=place_id:ChIJu7tyamEDwTsRmZVC3JS_668,part_133,2026-09-22 06:01:38,6662
रुद्र कोल्ड पायरो इवेंट & पेपर ब्लास्ट,Corporate Event Planner,Event management company,Event management company,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 93704 60941,N/A,5.0,,"tal, Survey Nagar, Hatkanangle, Atigre, Kolhapur, Maharashtra 416118","Survey Nagar, Hatkanangle",16.7392389,74.3628962,ChIJF399FjEDwTsRJEP8_UaTiT0,https://www.google.com/maps/place/?q=place_id:ChIJF399FjEDwTsRJEP8_UaTiT0,part_133,2026-09-22 06:01:38,6663
Eventhub,Corporate Event Planner,Event management company,Event management company,416120,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattanagar S.O, Arjunwad B.O, Chinchwad B.O",+91 90964 53026,N/A,5.0,7.0,"Shop no.A5, Pramila heights, Subhash Rd, opp. Shirol Sangh, Jayshingpur Rural, 9th Lane, Purtiwadi, Jaysingpur, Maharashtra 416101","Jayshingpur Rural, 9th Lane, Purtiwadi",16.7779666,74.55216879999999,ChIJr2TBa6ofwTsRAoMZh8Qhg2E,https://www.google.com/maps/place/?q=place_id:ChIJr2TBa6ofwTsRAoMZh8Qhg2E,part_133,2026-09-22 06:03:15,9795
Charlie events,Corporate Event Planner,Event planner,Event planner,416120,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattanagar S.O, Arjunwad B.O, Chinchwad B.O",+91 84594 02796,N/A,4.7,17.0,"A.p ankli, Tal, Sangli, Miraj, Maharashtra 416416",Sangli,16.808692,74.5726907,ChIJ_xa-1_kZwTsRtERzBLoKcWQ,https://www.google.com/maps/place/?q=place_id:ChIJ_xa-1_kZwTsRtERzBLoKcWQ,part_133,2026-09-22 06:03:15,9796
माने मंडप डेकोरेटर्स,Corporate Event Planner,Event planner,Event planner,416120,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattanagar S.O, Arjunwad B.O, Chinchwad B.O",+91 99756 64652,N/A,5.0,1.0,"Main Rd, Ghalwad, Shirol, Maharashtra 416103",416120,16.7384162,74.611359,ChIJpcKU3EshwTsRdqhFj-SUa8U,https://www.google.com/maps/place/?q=place_id:ChIJpcKU3EshwTsRdqhFj-SUa8U,part_133,2026-09-22 06:03:15,9797
