business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Elite Hotel Supplies,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 77387 26591,http://www.elitehotelsupplies.com/,5.0,,"Centura Square IT Park, 326, SG Barve Rd, Wagle Industrial Estate, Thane West, Thane, Maharashtra 400604","Wagle Industrial Estate, Thane West",19.1947972,72.94588089999999,ChIJxf7Uuj7H5zsRlz9_ojOVCH4,https://www.google.com/maps/place/?q=place_id:ChIJxf7Uuj7H5zsRlz9_ojOVCH4,part_133,2026-09-22 06:00:48,3216
HOTELSMART,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Appliance store, Bakery equipment, Bar restaurant furniture store, Commercial refrigerator supplier, Countertop store, Food machinery supplier, Furniture wholesaler, Manufacturer",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 62322 44390,http://www.thehotelsmart.com/,4.5,,"ISHA ENCLAVE, in front of Megneto mall, Vishal Nagar, Raipur, Chhattisgarh 492001",Vishal Nagar,21.238854,81.68325349999999,ChIJD2xWUordKDoRj24dqxgbvJI,https://www.google.com/maps/place/?q=place_id:ChIJD2xWUordKDoRj24dqxgbvJI,part_133,2026-09-22 06:00:48,3217
HOTELIO,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 91745 07890,https://hotelio.co.in/,5.0,,"Shriram Cloth Market, L10, near Kids Fashion, Bilaspur, Telipara, Chhattisgarh 495001",416116,22.077392,82.153218,ChIJj4pruH4LKDoRUw5es0zpyfc,https://www.google.com/maps/place/?q=place_id:ChIJj4pruH4LKDoRUw5es0zpyfc,part_133,2026-09-22 06:00:48,3218
shanti enterprises,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Cleaning products supplier, Household chemicals supplier",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 90222 66792,https://www.shantienterprisesindia.com/,5.0,,"21 shri sai krupa nagar, Swami Vivekanand Rd, Dahisar East, Mumbai, Maharashtra 400068","Krishna Colony, Dahisar East",19.2541698,72.8656913,ChIJa-PDr--w5zsRvxYS2zAAZx4,https://www.google.com/maps/place/?q=place_id:ChIJa-PDr--w5zsRvxYS2zAAZx4,part_133,2026-09-22 06:00:48,3219
Eston Amenities Pvt Ltd. | Hotel Equipment and Amenities Supplier,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Cleaning products supplier, Supplier, Equipment supplier, Industrial equipment supplier, Restaurant supply store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 99302 89998,http://www.estonamenities.com/,4.9,114.0,"D-308/309, 2nd Floor, Shanti Shopping Centre, Shanti Vihar, Mira Road East, Mumbai, Mira Bhayandar, Maharashtra 401107","Shanti Vihar, Mira Road East",19.280319,72.856717,ChIJRYAPBjGx5zsRRHJ6xeNqVx4,https://www.google.com/maps/place/?q=place_id:ChIJRYAPBjGx5zsRRHJ6xeNqVx4,part_133,2026-09-22 06:00:49,3220
Guest & Hospitality World,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Hospital equipment and supplies",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 80 4603 9515,http://www.ghwindia.com/,4.7,12.0,"Loha Bhavan, 8, P D'Mello Rd, near HP petrol pump, Carnac Bunder, Victoria Docks, Mumbai Port Trust, Mazgaon, Mumbai, Maharashtra 400009","Carnac Bunder, Victoria Docks, Mumbai Port Trust, Mazgaon",18.9520435,72.8415904,ChIJFdozDC_O5zsRmdZb84n1alA,https://www.google.com/maps/place/?q=place_id:ChIJFdozDC_O5zsRmdZb84n1alA,part_133,2026-09-22 06:00:49,3221
SSDN Enterprises | Hotel amenities manufacturer,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 96500 26494,http://www.ssdnenterprises.in/,4.9,65.0,"657/28 lane, Gali No.13, Davilal Nagar, Jyoti Park, Sector 8, Gurugram, Haryana 122001","Davilal Nagar, Jyoti Park, Sector 8",28.460884099999998,77.00910879999999,ChIJ7Wepmi4YDTkRgtebxYW25JM,https://www.google.com/maps/place/?q=place_id:ChIJ7Wepmi4YDTkRgtebxYW25JM,part_133,2026-09-22 06:00:49,3222
SR Luxury,Hotel Kit Suppliers,Cosmetic Products Manufacturer,"Cosmetic Products Manufacturer, Exporter, Hotel supply store, Manufacturer",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 83687 46821,https://luxuryhotelmart.com/,4.9,429.0,"152, Model Town 1, Tagore Park, Mukherjee Nagar, New Delhi, Delhi, 110033","Model Town 1, Tagore Park, Mukherjee Nagar",28.7061529,77.19859009999999,ChIJ9XUzs_j9DDkRTZFhez4jtgY,https://www.google.com/maps/place/?q=place_id:ChIJ9XUzs_j9DDkRTZFhez4jtgY,part_133,2026-09-22 06:00:49,3223
Hotel Toiletries Manufacturer,Hotel Kit Suppliers,Manufacturer,Manufacturer,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,5.0,3.0,"SF-1, pearl's omaxe, Netaji Subhash Place, Pitampura, New Delhi, Delhi, 110034","Netaji Subhash Place, Pitampura",28.6905841,77.1517968,ChIJz9ryFgQDDTkR_RbciGJxomo,https://www.google.com/maps/place/?q=place_id:ChIJz9ryFgQDDTkR_RbciGJxomo,part_133,2026-09-22 06:00:49,3224
Hospitality Town,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 70207 92596,https://hospitalitytown.com/,4.4,13.0,"Melwani Industrial Estate, 228/229, Mangalwar Peth, Kasba Peth, Pune, Maharashtra 411011","Mangalwar Peth, Kasba Peth",18.525798599999998,73.8623224,ChIJHy0_Gw_BwjsR1FO-l4i6Eyg,https://www.google.com/maps/place/?q=place_id:ChIJHy0_Gw_BwjsR1FO-l4i6Eyg,part_133,2026-09-22 06:00:49,3225
Adfin Crafts,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98114 38055,http://www.adfincrafts.com/,4.9,23.0,"Ground Floor, metro, 39/24, near Old Rajinder Nagar, Rajendra Place, New Delhi, Delhi 110060",Rajendra Place,28.643219799999997,77.17798839999999,ChIJVVVVBZYCDTkRb1JzoGz3mjk,https://www.google.com/maps/place/?q=place_id:ChIJVVVVBZYCDTkRb1JzoGz3mjk,part_133,2026-09-22 06:00:49,3226
"Kimirica Hunter International | Luxury Hotel Toiletries & Amenities, India",Hotel Kit Suppliers,Manufacturer,"Manufacturer, Supplier, Hotel supply store, Toiletries Store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 88894 88890,http://www.kimiricahunter.com/,4.7,126.0,"Level 4, A, Andheri - Kurla Rd, Vijay Nagar Colony, J B Nagar, Andheri (E, Mumbai, Maharashtra 400059","Vijay Nagar Colony, J B Nagar, Andheri (E",19.113028099999998,72.8659034,ChIJJ_byYQ7-YjkRTTe3ggTtZSY,https://www.google.com/maps/place/?q=place_id:ChIJJ_byYQ7-YjkRTTe3ggTtZSY,part_133,2026-09-22 06:00:49,3227
Hygienix Hospitality | Hotel Amenities | Hotel toileteries suppliers | Guest Amenities & Bathroom Slippers Manufacturer,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Bathroom supply store, Cosmetic Products Manufacturer, Cosmetics industry, Health resort, Hospital, Hotel Management Institute, Resort hotel, Spa and health club, Working women's hostel",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 74280 20102,https://hygienixhospitality.com/,4.9,114.0,"Plot No. A 825 groundfloor, near Gujjar Chowk, Bhalswa Dairy, Bhalswa, New Delhi, Delhi 110042","Bhalswa Dairy, Bhalswa",28.7408762,77.1663047,ChIJW0Qn8FUBDTkRqLPhia56cas,https://www.google.com/maps/place/?q=place_id:ChIJW0Qn8FUBDTkRqLPhia56cas,part_133,2026-09-22 06:00:49,3228
Aroma Amenities,Hotel Kit Suppliers,Manufacturer,"Manufacturer, Hotel supply store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 87691 70044,https://www.aromaamenities.com/,4.4,28.0,"22-23, behind hyundai ardor show room, Durga Vihar, Sita Bari, Jaipur, Rajasthan 302029","Durga Vihar, Sita Bari",26.829698699999998,75.79526129999999,ChIJIfQABxW0bTkRKwd92YOD0iw,https://www.google.com/maps/place/?q=place_id:ChIJIfQABxW0bTkRKwd92YOD0iw,part_133,2026-09-22 06:00:49,3229
Frill Hospitality,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Cosmetic Products Manufacturer",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 96500 26494,http://frillhospitality.com/,4.7,94.0,"93, Pace City II, Sector 37, Gurugram, Haryana 122001","Pace City II, Sector 37",28.4352864,76.9993822,ChIJwzyj0vEXDTkR5nhxvXfrteg,https://www.google.com/maps/place/?q=place_id:ChIJwzyj0vEXDTkR5nhxvXfrteg,part_133,2026-09-22 06:00:49,3230
Felicity Hospitality | Hotel Toiletries Suppliers,Hotel Kit Suppliers,Toiletries Store,"Toiletries Store, Hotel supply store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 87007 65686,https://www.felicityhospitality.com/,4.9,67.0,"Krishna colony Shop No 942/39 Gali Number 12, Krishna colony, near om sweets, sector 7, Sector 7, Gurugram, Haryana 122001","sector 7, Sector 7",28.465135999999998,77.00877249999999,ChIJuU__M6oZDTkRlQjnbGhIk1g,https://www.google.com/maps/place/?q=place_id:ChIJuU__M6oZDTkRlQjnbGhIk1g,part_133,2026-09-22 06:00:49,3231
Hotels Equipment Merchants,Hotel Kit Suppliers,Manufacturer,"Manufacturer, Chinaware store, Cutlery store, Kitchen supply store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98102 69915,N/A,3.8,23.0,"7370, 7372, Chandu Lal Building, Qutab Rd, Ram Nagar, Paharganj, New Delhi, Delhi, 110055","Ram Nagar, Paharganj",28.6476081,77.2177092,ChIJwZ6pSxX9DDkRjnElkEm2o0A,https://www.google.com/maps/place/?q=place_id:ChIJwZ6pSxX9DDkRjnElkEm2o0A,part_133,2026-09-22 06:00:49,3232
Bittrif Group Of Company,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 79 4922 6059,https://www.hotelamenities.co.in/,5.0,1.0,"AnisonComplex,G-1, Chimanlal Girdharlal Rd, Swastik Society, Navrangpura, nearPintuGarment, Ahmedabad, Gujarat 380009","Swastik Society, Navrangpura",23.037987899999997,72.56368909999999,ChIJM_SwhHA3L6oRtYATH7to1kM,https://www.google.com/maps/place/?q=place_id:ChIJM_SwhHA3L6oRtYATH7to1kM,part_133,2026-09-22 06:00:49,3233
Shanti Enterprises,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Corporate gift supplier, House clearance service, Toiletries Store",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 90222 66792,https://www.shantienterprisesindia.com/,4.7,,"Sri Sai Krupa nagar, 18, Chhatrapati Shivaji Rd, near Indian Oil Petrol Pump, Anand Nagar, Dahisar East, Mumbai, Maharashtra 400068","Anand Nagar, Dahisar East",19.2542734,72.86596759999999,ChIJL4KP_6Gx5zsR023lbm2qfYg,https://www.google.com/maps/place/?q=place_id:ChIJL4KP_6Gx5zsR023lbm2qfYg,part_133,2026-09-22 06:01:35,6560
Shri samarth Kitchen Equipments,Hotel Kit Suppliers,Manufacturer,Manufacturer,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,N/A,,,"Shop1, Main Road, near by Midc, MIDC, Gokul Shirgaon, Tamgaon, Maharashtra 416234",MIDC,16.6437865,74.2912872,ChIJzW8JYgD_wDsRVQOjkgpyg-s,https://www.google.com/maps/place/?q=place_id:ChIJzW8JYgD_wDsRVQOjkgpyg-s,part_133,2026-09-22 06:01:35,6561
Lotus Hotel Supplies,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,N/A,,,"Rudra Heritage, 1003, Ring Rd, Bondre Nagar, Phulewadi, Kolhapur, Maharashtra 416010","Bondre Nagar, Phulewadi",16.679938099999998,74.1907694,ChIJYx7jxYqrwTsRvmXxhdJS2z8,https://www.google.com/maps/place/?q=place_id:ChIJYx7jxYqrwTsRvmXxhdJS2z8,part_133,2026-09-22 06:01:37,6562
Aadhunik Marketing,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,416121,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"R K Nagar Ichalkaranji S.O, Jambhali B.O, Shahapur B.O",+91 99111 23235,https://www.aadhunikamenities.com/,5.0,,"IIIrd Floor, Vardhman Fortune Mall, 328, GT Karnal Rd, near Metro Station Azadpur, Industrial Area, Azadpur, Delhi, 110033","Industrial Area, Azadpur",28.7016302,77.181991,ChIJNx3vCFEDDTkR3iZ2ILBkay8,https://www.google.com/maps/place/?q=place_id:ChIJNx3vCFEDDTkR3iZ2ILBkay8,part_133,2026-09-22 06:04:05,11671
Dario Enterprises,Hotel Kit Suppliers,Manufacturer,Manufacturer,416122,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"MIDC Shiroli S.O, Jatharwadi B.O, Nagaon B.O",+91 98906 93078,http://dariocozyspicy.com/,,,"Plot No. 75, behind SSC Board, B Ward, Varsha Nagar, Kolhapur, Maharashtra 416012","B Ward, Varsha Nagar",16.6778084,74.2406756,ChIJVVVV5R8AwTsRePXLtFkADgo,https://www.google.com/maps/place/?q=place_id:ChIJVVVV5R8AwTsRePXLtFkADgo,part_133,2026-09-22 06:04:58,13306
Shree Chandrashekar Enterprises,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Brewing supply store, Cleaning products supplier, Toiletries Store, Wholesaler",416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 90601 00074,N/A,4.6,19.0,"32, 3rd Cross St, Subhash Nagar, Cottonpete, Bengaluru, Karnataka 560053","Subhash Nagar, Cottonpete",12.968907999999999,77.56926949999999,ChIJzSUIqgkWrjsRxHC2b7dwhv8,https://www.google.com/maps/place/?q=place_id:ChIJzSUIqgkWrjsRxHC2b7dwhv8,part_133,2026-09-22 06:05:45,15531
YOB Hotel Supplies,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Exporter, Hospital equipment and supplies",416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 84470 15627,http://www.yobhotelsupplies.com/,4.9,23.0,"Milestone Building, Check Post, Siliguri, West Bengal 734008",Nimbu Basti,26.7484489,88.4374033,ChIJ-RwpKWJB5DkR7sTpmSGmjxI,https://www.google.com/maps/place/?q=place_id:ChIJ-RwpKWJB5DkR7sTpmSGmjxI,part_133,2026-09-22 06:05:45,15532
Luxuria Hospitality,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 83839 43284,https://felicityhospitality.com/,4.8,,"House no. 812, 28, Street Number 11, opposite venus kids school, Davilal Nagar, Jyoti Park, Sector 7, Gurugram, Haryana 122001","Davilal Nagar, Jyoti Park, Sector 7",28.461612199999998,77.010081,ChIJod57y8IZDTkRXjtyMChRr8E,https://www.google.com/maps/place/?q=place_id:ChIJod57y8IZDTkRXjtyMChRr8E,part_133,2026-09-22 06:05:45,15533
Viraj Hotelwares Pvt. Ltd.,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 99303 21479,N/A,3.7,,"Plot No. 102, Janta Market Rd, opposite Ramesh Bar, Sector 23, Turbhe, Navi Mumbai, Maharashtra 400703","Sector 23, Turbhe",19.0708883,73.01737539999999,ChIJSRxCHPnB5zsRBPHg1hbJyCw,https://www.google.com/maps/place/?q=place_id:ChIJSRxCHPnB5zsRBPHg1hbJyCw,part_133,2026-09-22 06:05:45,15534
Kinkob kreation hotel bedsheet manufacturer nagpur india,Hotel Kit Suppliers,Manufacturer,"Manufacturer, Exporter",416146,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Parvati Industrial Estate S.O, Yadrav B.O",+91 74100 15993,https://kinkobmattress.com/,3.9,38.0,"D-12, Hingna, Road, Midc, Wadi, Nagpur, Maharashtra 440026","Midc, Wadi",21.1406509,78.9973156,ChIJ__H40ZHA1DsRuttOMA30ZAc,https://www.google.com/maps/place/?q=place_id:ChIJ__H40ZHA1DsRuttOMA30ZAc,part_133,2026-09-22 06:08:01,18062
Retreat Heritage,Hotel Kit Suppliers,Hotel,Hotel,416146,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Parvati Industrial Estate S.O, Yadrav B.O",+91 83800 04196,http://www.retreatheritage.com/,4.3,1943.0,"Bus Stand, C.T.S No.22, R.S.No.208, near Bank of Baroda, Off, Old Mumbai - Pune Hwy, near Post Office, Lonavala, Maharashtra 410401","Takve Kurth, Rao Colony",18.752130899999997,73.40532499999999,ChIJVzZ6RBAB6DsRx-KfX4MOYtQ,https://www.google.com/maps/place/?q=place_id:ChIJVzZ6RBAB6DsRx-KfX4MOYtQ,part_133,2026-09-22 06:08:01,18063
Southern Hospitality- Hotel Supplies and Guest Amenities,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Cleaning products supplier",416201,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Panhala S.O, Ambavade B.O, Rakshi B.O",+91 94957 15906,http://www.southernhospitality.in/,5.0,,"Moothedam Rd, Nettoor, Maradu, Ernakulam, Keralam 682304","Nettoor, Maradu",9.9291295,76.32143219999999,ChIJ94EQJNZzCDsRTUHHJDGC7o0,https://www.google.com/maps/place/?q=place_id:ChIJ94EQJNZzCDsRTUHHJDGC7o0,part_133,2026-09-22 06:08:47,22430
Zarnik Hotel Supplies Private Limited,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,416201,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Panhala S.O, Ambavade B.O, Rakshi B.O",+91 79949 20333,https://zarnik.com/,4.4,,"Chambady Rd, PO, Elamakkara, Ernakulam, Keralam 682026",Elamakkara,10.0211882,76.2838226,ChIJ__-vNfcMCDsR1VaQk4nLO-Y,https://www.google.com/maps/place/?q=place_id:ChIJ__-vNfcMCDsR1VaQk4nLO-Y,part_133,2026-09-22 06:08:47,22431
Sevenhills Toiletries,Hotel Kit Suppliers,Manufacturer,"Manufacturer, Hotel supply store",416201,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Panhala S.O, Ambavade B.O, Rakshi B.O",+91 75719 77770,https://www.sevenhillstoiletries.com/,4.4,14.0,"1st Floor, Bindal Complex, Mahmoorganj, Varanasi, Uttar Pradesh 221010",Mahmoorganj,25.3033558,82.97537369999999,ChIJ2XUvqu4zjjkRd9pmiQtnVBM,https://www.google.com/maps/place/?q=place_id:ChIJ2XUvqu4zjjkRd9pmiQtnVBM,part_133,2026-09-22 06:08:48,22432
Classic Kitchen mall- Gokul Shirgaon,Hotel Kit Suppliers,Kitchen supply store,"Kitchen supply store, Appliance store, Bakery equipment, Corporate gift supplier, Countertop store, Cutlery store, Gift shop, Hotel supply store",416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",+91 98903 11222,http://classickitchenmall.com/,4.3,272.0,"S.No.286, 13, Gokul Shirgaon Rd, Gokul Shirgaon, Maharashtra 416234",416202,16.6501991,74.27538969999999,ChIJwW-lRk_-wDsRNp3JsJsQpyc,https://www.google.com/maps/place/?q=place_id:ChIJwW-lRk_-wDsRNp3JsJsQpyc,part_133,2026-09-22 06:09:28,24909
Quality Furniture,Hotel Kit Suppliers,Furniture Manufacturer,"Furniture Manufacturer, Furniture accessories, Furniture accessories supplier, Furniture maker, Furniture store, Furniture wholesaler, Garden Furniture Store, Office furniture store",416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",N/A,https://digiwebcard.in/qfqualityfurniture,5.0,1.0,"Plot No 554, Tamgaon, Tal, Maharashtra 416216",416202,16.6494812,74.2959927,ChIJr_LMprv_wDsRjuFA_FiuiPc,https://www.google.com/maps/place/?q=place_id:ChIJr_LMprv_wDsRjuFA_FiuiPc,part_133,2026-09-22 06:09:28,24910
