business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
GIGA Infotech,IT and Telecom Services,Internet service provider,Internet service provider,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 94042 62500,N/A,4.8,,"814,e ward jamadar colony, Maharashtra 416003",Tarabai Park,16.7160468,74.2540367,ChIJA7RmtPgBwTsRLJ5MuYkQ6Vw,https://www.google.com/maps/place/?q=place_id:ChIJA7RmtPgBwTsRLJ5MuYkQ6Vw,part_133,2026-09-22 06:00:53,3782
Bhima Riddhi Broadband Pvt Ltd,IT and Telecom Services,Internet service provider,Internet service provider,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 73191 95577,http://bhima-group.in/,3.7,,"4th Floor, Kailash Tower, 446/5, Kolhapur Station Rd, New Shahupuri, Kolhapur, Maharashtra 416001",New Shahupuri,16.703040299999998,74.234027,ChIJS2TTSrkBwTsRRR2f-P1E-bU,https://www.google.com/maps/place/?q=place_id:ChIJS2TTSrkBwTsRRR2f-P1E-bU,part_133,2026-09-22 06:00:53,3783
GTPL SPN DIGITAL NETWORK PVT LTD,IT and Telecom Services,Cable company,Cable company,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 78755 58311,N/A,2.7,,"Gala No.14 to 22A, E Ward, 2ND FLOOR, MAHALAXMI CHAMBERS NEAR CENTRAL BUS STAND, Kolhapur, Maharashtra 416001","Railway Colony, Shahupuri",16.703792,74.24156459999999,ChIJhznk2UEAwTsRSeEX78vr45s,https://www.google.com/maps/place/?q=place_id:ChIJhznk2UEAwTsRSeEX78vr45s,part_133,2026-09-22 06:00:53,3784
Shaan Softtech Pvt. Ltd.,IT and Telecom Services,Software company,Software company,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 94220 74362,http://www.shaansofttech.com/,4.8,,"330/30, Pl. No. 137, near prithvi form Pvt Ltd, Jawahar Nagar, Kolhapur, Maharashtra 416008",Jawahar Nagar,16.688939899999998,74.2362315,ChIJpWL9TxcAwTsRVnQvaM8fnjY,https://www.google.com/maps/place/?q=place_id:ChIJpWL9TxcAwTsRVnQvaM8fnjY,part_133,2026-09-22 06:00:53,3785
Satej Infotech Private Limited,IT and Telecom Services,Internet marketing service,"Internet marketing service, Marketing agency, Software company, Website designer",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 91560 44824,https://www.satejinfotech.in/,5.0,,"Shop. No 219, First Floor, Keviz Plaza Venus Corner, Station Road, Shahupuri, Kolhapur, Maharashtra 416001",Shahupuri,16.7028879,74.233391,ChIJxbv6EvYBwTsRHMAjcHsw7yQ,https://www.google.com/maps/place/?q=place_id:ChIJxbv6EvYBwTsRHMAjcHsw7yQ,part_133,2026-09-22 06:00:53,3786
SLK Global Solutions,IT and Telecom Services,Software company,"Software company, BPO Company",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.3,,"Ujalaiwadi, Maharashtra 416004",Ujalaiwadi,16.6674854,74.2604803,ChIJs4rjEdL_wDsR4A87mBXRjUQ,https://www.google.com/maps/place/?q=place_id:ChIJs4rjEdL_wDsR4A87mBXRjUQ,part_133,2026-09-22 06:00:53,3787
SATSANG TELECOM,IT and Telecom Services,Electronics store,Electronics store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 80070 07053,N/A,5.0,,"Khanjire Shapur, Ganesh Nagar, Industrial Estate, Khotwadi, Maharashtra 416121","Ganesh Nagar, Industrial Estate",16.711296,74.4565279,ChIJD_H7mp4dwTsRNq1iUqMbd2s,https://www.google.com/maps/place/?q=place_id:ChIJD_H7mp4dwTsRNq1iUqMbd2s,part_133,2026-09-22 06:00:53,3788
Itian solutions,IT and Telecom Services,Software company,Software company,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 90672 18958,https://itiansolutions.com/,5.0,,"13th Ln, Laxmi Nagar, Jaysingpur, Maharashtra 416101",Laxmi Nagar,16.7776016,74.5565955,ChIJVXCglTofwTsRqQ-p2NMPgkg,https://www.google.com/maps/place/?q=place_id:ChIJVXCglTofwTsRqQ-p2NMPgkg,part_133,2026-09-22 06:00:53,3789
sifr software,IT and Telecom Services,Software company,"Software company, Service establishment",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,https://sifr.in/,,,"sifr software, 416116, India",416116,16.7122863,74.2279385,ChIJ-RcuzERt624RXAaM7GSrNW4,https://www.google.com/maps/place/?q=place_id:ChIJ-RcuzERt624RXAaM7GSrNW4,part_133,2026-09-22 06:00:53,3790
Global Network Solutions,IT and Telecom Services,Association / Organization,Association / Organization,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 99708 48835,N/A,4.9,,"More Mane Nagar, Mohite Colony, Salokhe Nagar, Kolhapur, Maharashtra 416007","More Mane Nagar, Mohite Colony, Salokhe Nagar",16.6681486,74.2069592,ChIJe6_8RjwAwTsRiW300vpaeXg,https://www.google.com/maps/place/?q=place_id:ChIJe6_8RjwAwTsRiW300vpaeXg,part_133,2026-09-22 06:00:53,3791
Aadnya IT Solutions,IT and Telecom Services,Computer store,Computer store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 86053 25325,N/A,4.5,8.0,"1094 / K , E Ward, 4th Ln, opp. B T Collage, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.6994796,74.24006849999999,ChIJ-W5ow8EBwTsRU0-jnJU8j6M,https://www.google.com/maps/place/?q=place_id:ChIJ-W5ow8EBwTsRU0-jnJU8j6M,part_133,2026-09-22 06:00:53,3792
Omkar Net Services,IT and Telecom Services,Internet service provider,Internet service provider,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 94223 74165,http://www.omkarnet.com/,4.8,239.0,"Laxmidatta Complex, Patwardhan Chowk, Kankavli, Maharashtra 416602",Kankavli,16.265168499999998,73.7085805,ChIJ-5h5PCkWwDsR9ywMonlxAmE,https://www.google.com/maps/place/?q=place_id:ChIJ-5h5PCkWwDsR9ywMonlxAmE,part_133,2026-09-22 06:00:53,3793
Compcare Computer Centre,IT and Telecom Services,Corporate office,Corporate office,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 82757 45599,https://techcompcare.com/,4.0,2.0,"Shivaji Park, Kolhapur, Maharashtra 416005",Shivaji Park,16.7066501,74.2577032,ChIJ1zRZPN4BwTsR_w_YRJsaGBY,https://www.google.com/maps/place/?q=place_id:ChIJ1zRZPN4BwTsR_w_YRJsaGBY,part_133,2026-09-22 06:00:53,3794
Revolution IT Solutions - Best Software Company in Kolhapur,IT and Telecom Services,Software company,Software company,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 77448 19595,https://www.revolutionit.in/,4.8,112.0,"Office No 301, Tawades Govind Excellency, 6th Ln, behind Bus Stop, above Canon Image Square, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Mahalaxminagar, Rajarampuri",16.695150299999998,74.2428991,ChIJudqd8fgBwTsRM9Ij6G11Jcc,https://www.google.com/maps/place/?q=place_id:ChIJudqd8fgBwTsRM9Ij6G11Jcc,part_133,2026-09-22 06:00:53,3795
Airtel Relationship Center,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 20 4444 4121,http://www.airtel.in/,3.1,,"Gemstone Building, near S.T Stand, Shahupuri, Kolhapur, Maharashtra 416001",Shahupuri,16.7025914,74.24226139999999,ChIJTZXwMUAAwTsRXgMG2jdxnwg,https://www.google.com/maps/place/?q=place_id:ChIJTZXwMUAAwTsRXgMG2jdxnwg,part_133,2026-09-22 06:00:54,3796
BSNL Office,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 1800 345 1500,http://www.bsnl.co.in/,3.8,,"C52Q+FQV, Nipani-Radhanagari Rd, Murgud, Maharashtra 416219",416116,16.4012451,74.1894272,ChIJ-QnFd8tYwDsRDtPnQUKDMjA,https://www.google.com/maps/place/?q=place_id:ChIJ-QnFd8tYwDsRDtPnQUKDMjA,part_133,2026-09-22 06:00:54,3797
ICHI Mobi Soft,IT and Telecom Services,Cell phone store,Cell phone store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 230 244 1111,N/A,3.8,,"21/1504, Station Road, Jawaharnagar, Maharashtra 416115",Jawaharnagar,16.7028011,74.4549497,ChIJq8Dv-oIdwTsRS3rOInoCeyM,https://www.google.com/maps/place/?q=place_id:ChIJq8Dv-oIdwTsRS3rOInoCeyM,part_133,2026-09-22 06:00:54,3798
Bhargavi Broadband Services,IT and Telecom Services,Internet service provider,Internet service provider,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,5.0,,"Main road, near D.Y.patil sahakari bank, Trymboli Colony, Shree Colony, Kasaba Bawada, Kolhapur, Maharashtra 416006","Trymboli Colony, Shree Colony, Kasaba Bawada",16.731484299999998,74.24284879999999,ChIJwRiOTscBwTsRlgJbogV61HI,https://www.google.com/maps/place/?q=place_id:ChIJwRiOTscBwTsRlgJbogV61HI,part_133,2026-09-22 06:00:54,3799
iAIRONET COMMUNICATIONS PVT LTD,IT and Telecom Services,Internet service provider,Internet service provider,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 90288 81366,https://www.iaironet.com/,1.0,,"TF-9, Mama Chavan Residency, Takala Main Rd, Mali Colony, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008","Mali Colony, Mahalaxminagar, Rajarampuri",16.6966698,74.24928899999999,ChIJmY1-Q1sBwTsR_AVucbAMA7A,https://www.google.com/maps/place/?q=place_id:ChIJmY1-Q1sBwTsR_AVucbAMA7A,part_133,2026-09-22 06:00:54,3800
