business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Lead Stream,Lead Generation Agencies,Marketing agency,"Marketing agency, Service establishment",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 6355 212 029,https://leadstream.in/,5.0,,"Lead Stream, 416116, India",416116,45.050399899999995,-47.802320699999996,ChIJjeuiqozstI8RkxPRbP0v5Oc,https://www.google.com/maps/place/?q=place_id:ChIJjeuiqozstI8RkxPRbP0v5Oc,part_133,2026-09-22 06:01:02,4458
Barcadly Services,Lead Generation Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Graphic designer, Marketing agency, Software company, Website designer",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 81498 59580,https://barcadlyservices.com/,4.9,,"3rd Floor, Trade Centre, Kolhapur Station Rd, New Shahupuri, Kolhapur, Maharashtra 416001",New Shahupuri,16.7041952,74.239314,ChIJE5-U5AEBwTsRe5wpGlssC7M,https://www.google.com/maps/place/?q=place_id:ChIJE5-U5AEBwTsRe5wpGlssC7M,part_133,2026-09-22 06:01:02,4459
AVP Digital Solutions,Lead Generation Agencies,Advertising agency,Advertising agency,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,N/A,5.0,1.0,"Main Road, Temblaiwadi, Uchgaon, Maharashtra 416005","Temblaiwadi, Uchgaon",16.6950611,74.2729684,ChIJQ0jKUDcBwTsRIY8zPJR73rc,https://www.google.com/maps/place/?q=place_id:ChIJQ0jKUDcBwTsRIY8zPJR73rc,part_133,2026-09-22 06:01:50,7569
Dekactus Branding & Strategy,Lead Generation Agencies,Advertising agency,Advertising agency,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 98814 69881,http://www.dekactus.com/,5.0,4.0,"opp. Bank of Maharastra, Ruikar Colony, Kolhapur, Maharashtra 416005",Ruikar Colony,16.7068553,74.2596485,ChIJ7YTx8EIBwTsRf1qOZZcm9kE,https://www.google.com/maps/place/?q=place_id:ChIJ7YTx8EIBwTsRf1qOZZcm9kE,part_133,2026-09-22 06:01:50,7570
Four Thoughts Creations Pvt.Ltd,Lead Generation Agencies,Internet marketing service,"Internet marketing service, Advertising agency",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,http://fourthoughtscreations.com/,5.0,,"Plot no. 710/11, Sharda vihar, Hockey Stadium Rd, opposite dhyanchand, Mangalwar Peth, Race Course Naka, Padmala, Kolhapur, Maharashtra 416012","Mangalwar Peth, Race Course Naka, Padmala",16.6782038,74.228062,ChIJX8qQj8m9S6MRJpGiJN43B4I,https://www.google.com/maps/place/?q=place_id:ChIJX8qQj8m9S6MRJpGiJN43B4I,part_133,2026-09-22 06:01:51,7571
Digital Tech Hive,Lead Generation Agencies,Software company,Software company,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 78230 46339,N/A,5.0,,"Mukt Sainik Colony, Kolhapur, Maharashtra 416005",Mukt Sainik Colony,16.708634399999998,74.2654654,ChIJjdmPI1wBwTsR-BeunRMb-Gg,https://www.google.com/maps/place/?q=place_id:ChIJjdmPI1wBwTsR-BeunRMb-Gg,part_133,2026-09-22 06:01:51,7572
Vantic Crafters,Lead Generation Agencies,Marketing agency,"Marketing agency, Service establishment",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,https://vantic-crafters.netlify.app/,,,"Vantic Crafters, 416118, India",416118,16.4594936,75.27981989999999,ChIJQZYu6r_TH2IRZvgCzEIvihE,https://www.google.com/maps/place/?q=place_id:ChIJQZYu6r_TH2IRZvgCzEIvihE,part_133,2026-09-22 06:01:52,7573
Akshay Farakate- Freelance Digital Marketer,Lead Generation Agencies,Internet marketing service,"Internet marketing service, Service establishment",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 88303 09519,N/A,,,"Akshay Farakate- Freelance Digital Marketer, 416118, India",416118,21.0680074,82.7525294,ChIJyU0uieJ5KUoRo-VJxIvWVN0,https://www.google.com/maps/place/?q=place_id:ChIJyU0uieJ5KUoRo-VJxIvWVN0,part_133,2026-09-22 06:01:52,7574
my E platform,Lead Generation Agencies,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Consultant, E - Commerce Agency, Internet marketing service, Marketing consultant, Newspaper publisher, Video editing service",416119,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Gandhinagar S.O (Kolhapur), Chinchwad B.O, Gadmudshingi B.O",+91 86988 77771,https://myeplatform.com/,4.9,,"Sangli Wada, 80 Feet Rd, behind Mardav Jewellers, Sangli, Dattanagar, Sangli Miraj Kupwad, Maharashtra 416415","Sangli, Dattanagar",16.8406198,74.590853,ChIJL93x_oEiwTsRkTG2PUs42y4,https://www.google.com/maps/place/?q=place_id:ChIJL93x_oEiwTsRkTG2PUs42y4,part_133,2026-09-22 06:02:41,8550
B2B Lead Generation Provider Company | Inventive-SMi,Lead Generation Agencies,Marketing agency,Marketing agency,416120,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattanagar S.O, Arjunwad B.O, Chinchwad B.O",N/A,http://www.inventive-smi.com/,4.3,,"World Trade Center, Level 9, Tower, 2, Kharadi, Pune, Maharashtra 411014","EON Free Zone, Kharadi",18.5512703,73.9507088,ChIJG2xMEw3BwjsRQRuPKrxv6JA,https://www.google.com/maps/place/?q=place_id:ChIJG2xMEw3BwjsRQRuPKrxv6JA,part_133,2026-09-22 06:03:30,10256
SOCIEL SPARKS,Lead Generation Agencies,Marketing agency,"Marketing agency, Service establishment",416120,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattanagar S.O, Arjunwad B.O, Chinchwad B.O",+91 87679 74453,https://anu-nadaf.my.canva.site/gauravpatil9085,,,"SOCIEL SPARKS, 416120, India",416120,16.773501,74.4291952,ChIJFSbeAozJWmIRq5JuVnf7wkI,https://www.google.com/maps/place/?q=place_id:ChIJFSbeAozJWmIRq5JuVnf7wkI,part_133,2026-09-22 06:03:30,10257
Spek Digital,Lead Generation Agencies,Marketing agency,"Marketing agency, Advertising agency, Animation Studio, Media Consultant",416120,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dattanagar S.O, Arjunwad B.O, Chinchwad B.O",N/A,http://www.spek.co.in/,4.7,6.0,"Laxmi Industrial Estate, Shankar Rao Naram Path, Lower Parel West, Lower Parel, Mumbai, Maharashtra 400013","Lower Parel West, Lower Parel",19.001493,72.8250623,ChIJJSkWyr7P5zsR5-hUXT98av0,https://www.google.com/maps/place/?q=place_id:ChIJJSkWyr7P5zsR5-hUXT98av0,part_133,2026-09-22 06:03:31,10258
Sivon AI - The AI Advertising & Automation Agency,Lead Generation Agencies,Marketing agency,"Marketing agency, Advertising agency, Automation company, Internet marketing service, Website designer",416121,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"R K Nagar Ichalkaranji S.O, Jambhali B.O, Shahapur B.O",+91 91121 17553,https://sivonai.in/,5.0,,"Gat no.668, Kole Mala, M.no.6695/3, Shahu Nagar, Kabnur, Ichalkaranji, Kabnur, Maharashtra 416116","Shahu Nagar, Kabnur",16.684360899999998,74.4353526,ChIJt1t9vK7jwDsRseWYp5Od2q8,https://www.google.com/maps/place/?q=place_id:ChIJt1t9vK7jwDsRseWYp5Od2q8,part_133,2026-09-22 06:04:21,12242
DemandFluence,Lead Generation Agencies,Marketing agency,"Marketing agency, Business development service, Business to business service",416121,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"R K Nagar Ichalkaranji S.O, Jambhali B.O, Shahapur B.O",+91 70490 00888,https://www.demandfluence.com/?utm_source=organic&utm_medium=seo&utm_campaign=gmb&utm_id=pune,4.6,45.0,"3rd Floor, C-Wing, KPCT, Office # 303, 304, 305 on, Fatima Nagar, Wanowrie, Pune, Maharashtra 411013","Fatima Nagar, Wanowrie",18.504248099999998,73.90090479999999,ChIJfQo_RHfqwjsR0c79QhHraEw,https://www.google.com/maps/place/?q=place_id:ChIJfQo_RHfqwjsR0c79QhHraEw,part_133,2026-09-22 06:04:21,12243
Admagnet,Lead Generation Agencies,Marketing agency,Marketing agency,416122,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"MIDC Shiroli S.O, Jatharwadi B.O, Nagaon B.O",+91 77580 06369,N/A,5.0,8.0,"2nd floor, Tathastu Building, beside Akash Institute, E Ward, Shahupuri, Kolhapur, Maharashtra 416002","E Ward, Shahupuri",16.6999306,74.2374663,ChIJ7UKEnk0BwTsRfDpdTmT_Z40,https://www.google.com/maps/place/?q=place_id:ChIJ7UKEnk0BwTsRfDpdTmT_Z40,part_133,2026-09-22 06:05:13,13675
B2B inDemand - B2B Lead Generation Services Provider Company,Lead Generation Agencies,Marketing agency,"Marketing agency, Internet marketing service, Telephone Marketing Agency",416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 3029 669 297,http://www.b2bindemand.com/,3.8,31.0,"8th Floor SkyVista, 805, Mhada Colony, Viman Nagar, Pune, Maharashtra 411014","Mhada Colony, Viman Nagar",18.5685701,73.9083782,ChIJpweIdXnBwjsRMccRwHdON60,https://www.google.com/maps/place/?q=place_id:ChIJpweIdXnBwjsRMccRwHdON60,part_133,2026-09-22 06:06:01,16402
Orange Owl Marketing,Lead Generation Agencies,Marketing agency,Marketing agency,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 99633 22283,http://orangeowl.marketing/,5.0,,"Plot 21, Road No. 10, beside Income Tax Colony, Krishnapuram Colony, Krishnapuram, Banjara Hills, Hyderabad, Telangana 500034","Krishnapuram Colony, Krishnapuram, Banjara Hills",17.4153007,78.4334978,ChIJ6QpV5eyXyzsRYIZp0gaavmI,https://www.google.com/maps/place/?q=place_id:ChIJ6QpV5eyXyzsRYIZp0gaavmI,part_133,2026-09-22 06:06:02,16403
ONLY B2B ITES PRIVATE LIMITED,Lead Generation Agencies,Marketing agency,Marketing agency,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 70281 41720,https://www.only-b2b.com/,3.3,,"4th Floor, Alpha-1 Building, GigaSpace IT Park, Office No, 402A & 402B, Viman Nagar, Pune, Maharashtra 411014","Clover Park, Viman Nagar",18.5633774,73.9184796,ChIJ__-_1Q3BwjsRyvzte-YVGRc,https://www.google.com/maps/place/?q=place_id:ChIJ__-_1Q3BwjsRyvzte-YVGRc,part_133,2026-09-22 06:06:02,16404
