business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Rajdhani Karvir Aayurvedic Family Pan Shop,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 96891 08374,N/A,4.2,71.0,"Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.7077919,74.2410429,ChIJ_8P32WkAwTsRAoMa6vqzEj4,https://www.google.com/maps/place/?q=place_id:ChIJ_8P32WkAwTsRAoMa6vqzEj4,part_133,2026-09-22 06:00:16,134
Anita Pan Shop,Paan and FMCG Stall,Paan shop,"Paan shop, Tobacco shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98236 99099,N/A,3.6,70.0,"P64X+3JC, Ayodhya park, Nimbalkar Colony, Ruikar Colony, Kolhapur, Maharashtra 416005","Nimbalkar Colony, Ruikar Colony",16.7051771,74.24902329999999,ChIJG0NYlEYAwTsRfzKgWE0EmTE,https://www.google.com/maps/place/?q=place_id:ChIJG0NYlEYAwTsRfzKgWE0EmTE,part_133,2026-09-22 06:00:16,135
Patil Pan Shop,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 70403 63823,N/A,4.6,14.0,"MFR2+X9M, Kolhapur Road, Yashwant Colony, Ichalkaranji, Maharashtra 416115",Yashwant Colony,16.6924736,74.4509175,ChIJYaAbPYDiwDsR_AGaY308RXU,https://www.google.com/maps/place/?q=place_id:ChIJYaAbPYDiwDsR_AGaY308RXU,part_133,2026-09-22 06:00:16,136
Greens Pan Shop,Paan and FMCG Stall,Shopping mall,Shopping mall,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,5.0,1.0,"P727+7QM, Vikramnagar, Kolhapur, Maharashtra 416005",Vikramnagar,16.700705,74.26443119999999,ChIJI7N5OQUBwTsRf0bZKVq5GnQ,https://www.google.com/maps/place/?q=place_id:ChIJI7N5OQUBwTsRf0bZKVq5GnQ,part_133,2026-09-22 06:00:16,137
Mast Banarasi Paan,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 90215 64655,https://mast-banarasi-paan.grexa.site/,4.0,8.0,"Shop B24, dhabolkar corner, Royal Plaza, near Poulo Travells, New Shahupuri, Kolhapur, Maharashtra 416003",New Shahupuri,16.704949,74.2412456,ChIJDx_MtggBwTsRY60dmht2ajc,https://www.google.com/maps/place/?q=place_id:ChIJDx_MtggBwTsRY60dmht2ajc,part_133,2026-09-22 06:00:16,138
Pudhari Paanwala,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 70381 31620,N/A,5.0,14.0,"Corner of the 14th lane, wadi road, near Aakash electronics, Shirol, Jaysingpur, Maharashtra 416101",Laxmi Nagar,16.7772739,74.5576829,ChIJuQMbrD8fwTsRK_aBdEM9UDk,https://www.google.com/maps/place/?q=place_id:ChIJuQMbrD8fwTsRK_aBdEM9UDk,part_133,2026-09-22 06:00:16,139
Golden Pan Shop,Paan and FMCG Stall,Dessert shop,"Dessert shop, Paan shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 95959 05253,N/A,2.0,1.0,"Shop No.11, Remond Chouk, Kagal 5 Star MIDC Industrial Area, Kagal, Talandage, Maharashtra 416236",Kagal 5 Star MIDC Industrial Area,16.6109859,74.34889,ChIJNe6sMR_9wDsRWqyzxw3K0BM,https://www.google.com/maps/place/?q=place_id:ChIJNe6sMR_9wDsRWqyzxw3K0BM,part_133,2026-09-22 06:00:16,140
Shree pan shop,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,,,"Basement, Ratnakar Bank, Temblaiwadi, Uchgaon, Maharashtra 416005","Temblaiwadi, Uchgaon",16.6937598,74.2726562,ChIJLezLHgABwTsRxxiZbOUYajI,https://www.google.com/maps/place/?q=place_id:ChIJLezLHgABwTsRxxiZbOUYajI,part_133,2026-09-22 06:00:16,141
Ramzan Paan Shop,Paan and FMCG Stall,Tobacco shop,Tobacco shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 99606 14425,N/A,3.0,1.0,"Shop No 3, Dargah Road, near by Rohit Photography, Azad Galli, Rukadi, Maharashtra 416118",Azad Galli,16.7218482,74.3555547,ChIJy85dXIwDwTsRZnZn0KPjTNU,https://www.google.com/maps/place/?q=place_id:ChIJy85dXIwDwTsRZnZn0KPjTNU,part_133,2026-09-22 06:00:16,142
Mahalaxmi Paan shop,Paan and FMCG Stall,Tobacco shop,Tobacco shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 95796 07069,N/A,,,"Main road, opp. reliance Mall, Laxmipuri, Kolhapur, Maharashtra 416002",Laxmipuri,16.698427499999998,74.2306035,ChIJqceEhVIBwTsR5KRSUCrM5ec,https://www.google.com/maps/place/?q=place_id:ChIJqceEhVIBwTsR5KRSUCrM5ec,part_133,2026-09-22 06:00:16,143
Paan Mandir,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 99232 18006,N/A,4.8,,"Ghodake chambers, road, near Hotel Rasika, Shahu Market Yard, Kolhapur, Maharashtra 416005",Shahu Market Yard,16.7078095,74.2642947,ChIJ4SO26z8BwTsRD95LP5TL8CY,https://www.google.com/maps/place/?q=place_id:ChIJ4SO26z8BwTsRD95LP5TL8CY,part_133,2026-09-22 06:00:17,144
Saraswati Paan Center,Paan and FMCG Stall,Tobacco shop,Tobacco shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 97657 87384,N/A,5.0,,"Shop No 4, Bhadgav Road, near Idbi Bank, Gadhinglaj, Maharashtra 416502",416116,16.2186325,74.3502969,ChIJ0WmHMe-PwDsRvnqdEMlwo_8,https://www.google.com/maps/place/?q=place_id:ChIJ0WmHMe-PwDsRvnqdEMlwo_8,part_133,2026-09-22 06:00:17,145
AnuRaj PAN SHOP AND BEKARES,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98900 83638,N/A,4.3,,"near hotel Anand, Kodoli, Maharashtra 416114",416116,16.8751863,74.1901632,ChIJzT3JEOinwTsRsIjw5AyepAE,https://www.google.com/maps/place/?q=place_id:ChIJzT3JEOinwTsRsIjw5AyepAE,part_133,2026-09-22 06:00:17,146
Pan shop,Paan and FMCG Stall,Store,Store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,,,"M6WG+8V5, Rajaram Rd, C Ward, Kolhapur, Maharashtra 416012",C Ward,16.6957608,74.2272216,ChIJC-NFuw0BwTsRqQOxEK_SBq4,https://www.google.com/maps/place/?q=place_id:ChIJC-NFuw0BwTsRqQOxEK_SBq4,part_133,2026-09-22 06:00:17,147
पैलवान पान शॉप (पैलवान पान),Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 94042 46003,N/A,4.7,112.0,"Vijay hights Visava naka, near nation 11 hotel, Satara, Maharashtra 415001","Kalyani Nagar, Powai Naka",17.6866478,74.0177921,ChIJc9Vn9Eo5wjsRqfnP8rZ99SA,https://www.google.com/maps/place/?q=place_id:ChIJc9Vn9Eo5wjsRqfnP8rZ99SA,part_133,2026-09-22 06:00:18,148
prem Paan Shop,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 97621 61327,http://prempaanshop.blogspot.in/p/home.html,5.0,161.0,"5, Paud Rd, Rambaug Colony, Kothrud, Pune, Maharashtra 411038","Rambaug Colony, Kothrud",18.5105284,73.8160268,ChIJt52hx72_wjsRkVdqLOq_PDU,https://www.google.com/maps/place/?q=place_id:ChIJt52hx72_wjsRkVdqLOq_PDU,part_133,2026-09-22 06:00:18,149
SHREE PAAN KATTA,Paan and FMCG Stall,Indian grocery store,Indian grocery store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.8,34.0,"SHREE PAAN SHOP, Jintur Rd, near SHABARI BAR, Khaja Colony, Prabhavati Nagar, Parbhani, Maharashtra 431401","Khaja Colony, Prabhavati Nagar",19.2791993,76.7596236,ChIJK91NTJ0X0DsRQMyLRlSl_V0,https://www.google.com/maps/place/?q=place_id:ChIJK91NTJ0X0DsRQMyLRlSl_V0,part_133,2026-09-22 06:00:18,150
श्रीनाथ पान....The complete family paan shop pabal,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 95038 33494,N/A,5.0,1.0,"Shop No.2, opp. Sai Collection, Pabal, Maharashtra 412403",416116,18.829404099999998,74.049013,ChIJ1cgC7W7TwjsR2e3_J6aDR0Q,https://www.google.com/maps/place/?q=place_id:ChIJ1cgC7W7TwjsR2e3_J6aDR0Q,part_133,2026-09-22 06:00:18,151
Sajan Paan Bhandar,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 90282 04740,N/A,5.0,16.0,"Gala No. 1, Hotel Shantidoot Lodge, opp. Vishal Medical, Bazar Peth, Nagothane, Maharashtra 402106",Bazar Peth,18.5403979,73.1350818,ChIJj004FwAT6DsR5TSREOFulv0,https://www.google.com/maps/place/?q=place_id:ChIJj004FwAT6DsR5TSREOFulv0,part_133,2026-09-22 06:00:18,152
KARAM PAN MAHAL,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98501 56893,https://www.instagram.com/karam__pan__mahel___official?igsh=MXZhZzlxdXJ0OHh4YQ==,4.8,13.0,"Main road, Sai Nagar, Kinwat, Maharashtra 431804",Sai Nagar,19.6237384,78.19851059999999,ChIJheUUhlQ90jsRlDG8OXLR_3U,https://www.google.com/maps/place/?q=place_id:ChIJheUUhlQ90jsRlDG8OXLR_3U,part_133,2026-09-22 06:00:18,153
Zaika The Pan Shop,Paan and FMCG Stall,Paan shop,"Paan shop, Hookah store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 77679 63035,N/A,5.0,38.0,"Katraj - Kondhwa Rd, near Hotel Kanha, Budruk, Kondhwa, Pune, Maharashtra 411048",Kondhwa,18.4510307,73.8801428,ChIJ_XHqLa7rwjsRAaGyUAC8ljw,https://www.google.com/maps/place/?q=place_id:ChIJ_XHqLa7rwjsRAaGyUAC8ljw,part_133,2026-09-22 06:00:18,154
Dongrai pan shop,Paan and FMCG Stall,Paan shop,"Paan shop, Tobacco shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 80874 04096,N/A,4.8,4.0,"Pune Solapur Hiway, bypass, Indapur, Maharashtra 413106",bypass,18.1287835,75.0033574,ChIJf0kv4KR_xDsR-AZxmh3t3P8,https://www.google.com/maps/place/?q=place_id:ChIJf0kv4KR_xDsR-AZxmh3t3P8,part_133,2026-09-22 06:00:18,155
Paagal Pan Bhandar,Paan and FMCG Stall,Paan shop,Paan shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.4,67.0,"3R5H+QV4, Manuel Gonsalves Rd, near BOI Bank, Bandra West, Mumbai, Maharashtra 400050",Bandra West,19.0593824,72.8296955,ChIJU1ql8YnJ5zsRYcM1Y0lWH9U,https://www.google.com/maps/place/?q=place_id:ChIJU1ql8YnJ5zsRYcM1Y0lWH9U,part_133,2026-09-22 06:00:18,156
Paan King Begum # Franchisee,Paan and FMCG Stall,Food and beverage consultant,Food and beverage consultant,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 80077 00008,N/A,5.0,52.0,"Gagan Garima, Aundh Rd, Chikhalwadi, Bopodi, Pune, Maharashtra 411020","Chikhalwadi, Bopodi",18.5620892,73.8368548,ChIJr_erkpu_wjsRQohImZz7xdQ,https://www.google.com/maps/place/?q=place_id:ChIJr_erkpu_wjsRQohImZz7xdQ,part_133,2026-09-22 06:00:18,157
Narayani Pan Shop,Paan and FMCG Stall,Ice cream shop,Ice cream shop,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 91121 32008,N/A,5.0,4.0,"Uma Talkies, Subhash Rd, Manganwlar Peth, Kolhapur, Maharashtra 416012",Manganwlar Peth,16.696333,74.23137899999999,ChIJEzAodwABwTsRsvwR5jZm7sg,https://www.google.com/maps/place/?q=place_id:ChIJEzAodwABwTsRsvwR5jZm7sg,part_133,2026-09-22 06:01:07,4786
Narayani Paan Shop,Paan and FMCG Stall,Tobacco shop,Tobacco shop,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 90112 58382,N/A,,,"Shop No 2, near Kaman, Laxtirth Vasahat, Kolhapur, Maharashtra 416010",Laxtirth Vasahat,16.6977798,74.200307,ChIJi0L2IYmrwTsRV4_t6APAI8Y,https://www.google.com/maps/place/?q=place_id:ChIJi0L2IYmrwTsRV4_t6APAI8Y,part_133,2026-09-22 06:01:07,4787
Shivram pan bhavan,Paan and FMCG Stall,Paan shop,Paan shop,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 88568 93571,N/A,5.0,,"Assembly Rd, Shahupuri, Kolhapur, Maharashtra 416001",Shahupuri,16.7030283,74.23371929999999,ChIJqwMK9VkBwTsRnh8xgx9YSb4,https://www.google.com/maps/place/?q=place_id:ChIJqwMK9VkBwTsRnh8xgx9YSb4,part_133,2026-09-22 06:01:08,4788
Rahul's Family Paan Center (Mast Banarasi Paan),Paan and FMCG Stall,Paan shop,Paan shop,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 77108 87979,https://rahuls-family-paan.grexa.site/,4.9,,"21 feet Ganapati Idol Pratibhanagar main road Shahunagar, Chouk, Rajarampuri, Kolhapur, Maharashtra 416008",Rajarampuri,16.6910529,74.24282409999999,ChIJMZsKAzcBwTsReLwZZI6NFpM,https://www.google.com/maps/place/?q=place_id:ChIJMZsKAzcBwTsReLwZZI6NFpM,part_133,2026-09-22 06:01:08,4789
