business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dr Shilpa Maney (Benade)Sri Sri Wellbeing Franchise- Kolhapur | Ayurveda and Panchakarma Center,Wellness Center,Wellness center,Wellness center,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98508 66685,https://www.srisriwellbeing.com/kolhapur,4.9,74.0,"5th Ln, opposite Bank of Baroda, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Mahalaxminagar, Rajarampuri",16.6964906,74.2469495,ChIJoefHGwABwTsRsOIyYtMXWnE,https://www.google.com/maps/place/?q=place_id:ChIJoefHGwABwTsRsOIyYtMXWnE,part_133,2026-09-22 06:00:43,2830
Pooja Wellness & fitness center,Wellness Center,Health consultant,Health consultant,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98504 32924,N/A,3.0,2.0,"Kisan chowk , Survengar , Jamadar mala, Khotwadi, Maharashtra 416116","Ganesh Nagar, Industrial Estate",16.7090007,74.4560807,ChIJ5RCBqR4dwTsRzH417IuuhFQ,https://www.google.com/maps/place/?q=place_id:ChIJ5RCBqR4dwTsRzH417IuuhFQ,part_133,2026-09-22 06:00:43,2831
Niraamay Wellness Centre,Wellness Center,Wellness center,Wellness center,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 70280 81157,https://niraamay.com/,4.0,25.0,"Niraamay Wellness Centre, P.K.P. Empire, Shahupuri 5th Ln, E Ward, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.700047899999998,74.2355845,ChIJHytOVGsAwTsR6rV6yCmWU3o,https://www.google.com/maps/place/?q=place_id:ChIJHytOVGsAwTsR6rV6yCmWU3o,part_133,2026-09-22 06:00:43,2832
Vedanta Wellness,Wellness Center,Massage therapist,Massage therapist,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 77090 22691,N/A,4.4,38.0,"Sadar Bazar Main Rd, near Hotel Panchasheel, opp. HP Petrol Pump, Shivaji Park, Kolhapur, Maharashtra 416001",Shivaji Park,16.7048791,74.2450661,ChIJtd2HmTYBwTsRE5PJ9uE06vA,https://www.google.com/maps/place/?q=place_id:ChIJtd2HmTYBwTsRE5PJ9uE06vA,part_133,2026-09-22 06:00:43,2833
HEALTH ADVISOR (FAT LOSS & WEIGHT GAIN),Wellness Center,Health consultant,Health consultant,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 90289 79774,N/A,4.0,1.0,"PF42+72H, Venkatesh Society Rd, Jijamata, Jawaharnagar, Maharashtra 416115","Jijamata, Jawaharnagar",16.7056944,74.45010649999999,ChIJxzU7sHcdwTsR2bm3ijqPVXI,https://www.google.com/maps/place/?q=place_id:ChIJxzU7sHcdwTsR2bm3ijqPVXI,part_133,2026-09-22 06:00:43,2834
आरोग्यम हेल्थ अँड फिटनेस सेंटर,Wellness Center,Gym,Gym,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 90288 32507,N/A,4.5,4.0,"PC6X+4CW, Station Road, Jawaharnagar, Maharashtra 416115",Jawaharnagar,16.710369,74.4485861,ChIJy3CCQAAdwTsRJzDcKvDzeVY,https://www.google.com/maps/place/?q=place_id:ChIJy3CCQAAdwTsRJzDcKvDzeVY,part_133,2026-09-22 06:00:43,2835
Telvekar's Fitness Centre,Wellness Center,Fitness center,Fitness center,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 97309 63300,N/A,4.5,44.0,"Vharge mala, Vadanage, Kolhapur, Maharashtra 416229",416116,16.728703199999998,74.21044499999999,ChIJ-ysdtHuqwTsR9kQd_SVIpaE,https://www.google.com/maps/place/?q=place_id:ChIJ-ysdtHuqwTsR9kQd_SVIpaE,part_133,2026-09-22 06:00:43,2836
Vipassana Research Centre,Wellness Center,Meditation center,Meditation center,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 230 248 7383,http://www.dhamma.org/,4.9,59.0,"Q95J+6M2, Ramling Rd, Alta, Maharashtra 416109",416116,16.7580249,74.3816293,ChIJP-y-3zcDwTsRx0GYcBECyns,https://www.google.com/maps/place/?q=place_id:ChIJP-y-3zcDwTsRx0GYcBECyns,part_133,2026-09-22 06:00:43,2837
MAULI MEDICAL,Wellness Center,Wellness center,"Wellness center, Pharmacy",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 70387 13196,N/A,,,"Shop No 1, Jawahar Nagar Ichalkarnji, Thakare Chowk, Jijamata, Jawaharnagar, Maharashtra 416115","Jijamata, Jawaharnagar",16.704882299999998,74.4465914,ChIJX1O_8U0dwTsRPss-n_IOGHk,https://www.google.com/maps/place/?q=place_id:ChIJX1O_8U0dwTsRPss-n_IOGHk,part_133,2026-09-22 06:00:43,2838
The Vedik Spa And Massage Center,Wellness Center,Massage spa,"Massage spa, Aromatherapy service, Massage therapist, Spa, Thai massage therapist",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 90495 70729,N/A,3.5,,"First Floor, Insignia Complex, Main Rd, above Yes Bank, near Sayaji Hotel, New Shahupuri, Kolhapur, Maharashtra 416001",New Shahupuri,16.703062499999998,74.2340625,ChIJOZOzYkEAwTsRoafMWEc0haQ,https://www.google.com/maps/place/?q=place_id:ChIJOZOzYkEAwTsRoafMWEc0haQ,part_133,2026-09-22 06:00:44,2839
