business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Star Digital,Flex and Banner Printing,Digital printing service,Digital printing service,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 92265 76694,N/A,4.9,16.0,"shop no.1410, Ground floor, Asiad Chember, Laxmipuri, Kolhapur, Maharashtra 416002",Laxmipuri,16.6996045,74.2305367,ChIJGabOsPABwTsR09NFsCWfK4g,https://www.google.com/maps/place/?q=place_id:ChIJGabOsPABwTsR09NFsCWfK4g,part_133,2026-09-22 06:00:51
INTERTRADE ADVERTISERS PRIVATE LIMITED,Flex and Banner Printing,Advertising agency,Advertising agency,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 99602 33222,http://www.intertradeadvt.com/,4.6,14.0,"Subhash Rd, Laxmipuri, FORD CORNER, Kolhapur, Maharashtra 416002",Laxmipuri,16.699818,74.23055,ChIJyRlZRW0AwTsR_RsNedIHqzk,https://www.google.com/maps/place/?q=place_id:ChIJyRlZRW0AwTsR_RsNedIHqzk,part_133,2026-09-22 06:00:51
FLEX PRINTING,Flex and Banner Printing,Print shop,Print shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,5.0,1.0,"Mayapuri Industrial Area Phase II, Mayapuri, Delhi, 110046","Mayapuri Industrial Area Phase II, Mayapuri",28.6134989,77.1095862,ChIJJTQjSlMDDTkRo4sttlutqFI,https://www.google.com/maps/place/?q=place_id:ChIJJTQjSlMDDTkRo4sttlutqFI,part_133,2026-09-22 06:00:51
Dhanashree Publicity,Flex and Banner Printing,Advertising agency,Advertising agency,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98607 15553,N/A,4.6,25.0,"2724, Mandlik Galli, Mangalwar Peth, Manganwlar Peth, Kolhapur, Maharashtra 416012","Mangalwar Peth, Manganwlar Peth",16.690299,74.2269489,ChIJFbHPVA4AwTsRF8PrUO84Fxc,https://www.google.com/maps/place/?q=place_id:ChIJFbHPVA4AwTsRF8PrUO84Fxc,part_133,2026-09-22 06:00:52
Atul Printers,Flex and Banner Printing,Corporate office,Corporate office,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98222 09209,N/A,4.8,5.0,"Flat No - 101, Kedari Residency, near Hockey Stadium Road, Kalamba, Kolhapur, Maharashtra 416007",Kalamba,16.6757105,74.2262634,ChIJXVQjfP3_wDsRVgqmi945fBE,https://www.google.com/maps/place/?q=place_id:ChIJXVQjfP3_wDsRVgqmi945fBE,part_133,2026-09-22 06:00:52
PATIL ART'S & DIGITAL,Flex and Banner Printing,Digital printing service,Digital printing service,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.0,1.0,"Narsoba galli, Joglekar Wada, Tasgaon, Maharashtra 416312",Joglekar Wada,17.0350583,74.60049409999999,ChIJNQMMDgA_wTsRcoaUP0NQA1c,https://www.google.com/maps/place/?q=place_id:ChIJNQMMDgA_wTsRcoaUP0NQA1c,part_133,2026-09-22 06:00:52
FLEX PRINTING & LED BOARDS,Flex and Banner Printing,Flex and Banner Printing,Flex and Banner Printing,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98503 94962,N/A,2.3,3.0,"Adarsh Nagar, Kalewadi, Pimpri-Chinchwad, Maharashtra 411017","Adarsh Nagar, Kalewadi",18.6160292,73.78664739999999,ChIJ9c2816m5wjsRRNvRM8Nu-us,https://www.google.com/maps/place/?q=place_id:ChIJ9c2816m5wjsRRNvRM8Nu-us,part_133,2026-09-22 06:00:52
Mysore Flex and Banner Bag Flag & T Shirt Printing,Flex and Banner Printing,Banner store,"Banner store, Advertising agency, Print shop, Custom t-shirt store, Digital printer, Digital printing service, Graphic designer, Offset Printer, Poster store, Sign shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 86188 64411,http://universalmedia.liveblog365.com/,4.7,137.0,"447/2b, Jhansi Rani Lakshmi Bai Rd, Chamarajapura, Chamarajapuram Mohalla, Lakshmipuram, Mysuru, Karnataka 570005","Chamarajapura, Chamarajapuram Mohalla, Lakshmipuram",12.3002545,76.6421092,ChIJm0qFcQhwrzsRyWkpQez08WI,https://www.google.com/maps/place/?q=place_id:ChIJm0qFcQhwrzsRyWkpQez08WI,part_133,2026-09-22 06:00:52
SHREEATRI,Flex and Banner Printing,Print shop,Print shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 81779 43464,N/A,,,"Rajarampuri 8th Lane Main Road, opp. Hindustan Bakery, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Mahalaxminagar, Rajarampuri",16.6940786,74.24353669999999,ChIJd9DP3-YBwTsRegXjk-G24SU,https://www.google.com/maps/place/?q=place_id:ChIJd9DP3-YBwTsRegXjk-G24SU,part_133,2026-09-22 06:00:52
VIJAY MUDRA PRINTING PRESS,Flex and Banner Printing,Screen printing shop,Screen printing shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 95790 83599,N/A,5.0,,"2403, C Ward, Shaniwar Peth, Shukrawar Peth, Kolhapur, Maharashtra 416002","C Ward, Shaniwar Peth, Shukrawar Peth",16.7003874,74.22289549999999,ChIJT2_i_Z0BwTsRla47AWYOeu0,https://www.google.com/maps/place/?q=place_id:ChIJT2_i_Z0BwTsRla47AWYOeu0,part_133,2026-09-22 06:00:53
