business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Floriya,Flower Decorator,Florist,"Florist, Event management company, Wedding planner",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.9,,"Collector Office Rd, near swami supplier front of dhruv foods, Nagalapark, Kolhapur, Maharashtra 416003",Nagalapark,16.7088523,74.2374909,ChIJ3ejvHJgBwTsR2SL8IC4Oabc,https://www.google.com/maps/place/?q=place_id:ChIJ3ejvHJgBwTsR2SL8IC4Oabc,part_133,2026-09-22 06:00:44
Swaraj Florist 'N' Flower Decorators,Flower Decorator,Florist,"Florist, Flower delivery, Flower designer, Wholesale florist",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 92267 74087,N/A,4.8,,"Ram Mandir Rd, Sangli, Chowk, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Chowk",16.8564159,74.57393669999999,ChIJ06Kda2kYwTsRvaL5JMrwimI,https://www.google.com/maps/place/?q=place_id:ChIJ06Kda2kYwTsRvaL5JMrwimI,part_133,2026-09-22 06:00:44
Supriya Flowers,Flower Decorator,Florist,Florist,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98905 45415,N/A,4.8,,"Yashwant Process Samor, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.689900899999998,74.45645329999999,ChIJPV3l7n7iwDsRAZsqlzjGIFU,https://www.google.com/maps/place/?q=place_id:ChIJPV3l7n7iwDsRAZsqlzjGIFU,part_133,2026-09-22 06:00:44
En'Vogue Flora the Flower Boutique,Flower Decorator,Florist,Florist,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,https://instagram.com/envogueflora?igshid=YmMyMTA2M2Y=,5.0,,"Shop no.4, Atharv Estate, near 3M Car Care, Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.7145148,74.250059,ChIJj1S1MRQBwTsReRDN9T1-MWU,https://www.google.com/maps/place/?q=place_id:ChIJj1S1MRQBwTsReRDN9T1-MWU,part_133,2026-09-22 06:00:44
Flower Link,Flower Decorator,Florist,"Florist, Event management company, Flower delivery, Flower designer, Flower market, Gift shop, Manufacturer, Wedding planner, Wedding service, Wholesaler",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 78753 75211,http://www.flowerlink.in/,4.8,,"Flower Link, Patravale hights, near Aapta Police Chowky, North Shivaji Nagar, Gokul Nagar, Sangli Miraj Kupwad, Maharashtra 416416","North Shivaji Nagar, Gokul Nagar",16.8592621,74.57648739999999,ChIJ32UnGhwZwTsRng9WeQWl-PA,https://www.google.com/maps/place/?q=place_id:ChIJ32UnGhwZwTsRng9WeQWl-PA,part_133,2026-09-22 06:00:44
Floral art by akshada,Flower Decorator,Flower designer,"Flower designer, Jewelry manufacturer",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,https://www.instagram.com/floralart_by_akshada?igsh=MW5wbThnM283dnAxag==,5.0,,"moraya, Amrut park, Plot no 18, Ring Rd, near ayodhay colony, zp colony, Phulewadi, Balinge, Maharashtra 416010","zp colony, Phulewadi",16.688597599999998,74.186404,ChIJvw2eO4yrwTsRM-OhHI0_Mww,https://www.google.com/maps/place/?q=place_id:ChIJvw2eO4yrwTsRM-OhHI0_Mww,part_133,2026-09-22 06:00:44
Sunita flower decoration and events,Flower Decorator,Flower designer,Flower designer,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 96232 83506,N/A,,,"opposite Hotel Pearl, Kawala Naka, Kadamwadi, Kolhapur, Maharashtra 416003","Kawala Naka, Kadamwadi",16.7075143,74.2495361,ChIJ3aE7mqIBwTsRL-jmL8QrY34,https://www.google.com/maps/place/?q=place_id:ChIJ3aE7mqIBwTsRL-jmL8QrY34,part_133,2026-09-22 06:00:44
Kolhapur Florist- Flower N Cake Delivery,Flower Decorator,Florist,Florist,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,http://onlineflowerscakesdelivery.com/,5.0,,"P65P+92R, Collector Office Rd, near Ram Ice Cream, Nagalapark, Kolhapur, Maharashtra 416003",Nagalapark,16.7084772,74.2350001,ChIJJ2d0AAABwTsRd9bDVyLr6xw,https://www.google.com/maps/place/?q=place_id:ChIJJ2d0AAABwTsRd9bDVyLr6xw,part_133,2026-09-22 06:00:44
SAINATH FLOWERS MERCHANT,Flower Decorator,Florist,Florist,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,https://www.google.com/search?q=SAINATH+FLOWERS+MERCHANT&stick=H4sIAAAAAAAA_-NgU1IxqDBOSjZISzEwMLcwS0lOskyyMqgwTDJOTTawMDSxNDczTktexCoR7Ojp5xjioeDm4x_uGhSs4Osa5Ozh6BcCAKEE2IpDAAAA&hl=en-GB&mat=CU5EpoQxMfeqElYBqiIDwvLRpyHXO_TMgO0rzyEv-ih77HvKUWwduVIZJaGbDcxAGfD3o5sMi5_AyaxaJ7kuvGxuCx6ewxDHHxWhD5NVKDFp6opb0A_-XB9_me0ZIsm2ZA&authuser=0&ved=2ahUKEwig3um2-veKAxVyqFYBHcASPFQQ-MgIegQINhA#mpd=editprofile/info/phone,5.0,,"Kagal, Maharashtra 416216",416116,16.5974483,74.3320423,ChIJm8tteAD9wDsR_GOXFAjsswE,https://www.google.com/maps/place/?q=place_id:ChIJm8tteAD9wDsR_GOXFAjsswE,part_133,2026-09-22 06:00:44
BLISS MANDAP DECORATION AND EVENT MANAGEMENT,Flower Decorator,Event planner,Event planner,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 70208 33575,N/A,5.0,,"622, DR, Ambedkar Galli, Kalambe Turf Thane, Kolhapur, Maharashtra 416007","Tirmurti Colony, Kalamba",16.6641454,74.21180939999999,ChIJt9Rqf95VwDsRzNFeMLVBiy0,https://www.google.com/maps/place/?q=place_id:ChIJt9Rqf95VwDsRzNFeMLVBiy0,part_133,2026-09-22 06:00:44
Flowers Zone,Flower Decorator,Florist,Florist,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98349 80809,https://flowers-zone.grexa.site/,5.0,,"Be front of SP office, TV Centre Rd, behind Prachi auto parts, Shree Society, Shri Krishna Nagar, N 9, Chhatrapati Sambhajinagar, Maharashtra 431001","Shree Society, Shri Krishna Nagar, N 9",19.900238299999998,75.3538856,ChIJidl08dCj2zsRqXpzzr5bbAs,https://www.google.com/maps/place/?q=place_id:ChIJidl08dCj2zsRqXpzzr5bbAs,part_133,2026-09-22 06:00:44
Sajawat Flowers,Flower Decorator,Store,Store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 95456 05271,N/A,5.0,,"shop no.12, kmc, Jotiba Rd, near ghati darwaja, Magdum Colony, C Ward, Kolhapur, Maharashtra 416012","Magdum Colony, C Ward",16.6953723,74.222285,ChIJpRfvoQsAwTsRrOJ1CYq-PpQ,https://www.google.com/maps/place/?q=place_id:ChIJpRfvoQsAwTsRrOJ1CYq-PpQ,part_133,2026-09-22 06:00:44
Blooms&Buds kolhapur,Flower Decorator,Florist,Florist,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.6,,"Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.7134183,74.2437954,ChIJI7D82QgBwTsRc1iCCVyJSBk,https://www.google.com/maps/place/?q=place_id:ChIJI7D82QgBwTsRc1iCCVyJSBk,part_133,2026-09-22 06:00:44
Mahesh Flower Merchant,Flower Decorator,Florist,Florist,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 97658 13049,N/A,4.5,,"P67V+FF4 Urmila Appt, 242, Indumati Rd, E Ward, Tarabai Park, Kolhapur, Maharashtra 416003","E Ward, Tarabai Park",16.7136969,74.2437159,ChIJGQdfMAABwTsRqAF9VnhSu8M,https://www.google.com/maps/place/?q=place_id:ChIJGQdfMAABwTsRqAF9VnhSu8M,part_133,2026-09-22 06:00:44
Swastik Flower Decorator,Flower Decorator,Flower delivery,"Flower delivery, Cake shop, Delivery service",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 77957 58778,http://swastikflower.com/,4.9,,"Eefa Hotel, Club Rd, Kallehol, Club Road, Belagavi, Karnataka 590001","Kallehol, Club Road",15.867996,74.50950999999999,ChIJ-Sf9CuhnvzsRIkSjQIaGFIA,https://www.google.com/maps/place/?q=place_id:ChIJ-Sf9CuhnvzsRIkSjQIaGFIA,part_133,2026-09-22 06:00:44
Sai Flower merchant,Flower Decorator,Flower designer,Flower designer,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 99237 33446,N/A,4.6,,"75MJ+3CG Besides Janata sahakari bank , Datta chowk, ST stand road Mangalwar Peth, Karad, Maharashtra 415110",Mangalwar Peth,17.282693899999998,74.1810781,ChIJk1JGx9mDwTsRE4IIaJygeUs,https://www.google.com/maps/place/?q=place_id:ChIJk1JGx9mDwTsRE4IIaJygeUs,part_133,2026-09-22 06:00:44
