business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Yamaha Motors Showroom- Revhead,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Indian Motorcycle dealer, Motor scooter dealer, Motorcycle shop, Motorsports store, Showroom",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 92091 78485,https://revhead.co.in/,4.8,,"4/26, opp. Shahu Market Yard, E Ward, Jadhavwadi, Kolhapur, Maharashtra 416005","E Ward, Jadhavwadi",16.707798699999998,74.2643946,ChIJT4QNFVcBwTsR372-Rx-x3cM,https://www.google.com/maps/place/?q=place_id:ChIJT4QNFVcBwTsR372-Rx-x3cM,part_133,2026-09-22 06:00:33
Om Sai Two & Four Wheeler Kolhapur,Two Wheeler Showroom and Dealer,Used motorcycle dealer,"Used motorcycle dealer, Auto broker, Car dealer, Moped dealer, Motor scooter dealer",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98220 11104,https://instagram.com/omsaitwowheelerkop?igshid=ZDdkNTZiNTM=,4.3,,"Cosmos Complex, in front Parth Logging, Kolhapur Station Rd, near Nandini Travels &Anugrah Hotel, Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.7048445,74.2437078,ChIJX_2c07EBwTsRYKi4nf9pTiE,https://www.google.com/maps/place/?q=place_id:ChIJX_2c07EBwTsRYKi4nf9pTiE,part_133,2026-09-22 06:00:33
Yamaha Motor Showroom - Inspire Auto,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Car repair and maintenance service, Two Wheeler Repair Shop, Motorcycle shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 86696 60202,https://www.instagram.com/kolhapur_bluesquare/,4.8,,"1243/52, near Laxmi Misal, Shivaji Udyam Nagar, Kolhapur, Maharashtra 416008",Shivaji Udyam Nagar,16.696937899999998,74.2338109,ChIJBToHyAcBwTsRx0_58Pm49sg,https://www.google.com/maps/place/?q=place_id:ChIJBToHyAcBwTsRx0_58Pm49sg,part_133,2026-09-22 06:00:33
S.M. Ghatge & Sons(Auto) - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 92899 22308,https://dealers.heromotocorp.com/hero-motocorp/dealer-in-kolhapur/dealer-in-Ruikar-Colony/sm-ghatge-sons-auto-hero-motocorp-in-Ruikar-Colony-kolhapur--6XYPO6/home,4.2,,"25, Hind Coop Society Poona Bangalore Road, Ruikar Colony, Kolhapur, Maharashtra 416005",Ruikar Colony,16.707406,74.257688,ChIJV_3XtU4AwTsR1vfsnXgIsWw,https://www.google.com/maps/place/?q=place_id:ChIJV_3XtU4AwTsR1vfsnXgIsWw,part_133,2026-09-22 06:00:33
Royal Enfield Showroom - Adventure Motorcycle LLP,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 96195 02601,https://dealers.royalenfield.com/maharashtra/kolhapur/udyam-nagar-adventure-motorcycle-llp-9110122020?utm_source=GMBlisting&utm_medium=organic,4.8,,"No 1243/74 Bigbazar Road, Shivaji Udyam Nagar, Kolhapur, Maharashtra 416008",Shivaji Udyam Nagar,16.695218999999998,74.234899,ChIJY4nImhIBwTsRroDThd1ZvX0,https://www.google.com/maps/place/?q=place_id:ChIJY4nImhIBwTsRroDThd1ZvX0,part_133,2026-09-22 06:00:33
My Dreams Honda,Two Wheeler Showroom and Dealer,Honda dealer,Honda dealer,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 231 252 9000,http://www.honda2wheelersindia.com/,4.3,,"Bhagwan Complex, near Geeta Mandir, Kawala Naka, Kadamwadi, Kolhapur, Maharashtra 416003","Kawala Naka, Kadamwadi",16.707313799999998,74.2501584,ChIJ69xPqUwAwTsRcO64bOTMvgI,https://www.google.com/maps/place/?q=place_id:ChIJ69xPqUwAwTsRcO64bOTMvgI,part_133,2026-09-22 06:00:33
"Suzuki Motorcycle (Mohite Suzuki, Kolhapur, Kawala Naka)",Two Wheeler Showroom and Dealer,Suzuki dealer,Suzuki dealer,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 88799 68098,https://www.suzukimotorcyclekawalanaka.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,3.5,,"Rote Chambers, Old P B Road, 517 A/1, Shivaji Park, Kolhapur, Maharashtra 416005",Shivaji Park,16.703322699999998,74.24966069999999,ChIJzbnx-2oBwTsRjptBuTakjcc,https://www.google.com/maps/place/?q=place_id:ChIJzbnx-2oBwTsRjptBuTakjcc,part_133,2026-09-22 06:00:33
KTM KOLHAPUR,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 231 253 6399,https://www.ktm.com/en-in/find-a-dealer.html,3.9,,"Rajaram Rd, Takala Main Rd, Kolhapur, Maharashtra 416001",Sykes Extension,16.6998961,74.248575,ChIJIywrvTgAwTsRX0mhAL2lHnQ,https://www.google.com/maps/place/?q=place_id:ChIJIywrvTgAwTsRX0mhAL2lHnQ,part_133,2026-09-22 06:00:33
Rajhans Honda,Two Wheeler Showroom and Dealer,Showroom,Showroom,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 87932 14431,http://www.rajhanshonda.com/,4.5,,"Jaysingrao park, C.S.No. 2072, Plot No. 30/2, Service Rd, Kagal, Maharashtra 416216",416116,16.5873039,74.3092961,ChIJtzhOrlX5wDsRdHD7GP6WyM4,https://www.google.com/maps/place/?q=place_id:ChIJtzhOrlX5wDsRdHD7GP6WyM4,part_133,2026-09-22 06:00:33
"Badshah Bajaj, Hathkanangale, Ichalkaranji",Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor vehicle dealer, Motorcycle shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 91670 59449,https://www.badshah-bajaj-hathkanagale-ichalkaranji.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,3.8,,"8/684, A1&2, Ichalkaranji Sangli Road, Near Badshah Petrol Pump, Taluka- Hathkanagale Dist- Kolahapur, Ichalkaranji, Maharashtra 416115",Rajwada,16.6875339,74.4736042,ChIJKaouCXPiwDsR9JjrUsawPLE,https://www.google.com/maps/place/?q=place_id:ChIJKaouCXPiwDsR9JjrUsawPLE,part_133,2026-09-22 06:00:33
