business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DS Cab Kolhapur,Taxi Service and Car Rental,Travel agency,Travel agency,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 97639 56277,https://dscabs.com/,4.9,53.0,"Dafale colony, Uchgaon, Kolhapur, Uchgaon, Maharashtra 416005","Dafale colony, Uchgaon",16.694917999999998,74.2720709,ChIJ3UjVyMoBwTsRIDWnO3mCcys,https://www.google.com/maps/place/?q=place_id:ChIJ3UjVyMoBwTsRIDWnO3mCcys,part_133,2026-09-22 06:01:22
TourWagen Car rental and Cab services,Taxi Service and Car Rental,Car rental agency,Car rental agency,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 89568 19017,N/A,4.8,12.0,"House no 15, Suvastu Colony, Sarnobatwadi, Kolhapur, Sarnobatwadi, Maharashtra 416004",Sarnobatwadi,16.6813874,74.2769192,ChIJV56jimUBwTsRSvd_noabaOE,https://www.google.com/maps/place/?q=place_id:ChIJV56jimUBwTsRSvd_noabaOE,part_133,2026-09-22 06:01:22
CARS09 CAB SERVICE'S,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 120 524 4497,https://www.cars09kolhapur.in/,5.0,3.0,"415 A, 10, Main Rd, E WARD, VIKRAM NAGAR, Kolhapur, Nagaon, Maharashtra 416005","E WARD, VIKRAM NAGAR",16.750892699999998,74.2897338,ChIJ80v8M5kBwTsRB4x2qncUuGI,https://www.google.com/maps/place/?q=place_id:ChIJ80v8M5kBwTsRB4x2qncUuGI,part_133,2026-09-22 06:01:22
Advait tours and travels kolhapur,Taxi Service and Car Rental,Travel agency,"Travel agency, Car leasing service, Taxi service",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 97300 20151,https://g.page/r/CXsbY4i3yBN7EBM/review,5.0,81.0,"Main road, Manermal, Mole colony, Uchgaon, Kolhapur, Uchgaon, Maharashtra 416005","Manermal, Mole colony, Uchgaon",16.683139399999998,74.2799962,ChIJk4ftryABwTsRextjiLfIE3s,https://www.google.com/maps/place/?q=place_id:ChIJk4ftryABwTsRextjiLfIE3s,part_133,2026-09-22 06:01:22
Kolhapur Car Rental - ORIGINAL,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Car leasing service, Taxi service",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 83295 21648,https://kolhapurcarrental.com/,4.9,514.0,"165/2, 11/12-1, Swami samrth colony, 12-1, near shantinagar bus stop, Shree Sai Samarth Colony, Pachgaon, karvir, Pachgaon, Maharashtra 416013","Shree Sai Samrth Colony, Pachgaon, karvir",16.657442,74.2238983,ChIJoZ3MQWf_wDsRfRGJwbcM2z8,https://www.google.com/maps/place/?q=place_id:ChIJoZ3MQWf_wDsRfRGJwbcM2z8,part_133,2026-09-22 06:01:23
Siddhivinayak Travels - Car Rental Kolhapur,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Car leasing service, Taxi service",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 96370 95999,https://siddhivinayaktravels.co/,4.9,410.0,"A ward, R.S. No 1122/1A/2, Ring Rd, near Gangai Lawn, Bondre Nagar, Phulewadi, Kolhapur, Maharashtra 416010","Bondre Nagar, Phulewadi",16.6799103,74.19205989999999,ChIJPco1uLirwTsRhKDqxeOC-tE,https://www.google.com/maps/place/?q=place_id:ChIJPco1uLirwTsRhKDqxeOC-tE,part_133,2026-09-22 06:01:23
"Shri Mahalakshmi Tour and travels, Kolhapur Darshan, Car Rental, Air port pickup, Air port drop,Car Driver need/available",Taxi Service and Car Rental,Car leasing service,"Car leasing service, Airport Shuttle Service Provider, Motoring club, Taxi service, Travel agency",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 73857 01868,N/A,5.0,91.0,"1039/3, Suprabhat colony, 5D, Kalamba Ring Rd, New Vashi Naka, Survey Nagar, Kolhapur, Maharashtra 416011","New Vashi Naka, Survey Nagar",16.6696193,74.20112379999999,ChIJtSv2NdVVwDsR4r57e-tockk,https://www.google.com/maps/place/?q=place_id:ChIJtSv2NdVVwDsR4r57e-tockk,part_133,2026-09-22 06:01:23
Smith Tours & Travels – Car Rental in Kolhapur Airport,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Airport Shuttle Service Provider, Car leasing service, Travel agency",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 88888 31115,https://www.smithtours.in/,5.0,290.0,"Nerli, Road, Ujalaiwadi, Tamgaon, Kolhapur, Maharashtra 416004",Ujalaiwadi,16.6637159,74.2715509,ChIJw4S1e7T_wDsRSkX4LRZ8Hx0,https://www.google.com/maps/place/?q=place_id:ChIJw4S1e7T_wDsRSkX4LRZ8Hx0,part_133,2026-09-22 06:01:23
Karveer cab rent,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Car leasing service, Taxi service, Tour operator",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 90112 56611,N/A,4.8,32.0,"Near warna bazar Toap, Tal, Hatkanangale, Kolhapur, Maharashtra 416122",416118,16.788706599999998,74.2856973,ChIJ5YB0xmAHwTsRZ3dfAXdTjW8,https://www.google.com/maps/place/?q=place_id:ChIJ5YB0xmAHwTsRZ3dfAXdTjW8,part_133,2026-09-22 06:01:24
royalcabs branch kolhapur,Taxi Service and Car Rental,Car rental agency,Car rental agency,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 95273 99100,https://www.royalcabs.co.in/,4.2,6.0,"House, 728 ' E, J B, 3rd Ln, E Ward, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.70081,74.2357431,ChIJZXiSlbQBwTsRxfsY9K3qC2Y,https://www.google.com/maps/place/?q=place_id:ChIJZXiSlbQBwTsRxfsY9K3qC2Y,part_133,2026-09-22 06:01:24
