business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SPACE VISION,Videographer and Drone Rental,Video production service,"Video production service, Video editing service",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 93259 23434,https://spacevision.myportfolio.com/,5.0,46.0,"Priyanka Apartment, 710, 3rd Ln, E Ward, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.700440399999998,74.2373136,ChIJ88wtlOkBwTsRmBMjCp4Jt54,https://www.google.com/maps/place/?q=place_id:ChIJ88wtlOkBwTsRmBMjCp4Jt54,part_133,2026-09-22 06:01:34
Flying Frames Studio,Videographer and Drone Rental,Video production service,"Video production service, Aerial photographer, Film Production Company, Mapping service, Real estate surveyor, Video editing service",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 99235 48808,N/A,4.5,4.0,"Shiv Sadan, Plot No.13, 7th Ln, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Rajarampuri",16.6954164,74.2466895,ChIJcc-JslQBwTsREYkks3jJow0,https://www.google.com/maps/place/?q=place_id:ChIJcc-JslQBwTsREYkks3jJow0,part_133,2026-09-22 06:01:34
Chandrakant Photography,Videographer and Drone Rental,Video production service,"Video production service, Photography service, Video Conferencing Service Provider, Wedding photographer",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 99751 07057,https://sites.google.com/view/chandrakant-photo-video/home,4.9,41.0,"private hi school, CS.NO.2468 B Ward,Tara Malhar apartment, near khasbag maidan Keshav rav Bhosale natyagrah, Kolhapur, Maharashtra 416012","Mangalwar Peth, Manganwlar Peth",16.6920884,74.226495,ChIJs1CMyREAwTsR69_fxJ-YdY0,https://www.google.com/maps/place/?q=place_id:ChIJs1CMyREAwTsR69_fxJ-YdY0,part_133,2026-09-22 06:01:34
Vijay Video Advertisements.led Wall Rental Services,Videographer and Drone Rental,Electronics store,Electronics store,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 98600 16884,http://www.vijayvideoadvertisementkop.blogspot.com/,4.8,8.0,"collony, HPSBA-C53766, Chile Colony, Datta Colony, Kolhapur, Maharashtra 416012","Chile Colony, Datta Colony",16.6817292,74.2326819,ChIJnxGMfRwAwTsRF36fYeKahBc,https://www.google.com/maps/place/?q=place_id:ChIJnxGMfRwAwTsRF36fYeKahBc,part_133,2026-09-22 06:01:34
MEMORIES PHOTO & FILMS,Videographer and Drone Rental,Wedding photographer,"Wedding photographer, Outdoor movie theater, Photo agency, Photo shop, Photography studio, Video editing service",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 73859 02731,N/A,5.0,7.0,"Unit G-2, Janwadkar Complex, Panchganga Hospital Road, D Ward, Shukrawar Peth, Kolhapur, Maharashtra 416002","D Ward, Shukrawar Peth",16.700408,74.2183472,ChIJ3TyT679VwDsR16EQbeC0W48,https://www.google.com/maps/place/?q=place_id:ChIJ3TyT679VwDsR16EQbeC0W48,part_133,2026-09-22 06:01:34
Window Film Productions,Videographer and Drone Rental,Video production service,Video production service,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 77220 34444,N/A,5.0,1.0,"4th Floor, Anant Tower Sykes extension, near Max Showroom, Shahupuri, Kolhapur, Maharashtra 416001",Shahupuri,16.700606399999998,74.2416204,ChIJjZQdyfwBwTsR2c3G6Q_I9WE,https://www.google.com/maps/place/?q=place_id:ChIJjZQdyfwBwTsR2c3G6Q_I9WE,part_133,2026-09-22 06:01:34
Clear Flicks Multimedia Productions / Audavibe Studio,Videographer and Drone Rental,Recording studio,"Recording studio, Movie studio, Music producer, Theater production",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 96577 28177,N/A,5.0,12.0,"Narayan Bungalow shivam park, behind chh shahu vidyalaya, New Palace, area, Maharashtra 416003",New Palace,16.7188619,74.2290051,ChIJhecuKTIBwTsR9pvrGmfhRTU,https://www.google.com/maps/place/?q=place_id:ChIJhecuKTIBwTsR9pvrGmfhRTU,part_133,2026-09-22 06:01:34
SundarFilms.Media,Videographer and Drone Rental,Video editing service,"Video editing service, Wedding photographer",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 93594 06743,https://sites.google.com/view/sundarfilmsmedia/home,5.0,3.0,"Shashi Plaza, B1, 3rd Ln, near JB house, Shahupuri, Kolhapur, Maharashtra 416119",Shahupuri,16.70081,74.2348401,ChIJcw5cQGIBwTsR1_3m9A0nbxM,https://www.google.com/maps/place/?q=place_id:ChIJcw5cQGIBwTsR1_3m9A0nbxM,part_133,2026-09-22 06:01:34
PVR Photography,Videographer and Drone Rental,Photography studio,Photography studio,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 91454 94395,N/A,5.0,2.0,"Shop No 1 1382 E Ward Datta Galli, near Baburao Parakhe Hall, Rajarampuri, Kolhapur, Maharashtra 416008",Rajarampuri,16.689816999999998,74.2455166,ChIJpRVT0UwBwTsR5QaqUZYl1-k,https://www.google.com/maps/place/?q=place_id:ChIJpRVT0UwBwTsR5QaqUZYl1-k,part_133,2026-09-22 06:01:34
Ashtavinayak Media & Entertainment - Premier VFX Institute in Kolhapur,Videographer and Drone Rental,Film Production Company,Film Production Company,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 86055 00422,http://www.ashtavinayakmedia.com/,4.7,21.0,"Ayodhya Towers, 511kh Dabholkar Corner, Railway Colony, Shahupuri, Kolhapur, Maharashtra 416001","Railway Colony, Shahupuri",16.703976,74.24086659999999,ChIJxdHRcGoAwTsR3gw5IlwQhVw,https://www.google.com/maps/place/?q=place_id:ChIJxdHRcGoAwTsR3gw5IlwQhVw,part_133,2026-09-22 06:01:34
Star adds Projector House (Projector Screen on Rent Service),Videographer and Drone Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Equipment rental agency, Karaoke equipment rental service, Musical instrument rental service",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 90499 61173,https://www.facebook.com/share/1BQaRRjdLr/,4.7,15.0,"Dattarj Heights, 1140, E Ward, Sykes Extension, Kolhapur, Maharashtra 416001","E Ward, Sykes Extension",16.7005712,74.2436998,ChIJsUdcQCwBwTsRWkmjk2nLen0,https://www.google.com/maps/place/?q=place_id:ChIJsUdcQCwBwTsRWkmjk2nLen0,part_133,2026-09-22 06:01:34
Shree Photography & Drone Services,Videographer and Drone Rental,Photography studio,Photography studio,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 91300 14774,N/A,5.0,3.0,"Shivpuri, Maharashtra 415403",416118,16.9969941,74.2335205,ChIJke33sO8LwTsRDX1fmSCknXc,https://www.google.com/maps/place/?q=place_id:ChIJke33sO8LwTsRDX1fmSCknXc,part_133,2026-09-22 06:01:34
STUDIO FILMSPACE,Videographer and Drone Rental,Media company,"Media company, Audio visual consultant, Music producer",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 91755 66830,http://www.studiofilmspace.com/,4.7,7.0,"Subal Srushti North Pole, Nale Colony, Tapowan, Kolhapur, Maharashtra 416007","Nale Colony, Tapowan",16.6749547,74.2156188,ChIJW0FcqZn_wDsRRDOSZv9-Oro,https://www.google.com/maps/place/?q=place_id:ChIJW0FcqZn_wDsRRDOSZv9-Oro,part_133,2026-09-22 06:01:34
ParnVIsuals Studio,Videographer and Drone Rental,Photo shop,Photo shop,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 84467 17620,N/A,5.0,5.0,"Ganjve Medical Mall, Near, Bhajni Galli, Peth Vadgaon, Maharashtra 416112",Peth Vadgaon,16.8340013,74.3126187,ChIJJx1QyNgFwTsRTXSI8AD1yzA,https://www.google.com/maps/place/?q=place_id:ChIJJx1QyNgFwTsRTXSI8AD1yzA,part_133,2026-09-22 06:01:34
Abhisar Multimedia Productions,Videographer and Drone Rental,Recording studio,Recording studio,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 97668 40095,N/A,4.7,70.0,"Rangasudha Near Varute Hospital, CSIBER Chowk, Pratibhanagar, Kolhapur, Maharashtra 416008",Pratibha Nagar,16.687375199999998,74.2501425,ChIJIZeA4iQAwTsRiZbYyN0pX98,https://www.google.com/maps/place/?q=place_id:ChIJIZeA4iQAwTsRiZbYyN0pX98,part_133,2026-09-22 06:01:35
( GPM STUDIOS ) Ganesh Mhaskar,Videographer and Drone Rental,Video editing service,"Video editing service, Artist, Photographer, Photography Class, Photography Institute, Photography studio, Wedding photographer, Wedding planner",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 85529 74710,http://gpmstudios.in/,4.4,19.0,"259, E Ward, Behind Collector office, Near Green Field Tarabai Park, Kanan Nagar, Nagala Park, Kolhapur, Maharashtra 416003",New Shahupuri,16.706799999999998,74.235114,ChIJ_0jsyW4AwTsR_TT2Rxbvjm8,https://www.google.com/maps/place/?q=place_id:ChIJ_0jsyW4AwTsR_TT2Rxbvjm8,part_133,2026-09-22 06:01:35
Hanchinalkar Agri Drone Services,Videographer and Drone Rental,Drone service,Drone service,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,N/A,5.0,,"Shahu Colony, Datth Colony, Kasaba Bawada, Kolhapur, Maharashtra 416006","Shahu Colony, Datth Colony, Kasaba Bawada",16.7363707,74.2439857,ChIJ9eY3EwABwTsRI7rK792nnQI,https://www.google.com/maps/place/?q=place_id:ChIJ9eY3EwABwTsRI7rK792nnQI,part_133,2026-09-22 06:01:36
N Production,Videographer and Drone Rental,Audio visual equipment supplier,Audio visual equipment supplier,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 98225 46781,https://nproduction.in/,4.9,,"12th Lane Rajarampuri, Back side of bharat petrolum pump, Kolhapur, Maharashtra 416008",Yadav Nagar,16.6917078,74.243476,ChIJOZWhmjsAwTsRzhmYOdnyV4Y,https://www.google.com/maps/place/?q=place_id:ChIJOZWhmjsAwTsRzhmYOdnyV4Y,part_133,2026-09-22 06:01:36
AMULYA AGRIBOT DRONE,Videographer and Drone Rental,Drone shop,Drone shop,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,http://www.iotechworld.com/,5.0,,"AMULYA AGRIBOT -308, 2nd Floor Nagaon Fata-Nagaon, Tal, above harma and Son's Shop, Hatkanangale, Kolhapur, Maharashtra 416122",416118,16.745951899999998,74.28179759999999,ChIJnUlGpPABwTsRMPSSLkBBFNM,https://www.google.com/maps/place/?q=place_id:ChIJnUlGpPABwTsRMPSSLkBBFNM,part_133,2026-09-22 06:01:36
Reva Enterprises,Videographer and Drone Rental,Toy store,Toy store,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 95183 83236,N/A,5.0,,"Front Of, kapiltirth market, 2887 A word, Wangi Bol Rd, Shivaji Peth A Ward, C Ward, Kolhapur, Maharashtra 416012","Shivaji Peth A Ward, C Ward",16.693631,74.22121609999999,ChIJH1GVy58BwTsREBrrY4HZW4A,https://www.google.com/maps/place/?q=place_id:ChIJH1GVy58BwTsREBrrY4HZW4A,part_133,2026-09-22 06:01:36
