business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dreamline Computer Education Centre & Digital Design Firm,Computer Training Institute,Computer service,Computer service,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 80554 03743,N/A,5.0,13.0,"Near Tara Jewelers, Front of APRS Bank,Ramnagar Galli no.9, Main road, Rendal., Rendal, Hupari, Maharashtra 416203",416138,16.6190489,74.4105556,ChIJ0x_W_fvjwDsRvgDsHvVqvAE,https://www.google.com/maps/place/?q=place_id:ChIJ0x_W_fvjwDsRvgDsHvVqvAE,part_133,2026-09-22 06:05:47
Universal Institute Of Computers,Computer Training Institute,Training center,Training center,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 94212 46584,N/A,5.0,3.0,"anandibai complex, zenda chowk, Rajwada, Ichalkaranji, Maharashtra 416115",Rajwada,16.6811577,74.471445,ChIJBWbbv23iwDsRqRh1Iky5_gM,https://www.google.com/maps/place/?q=place_id:ChIJBWbbv23iwDsRqRh1Iky5_gM,part_133,2026-09-22 06:05:47
Om Computer Education Ichalkaranji,Computer Training Institute,Educational institution,Educational institution,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 98909 72208,N/A,4.7,12.0,"Savratkar Building, Samajwadi Prabodhini Road, opposite ASC College, behind Petrol Pump, Jawaharnagar, Ichalkaranji, Maharashtra 416115",Jawaharnagar,16.6928505,74.4525479,ChIJwzB6WIDjwDsRRhVmoGILHxs,https://www.google.com/maps/place/?q=place_id:ChIJwzB6WIDjwDsRRhVmoGILHxs,part_133,2026-09-22 06:05:47
"Skill Infotech, Computer Education Center, Hupari.",Computer Training Institute,Educational institution,Educational institution,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 90282 03039,N/A,4.4,13.0,"near bhoje jain basti, Rajguru Nagar, Hupari, Maharashtra 416203",Rajguru Nagar,16.6237906,74.4001231,ChIJAwmI3PH9wDsRdHgJ2jl3Lag,https://www.google.com/maps/place/?q=place_id:ChIJAwmI3PH9wDsRdHgJ2jl3Lag,part_133,2026-09-22 06:05:47
Akshata Computer Academy,Computer Training Institute,Education center,Education center,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 82085 11430,N/A,4.8,47.0,"Society corner, Rangoli, Maharashtra 416143",416138,16.640424199999998,74.4460902,ChIJ2ytPTAHjwDsRUBcMwQTyBBo,https://www.google.com/maps/place/?q=place_id:ChIJ2ytPTAHjwDsRUBcMwQTyBBo,part_133,2026-09-22 06:05:47
Chougule computer typing institute,Computer Training Institute,Education center,Education center,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 86055 96813,N/A,5.0,26.0,"gala no.51, Maratha Mandal Building, Janta bank, Kagwade Mala, Ichalkaranji, Maharashtra 416115","Janta bank, Kagwade Mala",16.6866326,74.46419999999999,ChIJK4Xw67vjwDsRYozFzAWbDh0,https://www.google.com/maps/place/?q=place_id:ChIJK4Xw67vjwDsRYozFzAWbDh0,part_133,2026-09-22 06:05:47
Sai Computer MSCIT CENTER,Computer Training Institute,Computer service,Computer service,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 95119 13492,http://www.mkcl.org/,4.7,31.0,"Sai Computer Jay, Takwade Ichalkaranji-Sangli Naka Rd, near balaji patsanstha, near Anand Hospital, Asara Nagar, Ichalkaranji, Maharashtra 416115",Asara Nagar,16.704585299999998,74.4775756,ChIJGc_n4fIdwTsR3biVvoznmg4,https://www.google.com/maps/place/?q=place_id:ChIJGc_n4fIdwTsR3biVvoznmg4,part_133,2026-09-22 06:05:47
techcadd,Computer Training Institute,Software Training Institute,"Software Training Institute, Accounting school, Coaching Center, Computer service, Computer training school, Graphic designer, School center, Training center, Website designer",416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 98881 22254,http://www.techcaddcomputerinstitute.com/,4.8,,"opp. All India Radio Station, near Bus Stand, New Jawahar Nagar, Jawahar Nagar, Jalandhar, Punjab 144001","New Jawahar Nagar, Jawahar Nagar",31.315640199999997,75.5873725,ChIJMfBI6JFbGjkRH6S_J6gRNak,https://www.google.com/maps/place/?q=place_id:ChIJMfBI6JFbGjkRH6S_J6gRNak,part_133,2026-09-22 06:05:49
S-Tech Computer Education Centre,Computer Training Institute,Software Training Institute,Software Training Institute,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 98769 34507,http://www.stechcomputernsr.in/,5.0,,"Baba Shri Chand Nagar, Opposite Paul Immigration, Heer Market, Garhshankar - Nawanshahr Rd, near Tahli Sahib Gurudwara, Nawanshahr, Punjab 144514",Durgapur,31.1347897,76.1201995,ChIJLbTdptq9GjkR5aaaTIJ-_e0,https://www.google.com/maps/place/?q=place_id:ChIJLbTdptq9GjkR5aaaTIJ-_e0,part_133,2026-09-22 06:05:49
Computer Training,Computer Training Institute,Education center,Education center,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",N/A,N/A,4.8,,"37-10, HMT Rd, Somaiah Nagar, Jagathgiri Gutta, Hyderabad, Telangana 500037","Somaiah Nagar, Jagathgiri Gutta",17.494241799999998,78.43364989999999,ChIJSdOWr8yRyzsRp7KC1YRgfuE,https://www.google.com/maps/place/?q=place_id:ChIJSdOWr8yRyzsRp7KC1YRgfuE,part_133,2026-09-22 06:05:49
Raj Computer Education Sales & Support,Computer Training Institute,Training center,"Training center, Computer consultant, Computer Hardware Company, Computer service, Computer store, Computer support and services, Education center, Software Training Institute, Educational institution",416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 84620 19003,https://rajcomputereducation.odoo.com/,4.9,189.0,"Raj Computer Education Sale & Support, near, Raipur Rd, near New Bus Stand, behind Vidhayak Bhawan, Kharora, Chhattisgarh 493225",416138,21.3951876,81.9210885,ChIJpTMJJPaTKDoRbO6iYoaik-M,https://www.google.com/maps/place/?q=place_id:ChIJpTMJJPaTKDoRbO6iYoaik-M,part_133,2026-09-22 06:05:50
ICT Computer Training Center,Computer Training Institute,Computer store,"Computer store, Computer support and services, Computer training school, English language school",416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 87189 66689,N/A,3.8,15.0,"Old Rajendra Nagar, Katora Talab, New Rajendra Nagar, Raipur, Tikrapara, Chhattisgarh 492001","Old Rajendra Nagar, Katora Talab, New Rajendra Nagar",21.2304499,81.656134,ChIJIT7kBAXdKDoRF6JGEbJG-tw,https://www.google.com/maps/place/?q=place_id:ChIJIT7kBAXdKDoRF6JGEbJG-tw,part_133,2026-09-22 06:05:50
NAKSHATRA TECHNOLOGIES,Computer Training Institute,Computer consultant,"Computer consultant, Accountant, Accounting school, CBSE School, Computer networking service, Computer repair service, Educational institution, ICSE School, Software Training Institute",416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 94481 10341,N/A,4.8,100.0,"POOJA ARCADE, 3, Deshpande Nagar, Hubballi, Karnataka 580029",Deshpande Nagar,15.358742699999999,75.1358712,ChIJAQBnPUbXuDsRvBQWrHWj1B0,https://www.google.com/maps/place/?q=place_id:ChIJAQBnPUbXuDsRvBQWrHWj1B0,part_133,2026-09-22 06:05:50
IT World Computer Education Center & computer service Mahasamund(CSC CENTER),Computer Training Institute,Educational institution,"Educational institution, Computer repair service, Computer software store, Software Training Institute",416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 70891 69319,https://itworldcomputer.setskill.in/index.php,5.0,7.0,"WARD NO. 2, imali bhata, Dashahara maidan ke pass, Bemcha, Chhattisgarh 493445",416138,21.119106799999997,82.0921115,ChIJ07-vPtmlKDoR7XonYOVf3aM,https://www.google.com/maps/place/?q=place_id:ChIJ07-vPtmlKDoR7XonYOVf3aM,part_133,2026-09-22 06:05:50
NICE computer Margao,Computer Training Institute,Educational institution,Educational institution,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 96372 01525,N/A,4.9,95.0,"Road, opp. police Station, nr. Gomant Vidya Niketan, Comba, Margao, Goa 403601",Comba,15.274795899999999,73.9566978,ChIJ10esXeizvzsRfEU3TU0Hrx8,https://www.google.com/maps/place/?q=place_id:ChIJ10esXeizvzsRfEU3TU0Hrx8,part_133,2026-09-22 06:05:50
TECHNOGEEKS,Computer Training Institute,Software Training Institute,"Software Training Institute, Coaching Center, Education center, Educational institution, Learning center, Training center",416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 86009 98107,https://technogeekscs.com/,4.7,2132.0,"3rd Floor, Plot, Telephone exchange, Landmark : Gaikwad Petrol Pump, 7, Common Wealth Society, opposite Aundh, Shambhu Vihar Society, Baner Chs, Aundh, Pune, Maharashtra 411067","Shambhu Vihar Society, Baner Chs, Aundh",18.5591066,73.8021143,ChIJxWUPsS6_wjsR5L0pUvMErs4,https://www.google.com/maps/place/?q=place_id:ChIJxWUPsS6_wjsR5L0pUvMErs4,part_133,2026-09-22 06:05:50
Infotech Solutions (computer shop),Computer Training Institute,Computer store,"Computer store, Computer accessories store, Computer consultant, Computer Hardware Company, Computer networking service, Computer repair service, Computer software store, Computer Wholesaler, Office Accessories Wholesaler, Toner cartridge supplier",416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 99938 29793,https://infotech.net.in/,4.9,1336.0,"Millenium Plaza, Shop No. 28, Ground Floor, Raipur, Chhattisgarh 492001",416138,21.2442024,81.6387182,ChIJx7W9jqLdKDoRWT1HzJZPERs,https://www.google.com/maps/place/?q=place_id:ChIJx7W9jqLdKDoRWT1HzJZPERs,part_133,2026-09-22 06:05:50
the computer institute,Computer Training Institute,Corporate office,Corporate office,416138,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Chandur B.O, Rui B.O, Sajani B.O",+91 88899 91696,http://www.devcomputersraipur.weebly.com/,4.0,3.0,"Devendra Nagar Main Rd, Sector 3, Jagriti Nagar, Devendra Nagar, Raipur, Chhattisgarh 492009","Sector 3, Jagriti Nagar, Devendra Nagar",21.257845,81.6424546,ChIJxQqyZYPdKDoRbsCnxKT4jYA,https://www.google.com/maps/place/?q=place_id:ChIJxQqyZYPdKDoRbsCnxKT4jYA,part_133,2026-09-22 06:05:50
