business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Adhiraj Distributors,Importers,Wholesaler,Wholesaler,416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",+91 77969 34545,N/A,4.5,,"Oswal Company Back Side, Plot no F-21/86, near Raymond Chowk, Kagal 5 Star MIDC Industrial Area, Talandage, Maharashtra 416216",Kagal 5 Star MIDC Industrial Area,16.6154743,74.3569954,ChIJd9TuSCD9wDsRZFsAvco3m_c,https://www.google.com/maps/place/?q=place_id:ChIJd9TuSCD9wDsRZFsAvco3m_c,part_133,2026-09-22 06:09:41
Novel Enterprises,Importers,Material handling equipment supplier,Material handling equipment supplier,416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",+91 80105 62953,http://www.novelent.co.in/,5.0,,"5 Star, Plot no.p-29, Frostree Chowk,5star, MIDC, Kagal, Maharashtra 416236",MIDC,16.6207575,74.348038,ChIJD5BDrOr_wDsReFQoejRPqsQ,https://www.google.com/maps/place/?q=place_id:ChIJD5BDrOr_wDsReFQoejRPqsQ,part_133,2026-09-22 06:09:41
Nikam Iron Sintered Products Pvt. Ltd.,Importers,Exporter,"Exporter, Supplier, Manufacturer, Industrial equipment supplier, Metallurgy company",416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",+91 98506 40558,https://www.nikamironsintered.com/,4.7,,"B-79, Kagal 5 Star MIDC Industrial Area, Kagal, Halsavade, Maharashtra 416236",Kagal 5 Star MIDC Industrial Area,16.6326231,74.3451283,ChIJ_____yIBwTsR9SVSJYOAVNo,https://www.google.com/maps/place/?q=place_id:ChIJ_____yIBwTsR9SVSJYOAVNo,part_133,2026-09-22 06:09:41
Pujari Stone Suppliers,Importers,Corporate office,Corporate office,416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",+91 97672 01616,N/A,5.0,,"Unnamed Road, Halsavade, Maharashtra 416202",416202,16.6329073,74.3286231,ChIJ1fWUKsD9wDsR-RTiWba-gtI,https://www.google.com/maps/place/?q=place_id:ChIJ1fWUKsD9wDsR-RTiWba-gtI,part_133,2026-09-22 06:09:41
Tejas Suppliers,Importers,Sand & gravel supplier,Sand & gravel supplier,416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",+91 93536 41115,N/A,5.0,,"Plot 666 Halaswade, Karveer, Maharashtra 416202",416202,16.6359586,74.3220341,ChIJd5v6JpH9wDsRviyq7pxdM2k,https://www.google.com/maps/place/?q=place_id:ChIJd5v6JpH9wDsRviyq7pxdM2k,part_133,2026-09-22 06:09:41
Mauli Industries,Importers,Exporter,"Exporter, Supplier, Manufacturer",416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",+91 97663 59999,https://www.maulicastings.com/index.php,5.0,,"Plot Number C-3/11, Kagal 5 Star MIDC Industrial Area, Kagal, Pattan Kodoli, Maharashtra 416202",Kagal 5 Star MIDC Industrial Area,16.6400366,74.3513514,ChIJ0QdioST9wDsR0IWasNNShLA,https://www.google.com/maps/place/?q=place_id:ChIJ0QdioST9wDsR0IWasNNShLA,part_133,2026-09-22 06:09:41
The india group,Importers,Industry,"Industry, Company",416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",+91 88058 73004,N/A,4.8,,"5, star MIDC, Kagal 5 Star MIDC Industrial Area, Kolhapur, Halsavade, Maharashtra 416236","star MIDC, Kagal 5 Star MIDC Industrial Area",16.6199774,74.34501159999999,ChIJvfyVGkP8wDsRVSrvbQRW-dg,https://www.google.com/maps/place/?q=place_id:ChIJvfyVGkP8wDsRVSrvbQRW-dg,part_133,2026-09-22 06:09:41
Shri Vidya Industries and Company,Importers,Stationery manufacturer,"Stationery manufacturer, Books Wholesaler, Office supply wholesaler, School supply store",416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",+91 75888 39888,N/A,5.0,,"Plot T-24, 5 Star, MIDC, Kolhapur, Maharashtra 416236",MIDC,16.6265088,74.3517411,ChIJi6aRayz9wDsRBOTiKPQwzHE,https://www.google.com/maps/place/?q=place_id:ChIJi6aRayz9wDsRBOTiKPQwzHE,part_133,2026-09-22 06:09:41
Delta Irrigation LLP,Importers,Pipe Manufacturer,Pipe Manufacturer,416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",+91 77700 05257,http://www.deltairrigation.in/,4.9,,"A-234, Kagal Five Star MIDC , Kagal, Kolhapur, Maharashtra 416236",Kagal 5 Star MIDC Industrial Area,16.623429899999998,74.34589559999999,ChIJ_-givET8wDsRYTmrTgiNMSs,https://www.google.com/maps/place/?q=place_id:ChIJ_-givET8wDsRYTmrTgiNMSs,part_133,2026-09-22 06:09:41
Arihant Tec Stone Crusher & Wash Plant,Importers,Sand & gravel supplier,Sand & gravel supplier,416202,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Pattankodoli S.O, Halsawade B.O, Ingali B.O",+91 73045 16161,N/A,5.0,,"Gut No. 27, Sangawdewadi Taluka Karveer, Kolhapur, Maharashtra 416202",416202,16.6457621,74.32288799999999,ChIJyx938H_9wDsRxTladoNcW50,https://www.google.com/maps/place/?q=place_id:ChIJyx938H_9wDsRxTladoNcW50,part_133,2026-09-22 06:09:41
