business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahadeva Packers & Movers,Packers and Movers,Transportation service,Transportation service,416231,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dudhganganagar S.O, Panori B.O",+91 74568 85881,N/A,5.0,,"Shop No 19, M P B, Mandy By Pass Road, near Hydil, near Vidhut Vibhag, Transport Nagar, Haldwani, Karayalpur Chatursingh, Uttarakhand 263139",Transport Nagar,29.192611499999998,79.5141637,ChIJDcTFg9mboDkRXn7LeuAqsvo,https://www.google.com/maps/place/?q=place_id:ChIJDcTFg9mboDkRXn7LeuAqsvo,part_133,2026-09-22 06:24:22
Allwin Packers and Cargo Movers,Packers and Movers,Packaging company,"Packaging company, Logistics service, Transportation service, Warehouse",416231,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dudhganganagar S.O, Panori B.O",+91 95911 17117,https://allwinspackers.com/,4.7,1100.0,"Poornapragna Housing Society Layout, Bengaluru, Karnataka 560061",Poornapragna Housing Society Layout,12.9085366,77.5325065,ChIJbyiRurA_rjsRiIps7rn2oI0,https://www.google.com/maps/place/?q=place_id:ChIJbyiRurA_rjsRiIps7rn2oI0,part_133,2026-09-22 06:24:23
SNN Packers And Movers,Packers and Movers,Packaging company,Packaging company,416231,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dudhganganagar S.O, Panori B.O",+91 96862 14876,https://snn-packers-and.grexa.site/,4.9,85.0,"40, 8th Main Cross Rd, 3rd Stage 4th Block, JJ Nagar, Vijayanagar, Bengaluru, Karnataka 560079","3rd Stage 4th Block, JJ Nagar, Vijayanagar",12.9918588,77.5357756,ChIJ1anVqds9rjsRhAxXhjlUuhE,https://www.google.com/maps/place/?q=place_id:ChIJ1anVqds9rjsRhAxXhjlUuhE,part_133,2026-09-22 06:24:23
Sharma Packers and Movers-Jeethendra Transport & Logistics Consultant,Packers and Movers,Moving service,"Moving service, Packaging company, Storage facility, Transportation service",416231,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dudhganganagar S.O, Panori B.O",+91 95901 78555,https://www.sharmapackersmovers.com/,3.6,95.0,"Post Hosur, Ananth Nagar Main Road, Bengaluru - Chennai Hwy, Electronic City, Hebbagodi, Karnataka 560100","Kammasandra, Electronic City",12.8352843,77.6813686,ChIJyT3aY2BtrjsRLgaB3wNybKo,https://www.google.com/maps/place/?q=place_id:ChIJyT3aY2BtrjsRLgaB3wNybKo,part_133,2026-09-22 06:24:23
Packers Movers,Packers and Movers,Transportation service,Transportation service,416231,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dudhganganagar S.O, Panori B.O",+91 98253 04020,https://glowroad-packers-movers.grexa.site/,4.7,79.0,"Godown number 38, office number 2, transport aslali, Aslali, Ahmedabad, Gujarat 382427",Aslali,22.9062676,72.5935432,ChIJ2U-wLz6PXjkR_mBVfcIlCmg,https://www.google.com/maps/place/?q=place_id:ChIJ2U-wLz6PXjkR_mBVfcIlCmg,part_133,2026-09-22 06:24:23
Pune Packers & Movers,Packers and Movers,Moving service,"Moving service, Courier service, Logistics service, Moving supply store, Packaging company, Transportation service",416231,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dudhganganagar S.O, Panori B.O",+91 93725 37388,https://www.punepackermover.in/,4.7,53.0,"Shirke Building, 30/4, opp. Tata Indica Gate, Purnanagar, Chinchwad, Pune, Pimpri-Chinchwad, Maharashtra 411019","Purnanagar, Chinchwad",18.65882,73.8109728,ChIJB4stt4e5wjsR2Z4e0234qWc,https://www.google.com/maps/place/?q=place_id:ChIJB4stt4e5wjsR2Z4e0234qWc,part_133,2026-09-22 06:24:23
Vaigai Packers and Movers,Packers and Movers,Packaging company,Packaging company,416231,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dudhganganagar S.O, Panori B.O",+91 93456 83892,https://vaigaipackersandmovers.com/,5.0,,"Ground Floor, Housing Board, H 1183, I G, Sector H, Ellis Nagar, Madurai, Tamil Nadu 625016","I G, Sector H, Ellis Nagar",9.915339,78.0977272,ChIJp7IVLL_PADsRhchyi7saeM8,https://www.google.com/maps/place/?q=place_id:ChIJp7IVLL_PADsRhchyi7saeM8,part_133,2026-09-22 06:24:23
Deepak Packers and Movers in Madurai | Transport services,Packers and Movers,Packaging supply store,Packaging supply store,416231,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dudhganganagar S.O, Panori B.O",+91 99445 65020,http://deepakpackersandmovers.in/,4.8,,"128, Thathaneri Main Rd, Mela Kailasapuram, Thathaneri, Madurai, Tamil Nadu 625018",Mela Kailasapuram,9.9356122,78.1131522,ChIJ_0INfZLFADsRqMWWGs_I3lM,https://www.google.com/maps/place/?q=place_id:ChIJ_0INfZLFADsRqMWWGs_I3lM,part_133,2026-09-22 06:24:23
ARUN PACKERS AND MOVERS,Packers and Movers,Packaging company,Packaging company,416231,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dudhganganagar S.O, Panori B.O",+91 99944 45450,https://www.arunpackersandmovers.co.in/,4.6,,"30, Doak Nagar, 4th St, Kochadai, Doak Nagar, Madurai, Tamil Nadu 625016",Kochadai,9.935871299999999,78.08468979999999,ChIJ1VOrVRnPADsR9exs_bjz_gQ,https://www.google.com/maps/place/?q=place_id:ChIJ1VOrVRnPADsR9exs_bjz_gQ,part_133,2026-09-22 06:24:23
Madurai Ana Packers and Movers & Transport,Packers and Movers,Transportation service,"Transportation service, Packaging company",416231,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dudhganganagar S.O, Panori B.O",+91 97866 75544,https://www.anapackersandmovers.com/,4.9,,"First Floor، Door No، 16/5، 2nd West Cross Street، Ansari Nagar، Mahaboobpalaiyam, Madurai, Tamil Nadu 625016",Ansari Nagar، Mahaboobpalaiyam,9.9215447,78.1034616,ChIJQX2PRMbPADsRcRM4M4suIlo,https://www.google.com/maps/place/?q=place_id:ChIJQX2PRMbPADsRcRM4M4suIlo,part_133,2026-09-22 06:24:23
