business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Colour Kraft Salon And Academy,Beauty Parlour,Beauty Parlour,Beauty Parlour,416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O",+91 90192 21126,N/A,4.7,85.0,"C93J+78R, Nipani, Karnataka 591237",416235,16.403234899999998,74.3807738,ChIJk7OragbzwDsRZgEc2d9hJoo,https://www.google.com/maps/place/?q=place_id:ChIJk7OragbzwDsRZgEc2d9hJoo,part_133,2026-09-22 06:26:22
Priti's Makeover & Beauty salon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist, Bridal shop, Dietitian, Event planner, Hair extensions supplier, Jewelry designer, Skin care clinic, Stylist, Hairdresser",416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O",+91 99648 63879,https://pritis-makeover-beauty.grexa.site/,4.8,39.0,"Darga Road nipani Bhat Galli, Darga Road, Nipani, Karnataka 591237",Basvannagar,16.3977859,74.3845018,ChIJDdYM7GHzwDsRohtJJejNnso,https://www.google.com/maps/place/?q=place_id:ChIJDdYM7GHzwDsRohtJJejNnso,part_133,2026-09-22 06:26:22
Evolve the ladies salon Nipani,Beauty Parlour,Beauty Parlour,Beauty Parlour,416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O",+91 97409 83674,N/A,4.9,95.0,"Green park, near Ramsonai collection, Nipani, Karnataka 591237",416235,16.405197599999997,74.37682939999999,ChIJD_4oOwDzwDsReU21MungEiA,https://www.google.com/maps/place/?q=place_id:ChIJD_4oOwDzwDsReU21MungEiA,part_133,2026-09-22 06:26:22
Manju's Beauty World And Academy,Beauty Parlour,Nail salon,"Nail salon, Beauty Parlour",416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O",+91 90600 94119,N/A,4.5,49.0,"Satwai Rd, Basvannagar, Nipani, Karnataka 591309",Basvannagar,16.400716199999998,74.38088499999999,ChIJkfXoOz3ywDsR9eqhv6yRG-0,https://www.google.com/maps/place/?q=place_id:ChIJkfXoOz3ywDsR9eqhv6yRG-0,part_133,2026-09-22 06:26:22
My style salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O",+91 98869 55373,N/A,5.0,30.0,"G.I, Bhagyavad College, Old P.B road, opp. samruddhi Bazar, Nipani, Karnataka 591237",416235,16.4086668,74.3774043,ChIJQ01PxpPxwDsRH9JxCHMLUFQ,https://www.google.com/maps/place/?q=place_id:ChIJQ01PxpPxwDsRH9JxCHMLUFQ,part_133,2026-09-22 06:26:22
Shruti beauty parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O",+91 99457 49774,N/A,3.6,17.0,"Ashok nagar, Nipani, Karnataka 591237",Ashok nagar,16.403157099999998,74.3797524,ChIJT7k75CLywDsR9Ww6y9WlRL4,https://www.google.com/maps/place/?q=place_id:ChIJT7k75CLywDsR9Ww6y9WlRL4,part_133,2026-09-22 06:26:22
Femina Flaunt Studio Salon & Academy | Nippani,Beauty Parlour,Beauty Parlour,Beauty Parlour,416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O",+91 77958 61061,https://feminaflaunt.com/,5.0,2.0,"First Floor, Femina Flaunt Studio Salon & Academy, Magnum Cinema, near Bus Stand, Nipani, Karnataka 591237",416235,16.4042569,74.3813182,ChIJG5Uc9VfzwDsRMwyXt2RXh2w,https://www.google.com/maps/place/?q=place_id:ChIJG5Uc9VfzwDsRMwyXt2RXh2w,part_133,2026-09-22 06:26:22
Smart Look Beauty Parlour,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Hair salon",416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O",+91 97315 73774,N/A,4.6,10.0,"Ist Floor, Smart Look Beauty Parlour, opp. New Court, Akol, Nipani, Karnataka 591237",416235,16.4113149,74.3765966,ChIJ28dN4u3zwDsRD8R5rUwUkWU,https://www.google.com/maps/place/?q=place_id:ChIJ28dN4u3zwDsRD8R5rUwUkWU,part_133,2026-09-22 06:26:23
Naaz beauty parlor,Beauty Parlour,Beauty Parlour,Beauty Parlour,416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O",N/A,N/A,5.0,1.0,"99RG+MV6 Qais home, Shivaji Nagar, Nipani, Karnataka 591237",Shivaji Nagar,16.3914969,74.3773255,ChIJIfJBKgDzwDsRBCRWfcUbyE0,https://www.google.com/maps/place/?q=place_id:ChIJIfJBKgDzwDsRBCRWfcUbyE0,part_133,2026-09-22 06:26:23
PRATHAMESH SALON,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Hair salon",416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O",+91 98226 62843,N/A,4.5,2.0,"Shop No.1, Lingnoor - Kapashi Rd, nearby Devgad - Nipani Highway, Lingnoor Kapshi, Maharashtra 416235",416235,16.4108982,74.322063,ChIJcV0mNqTxwDsRtM-F31nMGus,https://www.google.com/maps/place/?q=place_id:ChIJcV0mNqTxwDsRtM-F31nMGus,part_133,2026-09-22 06:26:23
Priyanka makeup artist &Butishn,Beauty Parlour,Beauty Parlour,Beauty Parlour,416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O",N/A,N/A,,,"F7HQ+23J, Appchivadi Rd, Mhakave, Maharashtra 416216",416235,16.4775839,74.28763959999999,ChIJJ7aSWQD3wDsRtyiYiH4vFXk,https://www.google.com/maps/place/?q=place_id:ChIJJ7aSWQD3wDsRtyiYiH4vFXk,part_133,2026-09-22 06:26:23
