business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr Prashant Date Sanjeevan Hospital,Healthcare Clinic Chains,Surgeon,Surgeon,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 80557 03467,https://book-appointment.healthplix.com/index.php?branch_code=dr-prashant-date-proctologist-garpeerchowk-sangli,4.9,,"12133/8,Vakil Colony, Civil Hospital to 100 Feet Road,, Sangli, Maharashtra 416416","Sangli, Nishant Colony",16.8475835,74.5739488,ChIJwQBk6mYYwTsRVZudq3ODbJc,https://www.google.com/maps/place/?q=place_id:ChIJwQBk6mYYwTsRVZudq3ODbJc,part_133,2026-09-22 06:27:31
Yashashri Hospital,Healthcare Clinic Chains,Hospital,Hospital,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",N/A,N/A,3.3,,"Tasgaon Naka, Advi Peth, Vita, Maharashtra 415311",Advi Peth,17.2686088,74.5360907,ChIJXfzvIzhmwTsRip3RpOUcNvk,https://www.google.com/maps/place/?q=place_id:ChIJXfzvIzhmwTsRip3RpOUcNvk,part_133,2026-09-22 06:27:31
Civil Hospital Ashta,Healthcare Clinic Chains,Hospital,Hospital,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",N/A,N/A,3.1,29.0,"2PFF+3P7, civil hospital,, Ashta, Madhya Pradesh 466116",Sai Colony,23.0226515,76.72429009999999,ChIJWczPDKXEfDkRTor2jp71vV4,https://www.google.com/maps/place/?q=place_id:ChIJWczPDKXEfDkRTor2jp71vV4,part_133,2026-09-22 06:27:31
Life Care Hospital,Healthcare Clinic Chains,Hospital,"Hospital, Fertility clinic, Obstetrician-gynecologist, Maternity Centre",416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 233 233 2099,http://www.lifecaresangli.com/,4.8,,"Kolhapur - Sangli Hwy, Opp. Chintamani Hall, Sangli, Gaon Bhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Gaon Bhag",16.849133899999998,74.562281,ChIJ0ZLLFlsYwTsRZ3-tQon3UYI,https://www.google.com/maps/place/?q=place_id:ChIJ0ZLLFlsYwTsRZ3-tQon3UYI,part_133,2026-09-22 06:27:32
Kranti Clinic,Healthcare Clinic Chains,Hospital,Hospital,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 98231 62028,N/A,3.7,,"VH38+7J3, Sangli, Patrakar Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Patrakar Nagar",16.8531251,74.5665623,ChIJHRxnHEMYwTsRG0lIt-CewX8,https://www.google.com/maps/place/?q=place_id:ChIJHRxnHEMYwTsRG0lIt-CewX8,part_133,2026-09-22 06:27:32
SHARADA MULTISPECIALITY HOSPITAL,Healthcare Clinic Chains,Hospital,Hospital,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 72495 94703,N/A,4.6,,"Bharat Sutgirani Chowk, Kupwad MIDC Rd, Sangli, Sangli Miraj Kupwad, Maharashtra 416416",Sangli,16.8646952,74.6081818,ChIJUf5ENJYiwTsRWp-K49DZKZo,https://www.google.com/maps/place/?q=place_id:ChIJUf5ENJYiwTsRWp-K49DZKZo,part_133,2026-09-22 06:27:32
Horizon Multispeciality Hospital,Healthcare Clinic Chains,Surgical oncologist,Surgical oncologist,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 233 262 1788,https://www.drshriniketankale.in/drshriniketankale,4.0,70.0,"S No 90 / 2B/1A/2A, Plot No 1+3, Dhamani Rd, near Green Acres, Sangli, Maharashtra 416416",Sangli,16.8312535,74.58626579999999,ChIJC4R6KmYYwTsRjVzYzgofqKY,https://www.google.com/maps/place/?q=place_id:ChIJC4R6KmYYwTsRjVzYzgofqKY,part_133,2026-09-22 06:27:32
Shriratna Multispeciality Hospital,Healthcare Clinic Chains,Hospital,Hospital,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 95270 10455,https://shriratnamultispecialityhospital.com/,4.4,,"Railway, Station Rd, Miraj, Pratap Colony, Pandharpur Wal, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Pratap Colony, Pandharpur Wal",16.8211178,74.640838,ChIJVa4yjMAjwTsRq08I6aLSFPQ,https://www.google.com/maps/place/?q=place_id:ChIJVa4yjMAjwTsRq08I6aLSFPQ,part_133,2026-09-22 06:27:32
Gandhi Hospital,Healthcare Clinic Chains,Hospital,Hospital,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 233 230 5350,N/A,5.0,,"RHXR+JJ7, opposite Sona Park, Neminathnagar, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Neminathnagar, Vishrambag",16.849048,74.5915591,ChIJQ1WI6ngYwTsRDU9u6n-lXQ8,https://www.google.com/maps/place/?q=place_id:ChIJQ1WI6ngYwTsRDU9u6n-lXQ8,part_133,2026-09-22 06:27:32
Gurnani's Total Health Care LLP,Healthcare Clinic Chains,Surgical supply store,"Surgical supply store, Medical group",416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 98600 61198,https://www.totalhealthcare.in/,4.0,,"Millennium Park Rd, MIDC Industrial Area, Chilkalthana, Chhatrapati Sambhajinagar, Maharashtra 431006","MIDC Industrial Area, Chilkalthana",19.8826303,75.3788099,ChIJkdIr4HCY2zsRyN52iN41-sA,https://www.google.com/maps/place/?q=place_id:ChIJkdIr4HCY2zsRyN52iN41-sA,part_133,2026-09-22 06:27:33
