business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sanmati Interiors,Interior Designers,Interior architect office,Interior architect office,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 97302 32719,N/A,5.0,1.0,"Amruta Awati, Ashta, Maharashtra 416301",Amruta Awati,16.9483182,74.4116652,ChIJKTXw4uMRwTsRBH-n0cO1xCw,https://www.google.com/maps/place/?q=place_id:ChIJKTXw4uMRwTsRBH-n0cO1xCw,part_133,2026-09-22 06:27:37
Vihara interior design studio,Interior Designers,Interior designer,Interior designer,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 91565 60399,N/A,,,"Vidyanagar, Yelur, Maharashtra 411415",Vidyanagar,16.9407124,74.27061859999999,ChIJ27LoIQAJwTsRNO2OO95zdhQ,https://www.google.com/maps/place/?q=place_id:ChIJ27LoIQAJwTsRNO2OO95zdhQ,part_133,2026-09-22 06:27:37
SHREE AMBIKA TIMBER DEPOT,Interior Designers,Interior designer,Interior designer,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 96574 81048,N/A,,,"Police Station Road, Amruta Awati, Ashta, Maharashtra 416301",Amruta Awati,16.949393,74.4059008,ChIJQdHwTfIRwTsRu7xrGUg91sk,https://www.google.com/maps/place/?q=place_id:ChIJQdHwTfIRwTsRu7xrGUg91sk,part_133,2026-09-22 06:27:37
Swara Interiors,Interior Designers,Interior designer,Interior designer,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",N/A,N/A,,,"WCX2+JQ2, Madhala Rd, Amruta Awati, Ashta, Maharashtra 416301",Amruta Awati,16.9490139,74.4018856,ChIJrxpNCQAPwTsRKBgO9OKM3Ic,https://www.google.com/maps/place/?q=place_id:ChIJrxpNCQAPwTsRKBgO9OKM3Ic,part_133,2026-09-22 06:27:37
Makeover Interior Studio,Interior Designers,Interior designer,Interior designer,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 70585 55101,https://jsdl.in/DT-994JJ7AHBMI,5.0,,"Pragati Colony, Dattanagar, Sangli Miraj Kupwad, Maharashtra 416416","Pragati Colony, Dattanagar",16.843982999999998,74.58637449999999,ChIJJdFEHEMZwTsRFE0cnNchgRY,https://www.google.com/maps/place/?q=place_id:ChIJJdFEHEMZwTsRFE0cnNchgRY,part_133,2026-09-22 06:27:37
Architect Pratik Mehta,Interior Designers,Interior designer,"Interior designer, Architectural designer, Architecture firm, Building designer, Real Estate Builders & Construction Company, Interior architect office, Architect",416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 94238 29448,http://arpratikmehta.com/,5.0,,"timber area, opp. Pratik Furniture Building, Sangli, Gokul Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Gokul Nagar",16.8626388,74.5826211,ChIJ8QskUnAYwTsRp8Bk58j4aGU,https://www.google.com/maps/place/?q=place_id:ChIJ8QskUnAYwTsRp8Bk58j4aGU,part_133,2026-09-22 06:27:37
Devng shhah Architects & Interrior designers,Interior Designers,Interior designer,"Interior designer, Architecture firm",416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 97679 11777,https://www.devngshhah.com/,5.0,,"Venkatesh embassy , second floor, Sangli - Miraj Rd, opposite Zilla parishad, Sangli, Maharashtra 416416","Sangli, Khanbhag",16.8547743,74.5781935,ChIJwycIVG4YwTsR1ltNI4gO4fY,https://www.google.com/maps/place/?q=place_id:ChIJwycIVG4YwTsR1ltNI4gO4fY,part_133,2026-09-22 06:27:37
Archi Design,Interior Designers,Interior designer,Interior designer,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",N/A,N/A,5.0,,"Flat No.2, Satya Apartment, Chowk, Sangli, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Sangli, Vishrambag",16.848141299999998,74.5960178,ChIJhwk6kIEiwTsRsEU4miC0-_0,https://www.google.com/maps/place/?q=place_id:ChIJhwk6kIEiwTsRsEU4miC0-_0,part_133,2026-09-22 06:27:37
KITWADKAR ASSOCIATES,Interior Designers,Interior Designers,Interior Designers,416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 98901 40487,N/A,5.0,,"Gandhi Nagar, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Gandhi Nagar, Vishrambag",16.8475625,74.5952164,ChIJ0QBTiIEiwTsR0G1uiIOgpVo,https://www.google.com/maps/place/?q=place_id:ChIJ0QBTiIEiwTsR0G1uiIOgpVo,part_133,2026-09-22 06:27:37
Aafiya wood furniture,Interior Designers,Furniture Manufacturer,"Furniture Manufacturer, Bedroom furniture store, Furniture maker, Furniture store, Furniture wholesaler, Office furniture store, Sofa store",416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O",+91 98088 49786,https://www.aafiyawoodfurniture.com/,5.0,,"Kobale mala, Mirajwadi Rd, Ashta, Maharashtra 416301",416301,16.9451032,74.4313478,ChIJXSozI9MRwTsR_BBn4Pf-1SQ,https://www.google.com/maps/place/?q=place_id:ChIJXSozI9MRwTsR_BBn4Pf-1SQ,part_133,2026-09-22 06:27:37
