business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Indian Electric Co. - Electric Motor Dealer,Motor Rewinding and Pump Repair,Electric motor repair shop,"Electric motor repair shop, Electrical equipment supplier, Electric motor store",416302,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bagani S.O, Bhadkimbe B.O, Dhavali B.O",+91 98505 02814,https://www.indianelectric.com/,,,"Snehaprerit , Plot No. 424/38, Prashant Ramesh Sathaye, Ramkrishna Paramhans Sahakari Gruha Nirman Sanstha, C/o, 100 Feet Rd, behind Pol Mala, Sangli, Maharashtra 416416","Sangli, Dattanagar",16.8457223,74.5768334,ChIJV0wdtDwZwTsRi5KsUSmDGqo,https://www.google.com/maps/place/?q=place_id:ChIJV0wdtDwZwTsRi5KsUSmDGqo,part_133,2026-09-22 06:28:30
India motors and Auto electric,Motor Rewinding and Pump Repair,Mechanical engineer,"Mechanical engineer, Machine repair service",416302,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bagani S.O, Bhadkimbe B.O, Dhavali B.O",+91 99708 47308,N/A,,,"Itkare fata nh4 haywa, Maharashtra 415403",416302,16.965542199999998,74.2699903,ChIJdcr1JH0LwTsR5l49e2l7e6Y,https://www.google.com/maps/place/?q=place_id:ChIJdcr1JH0LwTsR5l49e2l7e6Y,part_133,2026-09-22 06:28:30
मंगल रिवायडींग वर्क्स,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,416302,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bagani S.O, Bhadkimbe B.O, Dhavali B.O",N/A,N/A,,,"Shop No 2, Rajwada Rd, opp. M K Athawale Vinay Mandir School, Rajwada Vasahat, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Rajwada Vasahat, Khanbhag",16.856932099999998,74.5660292,ChIJa3-6et4ZwTsRp6IJ2mmu8eU,https://www.google.com/maps/place/?q=place_id:ChIJa3-6et4ZwTsRp6IJ2mmu8eU,part_133,2026-09-22 06:28:30
S.S. Power Solution - Electric Scooter Showroom,Motor Rewinding and Pump Repair,Repair service,"Repair service, Battery Store, Electric vehicle charging station, Electric motor scooter dealer",416302,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bagani S.O, Bhadkimbe B.O, Dhavali B.O",+91 85305 30753,N/A,5.0,2.0,"Frant of dimmond hotel, 100 Feet Rd, Sangli, Nishant Colony, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Nishant Colony",16.8457942,74.5859531,ChIJ38g75xEZwTsRmnxFbvDYWPo,https://www.google.com/maps/place/?q=place_id:ChIJ38g75xEZwTsRmnxFbvDYWPo,part_133,2026-09-22 06:28:30
Yuvaraj Rewinding,Motor Rewinding and Pump Repair,Auto repair shop,Auto repair shop,416302,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bagani S.O, Bhadkimbe B.O, Dhavali B.O",+91 77689 01345,N/A,,,"Shop No.2 Dhavle Talim, Sangli, Gaon Bhag, Maharashtra 416416","Sangli, Gaon Bhag",16.8519751,74.5613472,ChIJiyYqytcZwTsRXGUu65Q2iw0,https://www.google.com/maps/place/?q=place_id:ChIJiyYqytcZwTsRXGUu65Q2iw0,part_133,2026-09-22 06:28:30
SHREE ELECTRICAL SALES & SERVICES &MOTOR WINDING WORKS,Motor Rewinding and Pump Repair,Electrical repair shop,Electrical repair shop,416302,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bagani S.O, Bhadkimbe B.O, Dhavali B.O",+91 80884 04254,N/A,,,"SHOP NO 2, ROAD, opp. PRIYANKA MEDICAL, Yashwant Nagar, Lengare, Vita, Maharashtra 415311",Yashwant Nagar,17.2759876,74.5408716,ChIJGREk3_BnwTsR0Y_OtkOuIMI,https://www.google.com/maps/place/?q=place_id:ChIJGREk3_BnwTsR0Y_OtkOuIMI,part_133,2026-09-22 06:28:30
Trimurti Motor Rewinding Works Uttur,Motor Rewinding and Pump Repair,Electric motor store,Electric motor store,416302,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bagani S.O, Bhadkimbe B.O, Dhavali B.O",N/A,N/A,4.5,2.0,"Uttur, Maharashtra 416220",416302,16.2379232,74.2616689,ChIJE5HYgzOKwDsRk_LE8iX8fuM,https://www.google.com/maps/place/?q=place_id:ChIJE5HYgzOKwDsRk_LE8iX8fuM,part_133,2026-09-22 06:28:30
Sager Electric And Motor Rewinding,Motor Rewinding and Pump Repair,Electronics repair shop,Electronics repair shop,416302,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bagani S.O, Bhadkimbe B.O, Dhavali B.O",+91 97673 92213,N/A,5.0,3.0,"Ship No, 4, Bus Stand Road, near Salgare, Salgare, Maharashtra 416418",416302,16.8907111,74.9119004,ChIJGeoYOGItwTsRKbc2-e8ARys,https://www.google.com/maps/place/?q=place_id:ChIJGeoYOGItwTsRKbc2-e8ARys,part_133,2026-09-22 06:28:30
Dastgir Yusuf Shaikh Electrical and Motor rewinding work shop,Motor Rewinding and Pump Repair,Electrical repair shop,Electrical repair shop,416302,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bagani S.O, Bhadkimbe B.O, Dhavali B.O",+91 94211 23164,N/A,5.0,3.0,"Matan Market, Miraj, Budhwar peth, Maharashtra 416410","Miraj, Budhwar peth",16.819077999999998,74.64718359999999,ChIJRzZtx1wjwTsRLUwa7aU-Dcg,https://www.google.com/maps/place/?q=place_id:ChIJRzZtx1wjwTsRLUwa7aU-Dcg,part_133,2026-09-22 06:28:30
More submersible pump,Motor Rewinding and Pump Repair,Electric motor store,Electric motor store,416302,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bagani S.O, Bhadkimbe B.O, Dhavali B.O",+91 93598 07280,N/A,5.0,22.0,"Miraj, Chandanwadi, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Chandanwadi",16.8331601,74.6345596,ChIJoZ5IBSIjwTsRVkA7eQsiVcM,https://www.google.com/maps/place/?q=place_id:ChIJoZ5IBSIjwTsRVkA7eQsiVcM,part_133,2026-09-22 06:28:32
