business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sawant Dental Clinic,Dental Clinic,Dental clinic,"Dental clinic, Cosmetic dentist, Dentist, Dental hygienist, Dental implants provider, Endodontist, Orthodontist, Pediatric dentist, Teeth whitening service",416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 92842 66533,N/A,4.9,,"Sangli - Vita Rd, Sangli, Gokul Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Gokul Nagar",16.8685054,74.5804703,ChIJUZ-DHKcZwTsRGDnNpA8fFyg,https://www.google.com/maps/place/?q=place_id:ChIJUZ-DHKcZwTsRGDnNpA8fFyg,part_133,2026-09-22 06:29:23
Dr.Metkari Dental clinic,Dental Clinic,Dentist,Dentist,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 93245 86331,N/A,4.9,,"Bus Stop, near Jagtap classes, beside Anand Park, Sangli, Abhay Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Abhay Nagar",16.864864,74.5914337,ChIJM021A4pVwTsRugpumj6tWdA,https://www.google.com/maps/place/?q=place_id:ChIJM021A4pVwTsRugpumj6tWdA,part_133,2026-09-22 06:29:23
Dr.Rucha's Dental Clinic,Dental Clinic,Dental clinic,"Dental clinic, Dentist, Emergency dental service",416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 73859 41159,N/A,5.0,,"1st floor, Ratnashyam building, Guruwar Peth Rd, above icici bank, Somwar Peth, Madhavnagar, Maharashtra 416416","Somwar Peth, Madhavnagar",16.8894668,74.5872291,ChIJSXIwAPgXwTsRQvDf5ARp8X0,https://www.google.com/maps/place/?q=place_id:ChIJSXIwAPgXwTsRQvDf5ARp8X0,part_133,2026-09-22 06:29:23
Dr Shivani's Cosmetic Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 93733 80006,N/A,,,"Balganesh Chowk, behind Mahadev Mandir, Budhgaon, Maharashtra 416304",416304,16.9050272,74.5979715,ChIJn2R_rgw9wTsRzyhAmZOad1g,https://www.google.com/maps/place/?q=place_id:ChIJn2R_rgw9wTsRzyhAmZOad1g,part_133,2026-09-22 06:29:23
SHIVAM DENTAL CLINIC,Dental Clinic,Dental clinic,"Dental clinic, Cosmetic dentist, Dental implants periodontist, Dentist, Orthodontist, Pediatric dentist",416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",N/A,N/A,5.0,,"623, Raviwar Peth, Sangli, Madhavnagar, Maharashtra 416406","Sangli, Madhavnagar",16.8863368,74.5854897,ChIJbzBWnCUZwTsR-kPnTXDzDBA,https://www.google.com/maps/place/?q=place_id:ChIJbzBWnCUZwTsR-kPnTXDzDBA,part_133,2026-09-22 06:29:23
एकदंत डेंटल क्लिनिक (डॉ. स्नेहा देवकर- सावंत),Dental Clinic,Dental clinic,Dental clinic,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 77589 22589,https://wa.me/qr/QXF6TDOG7NWZE1,5.0,,"Gandhi chowk, Mangalwar Peth, Sangli, Madhavnagar, Maharashtra 416416","Sangli, Madhavnagar",16.8881536,74.5866416,ChIJ5eYPcR4XwTsRe2SevzuaoEA,https://www.google.com/maps/place/?q=place_id:ChIJ5eYPcR4XwTsRe2SevzuaoEA,part_133,2026-09-22 06:29:23
PATIL DENTAL CLINIC & IMPLANT CENTRE,Dental Clinic,Dental clinic,Dental clinic,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 83082 40240,N/A,5.0,,"Shop No.2, near Union Bank ATM, Sangli, MIDC Kupwad, Sangli Miraj Kupwad, Maharashtra 416436","Sangli, MIDC Kupwad",16.868908299999998,74.61605449999999,ChIJAVaW4vwjwTsRTj6CoH57RDE,https://www.google.com/maps/place/?q=place_id:ChIJAVaW4vwjwTsRTj6CoH57RDE,part_133,2026-09-22 06:29:23
Sai Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 98902 21824,N/A,4.4,,"Madhavnagar Rd, Ghanshyam Nagar, Kala Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Ghanshyam Nagar, Kala Nagar",16.8739711,74.5807521,ChIJ7abf9mgYwTsRsF0q5aU3IRQ,https://www.google.com/maps/place/?q=place_id:ChIJ7abf9mgYwTsRsF0q5aU3IRQ,part_133,2026-09-22 06:29:23
DrTooth Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 78759 65999,N/A,5.0,1.0,"Sangli-Ashta Rd, Sangalwadi, Sangli Miraj Kupwad, Maharashtra 416416",Sangalwadi,16.8642239,74.5523828,ChIJDfFoo60ZwTsRb_S_8IjMKiA,https://www.google.com/maps/place/?q=place_id:ChIJDfFoo60ZwTsRb_S_8IjMKiA,part_133,2026-09-22 06:29:23
Neosmile Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 90667 11131,N/A,4.4,7.0,"Sangli, Abhay Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Abhay Nagar",16.8728904,74.5935064,ChIJd-x9BC8jwTsROFTrA80WGU0,https://www.google.com/maps/place/?q=place_id:ChIJd-x9BC8jwTsROFTrA80WGU0,part_133,2026-09-22 06:29:23
Dr Vijaykumar Swarupchandra Shah Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 233 262 2347,https://www.aboutmyclinic.com/shahdental,5.0,1.0,"VH89+2HH, Sangli, Vakhar Bhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Vakhar Bhag",16.865073499999998,74.5689774,ChIJG0KjIkAYwTsRlpm_HbGPsYk,https://www.google.com/maps/place/?q=place_id:ChIJG0KjIkAYwTsRlpm_HbGPsYk,part_133,2026-09-22 06:29:24
