business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RK traders,Exporters,Cotton Exporter,Cotton Exporter,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",N/A,N/A,5.0,4.0,"near hp gas, Budhgaon, Maharashtra 416304",416304,16.9116937,74.5984907,ChIJDceEugw9wTsR96n5knbtzzo,https://www.google.com/maps/place/?q=place_id:ChIJDceEugw9wTsR96n5knbtzzo,part_133,2026-09-22 06:29:50
Arihant agro industries,Exporters,Corporate office,"Corporate office, Fertilizer Store, Outlet store",416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 98228 77440,https://arihant-agro-industries.github.io/Arihant-Agro-Industries/index.html,4.5,2.0,"Shirgaon Kavathe, Maharashtra 416416",416304,16.976062499999998,74.5705625,ChIJ0c7nCdQXwTsRfTkdljP32K4,https://www.google.com/maps/place/?q=place_id:ChIJ0c7nCdQXwTsRfTkdljP32K4,part_133,2026-09-22 06:29:50
AAI OVERSEAS,Exporters,Exporter,"Exporter, Agricultural production",416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 86000 80580,N/A,,,"1709, AAI SADAN, near MADINA MASJID, Budhgaon, Maharashtra 416304",416304,16.908112799999998,74.596051,ChIJ_____149wTsRR73xFOjEIHA,https://www.google.com/maps/place/?q=place_id:ChIJ_____149wTsRR73xFOjEIHA,part_133,2026-09-22 06:29:50
Mali Agro Industries,Exporters,Farm equipment supplier,Farm equipment supplier,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",N/A,N/A,,,"WJ58+M9F, Kavalapur, Maharashtra 416306",416304,16.909672,74.615914,ChIJjwT9PAA9wTsRJczN2_31m-4,https://www.google.com/maps/place/?q=place_id:ChIJjwT9PAA9wTsRJczN2_31m-4,part_133,2026-09-22 06:29:50
R N Agro Products,Exporters,Agrochemicals Supplier,Agrochemicals Supplier,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 95790 82002,http://rnagroproducts.com/,5.0,4.0,"S. R. No. 229, Madhavnagar Rd, near Industrail Estate, Sangli, Maharashtra 416406",Sangli,16.894837199999998,74.5894016,ChIJf_zLR_wXwTsRz9DcpNitpKY,https://www.google.com/maps/place/?q=place_id:ChIJf_zLR_wXwTsRz9DcpNitpKY,part_133,2026-09-22 06:29:50
KIRAN AQUA,Exporters,Manufacturer,"Manufacturer, Bottled water supplier",416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 95957 54100,N/A,3.7,3.0,"Ward no. 1 bisur road, trimurti chowk, Gaon Bhag, Budhgaon, Maharashtra 416304",Gaon Bhag,16.9031377,74.5956321,ChIJQeyH5Fg9wTsRGmEpXm95flg,https://www.google.com/maps/place/?q=place_id:ChIJQeyH5Fg9wTsRGmEpXm95flg,part_133,2026-09-22 06:29:50
kavlapur,Exporters,Agricultural Seed Store,Agricultural Seed Store,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",N/A,N/A,,,"WJ97+G6P, Kavalapur, Maharashtra 416306",416304,16.9188313,74.6130927,ChIJUdB0FQA9wTsRTo64uyM_-qU,https://www.google.com/maps/place/?q=place_id:ChIJUdB0FQA9wTsRTo64uyM_-qU,part_133,2026-09-22 06:29:50
Shri sai ganesh sathi avjare,Exporters,Equipment supplier,Equipment supplier,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 75078 54004,N/A,4.5,11.0,"Gat no 593, Karnal - Sangli, Karnal, Maharashtra 416304",416304,16.8993006,74.5628819,ChIJqfStWyUXwTsRxcDfxIzksUk,https://www.google.com/maps/place/?q=place_id:ChIJqfStWyUXwTsRxcDfxIzksUk,part_133,2026-09-22 06:29:50
Ganimat Supplier,Exporters,Construction Material Wholesaler,Construction Material Wholesaler,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",N/A,N/A,5.0,,"Arwade Park, Abhay Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Arwade Park, Abhay Nagar",16.8692728,74.5880878,ChIJj5BXlPcZwTsRv1rG-dHm-nY,https://www.google.com/maps/place/?q=place_id:ChIJj5BXlPcZwTsRv1rG-dHm-nY,part_133,2026-09-22 06:29:50
Sadguru collection,Exporters,Garment Exporter,Garment Exporter,416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O",+91 90366 17709,N/A,5.0,,"Miraj, Sangli, to, Tasgaon, Maharashtra 416306","Sangli, to",16.9440527,74.6364583,ChIJszSeASI9wTsRu1-spQHGaRM,https://www.google.com/maps/place/?q=place_id:ChIJszSeASI9wTsRu1-spQHGaRM,part_133,2026-09-22 06:29:51
