business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
KAPASHI BAZAAR,Supermarket,Supermarket,Supermarket,416218,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Baleghol B.O, Belewadi Kalamma B.O, Bolavi B.O",+91 90961 06671,N/A,4.7,6.0,"Shop No. 1, nearby Hutatma Swami Chouk, Senapati Kapshi, Kapashi, Maharashtra 416218",Senapati Kapshi,16.3353626,74.2842719,ChIJF9N12C31wDsRxRFW8vEVFHc,https://www.google.com/maps/place/?q=place_id:ChIJF9N12C31wDsRxRFW8vEVFHc,part_133,2026-09-22 06:19:27,34802
KAPASHI PAYTAAN,Supermarket,Grocery store,Grocery store,416218,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Baleghol B.O, Belewadi Kalamma B.O, Bolavi B.O",+91 99211 53624,N/A,4.0,1.0,"Santaji Chouk, HP Petrol Pump, Kapashi Kapshi, Madhyal Rd, Kapashi, Maharashtra 416218",Senapati Kapshi,16.3318211,74.2840272,ChIJGbHQTRL1wDsRvtx1qzAWOvc,https://www.google.com/maps/place/?q=place_id:ChIJGbHQTRL1wDsRvtx1qzAWOvc,part_133,2026-09-22 06:19:27,34803
Life mall kapshi,Supermarket,Supermarket,"Supermarket, Shopping mall",416218,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Baleghol B.O, Belewadi Kalamma B.O, Bolavi B.O",+91 90215 05980,N/A,5.0,4.0,"Senapati Kapshi, Santagi chuck, Kapashi, Maharashtra 416218","Senapati Kapshi, Santagi chuck",16.3326545,74.2837208,ChIJkRWLqqv1wDsRJ6DtHWXPU8M,https://www.google.com/maps/place/?q=place_id:ChIJkRWLqqv1wDsRJ6DtHWXPU8M,part_133,2026-09-22 06:19:27,34804
Patil Cold Drinks & Bekari,Supermarket,Supermarket,Supermarket,416218,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Baleghol B.O, Belewadi Kalamma B.O, Bolavi B.O",+91 98232 89667,N/A,,,"Shop No 02, near by Shari Laxmi Mandir, Baleghol, Maharashtra 416218",416218,16.3181634,74.304859,ChIJQeJICC31wDsRGW72dQH_G2I,https://www.google.com/maps/place/?q=place_id:ChIJQeJICC31wDsRGW72dQH_G2I,part_133,2026-09-22 06:19:27,34805
JOYTIRLING SHETI SEVA KENDRA BELEWADI MASA,Supermarket,Supermarket,Supermarket,416218,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Baleghol B.O, Belewadi Kalamma B.O, Bolavi B.O",+91 80070 98975,N/A,4.0,1.0,"87R6+FMJ, Kapshi Main Road, Patil Galli, Belewadi Masa, Maharashtra 416218",416218,16.3412227,74.2616374,ChIJm23Jvir1wDsRZ-FeLwspiiI,https://www.google.com/maps/place/?q=place_id:ChIJm23Jvir1wDsRZ-FeLwspiiI,part_133,2026-09-22 06:19:27,34806
Sidhivinayak Bazar,Supermarket,Supermarket,Supermarket,416218,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Baleghol B.O, Belewadi Kalamma B.O, Bolavi B.O",+91 90212 88580,N/A,4.5,4.0,"Shop No 12/4, near by Bus Stand, Uttur, Maharashtra 416220",416218,16.2360309,74.26154679999999,ChIJexcNQnGLwDsRRpj0Cc-ZKEY,https://www.google.com/maps/place/?q=place_id:ChIJexcNQnGLwDsRRpj0Cc-ZKEY,part_133,2026-09-22 06:19:29,34807
SADA HASAN VKS STY BAZAR VIBHAG HASUR KHURD,Departmental Store,Supermarket,Supermarket,416218,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Baleghol B.O, Belewadi Kalamma B.O, Bolavi B.O",+91 75070 39538,N/A,4.5,,"Gargoti Main Road, near Bus Stop, Kapashi, Hasur Khurd, Maharashtra 416218",416218,16.3103215,74.2351556,ChIJIXXKYiaLwDsRJfKYuZC9nGk,https://www.google.com/maps/place/?q=place_id:ChIJIXXKYiaLwDsRJfKYuZC9nGk,part_133,2026-09-22 06:19:27,34808
Omkar kirana & General store,Kirana Store,General store,"General store, Store",416218,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Baleghol B.O, Belewadi Kalamma B.O, Bolavi B.O",+91 99239 02875,N/A,4.2,,"kallamadevi mandir, near Jainyal, Jainyal, Maharashtra 416218",416218,16.367776,74.3021062,ChIJ504hEn71wDsRfu4fgm3cvkU,https://www.google.com/maps/place/?q=place_id:ChIJ504hEn71wDsRfu4fgm3cvkU,part_133,2026-09-22 06:19:27,34809
Shivneri Kirana Store,Kirana Store,General store,General store,416218,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Baleghol B.O, Belewadi Kalamma B.O, Bolavi B.O",+91 84128 28887,N/A,5.0,,"Shop No, 1, Road, near Laxmi Mandir, Aalabhad, Alabad, Kapashi, Alabad, Maharashtra 416218","Aalabhad, Alabad",16.3333109,74.2692557,ChIJWx4MQfv1wDsRjRGwTv279nM,https://www.google.com/maps/place/?q=place_id:ChIJWx4MQfv1wDsRjRGwTv279nM,part_133,2026-09-22 06:19:27,34810
Shivam kirana stores,Kirana Store,General store,General store,416218,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Baleghol B.O, Belewadi Kalamma B.O, Bolavi B.O",+91 91302 63131,N/A,5.0,,"Shivam kirana stores, Bus Stop, near Vadgaon, At post, Vadgaon, Maharashtra 416218",At post,16.311841599999997,74.2755087,ChIJxaBSU_yLwDsR1QF4WakjLm0,https://www.google.com/maps/place/?q=place_id:ChIJxaBSU_yLwDsR1QF4WakjLm0,part_133,2026-09-22 06:19:27,34811
