business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
CA Abhishek Dugam & Company | CA in Vita Sangli | GST Consultant,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Auditor, Financial audit, Financial consultant, Tax consultant",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 79727 34007,https://caabhishekdugam.com/,5.0,,"Office No. F22, 1st Floor, Shivpratap Gold Tower, Power House Rd, Hanmant Bazar, Vita, Maharashtra 415311",Hanmant Bazar,17.2743526,74.537026,ChIJFXUSfJ4_QKARSYe87v9O6WI,https://www.google.com/maps/place/?q=place_id:ChIJFXUSfJ4_QKARSYe87v9O6WI,part_134,2026-09-22 06:00:54,5458
Tax Plus Consultancy - Chartered Accountant in Pune and Savlaj,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accounting firm, Business administration service, Business management consultant, Financial audit, Income tax help association, Registration office, Tax consultant, Tax preparation, Tax preparation service",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 77986 80780,https://www.taxplusconsultancy.com/,4.9,,"Road, nr. Siddhanth Temple, Sidhewadi, Savlaj, Maharashtra 416311",416311,17.1102859,74.7668491,ChIJ-8NplihHwTsRM0RrtmwhxnY,https://www.google.com/maps/place/?q=place_id:ChIJ-8NplihHwTsRM0RrtmwhxnY,part_134,2026-09-22 06:00:54,5459
CA NILESH P. PATIL| Best Chartered Accountancy Service in Sangli | GST Consultancy Service Sangli,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Auditor, Consultant, Financial audit, Tax consultant, Tax preparation service",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 93733 01008,https://digiwebcard.in/jpnr-associates,5.0,,"Flat no 21, Kapila Apartment, MSEB Rd, Haripriyanagar, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Haripriyanagar, Vishrambag",16.8442845,74.5980661,ChIJOVTTuYQjwTsRf1p1PKtnd9M,https://www.google.com/maps/place/?q=place_id:ChIJOVTTuYQjwTsRf1p1PKtnd9M,part_134,2026-09-22 06:00:54,5460
Phadke Limaye Thanedar & Co,Chartered Accountant (CA),Chartered accountant,Chartered accountant,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 233 233 2385,https://www.pltca.com/,4.5,,"Kaustubh Sahaniwas, 1st Floor, CS No 1764 Dr Ambedkar Road, Civil Hospital Rd, Sangli, Ganeshnagar, Maharashtra 416416","Sangli, Ganeshnagar, Patrakar Nagar",16.8533836,74.5698914,ChIJUWLChWEZwTsRKejmxwLQVdM,https://www.google.com/maps/place/?q=place_id:ChIJUWLChWEZwTsRKejmxwLQVdM,part_134,2026-09-22 06:00:54,5461
Onkar Shete & Sneha Shete Chartered Accountants,Chartered Accountant (CA),Financial consultant,Financial consultant,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 95617 81819,N/A,4.9,,"Jay Hanuman Chowk, 511, near State Bank of India, Kavathe Mahankal, Maharashtra 416405",416311,17.0083163,74.86439469999999,ChIJZ68r2R03wTsRKXIJ6O3E0vU,https://www.google.com/maps/place/?q=place_id:ChIJZ68r2R03wTsRKXIJ6O3E0vU,part_134,2026-09-22 06:00:54,5462
D S Palkar & Co.,Chartered Accountant (CA),Chartered accountant,Chartered accountant,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,5.0,,"Krishna Complex, Amrai Rd, Sangli, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Khanbhag",16.8611648,74.5721641,ChIJtQD85GoYwTsRcgPMkW59c0A,https://www.google.com/maps/place/?q=place_id:ChIJtQD85GoYwTsRcgPMkW59c0A,part_134,2026-09-22 06:00:54,5463
M V THANEDAR & CO,Chartered Accountant (CA),Chartered accountant,Chartered accountant,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 233 237 2016,N/A,5.0,,"Flat 1, 2nd Floor, Swati Nakshtra Apartment, Harbhat Rd, above HDFC Bank, Sangli, Gaon Bhag, Maharashtra 416416","Sangli, Gaon Bhag",16.8596774,74.5640303,ChIJc9WCN0cYwTsRyc0ma4_UZbc,https://www.google.com/maps/place/?q=place_id:ChIJc9WCN0cYwTsRyc0ma4_UZbc,part_134,2026-09-22 06:00:54,5464
A N Bobade & Associates Chartered Accountants,Chartered Accountant (CA),Certified public accountant,"Certified public accountant, Accounting firm, Chartered accountant, Income tax help association, Tax consultant, Tax preparation service",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 91122 59558,http://www.anbobade.com/,4.8,,"403 - Mangonest Commercial Complex, Lokmat Press Office, Sinhgad Rd, Pune, Maharashtra 411041","Vadgaon Khurd, Nanded Fata, Pandurang Industrial Area, Nanded",18.4580082,73.8053463,ChIJTQraunzBwjsRoi9V4tTKqis,https://www.google.com/maps/place/?q=place_id:ChIJTQraunzBwjsRoi9V4tTKqis,part_134,2026-09-22 06:00:54,5465
Nihar Consultancy and Services,Chartered Accountant (CA),Certified public accountant,"Certified public accountant, Accounting firm, Auditor, Consultant, Financial audit, Financial consultant, Investment service, Loan agency, Tax consultant, Tax preparation service",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 81496 81963,https://niharcs.com/,5.0,,"S 3, Shashi Plaza, 3rd Ln, Shahupuri, Kolhapur, Maharashtra 416001",Shahupuri,16.700853,74.2348975,ChIJB8vqomwAwTsRI55Hx3_2PKo,https://www.google.com/maps/place/?q=place_id:ChIJB8vqomwAwTsRI55Hx3_2PKo,part_134,2026-09-22 06:00:54,5466
N D Savla & Associates,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accounting firm, Auditor, Bookkeeping service, Financial audit, Legal services, Tax assessor, Tax attorney, Tax consultant, Tax preparation service",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98218 32683,http://www.ndsavla.com/,4.9,,"Level 1, Ashok Premises, 102, Nicolas Wadi Rd, Gundavali Gaothan, Andheri East, Mumbai, Maharashtra 400069","Gundavali Gaothan, Andheri East",19.123582499999998,72.8547268,ChIJ_bhDPNbJ5zsRnkfRLud_q58,https://www.google.com/maps/place/?q=place_id:ChIJ_bhDPNbJ5zsRnkfRLud_q58,part_134,2026-09-22 06:00:54,5467
K M Deshpande & Co.,Chartered Accountant (CA),Chartered accountant,Chartered accountant,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,,,"RMR3+WC2, Miraj, Rama Udyan, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Rama Udyan",16.8422595,74.6535073,ChIJIfmmDQAjwTsRPuuRavYwuOc,https://www.google.com/maps/place/?q=place_id:ChIJIfmmDQAjwTsRPuuRavYwuOc,part_134,2026-09-22 06:00:54,5468
