business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Viraj Mango Orchid Agro Tourism And Resort,Hotel,Farmstay,"Farmstay, Adventure Sports Center, Banquet hall, Event venue, Function room facility, Home Stay, Resort hotel, Restaurant, Swimming pool, Wedding venue",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 92265 21199,https://viraj-mango-orchid.grexa.site/,4.8,,"4MV7+59 Tasgaon, Khanapur Rd, near Tanish Gul Factory, Hatnur, Manjarde, Maharashtra 416314",416311,17.1429375,74.6634375,ChIJg8ojcQBBwTsRRgPE2NQaDS4,https://www.google.com/maps/place/?q=place_id:ChIJg8ojcQBBwTsRRgPE2NQaDS4,part_134,2026-09-22 06:00:46,4461
Hotel Maharaja Palace,Hotel,Hotel,Hotel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 74481 85888,N/A,3.4,,"Miraj Pandharpur Road, Tal, Kuchi, Kavathe Mahankal, Maharashtra 416405",Tal,17.079544,74.8817756,ChIJ2YW5Tlo1wTsROktEHccPemM,https://www.google.com/maps/place/?q=place_id:ChIJ2YW5Tlo1wTsROktEHccPemM,part_134,2026-09-22 06:00:46,4462
Hotel Sai Palace,Hotel,Hotel,"Hotel, Lodge",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 84216 57005,N/A,4.6,,"opp. Bus Stand, Guruvar Peth, Tasgaon, Maharashtra 416312",Guruvar Peth,17.0369246,74.60474099999999,ChIJhVYxCA4_wTsRm7Y7bay7PW0,https://www.google.com/maps/place/?q=place_id:ChIJhVYxCA4_wTsRm7Y7bay7PW0,part_134,2026-09-22 06:00:46,4463
Hotel T K,Hotel,Hotel,Hotel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,4.1,,"Shirdhon, Sangli, NH-204, Jath Road, Sangli, Sangli, Maharashtra 416419",416311,17.01954,74.806069,ChIJ76pQZRU3wTsRReVxJnyLSpY,https://www.google.com/maps/place/?q=place_id:ChIJ76pQZRU3wTsRReVxJnyLSpY,part_134,2026-09-22 06:00:46,4464
FabHotel Nakshtra Resort,Hotel,Hotel,"Hotel, Resort hotel",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 70424 24242,https://www.fabhotels.com/hotels-in-tasgaon/fabhotel-nakshtra-resort-ofltncgt.html,4.1,,"Kashipura Gali, opp. SBI, Tasgaon, Chinchani, Maharashtra 416312",416311,17.031579999999998,74.629099,ChIJyRxtZAA_wTsRr28cFrTg6Iw,https://www.google.com/maps/place/?q=place_id:ChIJyRxtZAA_wTsRr28cFrTg6Iw,part_134,2026-09-22 06:00:46,4465
OYO 87050 Sahyadri Palace,Hotel,Hotel,Hotel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 124 620 1126,https://www.oyorooms.com/h/173418?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=SGL044&latitude=17.057296&longitude=74.59627&locale=en,4.2,,"1, Vita Road, Tasgaon, Sangli, Maharashtra 416312",416311,17.0573564,74.5963354,ChIJ1bCgwpE_wTsRebjjENz7EPI,https://www.google.com/maps/place/?q=place_id:ChIJ1bCgwpE_wTsRebjjENz7EPI,part_134,2026-09-22 06:00:46,4466
Jagadguru Shri Sant Tukaram Maharaj Bhakt Niwas and Multipurpose Hall,Hotel,Bed & breakfast,Bed & breakfast,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,4.3,,"4M2C+FMM, Arwade, Maharashtra 416312",416311,17.1012022,74.6716775,ChIJ3TiPEwBBwTsRNorTQxUNwEE,https://www.google.com/maps/place/?q=place_id:ChIJ3TiPEwBBwTsRNorTQxUNwEE,part_134,2026-09-22 06:00:46,4467
Hotel Krishna International,Hotel,Hotel,"Hotel, Banquet hall, Bar, Lodge, Restaurant",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 233 253 0233,https://hotelkrishnainternational.com/contact-us/,3.7,,"Jhulelal Chowk, near ST Stand Road, Sangli, Patrakar Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Patrakar Nagar",16.853092399999998,74.5640504,ChIJL2vGYkMYwTsR9xMIA6kz8UA,https://www.google.com/maps/place/?q=place_id:ChIJL2vGYkMYwTsR9xMIA6kz8UA,part_134,2026-09-22 06:00:48,4468
Hotel United 21,Hotel,Hotel,Hotel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 233 232 3121,N/A,3.7,,"699A, South Shivaji Nagar, Nishant Colony, Sangli Miraj Kupwad, Maharashtra 416416","South Shivaji Nagar, Nishant Colony",16.852076399999998,74.5795227,ChIJQ8YrYWUYwTsRXOS8qLg4MgU,https://www.google.com/maps/place/?q=place_id:ChIJQ8YrYWUYwTsRXOS8qLg4MgU,part_134,2026-09-22 06:00:48,4469
Hotel Mahadev Executive,Hotel,Hotel,"Hotel, Restaurant",416312,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Tasgaon M.D.G S.O, Arawade B.O, Balagavade B.O",+91 98077 22727,N/A,3.8,863.0,"SHOP NO 01, Vita - Karad Rd, near MAHADEV HOTEL, Hanmant Bazar, Vita, Maharashtra 415311",Hanmant Bazar,17.272790999999998,74.53378699999999,ChIJ12KWEDhmwTsR85G2Fwnmo4M,https://www.google.com/maps/place/?q=place_id:ChIJ12KWEDhmwTsR85G2Fwnmo4M,part_134,2026-09-22 06:01:38,8740
"Hotel Harshwardhan Executive (Bar,Restorent & Lodging)",Hotel,Hotel,Hotel,416312,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Tasgaon M.D.G S.O, Arawade B.O, Balagavade B.O",+91 99647 78593,N/A,4.9,37.0,"Tasgaon Road, near Lokhande Hospital, Palus, Maharashtra 416310",416312,17.0930388,74.4580965,ChIJc5tp4iFtwTsRD-YM-8CfzS0,https://www.google.com/maps/place/?q=place_id:ChIJc5tp4iFtwTsRD-YM-8CfzS0,part_134,2026-09-22 06:01:38,8741
Hotel Siddhi,Hotel,Hotel,Hotel,416312,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Tasgaon M.D.G S.O, Arawade B.O, Balagavade B.O",+91 91456 57434,N/A,3.6,249.0,"Vita, Stand, Vita, Maharashtra 415311",Stand,17.2727123,74.54013979999999,ChIJXfzvIzhmwTsRVcrfi_Csezo,https://www.google.com/maps/place/?q=place_id:ChIJXfzvIzhmwTsRVcrfi_Csezo,part_134,2026-09-22 06:01:38,8742
New Shivam Hotel,Hotel,Restaurant,Restaurant,416312,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Tasgaon M.D.G S.O, Arawade B.O, Balagavade B.O",+91 72600 54004,N/A,4.7,,"Shop No 1, Sangli - Vita Rd, Sangli, Somwar Peth, Tasgaon, Maharashtra 416312","Sangli, Somwar Peth",17.0452942,74.6019216,ChIJl_ofISY_wTsRcvec6K6Y00M,https://www.google.com/maps/place/?q=place_id:ChIJl_ofISY_wTsRcvec6K6Y00M,part_134,2026-09-22 06:01:40,8743
Hotel langar lawns,Hotel,Hotel,Hotel,416312,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Tasgaon M.D.G S.O, Arawade B.O, Balagavade B.O",N/A,N/A,4.0,,"4F98+X3G, Shiye - Bawada Rd, Balvadi Bhalvani, Andhali, Maharashtra 416310",416312,17.122318699999997,74.4607005,ChIJa0yf2g9twTsRBAvDOVZrzJs,https://www.google.com/maps/place/?q=place_id:ChIJa0yf2g9twTsRBAvDOVZrzJs,part_134,2026-09-22 06:01:40,8744
Hotel Season 4,Hotel,Hotel,"Hotel, Banquet hall, North Indian restaurant",416312,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Tasgaon M.D.G S.O, Arawade B.O, Balagavade B.O",+91 233 267 1791,https://hotelseason4.com/,3.9,,"Sangli - Miraj Rd, near रिलायंस पेट्रोलियम, Sangli, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Sangli, Vishrambag",16.850243,74.5920434,ChIJ_59HingYwTsRRvd4LdgTXgk,https://www.google.com/maps/place/?q=place_id:ChIJ_59HingYwTsRRvd4LdgTXgk,part_134,2026-09-22 06:01:40,8745
Grand Regal,Hotel,Hotel,"Hotel, Banquet hall, Restaurant",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 98223 41166,http://www.hotelgrandregal.in/,4.3,,"Kolhapur Road, Waghwadi, Fata, Urun-Ishwarpur, Maharashtra 415409","Shastri Nagar, Fata",17.0462235,74.2554656,ChIJRxCn49TBwTsRcxR25wxvRy8,https://www.google.com/maps/place/?q=place_id:ChIJRxCn49TBwTsRcxR25wxvRy8,part_134,2026-09-22 06:02:29,10859
Hotel The Royal Anandraj,Hotel,Hotel,"Hotel, Banquet hall, Bed & breakfast, Family restaurant, Lodge, Non Vegetarian Restaurant, Vegetarian restaurant",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 89833 66788,https://hotel-royal-anandraj.grexa.site/,4.7,,"Akshar Colony, Road Number 2, off datt takedi front, Kisannagar, Urun-Ishwarpur, Maharashtra 415409",Kisannagar,17.037584499999998,74.2607683,ChIJTT3QAwALwTsRb_dCSL66kUM,https://www.google.com/maps/place/?q=place_id:ChIJTT3QAwALwTsRb_dCSL66kUM,part_134,2026-09-22 06:02:29,10860
Hotel Pancharatna,Hotel,Lodge,Lodge,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 90222 22109,https://www.instagram.com/panchratna_lodge_ishwarpur?igsh=YWY3eTZoc29zb2xx,4.0,,"Sangli Rd, Shirala Naka, Urun-Ishwarpur, Maharashtra 415409",Shirala Naka,17.0469369,74.2585845,ChIJc9j0t3J1wTsR5sitnTDf9I0,https://www.google.com/maps/place/?q=place_id:ChIJc9j0t3J1wTsR5sitnTDf9I0,part_134,2026-09-22 06:02:29,10861
Hotel Sai International,Hotel,Motel,"Motel, Bar, Bed & breakfast, Breakfast restaurant, Chinese restaurant, Family restaurant, Fast food restaurant, Indian restaurant, Maharashtrian Restaurant, Non Vegetarian Restaurant, North Indian restaurant",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 91756 83842,N/A,4.0,,"Pune Bangalore Highway (NH-4, Vasant Park Chougle Plot, Yelur, Maharashtra 415411",Vasant Park Chougle Plot,16.9536055,74.2754219,ChIJqeZkP30JwTsREaHNGcKytsE,https://www.google.com/maps/place/?q=place_id:ChIJqeZkP30JwTsREaHNGcKytsE,part_134,2026-09-22 06:02:29,10862
Hotel Grand Vintage- Resto And Lodge_(PURE VEG)-UDUPI MANAGEMENT,Hotel,Hotel,Hotel,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 84211 80073,N/A,4.1,,"Pune-Bengaluru Highway, NH4, Kameri, Taluka, Walwa, Urun-Ishwarpur, Maharashtra 415403",Walwa,17.0026245,74.2611718,ChIJ-ZGdhZMLwTsRFLGFdz8qwgc,https://www.google.com/maps/place/?q=place_id:ChIJ-ZGdhZMLwTsRFLGFdz8qwgc,part_134,2026-09-22 06:02:29,10863
Vanashri Lodge,Hotel,Lodge,"Lodge, Hotel",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 98608 18297,N/A,3.7,,"Bavachi, SH-138, Peth - Sangli Rd, Ashta, Maharashtra 416313",416313,16.978514999999998,74.360204,ChIJG6bRocwNwTsRndWPTe1Bw1M,https://www.google.com/maps/place/?q=place_id:ChIJG6bRocwNwTsRndWPTe1Bw1M,part_134,2026-09-22 06:02:29,10864
Hotel Akshay,Hotel,Indian restaurant,"Indian restaurant, Dhaba, Vegetarian restaurant",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",N/A,N/A,4.0,,"Mahadevnagar, Urun-Ishwarpur, Maharashtra 415409",Mahadevnagar,17.0602992,74.27292179999999,ChIJ7QPDUdp0wTsRF2P61DEoEeo,https://www.google.com/maps/place/?q=place_id:ChIJ7QPDUdp0wTsRF2P61DEoEeo,part_134,2026-09-22 06:02:29,10865
SPOT ON 47623 Hotel Yashwant Garden,Hotel,Hotel,"Hotel, Bed & breakfast, Guest house, Holiday home, Inn, Lodge, Motel, Service Apartment, Villa",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 124 620 1217,https://www.oyorooms.com/76764,3.8,,"NH-4, Pune Bangalore Highway, Yelur, Maharashtra 415411",416313,16.941294,74.280419,ChIJt75iG28JwTsR7aX_dOETN9k,https://www.google.com/maps/place/?q=place_id:ChIJt75iG28JwTsR7aX_dOETN9k,part_134,2026-09-22 06:02:29,10866
SPOT ON Sarthak Lodge,Hotel,Hotel,Hotel,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 124 620 1463,https://www.oyorooms.com/112812,4.2,,"157/3B/1, 157/3B/1, Rajebageswar, Urun islampur, Tal, Walwa, Maharashtra 415409",Rajebageswar Nagar,17.063406,74.270121,ChIJMxAiZyx1wTsRcln9cv6PIF8,https://www.google.com/maps/place/?q=place_id:ChIJMxAiZyx1wTsRcln9cv6PIF8,part_134,2026-09-22 06:02:29,10867
Dhara resort and Homestay,Hotel,Resort hotel,"Resort hotel, Hotel, Lodge, Home Stay",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",N/A,N/A,4.9,,"Ramling Bet bahe, Tambave, Maharashtra 415409",416313,17.1186762,74.2607511,ChIJuxohQid1wTsRerJHDXZGbbU,https://www.google.com/maps/place/?q=place_id:ChIJuxohQid1wTsRerJHDXZGbbU,part_134,2026-09-22 06:02:29,10868
Hotel Sarthak And Lodging,Hotel,Hotel,Hotel,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 82619 41836,N/A,4.2,,"Ashta - Vadgaon Rd, Datta Vasahat, Ashta, Maharashtra 416301",Datta Vasahat,16.936787199999998,74.3983997,ChIJE2PUEcsPwTsRbXLsM0od3dY,https://www.google.com/maps/place/?q=place_id:ChIJE2PUEcsPwTsRbXLsM0od3dY,part_134,2026-09-22 06:02:29,10869
Hotel gavran,Hotel,Food Processing Company,Food Processing Company,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",N/A,N/A,,,"Sangli, Padmale, Maharashtra 416416",Sangli,16.8838072,74.55460599999999,ChIJiwy2bHgZwTsRppB0njzD9XM,https://www.google.com/maps/place/?q=place_id:ChIJiwy2bHgZwTsRppB0njzD9XM,part_134,2026-09-22 06:02:31,10870
Gomtesh Traders,Hotel,General store,General store,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 84591 40918,N/A,,,"Shop No, 1, Karkhana Rd, Walwa, Maharashtra 416313",416313,17.0265332,74.374359,ChIJs31IMeYNwTsRmRKqWZV7gwE,https://www.google.com/maps/place/?q=place_id:ChIJs31IMeYNwTsRmRKqWZV7gwE,part_134,2026-09-22 06:02:31,10871
Hotel Elite Vita,Hotel,Hotel,Hotel,416314,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Visapur S.O (Sangli), Hatnoli B.O, Hatnur B.O",N/A,https://www.hotelelitevita.com/,4.4,54.0,"Hotel Elite Vita,Post Vita, Vita Mayni Road, Taluka, Khanapur, Vita, Maharashtra 415311",Tarlekar Colony,17.2906385,74.53499769999999,ChIJY4ngKftnwTsRWCFi4JqwzaI,https://www.google.com/maps/place/?q=place_id:ChIJY4ngKftnwTsRWCFi4JqwzaI,part_134,2026-09-22 06:03:18,12554
Hotel diamond executive,Hotel,Hotel,"Hotel, Extended stay hotel, Family restaurant, Home Stay, Punjabi restaurant, Restaurant",416314,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Visapur S.O (Sangli), Hatnoli B.O, Hatnur B.O",+91 88550 07103,N/A,3.8,415.0,"Mayani Rd, Tarlekar Colony, Vita, Maharashtra 415311",Tarlekar Colony,17.2858458,74.53606979999999,ChIJ4eM7b1BmwTsRcY1NMP3uCyw,https://www.google.com/maps/place/?q=place_id:ChIJ4eM7b1BmwTsRcY1NMP3uCyw,part_134,2026-09-22 06:03:18,12555
"Hotel Pankaj Executive(Bar, Restorant & Lodging)",Hotel,Hotel,"Hotel, Beer store, Diner, Restaurant",416314,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Visapur S.O (Sangli), Hatnoli B.O, Hatnur B.O",+91 91304 13427,N/A,4.1,396.0,"Vita - Mayani Rd, Tarlekar Colony, Vita, Maharashtra 415311",Tarlekar Colony,17.2814831,74.5368014,ChIJ_fowuINnwTsROFLQHdn1Nck,https://www.google.com/maps/place/?q=place_id:ChIJ_fowuINnwTsROFLQHdn1Nck,part_134,2026-09-22 06:03:18,12556
Hotel Sony,Hotel,Restaurant,"Restaurant, Bar, Family restaurant, Lodge",416314,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Visapur S.O (Sangli), Hatnoli B.O, Hatnur B.O",+91 2347 275 156,N/A,4.0,319.0,"7GGQ+7M2, Yashwanth Nagar, near Water Tank, Yashwant Nagar, Vita, Maharashtra 415311",Yashwant Nagar,17.275700699999998,74.5391113,ChIJdQ0dlUlmwTsRuWzqRXE1tkI,https://www.google.com/maps/place/?q=place_id:ChIJdQ0dlUlmwTsRuWzqRXE1tkI,part_134,2026-09-22 06:03:18,12557
Nikhil Executive,Hotel,Hotel,Hotel,416314,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Visapur S.O (Sangli), Hatnoli B.O, Hatnur B.O",+91 95797 14488,N/A,3.8,36.0,"SHOP NO 02, SHIVAJI NAGAR, Vita - Karad Rd, Bhairavnatha Nagar, Vita, Maharashtra 415311",Bhairavnatha Nagar,17.2764482,74.51571609999999,ChIJ34KlHttnwTsRNeo7SqygIss,https://www.google.com/maps/place/?q=place_id:ChIJ34KlHttnwTsRNeo7SqygIss,part_134,2026-09-22 06:03:18,12558
Hotel Royal Lodging & Resto,Hotel,Bed & breakfast,"Bed & breakfast, Hotel, Lodge",416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",N/A,N/A,4.7,,"Vadgaon - Hatkanangale Rd, Hatkanangle Road, Narande, Maharashtra 416109",Hatkanangle Road,16.7973264,74.3829232,ChIJE0cCFgAFwTsRF7c_KU62vRc,https://www.google.com/maps/place/?q=place_id:ChIJE0cCFgAFwTsRF7c_KU62vRc,part_134,2026-09-22 06:04:09,14882
"Farm House,Palm Castle",Hotel,Farmstay,Farmstay,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",+91 98232 37177,https://omsom.in/palmcastlefarms,4.4,,"Vadgaon - Hatkanangale Rd, Savarde, Maharashtra 416109",416315,16.8119358,74.3676558,ChIJidbbYPAEwTsRQHnNjR2YbSw,https://www.google.com/maps/place/?q=place_id:ChIJidbbYPAEwTsRQHnNjR2YbSw,part_134,2026-09-22 06:04:09,14883
