business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Aaradhya Collection Wholesale Saree Center,Saree Showroom,Clothing store,Clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 94211 27645,N/A,5.0,766.0,"beside Aahilyadevi Holkar Smarak, Sangli, Shahunagar, Vijaynagar, Maharashtra 416414","Sangli, Shahunagar, Vijaynagar",16.8524508,74.61459289999999,ChIJcQgX1NkjwTsRLMhZdhCoKZk,https://www.google.com/maps/place/?q=place_id:ChIJcQgX1NkjwTsRLMhZdhCoKZk,part_134,2026-09-22 06:00:22,1040
RAJNANDINI COLLECTION,Saree Showroom,Clothing store,Clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 94594 93333,http://www.rajnandinicollection.com/,4.8,895.0,"Jai Hind Chowk, Savlaj, Tasgaon, Maharashtra 416311",416311,17.1054603,74.76777729999999,ChIJDeJbu8RHwTsRSbtK5AMWIdw,https://www.google.com/maps/place/?q=place_id:ChIJDeJbu8RHwTsRSbtK5AMWIdw,part_134,2026-09-22 06:00:22,1041
Shree Saree Emporium,Saree Showroom,Clothing store,Clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 233 237 2808,N/A,4.2,90.0,"Theatre Road, Sangli, Sarada Market, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Sarada Market",16.8614353,74.56248529999999,ChIJS1ZtQkcYwTsR4jYJTWTRNc0,https://www.google.com/maps/place/?q=place_id:ChIJS1ZtQkcYwTsR4jYJTWTRNc0,part_134,2026-09-22 06:00:22,1042
Jija Sarees & Ladies Collection,Saree Showroom,Saree Shop,"Saree Shop, Dress store, Jewelry store",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 96236 88136,http://wa.me/+918999477090,5.0,85.0,"Shiv The Midtown Complex, 100 Feet Rd, near Military Canteen, Sangli, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Vishrambag",16.845870599999998,74.5879978,ChIJHdvEsygZwTsRsVpfhSDv_2w,https://www.google.com/maps/place/?q=place_id:ChIJHdvEsygZwTsRsVpfhSDv_2w,part_134,2026-09-22 06:00:22,1043
Lahoti Collections- Complete Family Cloth Shop,Saree Showroom,Clothing store,"Clothing store, Children's clothing store, Childrens Store, Clothes market, Clothing supplier, Clothing wholesaler, Men's clothing store, Saree Shop, Women's clothing store",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 75888 70856,N/A,4.8,5461.0,"Sadashiv Peth, Budhwar Peth, Shaniwar Peth, Malhar Peth, Satara, Maharashtra 415002","Budhwar Peth, Shaniwar Peth, Malhar Peth",17.684483099999998,73.9916001,ChIJvWvZCL45wjsRaANa2emT6bE,https://www.google.com/maps/place/?q=place_id:ChIJvWvZCL45wjsRaANa2emT6bE,part_134,2026-09-22 06:00:22,1044
Tathastu,Saree Showroom,Clothing store,Clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 231 264 2511,http://www.tathastu.fashion/,4.7,4941.0,"1961/1, C-Ward, Laxmi Rd, Laxmipuri, Kolhapur, Maharashtra 416002","Akbar Mohalla, Laxmipuri",16.6988772,74.226765,ChIJ5QBbgrgBwTsRsfLwHwcvQyc,https://www.google.com/maps/place/?q=place_id:ChIJ5QBbgrgBwTsRsfLwHwcvQyc,part_134,2026-09-22 06:00:22,1045
"Jija Designer Saree, Blouse and Jewellery",Saree Showroom,Saree Shop,"Saree Shop, Designer Clothing Store, Women's clothing store",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,4.9,24.0,"Jijaa Collection, Skyview Tower, College Corner, Madhavnagar Rd, Sangli, Gokul Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Gokul Nagar",16.863225399999997,74.57720259999999,ChIJmzcbqZAZwTsRjxV7TYmyUGc,https://www.google.com/maps/place/?q=place_id:ChIJmzcbqZAZwTsRjxV7TYmyUGc,part_134,2026-09-22 06:00:22,1046
Sangeeta sadi centre,Saree Showroom,Saree Shop,Saree Shop,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 86981 19856,N/A,4.3,47.0,"Sangeeta sadi centre, Harbhat Rd, Sangli, Gaon Bhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Gaon Bhag",16.8600232,74.56276629999999,ChIJCSSp2wEZwTsRrh1Er_h4HtU,https://www.google.com/maps/place/?q=place_id:ChIJCSSp2wEZwTsRrh1Er_h4HtU,part_134,2026-09-22 06:00:22,1047
SARA SILK STUDIO,Saree Showroom,Women's clothing store,Women's clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,4.9,11.0,"VH67+73G, Kapad Peth, Ganapati Peth, Sangli Miraj Kupwad, Maharashtra 416416","Kapad Peth, Ganapati Peth",16.860697599999998,74.5626885,ChIJs-pXfI4ZwTsRk9o1tqYhJDw,https://www.google.com/maps/place/?q=place_id:ChIJs-pXfI4ZwTsRk9o1tqYhJDw,part_134,2026-09-22 06:00:22,1048
B R VASTRA ALANKAR BHIVGHAT,Saree Showroom,Clothing store,Clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 86003 16326,N/A,4.4,145.0,"Vita - Khanapur Rd, Bhivghat, Benapur, Maharashtra 415307",Bhivghat,17.2458468,74.7620374,ChIJI6sx3f9FwTsR_3xBZle24iw,https://www.google.com/maps/place/?q=place_id:ChIJI6sx3f9FwTsR_3xBZle24iw,part_134,2026-09-22 06:00:22,1049
siyaram collection,Saree Showroom,Clothing store,Clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 77769 00977,N/A,4.8,24.0,"Shop No 1, Main, Karad - Tasgaon Rd, opp. Laxmi Still, Palus, Maharashtra 416310",416311,17.0923673,74.4619652,ChIJG2Of6_dtwTsRbWMbEW2mwKQ,https://www.google.com/maps/place/?q=place_id:ChIJG2Of6_dtwTsRbWMbEW2mwKQ,part_134,2026-09-22 06:00:22,1050
The Fashion Hub,Saree Showroom,Men's clothing store,Men's clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98810 50496,N/A,5.0,3.0,"Shop No 10, near by Yalama Temple, Bastawade, Maharashtra 416311",416311,17.1123115,74.7215427,ChIJS2aZXvNHwTsRA4NzHVv6oLw,https://www.google.com/maps/place/?q=place_id:ChIJS2aZXvNHwTsRA4NzHVv6oLw,part_134,2026-09-22 06:00:22,1051
Venkatesh Vastram,Saree Showroom,Clothing store,Clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,4.1,228.0,"Somwar Peth, Madhavnagar, Maharashtra 416406","Somwar Peth, Madhavnagar",16.889971,74.5864914,ChIJAQAAQAIYwTsRt6aAGJN7O9Q,https://www.google.com/maps/place/?q=place_id:ChIJAQAAQAIYwTsRt6aAGJN7O9Q,part_134,2026-09-22 06:00:22,1052
Chandraroop Cloth Stores,Saree Showroom,Clothing store,"Clothing store, Saree Shop",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 231 264 4714,http://www.chandraroop.com/,4.4,226.0,"1957, Laxmi Rd, Akbar Mohalla, C Ward, Kolhapur, Maharashtra 416002","Akbar Mohalla, C Ward",16.6986781,74.2263615,ChIJeQwliA4BwTsRv9F1pOVahrU,https://www.google.com/maps/place/?q=place_id:ChIJeQwliA4BwTsRv9F1pOVahrU,part_134,2026-09-22 06:00:22,1053
RAJ COLLECTION,Saree Showroom,Clothing store,"Clothing store, Clothing wholesale market place",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 97306 82765,https://rajcollection.in/,4.8,11.0,"349, Somwar Peth, Raviwar Peth, Madhavnagar, Maharashtra 416406","Raviwar Peth, Madhavnagar",16.8885191,74.5851436,ChIJxcazawEXwTsRjfiWIFhv3Js,https://www.google.com/maps/place/?q=place_id:ChIJxcazawEXwTsRjfiWIFhv3Js,part_134,2026-09-22 06:00:22,1054
Ajantha stores,Saree Showroom,Clothing store,Clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,4.0,269.0,"Sangli - Vita Rd, Kalgaonkar Wada, Tasgaon, Maharashtra 416312",Kalgaonkar Wada,17.034561,74.604143,ChIJMcUbztE_wTsROpcW1OzsBcA,https://www.google.com/maps/place/?q=place_id:ChIJMcUbztE_wTsROpcW1OzsBcA,part_134,2026-09-22 06:00:22,1055
Vama Saree center,Saree Showroom,Saree Shop,Saree Shop,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 88570 00383,N/A,3.5,62.0,"Vama saree, 5th Ln, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Mahalaxminagar, Rajarampuri",16.695679,74.2426412,ChIJgfYxI6MBwTsR_SiOSpsk7jY,https://www.google.com/maps/place/?q=place_id:ChIJgfYxI6MBwTsR_SiOSpsk7jY,part_134,2026-09-22 06:00:22,1056
MAULI COLLECTION SHIRDHON,Saree Showroom,Saree Shop,Saree Shop,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 99216 21242,N/A,5.0,1.0,"Shop No 03, Main, Pandharpur Road, near Bridge, Shirdhon, Borgaon, Maharashtra 416419",416311,17.017276499999998,74.8019094,ChIJ62MHHPI3wTsRLrluZrrPTzw,https://www.google.com/maps/place/?q=place_id:ChIJ62MHHPI3wTsRLrluZrrPTzw,part_134,2026-09-22 06:00:22,1057
Sunita Sarees,Saree Showroom,Clothing store,Clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 93305 15151,https://sunitasaree.com/,3.8,203.0,"46/47 URALI DEVACHI, Pune Saswad Rd, Phursungi, Maharashtra 412308",Phursungi,18.4616586,73.96476679999999,ChIJBRN6y7OxwjsRQzs2QS0A3kA,https://www.google.com/maps/place/?q=place_id:ChIJBRN6y7OxwjsRQzs2QS0A3kA,part_134,2026-09-22 06:00:23,1058
POONAM SILK 1992,Saree Showroom,Saree Shop,Saree Shop,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 99224 52876,N/A,4.1,10.0,"SHOP NO 43, Ravi Darshan Shopping Complex, Main, Pune - Solapur Rd, Parijat Colony, Sadhana Society, Hadapsar, Pune, Maharashtra 411028","Parijat Colony, Sadhana Society, Hadapsar",18.5004907,73.94470749999999,ChIJaWbUT0fDwjsRRj6hz4bekUM,https://www.google.com/maps/place/?q=place_id:ChIJaWbUT0fDwjsRRj6hz4bekUM,part_134,2026-09-22 06:00:23,1059
Raj Cloth Stores,Saree Showroom,Clothing store,Clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 240 295 0113,http://www.rajcloth.in/,4.1,3771.0,"Akashwani, Jalna Rd, Kailash Nagar, Mondha, Chhatrapati Sambhajinagar, Maharashtra 431001","Kailash Nagar, Mondha",19.876792,75.34261289999999,ChIJYUzvk5ej2zsRjNXgm2r-aeA,https://www.google.com/maps/place/?q=place_id:ChIJYUzvk5ej2zsRjNXgm2r-aeA,part_134,2026-09-22 06:00:23,1060
SHAH CLOTH STORES,Saree Showroom,Clothing store,Clothing store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,4.1,85.0,"896, behind Raymond showroom, Kapad Peth, Ganapati Peth, Sangli Miraj Kupwad, Maharashtra 416416","Kapad Peth, Ganapati Peth",16.8607394,74.5618269,ChIJR7TGEkcYwTsR_oZh0uynyCY,https://www.google.com/maps/place/?q=place_id:ChIJR7TGEkcYwTsR_oZh0uynyCY,part_134,2026-09-22 06:00:23,1061
