business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Speak Out( Best Spoken English +Skill training Institute),Spoken English Institute,English language school,"English language school, Coaching Center, Service establishment",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 79806 54823,N/A,5.0,15.0,"Speak Out( Best Spoken English +Skill training Institute), 416311, India",416311,24.374074399999998,87.85113779999999,ChIJN_GWeFOV-DkRQbJK8LdfIic,https://www.google.com/maps/place/?q=place_id:ChIJN_GWeFOV-DkRQbJK8LdfIic,part_134,2026-09-22 06:00:49,4825
Bhagirathiaai English Medium School,Spoken English Institute,Primary school,Primary school,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 96965 17171,N/A,,,"Shirdhon, Maharashtra 416419",416311,17.0203125,74.80743749999999,ChIJI7mLmBU3wTsRxIQyV_cdGy0,https://www.google.com/maps/place/?q=place_id:ChIJI7mLmBU3wTsRxIQyV_cdGy0,part_134,2026-09-22 06:00:49,4826
Elite Spoken English Academy,Spoken English Institute,English language school,English language school,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 90112 02878,N/A,4.1,8.0,"Sheth Plaza, above swati Wellness, behind hotel shivechha, Sangli, Nishant Colony, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Nishant Colony",16.8512971,74.5847835,ChIJTdEqZXoYwTsRQrKKMwQ9anI,https://www.google.com/maps/place/?q=place_id:ChIJTdEqZXoYwTsRQrKKMwQ9anI,part_134,2026-09-22 06:00:49,4827
Eagle Spoken English Academy,Spoken English Institute,Educational institution,Educational institution,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 84850 38383,https://eaglespokenenglishacademy.com/,4.8,480.0,"Kolhapur Road, above Yes bank, near bhagyarekha talkies, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.689127,74.45794,ChIJ99EAWNzjwDsR-fPv2qLk1ac,https://www.google.com/maps/place/?q=place_id:ChIJ99EAWNzjwDsR-fPv2qLk1ac,part_134,2026-09-22 06:00:49,4828
Daksh English Academy,Spoken English Institute,English language school,English language school,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 96371 31191,N/A,4.8,69.0,"Signal Chowk, next to Aditya Hospital, above D.C, Sangli, C. Bank, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, C. Bank, Vishrambag",16.8480371,74.5963277,ChIJ9QM8iYEiwTsRzUTxOSeqTac,https://www.google.com/maps/place/?q=place_id:ChIJ9QM8iYEiwTsRzUTxOSeqTac,part_134,2026-09-22 06:00:49,4829
Avirat Spoken English Academy,Spoken English Institute,English language school,"English language school, Training center",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 81779 22018,https://www.aviratenglishclasses.in/,4.9,664.0,"Office No 17, Ground Floor, Hrishikesh Apartments, Tupe Patil Rd, near Vitthal Tupe Patil Auditorium, Vittal Tupe Natyagruh, Malwadi, Hadapsar, Pune, Maharashtra 411028","Vittal Tupe Natyagruh, Malwadi, Hadapsar",18.502264699999998,73.9364758,ChIJweAjVQbDwjsR6jeP-z49Is0,https://www.google.com/maps/place/?q=place_id:ChIJweAjVQbDwjsR6jeP-z49Is0,part_134,2026-09-22 06:00:49,4830
Speak Express English Academy Online & Offline Classes,Spoken English Institute,Education center,Education center,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 95886 27246,http://speakexpress.in/,4.9,251.0,"Sinhgad Rd, Ganesh Complex, Manik Baug, Anand Nagar, Pune, Maharashtra 411051","Ganesh Complex, Manik Baug, Anand Nagar",18.473978799999998,73.8215968,ChIJ74OQE6iVwjsRtbA2woQ736E,https://www.google.com/maps/place/?q=place_id:ChIJ74OQE6iVwjsRtbA2woQ736E,part_134,2026-09-22 06:00:49,4831
Avensys Spoken English Academy & IELTS Training & Personality Developments classes,Spoken English Institute,English language school,"English language school, Foreign languages program school",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 95525 54510,N/A,4.9,446.0,"Avensys Spoken English Academy, Amar Palace, near Janaseva bank &, Gadital, Hadapsar, Pune, Maharashtra 411028","Gadital, Hadapsar",18.500856199999998,73.9356425,ChIJawsKC_jBwjsR2wtOXtCu_RI,https://www.google.com/maps/place/?q=place_id:ChIJawsKC_jBwjsR2wtOXtCu_RI,part_134,2026-09-22 06:00:49,4832
English clinic,Spoken English Institute,Education center,Education center,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 80070 04466,https://dassooqishah.com/,4.8,107.0,"MG Road, Camp, Pune, Maharashtra 411001",Camp,18.5177023,73.8786685,ChIJORI-vE_AwjsR5rW-Pmd-82Y,https://www.google.com/maps/place/?q=place_id:ChIJORI-vE_AwjsR5rW-Pmd-82Y,part_134,2026-09-22 06:00:49,4833
Wrils Academy ️,Spoken English Institute,English language school,English language school,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98812 61993,N/A,4.8,364.0,"A wing ,3rd floor, Satylok apartment, Police station, Wrils Academy Pvt Ltd, in front of Hadapsar, above Dr Bhujbal clinic, Gadital, Hadapsar, Pune, Maharashtra 411028","Gadital, Hadapsar",18.5004719,73.9397786,ChIJM0frDQPCwjsR3CUcURIhxzg,https://www.google.com/maps/place/?q=place_id:ChIJM0frDQPCwjsR3CUcURIhxzg,part_134,2026-09-22 06:00:49,4834
