business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
आबांची गिरण,Flour Mill,Flour mill,Flour mill,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,,,"3QCV+RWF Tasgaon, Nagnathnagar, Maharashtra 416311",416311,17.0719328,74.7946611,ChIJcQUSXAA3wTsRbFuZBQuLp4c,https://www.google.com/maps/place/?q=place_id:ChIJcQUSXAA3wTsRbFuZBQuLp4c,part_134,2026-09-22 06:00:16
Sangli roller flour mills,Flour Mill,Manufacturer,Manufacturer,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,4.0,4.0,"VJ9J+8MJ, MIDC Kupwad, Sangli Miraj Kupwad, Maharashtra 416436",MIDC Kupwad,16.8683353,74.6316513,ChIJE1McLZojwTsRZIIE_QSVn7s,https://www.google.com/maps/place/?q=place_id:ChIJE1McLZojwTsRZIIE_QSVn7s,part_134,2026-09-22 06:00:16
Onkar Flour Mill,Flour Mill,Home goods store,Home goods store,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 94234 30202,N/A,,,"Peth Line, near Rushikesh Kirana Stores, Nagaj, Maharashtra 416403",416311,17.1445384,74.9369356,ChIJlXEY6ttLwTsRyyqHdki6IKw,https://www.google.com/maps/place/?q=place_id:ChIJlXEY6ttLwTsRyyqHdki6IKw,part_134,2026-09-22 06:00:16
Himalaya Domestic flour Mill - Atta chakki in Pune/Atta maker in Pune,Flour Mill,Manufacturer,Manufacturer,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 72761 72760,N/A,4.3,27.0,"Sh.No 4, Savitri Warehouse, Furniture, Sr No. 32 ,H.No.2A, opp. Mohan Marble, near New Novelty, Pisoli, Pune, Maharashtra 411060","Anthon Nagar, Pisoli",18.4505131,73.8993381,ChIJq2PA4k7qwjsR4epo1UCd44E,https://www.google.com/maps/place/?q=place_id:ChIJq2PA4k7qwjsR4epo1UCd44E,part_134,2026-09-22 06:00:16
Patil Pithachi Girani,Flour Mill,Flour mill,Flour mill,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 95037 90597,N/A,5.0,1.0,"near DJ Rajju (Mandap & Decoration), Biroba Temple, Nangole, Maharashtra 416405",416311,17.0315364,74.9215617,ChIJed8O2ms1wTsR4Lcmn0gzaBI,https://www.google.com/maps/place/?q=place_id:ChIJed8O2ms1wTsR4Lcmn0gzaBI,part_134,2026-09-22 06:00:16
Uttam Industry-UTTAM Domestic Atta Chakki Manufacturers in Pune/ AATA CHAKKI/ Flour Mill/Ghar Ghanti Suppliers /Pimpri,Flour Mill,Electronics manufacturer,Electronics manufacturer,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 90288 33303,http://www.uttamattachakki.com/,4.7,216.0,"Darshan Nagri, BHOIR CHOWK, near RUDRA HOTEL, Keshav Nagar, Chinchwad, Pimpri-Chinchwad, Maharashtra 411033","Keshav Nagar, Chinchwad",18.6185477,73.783975,ChIJlQDJWqq5wjsREtnYAjSa2cs,https://www.google.com/maps/place/?q=place_id:ChIJlQDJWqq5wjsREtnYAjSa2cs,part_134,2026-09-22 06:00:16
House of Flour Mills,Flour Mill,Flour mill,"Flour mill, Machine shop",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 76667 03131,http://www.millson.in/,4.0,48.0,"LBS ROAD, 64 Sadashiv Peth, Chowk, nr. Alka Talkies, Ganjwe Chowk, Pune, Maharashtra 411030","Ganjwe Wadi, Ganjwe Chowk",18.5105287,73.8431178,ChIJyXy9OXbAwjsRs6yzC6Po4jc,https://www.google.com/maps/place/?q=place_id:ChIJyXy9OXbAwjsRs6yzC6Po4jc,part_134,2026-09-22 06:00:16
Mahalaxmi Atta Chakki,Flour Mill,Home health care service,"Home health care service, Home help",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 80555 99991,http://mahalaxmiattachakki.com/,4.1,15.0,"Ram Mandir Rd, near Congress Bhavan, Sangli, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Khanbhag",16.8583572,74.5737291,ChIJLTSfv2sYwTsRx0bsJa8adDA,https://www.google.com/maps/place/?q=place_id:ChIJLTSfv2sYwTsRx0bsJa8adDA,part_134,2026-09-22 06:00:16
Bhide & Sons Pvt Ltd,Flour Mill,Agricultural machinery manufacturer,Agricultural machinery manufacturer,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 233 237 5011,http://www.bhidesons.com/,4.4,20.0,"VH6H+WGJ, Shivaji Nagar (North), Timber Area, Timber Area, Sangli, Maharashtra 416416","Sangli, Gokul Nagar",16.862333,74.5787567,ChIJVVVVpbUjwTsROz97jY3XUvQ,https://www.google.com/maps/place/?q=place_id:ChIJVVVVpbUjwTsROz97jY3XUvQ,part_134,2026-09-22 06:00:16
Navdeep Atta Chakki,Flour Mill,Flour mill,"Flour mill, Home goods store",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 96369 22356,https://navdeep-atta-chakki.grexa.site/,5.0,5.0,"Ravji Complex, 1st Ln, near gujrati high school, E Ward, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.7011906,74.239311,ChIJp_LQLTMBwTsRg05wIt4TV-Y,https://www.google.com/maps/place/?q=place_id:ChIJp_LQLTMBwTsRg05wIt4TV-Y,part_134,2026-09-22 06:00:16
